fond,annee,titre,durée,région,source,fond_coût,coût_total,bénéficiaire,thématique(s)
FEP,2013,Etude sur l'optimisation du captage des Pectinidés,,Languedoc-Roussillon,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Etude-sur-l-optimisation-du-captage-des-Pectinides/(offset)/130/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,20 918 €,41 805 €,CEPRALMAR (Centre d’Etude et de Promotion des Activités Lagunaires et Maritimes en Languedoc-Roussillon).,Agriculture et pêche ; Recherche et Innovation
FEP,2013,Sensibiliser les pêcheurs plaisanciers aux tailles minimales de captures,,Languedoc-Roussillon,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Sensibiliser-les-pecheurs-plaisanciers-aux-tailles-minimales-de-captures/(offset)/130/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,6 458 €,18 408 €,Voile de Neptune,Agriculture et pêche ; Développement durable et environnement
FEP,2013,Etude de suivi des captures de la pêche de loisirs pour une gestion durable des ressources,,Languedoc-Roussillon,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Etude-de-suivi-des-captures-de-la-peche-de-loisirs-pour-une-gestion-durable-des-ressources/(offset)/130/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,35 242 €,69 635 €,Université de Perpignan Via Domitia,Agriculture et pêche ; Développement durable et environnement
FEP,2013,Création d'un livret éducatif pour valoriser la petite pêche Catalane,,Languedoc-Roussillon,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Creation-d-un-livret-educatif-pour-valoriser-la-petite-peche-Catalane/(offset)/130/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,8 000 €,19 620 €,Association Bleu Comme Planète,Agriculture et pêche ; Culture et tourisme
FEP,2013,"Soutien à la Journée de la gastronomie, de la mer et du terroir",,Languedoc-Roussillon,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Soutien-a-la-Journee-de-la-gastronomie-de-la-mer-et-du-terroir/(offset)/135/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,2 302 €,4 604 €,Office Municipal du Tourisme d'Argelès-sur-mer,Agriculture et pêche ; Culture et tourisme
FEP,2013,Etude sur le rôle de l’affinage en claire sur la qualité sanitaire des huîtres creuses,,Poitou-Charentes,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Etude-sur-le-role-de-l-affinage-en-claire-sur-la-qualite-sanitaire-des-huitres-creuses/(offset)/135/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,50 460 €,100 920 €,Comité Régional Conchylicole Poitou-Charentes,Agriculture et pêche ; Développement durable et environnement
FEP,2013,Formation des agents de criée sur la qualité des produits de la mer,,Poitou-Charentes,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Formation-des-agents-de-criee-sur-la-qualite-des-produits-de-la-mer/(offset)/135/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,1 500 €,3 000 €,Port de La Cotinière / Commune de Saint-Pierre d’Oléron,Agriculture et pêche ; Formation
FEP,2013,Valorisation du patrimoine et des activités maritimes,,Poitou-Charentes,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Valorisation-du-patrimoine-et-des-activites-maritimes/(offset)/135/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,34 012 €,85 470 €,Maison du Tourisme de l’Ile d’Oléron et du Bassin de Marennes,Agriculture et pêche ; Culture et tourisme
FEP,2013,Atelier photographique sur la pêche,,Basse-Normandie,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Atelier-photographique-sur-la-peche/(offset)/135/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,8 000 €,16 000 €,Association l’Harponneuse,Agriculture et pêche ; Culture et tourisme
FEP,2013,La conchyliculture sur le territoire Ouest baie de Seine,,Basse-Normandie,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/La-conchyliculture-sur-le-territoire-Ouest-baie-de-Seine/(offset)/140/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,16 941 €,35 412 €,Comité Régional  de la Conchyliculture Normandie/Mer du Nord,Agriculture et pêche ; Aides aux entreprises
FEP,2013,Etude de faisabilité d'une structure de transformation de produits,,Basse-Normandie,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Etude-de-faisabilite-d-une-structure-de-transformation-de-produits/(offset)/140/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,7 828 €,15 675 €,Communauté de Communes du Val de Saire,Agriculture et pêche ; Aides aux entreprises
FEP,2013,Conférence sur la reprise et la transmission des entreprises de pêche : un enjeu fort pour la Cornouaille,,Bretagne,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Conference-sur-la-reprise-et-la-transmission-des-entreprises-de-peche-un-enjeu-fort-pour-la-Cornouaille/(offset)/140/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,2 479 €,7 083 €,Association Pesca,Agriculture et pêche ; Aides aux entreprises
FEP,2013,Valoriser les métiers de la pêche professionnelle,,Bretagne,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Valoriser-les-metiers-de-la-peche-professionnelle/(offset)/140/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,16 399 €,36 442 €,Comité départemental des pêches maritimes et des élevages marins du Finistère (CDPMEM29),Agriculture et pêche ; Aides aux entreprises
FEP,2013,Edition d'un magazine sur la filère pêche en Cornouaille,,Bretagne,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Edition-d-un-magazine-sur-la-filere-peche-en-Cornouaille/(offset)/140/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,9 886 €,19 772 €,Magazine En Liens,Agriculture et pêche ; Aides aux entreprises
