fond,annee,titre,durée,région,source,fond_coût,coût_total,bénéficiaire,thématique(s)
FSE,2013,Aider le retour à l'emploi avec des fleurs,1 an,Pays de la Loire,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Aider-le-retour-a-l-emploi-avec-des-fleurs/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,26 112 €,,"Soliaé, Chantier D'insertion Floral - Secteur Insertion de la Fédération des Maisons de Quartier de Saint-Nazaire","""L'Européen d'à côté"" ; Emploi et inclusion sociale ; Formation"
FEDER,2011,Accompagnement et formation pour se réinsérer,,Poitou-Charentes,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Accompagnement-et-formation-pour-se-reinserer/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,38 854 €,78 616 €,Les Amis du patrimoine d’Horte et Lavalette,Emploi et inclusion sociale
FEDER,2011,Le BHNS ou Bus à Haut Niveau de Service,,Poitou-Charentes,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Le-BHNS-ou-Bus-a-Haut-Niveau-de-Service/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,4 500 000 €,38 660 000 €,Communauté d'agglomération de Poitiers - le Grand Poitiers,Développement durable et environnement ; Développement urbain
FEP,2012,Construction d'un marché couvert pour la vente de produits de la mer,Mai 2012 - Janvier 2014,Aquitaine,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Construction-d-un-marche-couvert-pour-la-vente-de-produits-de-la-mer/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,32 921 €,164 604 €,CHAMBRE DE COMMERCE et d'INDUSTRIE de Bayonne,"""L'Européen d'à côté"" ; Agriculture et pêche ; Aides aux entreprises"
FEDER,2013,Sensibiliser le grand public transfrontalier à la richesse du territoire et à l'environnement,,Aquitaine,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Sensibiliser-le-grand-public-transfrontalier-a-la-richesse-du-territoire-et-a-l-environnement/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,47 608 €,342 981 €,SURFRIDER FOUNDATION EUROPE,"""L'Européen d'à côté"" ; Espaces naturels à enjeux  ; Formation"
FSE,2013,La réinsertion par le recyclage en Poitou-Charentes,Janvier 2013 à Décembre 2013 (1 an),Poitou-Charentes,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/La-reinsertion-par-le-recyclage-en-Poitou-Charentes/(offset)/5/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,254 846 €,937 694 €,La Maison du quartier de Port Neuf - La Rochelle,"""L'Européen d'à côté"" ; Emploi et inclusion sociale"
FEADER,2011,Développement de circuits courts de fromagerie fermière,Octobre 2011 à Octobre 2012 (1 an),Picardie,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Developpement-de-circuits-courts-de-fromagerie-fermiere/(offset)/5/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,11 000 €,106 714 €,GAEC de la Chèvrerie,"""L'Européen d'à côté"" ; Agriculture ; Aides aux entreprises"
FEADER,2011,Création d’un atelier de transformation laitière en Alsace,Novembre 2011 à décembre 2013 (2 ans),Alsace,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Creation-d-un-atelier-de-transformation-laitiere-en-Alsace/(offset)/5/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,16 458 €,82 288 €,EARL Schmitt - La petite prairie,"""L'Européen d'à côté"" ; Agriculture ; Aides aux entreprises"
FEDER,2013,Extension de la ligne A de tramway de l'agglomération clermontoise,18 mois,Auvergne,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Extension-de-la-ligne-A-de-tramway-de-l-agglomeration-clermontoise/(offset)/5/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,3 000 000 €,29 600 000 €,Syndicat mixte des transports en commun de l’agglomération clermontoise,Emploi et inclusion sociale ; Transports
FEADER,2013,Transformation d'une ancienne voie ferrée en chemin de randonnées,,Picardie,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Transformation-d-une-ancienne-voie-ferree-en-chemin-de-randonnees/(offset)/5/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,499 230 €,1 248 075 €,Syndicat mixte de l'aménagement de l'ancienne voie ferrée,Attractivité du territoire ; Eco-tourisme
FEDER,2013,Le projet Fibrastral développe une alternative à la fibre de verre,4 ans,Lorraine,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Le-projet-Fibrastral-developpe-une-alternative-a-la-fibre-de-verre/(offset)/10/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,842 634 €,2 633 276 €,Université de Lorraine,Attractivité du territoire ; Recherche et Innovation
FEDER,2012,Station d'épuration du Grand Prado,,Réunion,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Station-d-epuration-du-Grand-Prado/(offset)/10/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,25 963 550 €,105 935 484 €,CINOR – Communauté Intercommunale du Nord de la Réunion,Aucun objet associé.
FEDER,2010,Haut/ Très haut debit - Ardèche Drôme Numérique,,Rhône-Alpes,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Haut-Tres-haut-debit-Ardeche-Drome-Numerique/(offset)/10/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,14 000 000 €,122 999 260 €,Syndicat mixte Ardèche-Drôme-Numérique,Les grands projets européens 2007-2013 ; TIC
FEDER,2009,Tramway de Valenciennes – Phase 2,,Nord-Pas de Calais,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Tramway-de-Valenciennes-Phase-2/(offset)/10/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,7 500 000 €,87 783 853 €,Syndicat Intercommunal pour les Transports Urbains de la région de Valenciennes,Attractivité du territoire ; Les grands projets européens 2007-2013 ; Services au public ; Transports ; Urbain
FEDER,2011,Alphaglass,,Nord-Pas de Calais,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Alphaglass/(offset)/10/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,2 800 000 €,50 000 000 €,Alphaglass SAS,Les grands projets européens 2007-2013 ; Recherche et Innovation
FEDER,2009,Num'Hér@ult,,Languedoc-Roussillon,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Num-Her-ult/(offset)/15/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,7 414 587 €,82 097 964 €,Département de l’Hérault,Les grands projets européens 2007-2013 ; Transports ; Urbain
FEDER,2010,Protection et aménagement durable du lido de Sète à Marseillan,,Languedoc-Roussillon,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Protection-et-amenagement-durable-du-lido-de-Sete-a-Marseillan/(offset)/15/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,8 098 841 €,55 110 566 €,Communauté d’agglomération du bassin de Thau,Développement durable ; Environnement ; Les grands projets européens 2007-2013
FEDER,2010,Tramway de l'agglomération havraise (Ligne A),,Haute-Normandie,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Tramway-de-l-agglomeration-havraise-Ligne-A/(offset)/15/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,10 000 000 €,249 450 000 €,CODAH – Communauté de l’agglomération havraise,Attractivité du territoire ; Emploi et inclusion sociale ; Les grands projets européens 2007-2013
FEDER,2010,Campus universitaire,,Guyane,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Campus-universitaire/(offset)/15/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,27 160 000 €,68 120 000 €,Rectorat de la Guyane,Développement urbain ; Les grands projets européens 2007-2013 ; Recherche et Innovation ; Urbain
FEDER,2011,Tramway de Brest,,Bretagne,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Tramway-de-Brest/(offset)/15/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,15 450 000 €,322 360 000 €,Brest Métropole Océane,Les grands projets européens 2007-2013 ; Transports ; Urbain
FEDER,2008,Amélioration des liaisons ferroviaires Rennes-Brest et Rennes-Quimper,,Bretagne,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Amelioration-des-liaisons-ferroviaires-Rennes-Brest-et-Rennes-Quimper/(offset)/20/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,98 892 079 €,258 879 789 €,Réseau Ferré de France,Attractivité du territoire ; Développement urbain ; Les grands projets européens 2007-2013
FEDER,2010,Tramway du grand Dijon,,Bourgogne,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Tramway-du-grand-Dijon/(offset)/20/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,5 555 704 €,398 900 000 €,Grand Dijon,Les grands projets européens 2007-2013 ; Transports ; Urbain
FEDER,2012,Cité des civilisations du vin,,Aquitaine,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Cite-des-civilisations-du-vin/(offset)/20/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,12 000 000 €,75 191 751 €,Ville de Bordeaux,Attractivité du territoire ; Culture et tourisme ; Développement local et cohésion territoriale ; Développement urbain ; Les grands projets européens 2007-2013
FEDER,2009,Aménagement du site du Puy de Dôme (phase 2),,Auvergne,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Amenagement-du-site-du-Puy-de-Dome-phase-2/(offset)/20/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,12 000 000 €,81 063 911 €,Conseil Général du Puy-de-Dôme,Développement durable et environnement ; Eco-tourisme ; Les grands projets européens 2007-2013
FEDER,2010,Le numérique au service des girondins,,Aquitaine,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Le-numerique-au-service-des-girondins/(offset)/20/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,12 400 000 €,154 983 860 €,Syndicat mixte Gironde numérique,Attractivité du territoire ; Les grands projets européens 2007-2013
FEDER,2012,Création d'une unité de méthanisation agricole collective et territorialisée,2 ans,Centre,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Creation-d-une-unite-de-methanisation-agricole-collective-et-territorialisee/(offset)/25/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,400 000 €,3 414 846 €,SAS GATINAIS BIOGAZ,Aucun objet associé.
FEDER,2008,Déterminer la progression de certaines cellules cancéreuses se situant dans l'environnement direct de la tumeur,1 an,Champagne-Ardenne,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Determiner-la-progression-de-certaines-cellules-cancereuses-se-situant-dans-l-environnement-direct-de-la-tumeur/(offset)/25/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,556 243 €,2 889 163 €,Université de Reims Champagne-Ardenne,Santé ; Services au public
FEDER,2011,Construction d’un centre d'hébergement d'urgences de nuit,,Corse,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Construction-d-un-centre-d-hebergement-d-urgences-de-nuit/(offset)/25/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,392 946 €,1 928 144 €,Erilia,Emploi et inclusion sociale
FEP,2009,Trouver des naissains résistants aux mortalités estivales d’huîtres creuses,,Pays de la Loire,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Trouver-des-naissains-resistants-aux-mortalites-estivales-d-huitres-creuses/(offset)/25/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,42 558 €,286 374 €,SAS Sélection française conchylicole (SFC),Agriculture et pêche
FEDER,2012,"Création d'un centre de recherche et de formation unique en France tourné vers l'optique, le laser et le numérique",,Aquitaine,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Creation-d-un-centre-de-recherche-et-de-formation-unique-en-France-tourne-vers-l-optique-le-laser-et-le-numerique/(offset)/25/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,7 500 000 €,46 600 000 €,Conseil régional d’Aquitaine,Emploi et inclusion sociale
FSE,2009,"Insertion de personnes en difficulté via une entreprise de collecte, recyclage et tri de déchets",,Limousin,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Insertion-de-personnes-en-difficulte-via-une-entreprise-de-collecte-recyclage-et-tri-de-dechets/(offset)/30/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,212 982 €,406 602 €,La Boîte à papiers,Emploi et inclusion sociale
FEDER,2013,« B² » : Construction d'un laboratoire de recherches biologiques et biomédicales à l'Université de Rouen,2 ans,Haute-Normandie,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/B2-Construction-d-un-laboratoire-de-recherches-biologiques-et-biomedicales-a-l-Universite-de-Rouen/(offset)/30/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,13 110 000 €,42 800 000 €,Université de Rouen,Recherche et Innovation
FSE,2013,Orientation des jeunes et Apprentissage,10 mois,Provence-Alpes-Côte d'Azur,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Orientation-des-jeunes-et-Apprentissage/(offset)/30/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,126 740 €,281 645 €,Chambre de Commerce et d’Industrie Nice Côte d’Azur,Emploi et inclusion sociale ; Formation
FEP,2013,Rénovation du ponton des pêcheurs,1 an,Provence-Alpes-Côte d'Azur,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Renovation-du-ponton-des-pecheurs/(offset)/30/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,9 100 €,450 000 €,Chambre de Commerce et d’Industrie Nice Côte d’Azur,Agriculture et pêche
FEDER,2010,Etude de faisabilité Campus Régional Apprentissage,4 ans,Provence-Alpes-Côte d'Azur,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Etude-de-faisabilite-Campus-Regional-Apprentissage/(offset)/30/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,424 128 €,848 256 €,Chambre de Commerce et d’Industrie Nice Côte d’Azur,Formation
FEADER,2009,Quand une distillerie écoresponsable devient un vecteur puissant de développement du territoire,,Rhône-Alpes,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Quand-une-distillerie-ecoresponsable-devient-un-vecteur-puissant-de-developpement-du-territoire/(offset)/35/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,43 932 €,609 817 €,Abiessence,Développement rural
FEDER,2009,Programme de sauvegarde du Milan royal dans le Massif Central,3 ans,Auvergne,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Programme-de-sauvegarde-du-Milan-royal-dans-le-Massif-Central/(offset)/35/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,,,Ligue de Protection des Oiseaux,"""L'Européen d'à côté"" ; Culture et tourisme ; Développement durable et environnement"
FEADER,2010,Une pomme de terre nouvelle génération en Limousin,1 an,Limousin,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Une-pomme-de-terre-nouvelle-generation-en-Limousin/(offset)/35/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,14 000 €,40 000 €,Grocep (GROupement du Centre des Producteurs de plants de Pomme de terre),"""L'Européen d'à côté"" ; Agriculture ; Recherche et Innovation"
FSE,2013,Des fleurs pour aider le retour à l'emploi,1 an,Pays de la Loire,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Des-fleurs-pour-aider-le-retour-a-l-emploi/(offset)/35/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,26 112 €,,"Soliaé, Chantier D'insertion Floral - Secteur Insertion de la Fédération des Maisons de Quartier de Saint-Nazaire","""L'Européen d'à côté"" ; Emploi et inclusion sociale ; Formation"
FEDER,2012,L'innovation technologique au service du patrimoine culturel : exposition itinérante de Lascaux 3,,Aquitaine,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/L-innovation-technologique-au-service-du-patrimoine-culturel-exposition-itinerante-de-Lascaux-3/(offset)/35/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,558 000 €,3 600 000 €,Conseil général de la Dordogne,Culture et tourisme ; Espaces naturels à enjeux
FEDER,2012,Implantation du Louvre à Lens,2012-2013,Nord-Pas de Calais,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Implantation-du-Louvre-a-Lens/(offset)/40/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,37 000 000 €,150 000 000 €,Conseil régional du Nord-Pas-de-Calais,Attractivité du territoire ; Culture et tourisme ; Développement local et cohésion territoriale ; Les grands projets européens 2007-2013
FEDER,2011,"Mobilo'Web, un dispositif de développement des usages du multimédia",,Rhône-Alpes,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Mobilo-Web-un-dispositif-de-developpement-des-usages-du-multimedia/(offset)/40/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,40 000 €,92 000 €,Grenoble Alpes Métropole,Développement local et cohésion territoriale ; Services au public ; TIC
FEDER,2009,Etablissement transfrontalier de formation et de recherche sanitaire et sociale,4 ans,CTE - Interreg - POCTEFA,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Etablissement-transfrontalier-de-formation-et-de-recherche-sanitaire-et-sociale/(offset)/40/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,2 266 111 €,,Université de Gérone,Recherche et Innovation ; Santé
FEADER,2009,Modernisation d'une exploitation familiale en Lorraine,,Lorraine,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Modernisation-d-une-exploitation-familiale-en-Lorraine/(offset)/40/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,20 000 €,90 000 €,EARL du petit Jeannot,"""L'Européen d'à côté"" ; Développement rural"
FSE,2011,Une voiture intelligente sans conducteur en Auvergne,3 ans,Auvergne,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Une-voiture-intelligente-sans-conducteur-en-Auvergne/(offset)/40/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,2 381 775 €,4 764 150 €,CNRS,"""L'Européen d'à côté"" ; Développement durable et environnement ; Energie ; Recherche et Innovation"
FEADER,2011,Le Louloubus : une halte-garderie et un relais Assistante Maternelles itinérants en Limousin,,Limousin,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Le-Louloubus-une-halte-garderie-et-un-relais-Assistante-Maternelles-itinerants-en-Limousin/(offset)/45/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,25 234 €,45 880 €,Communauté de Communes Portes de la Creuse,"""L'Européen d'à côté"" ; Développement rural ; Services au public"
FEADER,2012,Investissements dans de nouveaux matériels de production pour Festins de Bourgogne,,Bourgogne,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Investissements-dans-de-nouveaux-materiels-de-production-pour-Festins-de-Bourgogne/(offset)/45/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,170 000 €,3 241 008 €,Festins de Bourgogne,"""L'Européen d'à côté"" ; Développement local et cohésion territoriale"
FSE,2014,« L'ouvre-boîtes 44 » : aide à la création d'entreprises,7 ans,Pays de la Loire,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/L-ouvre-boites-44-aide-a-la-creation-d-entreprises/(offset)/45/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,673 000 €,1 740 000 €,"Coopérative ""l'ouvre-boites 44""","""L'Européen d'à côté"" ; Aides aux entreprises ; Emploi et inclusion sociale"
FSE,2012,"Mobil'éco, des transports solidaires pour faciliter l'accès à l'emploi en Bourgogne",,Bourgogne,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Mobil-eco-des-transports-solidaires-pour-faciliter-l-acces-a-l-emploi-en-Bourgogne/(offset)/45/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,56 830 €,161 744 €,Association d'initiatives Locales pour l'Emploi dans le Sénonais (AILES),"""L'Européen d'à côté"" ; Emploi et inclusion sociale ; Transports"
FEDER,2013,Prendre votre coeur en main : Une machine pour sauver des vies en Lorraine,,Lorraine,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Prendre-votre-coeur-en-main-Une-machine-pour-sauver-des-vies-en-Lorraine/(offset)/45/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,514 505 €,1 389 513 €,"Université de Lorraine, SD‐INNOVATION, SAS CardioRenal diagnostics","""L'Européen d'à côté"" ; Recherche et Innovation ; Santé"
FEDER,2013,Création d’un centre de données écologiques,,Auvergne,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Creation-d-un-centre-de-donnees-ecologiques/(offset)/50/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,49 360 €,150 950 €,,"""L'Européen d'à côté"" ; Energie"
FEP,2011,"Mise en place d'une installation de production, de stockage et de distribution automatisée de glace écaille en Bretagne",,Bretagne,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Mise-en-place-d-une-installation-de-production-de-stockage-et-de-distribution-automatisee-de-glace-ecaille-en-Bretagne/(offset)/50/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,336 052 €,1 680 258 €,CCI de Quimper,"""L'Européen d'à côté"" ; Agriculture et pêche"
FSE,2012,"Le panier de la mer 56 ""Du filetage de poisson à l’insertion professionnelle durable""",,Bretagne,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Le-panier-de-la-mer-56-Du-filetage-de-poisson-a-l-insertion-professionnelle-durable/(offset)/50/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,23 097 €,63 330 €,P.L.I.E. du Pays de Lorient - CAP Lorient Agglomération,"""L'Européen d'à côté"" ; Emploi et inclusion sociale"
FEADER,2011,Création d'un gîte de groupe au château de Charbogne,,Champagne-Ardenne,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Creation-d-un-gite-de-groupe-au-chateau-de-Charbogne/(offset)/50/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,90 000 €,602 098 €,Château de Charbogne,"""L'Européen d'à côté"" ; Culture ; Eco-tourisme ; Tourisme"
FEADER,2011,Construction d'une station de lavage agricole en Champagne-Ardenne,,Champagne-Ardenne,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Construction-d-une-station-de-lavage-agricole-en-Champagne-Ardenne/(offset)/50/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,39 872 €,398 718 €,GIE VITALAVAGE,"""L'Européen d'à côté"" ; Agriculture ; Développement durable"
FSE,2013,Domi’Kid : Service de garde d’enfants en Basse-Normandie,,Basse-Normandie,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Domi-Kid-Service-de-garde-d-enfants-en-Basse-Normandie/(offset)/55/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,25 996 €,65 962 €,Association Domi'Kid,"""L'Européen d'à côté"" ; Emploi et inclusion sociale ; Services au public"
FEADER,2009,Construction d'un abattoir ovin et porcin à la ferme en Basse-Normandie,,Basse-Normandie,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Construction-d-un-abattoir-ovin-et-porcin-a-la-ferme-en-Basse-Normandie/(offset)/55/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,112 030 €,746 870 €,SARL La Giletterie (Ferme des Champs Romet),"""L'Européen d'à côté"" ; Développement rural"
FSE,2009,"Création du restaurant d'insertion ""Aux Goûts d'Ici et d'Ailleurs"" en Basse-Normandie",,Basse-Normandie,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Creation-du-restaurant-d-insertion-Aux-Gouts-d-Ici-et-d-Ailleurs-en-Basse-Normandie/(offset)/55/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,18 379 €,27 124 €,Association Assise Orne,"""L'Européen d'à côté"" ; Emploi et inclusion sociale"
FEDER,2011,Création de table tactile interactive en Picardie,2 ans,Picardie,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Creation-de-table-tactile-interactive-en-Picardie/(offset)/55/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,39 690 €,79 380 €,Université de Technologie de Compiègne,"""L'Européen d'à côté"" ; Recherche et Innovation ; TIC"
FEDER,2009,Créer de l'énergie à partir de matière organique en Limousin,,Limousin,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Creer-de-l-energie-a-partir-de-matiere-organique-en-Limousin/(offset)/55/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,75 417 €,393 089 €,EARL de la SALLE,"""L'Européen d'à côté"" ; Agriculture ; Développement durable et environnement"
FEDER,2010,Fabrication d'emballages biodégradables en Midi-Pyrénées,4 ans,Midi-Pyrénées,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Fabrication-d-emballages-biodegradables-en-Midi-Pyrenees/(offset)/60/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,340 000 €,1 134 364 €,Entreprise VEGEPLAST,"""L'Européen d'à côté"" ; Développement durable et environnement"
FEADER,2013,Récolte artisanale de miel en Midi-Pyrénées,,Midi-Pyrénées,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Recolte-artisanale-de-miel-en-Midi-Pyrenees/(offset)/60/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,9 350 €,17 000 €,GAEC des Sept Molles,"""L'Européen d'à côté"" ; Agriculture ; Environnement"
FSE,2013,"""Ne jetez plus, donnez !"" : INSERVEST ou la remobilisation par le travail",,Midi-Pyrénées,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Ne-jetez-plus-donnez-!-INSERVEST-ou-la-remobilisation-par-le-travail/(offset)/60/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,42 012 €,,Association INSERVEST,"""L'Européen d'à côté"" ; Emploi et inclusion sociale"
FEDER,2011,Restauration d'un patrimoine classé en Corse,4 ans,CTE - Interreg - France Italie maritime,http://www.europe-en-france.gouv.fr/Rendez-vous-compte/Projets-exemplaires/Restauration-d-un-patrimoine-classe-en-Corse/(offset)/60/(viewtheme)/0/(viewregion)/0/(viewfonds)/0/(annee)/0,3 964 875 €,5 286 500 €,Collectivité territoriale de Corse,"""L'Européen d'à côté"" ; Culture ; Développement local et cohésion territoriale ; Tourisme"
