"Name des Begünstigten","Bezeichnung des Vorhabens","Zusammenfassung des Vorhabens","Datum des Beginns des Vorhabens","Datum des Endes des Vorhabens","Gesamtbeitrag der förderfähigen Ausgaben des Vorhabens","Postleitzahl des Vorhabens oder andere angemessene Standortindikatoren","Land","Bezeichnung der Interventionskategorie für das Vorhaben gemäß Artikel 96 Absatz 2 Unterabsatz 1 Buchstabe b Ziffer vi"
CRETIO Schuldnerhilfe e.V.      ,Arbeitsmarktbudget,Schuldnerhilfe (Beratung)  ,4/27/2015,4/27/2016,"57,000.00",Bad Hersfeld,Deutschland,109
CYMOS Inh. Christian Kokot    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,12/16/2015,8/18/2017,"4,156.00",Karben,Deutschland,118
CYMOS Inh. Christian Kokot    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,12/16/2015,6/15/2017,"4,156.00",Karben,Deutschland,118
Darmstädter Kreis für Berufliche Bildung DKBB - Förderverein der Heinrich- Emanuel-Merck-Schule e.V.  ,Praxis und Schule (PuSch),PuSch B: Friedrich-List-Schule  ,8/1/2015,7/31/2016,"15,000.00",Darmstadt,Deutschland,115
Darmstädter Kreis für Berufliche Bildung DKBB - Förderverein der Heinrich- Emanuel-Merck-Schule e.V.  ,Praxis und Schule (PuSch),PuSch B: Martin-Behaim-Schule  ,8/1/2015,7/31/2016,"15,000.00",Darmstadt,Deutschland,115
Deist Elektrotechnik      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,11/23/2015,7/31/2016,"4,156.00",Rotenburg,Deutschland,118
Delta Waldeck-Frankenberg GmbH      ,Praxis und Schule (PuSch),PuSch A1: Ortenbergschule  ,8/1/2015,7/31/2016,"14,800.00",Korbach,Deutschland,115
Delta Waldeck-Frankenberg GmbH      ,Praxis und Schule (PuSch),PuSch A2: Ortenbergschule  ,8/1/2015,7/31/2017,"29,800.00",Korbach,Deutschland,115
Deutsche Blindenstudienanstalt e.V. - Bildungs- und Hilfsmittelzentrum für Blinde und Sehbehinderte  ,Impulse der Arbeitsmarktpolitik (IdeA),Inklusion & Innovation II Arbeitsmarktintegration auf Augenhöhe - Projektsäule blista,1/1/2015,12/31/2016,"259,300.00",Marburg,Deutschland,109
DGB Bildungswerk Hessen e.V.      ,Impulse der Arbeitsmarktpolitik (IdeA),Beschäftigungspotenziale entwickeln und stärken - Integration 4.0,1/1/2016,12/31/2017,"600,000.00",Frankfurt am Main,Deutschland,109
Diakonie Hessen - Diakonisches Werk Hessen Nassau und Kurhessen Waldeck e.V Diakonisches Werk Main-Taunus,QuABB,Qualifizierte Ausbildungsbegleitung in Betrieb und Berufsschule im Main-Taunus-Kreis,1/1/2016,12/31/2017,"166,400.00",Schwalbach,Deutschland,117
Diakonisches Werk Darmstadt-Dieburg      ,Übergangsmanagement von Strafgefangenen,Übergangsmanagement an der JVA Darmstadt  ,1/1/2015,12/31/2015,"52,900.00",Darmstadt,Deutschland,109
Diakonisches Werk Darmstadt-Dieburg      ,Übergangsmanagement von Strafgefangenen,Übergangsmanagement an der JVA Darmstadt  ,1/1/2016,12/31/2016,"51,300.00",Darmstadt,Deutschland,109
Diakonisches Werk Gießen      ,Arbeitsmarktbudget,Sozialintegrative Hilfen in der Schuldnerberatung - Kompetenzen fördern und Hemmschwellen abbauen,3/16/2015,12/31/2017,"677,200.00",Gießen,Deutschland,109
Diakonisches Werk Gießen      ,Übergangsmanagement von Strafgefangenen,Übergangsmanagement an der JVA Gießen  ,1/1/2015,12/31/2015,"49,000.00",Gießen,Deutschland,109
Diakonisches Werk Gießen      ,Übergangsmanagement von Strafgefangenen,Übergangsmanagement an der JVA Gießen  ,1/1/2016,12/31/2016,"50,400.00",Gießen,Deutschland,109
Diakonisches Werk Groß-Gerau/Rüsselsheim    ,Arbeitsmarktbudget,MIA - Migranten in Arbeitserprobung  ,9/1/2015,12/31/2016,"292,500.00",Rüsselsheim,Deutschland,109
Diakonisches Werk Hofgeismar-Wolfhagen    ,Arbeitsmarktbudget,Schuldnerberatung  ,4/15/2015,4/14/2016,"122,800.00",Hofgeismar,Deutschland,109
Diakonisches Werk Kassel      ,Qualifizierung und Beschäftigung junger Menschen,vabia - Integration junger Menschen  ,1/1/2016,12/31/2016,"422,000.00",Kassel,Deutschland,109
Diakonisches Werk Kassel      ,Qualifizierung und Beschäftigung junger Menschen,vabia - Integration junger Menschen  ,1/1/2015,12/31/2015,"378,300.00",Kassel,Deutschland,109
"Diakonisches Werk Offenbach, Dreieich, Rodgau    ",Arbeitsmarktbudget,Schuldner- und Insolvenzberatung  ,4/8/2015,12/31/2017,"420,000.00",Dreieich,Deutschland,109
"Diakonisches Werk Offenbach, Dreieich, Rodgau    ",Übergangsmanagement von Strafgefangenen,Übergangsmanagement an der JVA Frankfurt IV  ,1/1/2016,12/31/2016,"91,400.00",Dreieich,Deutschland,109
"Diakonisches Werk Offenbach, Dreieich, Rodgau    ",Übergangsmanagement von Strafgefangenen,Übergangsmanagement an der JVA Frankfurt IV  ,1/1/2015,12/31/2015,"91,100.00",Dreieich,Deutschland,109
Diakonisches Werk Wetterau      ,Übergangsmanagement von Strafgefangenen,Übergangsmanagement an der JVA Butzbach  ,1/1/2016,12/31/2016,"52,200.00",Friedberg,Deutschland,109
Diakonisches Werk Wetterau      ,Übergangsmanagement von Strafgefangenen,Übergangsmanagement an der JVA Butzbach  ,1/1/2015,12/31/2015,"50,000.00",Friedberg,Deutschland,109
Diakonisches Werk Wiesbaden      ,Arbeitsmarktbudget,Projektname: Schuldnerberatung  ,4/1/2015,3/31/2018,"407,100.00",Wiesbaden,Deutschland,109
Direktwerbung Roller GmbH      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,11/25/2015,7/31/2016,"4,156.00",Selters,Deutschland,118
Direktwerbung Roller GmbH      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,11/18/2015,7/31/2016,"4,156.00",Selters,Deutschland,118
Doggenzucht und Tierhotel Rhein-Main      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,11/27/2015,7/31/2016,"4,156.00",Langen,Deutschland,118
"DVPT- Deutscher Verband für Post, Informationstechnologie & Telekommunikation e.V.  ",gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,3/15/2016,7/31/2017,"4,156.00",Offenbach,Deutschland,118
Eichhof-Stiftung Lauterbach Krankenhaus Eichhof    ,Arbeitsmarktbudget,Social Coach  ,5/1/2015,4/30/2016,"34,900.00",Lauterbach,Deutschland,109
Ein Heim für Tiere e.V. Tierheim Beuern    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von  Kleinstunternehmen,12/8/2015,7/31/2016,"4,156.00",Felsberg,Deutschland,118
Elektro Henne GmbH & Co. KG      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von  Kleinstunternehmen,12/17/2015,7/31/2016,"4,156.00",Offenbach,Deutschland,118
Elektro Henne GmbH & Co. KG      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,12/14/2015,2/28/2018,"4,156.00",Offenbach,Deutschland,118
Elektro Henne GmbH & Co. KG      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,12/14/2015,1/31/2017,"4,156.00",Offenbach,Deutschland,118
Elektro Stefan Gläser      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,11/23/2015,7/31/2016,"4,156.00",Cölbe,Deutschland,118
EP Mann Inh. Herbert Mann    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,4/4/2016,7/31/2016,"4,156.00",Schlitz,Deutschland,118
Ergo Versicherungsbüro Inh. Mirco Kümmel    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,3/17/2016,8/16/2017,"4,156.00",Philippsthal,Deutschland,118
Erich Fritzsch KG   - Geschäftsführung -  ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,3/14/2016,7/31/2016,"4,156.00",Bebra,Deutschland,118
Erkan Coskun Maintalgarage    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,9/11/2015,8/31/2016,"4,156.00",Maintal,Deutschland,118
Erkan Coskun Maintalgarage    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,9/11/2015,8/31/2016,"4,156.00",Maintal,Deutschland,118
Erster Offenbacher Schwimm-Club von 1896 e.V.    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,12/16/2015,8/31/2016,"4,156.00",Offenbach,Deutschland,118
Ev. Kirche Kurhessen-Waldeck Kirchenkreisamt Hanau    ,QuABB,Qualifizierte Ausbildungsbegleitung in Betrieb und Berufsschule in der Stadt Hanau,7/1/2015,6/30/2017,"196,000.00",Hanau,Deutschland,117
Ev. Kirchenkreis Hanau c/o Pilot - Evangelische Fachstelle Jugendberufshilfe Hanau  ,Praxis und Schule (PuSch),PuSch A: Otto-Hahn-Schule  ,8/1/2015,7/31/2017,"36,200.00",Hanau,Deutschland,115
Evangelischer Verein für Jugendsozialarbeit in Frankfurt e.V.    ,Praxis und Schule (PuSch),Pusch A: Ludwig-Börne-Schule  ,8/1/2015,7/31/2016,"60,000.00",Frankfurt am Main,Deutschland,115
Evangelischer Verein für Jugendsozialarbeit in Frankfurt e.V.    ,Praxis und Schule (PuSch),"PuSch B: Berta-Jourdan-Schule, Frankfurt  ",8/1/2015,7/31/2016,"30,600.00",Frankfurt am Main,Deutschland,115
Evangelischer Verein für Jugendsozialarbeit in Frankfurt e.V.    ,Praxis und Schule (PuSch),"PuSch B: Franz-Böhm-Schule, Frankfurt  ",8/1/2015,7/31/2016,"15,000.00",Frankfurt am Main,Deutschland,115
Evangelischer Verein für Jugendsozialarbeit in Frankfurt e.V.    ,Praxis und Schule (PuSch),"PuSch B: Hans-Böckler-Schule, Frankfurt  ",8/1/2015,7/31/2016,"18,200.00",Frankfurt am Main,Deutschland,115
Evangelischer Verein für Jugendsozialarbeit in Frankfurt e.V.    ,Praxis und Schule (PuSch),"PuSch B: Philipp-Holzmann-Schule, Frankfurt  ",8/1/2015,7/31/2016,"30,000.00",Frankfurt am Main,Deutschland,115
Evangelischer Verein für Jugendsozialarbeit in Frankfurt e.V.    ,Praxis und Schule (PuSch),"PuSch B: Wilhelm-Merton-Schule, Frankfurt  ",8/1/2015,7/31/2016,"45,000.00",Frankfurt am Main,Deutschland,115
Evangelischer Verein für Jugendsozialarbeit in Frankfurt e.V.    ,Qualifizierung und Beschäftigung junger Menschen,"  Qualifizierungs- und Ausbildungsprojekt ""Rothschild""",1/1/2016,12/31/2016,"353,400.00",Frankfurt am Main,Deutschland,109
Evangelischer Verein für Jugendsozialarbeit in Frankfurt e.V.    ,Qualifizierung und Beschäftigung junger Menschen,"Produktionsschule Frankfurt am Main ""Lernbetrieb""  ",1/1/2015,12/31/2015,"345,700.00",Frankfurt am Main,Deutschland,109
Evangelischer Verein für Jugendsozialarbeit in Frankfurt e.V.    ,Qualifizierung und Beschäftigung junger Menschen,"Produktionsschule Frankfurt am Main ""Lernbetrieb"" Inklusives Qu alifizierungs- und Ausbildungsprojekt ""Rothschild""",1/1/2015,12/31/2015,"300,600.00",Frankfurt am Main,Deutschland,109
Evangelischer Verein für Jugendsozialarbeit in Frankfurt e.V.    ,Qualifizierung und Beschäftigung junger Menschen,Produktionsschule Frankfurt am Main/Lernbetrieb  ,1/1/2016,12/31/2016,"348,700.00",Frankfurt am Main,Deutschland,109
eve & com GmbH & Co. KG      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,11/23/2015,8/31/2016,"4,156.00",Kassel,Deutschland,118
Eventpanther UG (haftungsbeschränkt)      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,12/16/2015,6/15/2017,"4,156.00",Wehrheim,Deutschland,118
EXPO DISPLAY SERVICE GmbH      ,Projekte der beruflichen Bildung,Gestaltung und Lieferung von 5 Messeständen für die Mobilitätsberatungsstellen,11/24/2015,12/11/2015,"21,839.35",Schwalbach,Deutschland,118
FAB gGmbH für Frauen Arbeit Bildung    ,Arbeitsmarktbudget,Sozialpädagogische Begleitung von Teilnehmer/innen in Arbeitsprojekten,4/1/2015,3/31/2017,"117,200.00",Friedberg,Deutschland,109
FAPRIK gGmbH      ,Praxis und Schule (PuSch),PuSch B: Gewerblich-technische Schule Offenbach  ,8/1/2015,7/31/2016,"30,000.00",Frankfurt am Main,Deutschland,115
FAPRIK gGmbH      ,Praxis und Schule (PuSch),PuSch B: Max-Eyth-Schule  ,8/1/2015,7/31/2016,"15,000.00",Frankfurt am Main,Deutschland,115
FAPRIK gGmbH      ,Qualifizierung und Beschäftigung junger Menschen,Startbetrieb 1  ,1/1/2016,12/31/2016,"159,900.00",Frankfurt am Main,Deutschland,109
FAPRIK gGmbH      ,Qualifizierung und Beschäftigung junger Menschen,Startbetrieb 1  ,1/1/2015,12/31/2015,"153,900.00",Frankfurt am Main,Deutschland,109
Finanzdienst v.f.i. Consult Inh. Kai Manfred Bauer    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,3/30/2016,7/31/2016,"4,156.00",Wiesbaden,Deutschland,118
FitMitReha GmbH Liane Rasner-Peters und Stephan Lenz    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,4/11/2016,10/10/2017,"4,156.00",Willingshausen,Deutschland,118
fit4you Sabrina Kusenberger GmbH i.G.      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,3/17/2016,8/16/2017,"4,156.00",Haiger,Deutschland,118
Fliesenfachgeschäft W. Peukert Inh. Rochus Foßhag    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,12/15/2015,8/31/2016,"4,156.00",Hirschborn,Deutschland,118
Förderkreis der Kinzig-Schule e.V. Berufliches Schulzentrum Schlüchtern    ,Praxis und Schule (PuSch),PuSch B: Kinzig-Schule Schlüchtern  ,8/5/2015,7/31/2016,"30,000.00",Schlüchtern,Deutschland,115
Förderverein der beruflichen Schulen des Werra-Meißner-Kreises in Witzenhausen    ,Praxis und Schule (PuSch),PuSch B: Berufliche Schulen in Witzenhausen  ,8/18/2015,7/31/2016,"17,400.00",Witzenhausen,Deutschland,115
Förderverein der beruflichen Schulen des Wetteraukreises in Butzbach e.V.    ,Praxis und Schule (PuSch),PuSch B: Berufliche Schulen des Wetteraukreises in Butzbach  ,8/1/2015,7/31/2016,"15,000.00",Butzbach,Deutschland,115
Förderverein der Eduard-Stieler-Schule e.V.    ,Praxis und Schule (PuSch),PuSch B: Eduard-Stieler-Schule  ,8/1/2015,7/31/2016,"30,000.00",Fulda,Deutschland,115
Förderverein der Heinrich Metzendorf Schule Bensheim e.V.    ,QuABB,Qualifizierte Ausbildungsbegleitung in Betrieb und Berufsschule in der Region Bergstraße,7/1/2015,6/30/2017,"140,100.00",Bensheim,Deutschland,117
Förderverein der Johann-Heinrich-Alsted-Schule e.V.    ,Praxis und Schule (PuSch),PuSch A: Johann-Heinrich-Alsted-Schule  ,8/1/2015,7/31/2017,"44,800.00",Mittenaar,Deutschland,115
Förderverein der Willy-Brandt-Schule e.V.    ,Praxis und Schule (PuSch),"Durchführungsort: Willy-Brandt-Schule, Gießen  ",8/1/2015,7/31/2016,"30,000.00",Gießen,Deutschland,115
Förderverein der Willy-Brandt-Schule e.V.    ,Praxis und Schule (PuSch),PuSch A: Gesamtschule Hungen  ,8/1/2015,7/31/2016,"30,000.00",Gießen,Deutschland,115
Förderverein für gewerblich-technische Aus- und Weiterbildung e.V. Gießen    ,Praxis und Schule (PuSch),PuSch B: Theodor-Litt-Schule  ,8/1/2015,7/31/2016,"35,700.00",Gießen,Deutschland,115
Förderverein Roma e. V.      ,Impulse der Arbeitsmarktpolitik (IdeA),Erwachsenenbildung für Roma  ,1/1/2015,12/31/2015,"161,400.00",Frankfurt am Main,Deutschland,109
Förderverein Roma e. V.      ,Impulse der Arbeitsmarktpolitik (IdeA),Erwachsenenbildung für Roma und Sinti  ,1/1/2016,12/31/2017,"347,800.00",Frankfurt am Main,Deutschland,109
Förderverein Roma e. V.      ,Qualifizierung und Beschäftigung junger Menschen,Berufsbildungsprojekt für Roma-Jugendliche und junge Erwachsene  ,1/1/2015,12/31/2015,"304,700.00",Frankfurt am Main,Deutschland,109
Förderverein Roma e. V.      ,Qualifizierung und Beschäftigung junger Menschen,Berufsbildungsprojekt für Roma-Jugendliche und junge Erwachsene  ,1/1/2016,12/31/2016,"305,700.00",Frankfurt am Main,Deutschland,109
Forsans Business Services e.K. Mail Boxes Etc. 194    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,3/18/2016,9/17/2017,"4,156.00",Rüsselsheim,Deutschland,118
Frankfurt University of Applied Sciences Der Präsident  ,"Offene Hochschulen: Potentiale nutzen, Übergänge vorbereiten",FRA-CompasS  ,7/1/2015,6/30/2018,"535,700.00",Frankfurt am Main,Deutschland,116
Frankfurter Verein für soziale Heimstätten e. V.    ,Arbeitsmarktbudget,Arbeitsmarktbudget - Main-Taunus-Kreis  ,5/1/2016,4/30/2017,"140,000.00",Frankfurt,Deutschland,109
Frankfurter Verein für soziale Heimstätten e. V.    ,Arbeitsmarktbudget,Transferwerkstatt mit Sucht- und Schuldnerberatung Problemlagen beseitigen / Lebenskompetenzen erwerben,4/1/2015,12/31/2016,"620,600.00",Frankfurt,Deutschland,109
FRAP Agentur gGmbH      ,Arbeitsmarktbudget,Beratungszentrum zur beruflichen Weiterbildung für gering qualifizierte Erwerbslose und prekär Beschäftigte,4/1/2015,12/31/2016,"1,277,300.00",Frankfurt,Deutschland,109
FRAP Agentur gGmbH      ,Impulse der Arbeitsmarktpolitik (IdeA),Arbeitsintegrierte Kompetenzerfassung und Teilqualifizierung für gering qualifizierte Migrantinnen,3/1/2016,4/30/2017,"439,200.00",Frankfurt,Deutschland,109
Frauen für Frauen e.V.      ,Arbeitsmarktbudget,Gemeinsam leben und arbeiten (Gela) im Landkreis Darmstadt-Dieburg -Rechtskreisübergreifendes Modellprojekt-,5/1/2016,4/30/2017,"85,900.00",Groß-Umstadt,Deutschland,109
Frauen-Softwarehaus e.V.      ,Impulse der Arbeitsmarktpolitik (IdeA),NeW - Integriertes Qualifizierungsprogramm  ,1/1/2015,12/31/2016,"221,600.00",Frankfurt am Main,Deutschland,109
Frauenzentrum e.V.      ,Impulse der Arbeitsmarktpolitik (IdeA),Perspektive Berufstätigkeit - Frauen stärken  ,1/1/2015,12/31/2016,"167,400.00",Rüsselsheim,Deutschland,109
FRESKO e.V.      ,Bildungsberatung und -coaching,Bildungscoaches Wiesbaden  ,1/1/2015,12/31/2016,"206,000.00",Wiesbaden,Deutschland,117
FRESKO e.V.      ,Praxis und Schule (PuSch),PuSch B: Kerschensteinerschule  ,8/1/2015,7/31/2016,"48,400.00",Wiesbaden,Deutschland,115
FRESKO e.V.      ,QuABB,Qualifizierte Ausbildungsbegleitung in Betrieb und Berufsschule in Wiesbaden,1/1/2016,12/31/2017,"276,400.00",Wiesbaden,Deutschland,117
Freunde und Förderer der Adolf-Reichwein-Schule Limburg e.V.    ,Praxis und Schule (PuSch),PuSch B: Adolf-Reichwein-Schule  ,8/1/2015,7/31/2016,"15,000.00",Limburg a.d. Lahn,Deutschland,115
Freunde und Förderer der Friedrich-Stoltze-Schule e.V.    ,Praxis und Schule (PuSch),PuSch A: Friedrich-Stoltze-Schule  ,8/1/2015,7/31/2017,"30,000.00",Königstein im Taunus,Deutschland,115
Frick Gerätebau GmbH      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,3/11/2016,7/31/2016,"4,156.00",Seligenstadt,Deutschland,118
Friedel Müller Fenster und Metallbau    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,10/7/2015,8/31/2016,"4,156.00",Hünfelden,Deutschland,118
Gassner Fertigungssysteme GmbH      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,11/16/2015,9/14/2016,"4,156.00",Gelnhausen,Deutschland,118
GbQ Gesellschaft für berufliche Weiterqualifizierung e.V.    ,Impulse der Arbeitsmarktpolitik (IdeA),Netzwerk Verbund Wiedereinstieg Rhein-Main Kompetenz-Lounge Wiedereinstieg,1/1/2015,12/31/2016,"612,500.00",Wiesbaden,Deutschland,109
Gemeinnützige Arbeitsfördergesellschaft im Landkreis Kassel mbH    ,Praxis und Schule (PuSch),PuSch A: Theodor-Heuss-Schule  ,8/1/2015,7/31/2017,"45,000.00",Wolfhagen,Deutschland,115
Gemeinnützige Arbeitsfördergesellschaft im Landkreis Kassel mbH    ,Praxis und Schule (PuSch),PuSch B: Herwig-Blankertz-Schule  ,8/1/2015,7/31/2016,"15,000.00",Wolfhagen,Deutschland,115
Gemeinnützige Arbeitsfördergesellschaft im Landkreis Kassel mbH    ,Praxis und Schule (PuSch),PuSch B: Max-Eyth-Schule  ,8/1/2015,7/31/2016,"15,000.00",Wolfhagen,Deutschland,115
Gemeinnützige Arbeitsfördergesellschaft im Landkreis Kassel mbH    ,Praxis und Schule (PuSch),PuSch B: Willy-Brandt-Schule  ,8/1/2015,7/31/2016,"45,000.00",Wolfhagen,Deutschland,115
Gemeinnützige Arbeitsfördergesellschaft im Landkreis Kassel mbH    ,Qualifizierung und Beschäftigung junger Menschen,Qualifizierung u. Beschäftigung junger Menschen im Wasserschloss  Wülmersen,1/1/2016,12/31/2016,"209,500.00",Wolfhagen,Deutschland,109
Gemeinnützige Arbeitsfördergesellschaft im Landkreis Kassel mbH    ,Qualifizierung und Beschäftigung junger Menschen,Qualifizierung und Beschäftigung junger Menschen im Wasserschlos s Wülmersen,1/1/2015,12/31/2015,"200,000.00",Wolfhagen,Deutschland,109
Gemeinnützige Frankfurter Frauen- Beschäftigungsgesellschaft GFFB  ,Arbeitsmarktbudget,Teilhabe als Chance  ,4/1/2015,12/31/2016,"226,000.00",Frankfurt am Main,Deutschland,109
Gemeinnützige Frankfurter Frauen- Beschäftigungsgesellschaft GFFB  ,Impulse der Arbeitsmarktpolitik (IdeA),Kulturwandel im Dualen Bildungssystem  ,10/1/2015,9/30/2017,"639,600.00",Frankfurt am Main,Deutschland,109
Gemeinschaftspraxis Dr. Winckler / Dr. Ohm    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von  Kleinstunternehmen,3/15/2016,7/31/2017,"4,156.00",Frankfurt am Main,Deutschland,118
Gesellschaft für Ausbildung und Beschäftigung mbH (GAB)    ,Arbeitsmarktbudget,Chance Arbeitsmarkt : Ein Projekt des Landkreises Limburg- Weilburg mit Flüchtlingen im Verbund mit dem Lahn-Dill-Kreis,10/1/2015,9/30/2018,"899,900.00",Limburg,Deutschland,109
Gesellschaft für Ausbildung und Beschäftigung mbH (GAB)    ,Arbeitsmarktbudget,Insolvenz- und Schuldnerberatung  ,4/15/2015,4/14/2017,"630,600.00",Limburg,Deutschland,109
Gesellschaft für Ausbildung und Beschäftigung mbH (GAB)    ,Bildungsberatung und -coaching,Bildungscoach Landkreis Limburg-Weilburg  ,1/1/2015,12/31/2016,"151,700.00",Limburg,Deutschland,117
Gesellschaft für Ausbildung und Beschäftigung mbH (GAB)    ,Praxis und Schule (PuSch),PuSch A: Schule im Emsbachtal  ,8/1/2015,7/31/2017,"45,000.00",Limburg,Deutschland,115
Gesellschaft für Ausbildung und Beschäftigung mbH (GAB)    ,Qualifizierung und Beschäftigung junger Menschen,BerufsanfaengerInnen 2015  ,1/1/2015,12/31/2015,"229,700.00",Limburg,Deutschland,109
Gesellschaft für Ausbildung und Beschäftigung mbH (GAB)    ,Qualifizierung und Beschäftigung junger Menschen,BerufsanfaengerInnen 2016  ,1/1/2016,12/31/2016,"233,000.00",Limburg,Deutschland,109
Gesellschaft für Jugendbeschäftigung e.V.    ,Arbeitsmarktbudget,Jugendberufshilfe im Jugendjobcenter  ,4/1/2015,12/31/2016,"239,400.00",Frankfurt am Main,Deutschland,109
Gesellschaft für Jugendbeschäftigung e.V.    ,Praxis und Schule (PuSch),PuSch A: Heinrich-Kraft-Schule  ,8/1/2015,7/31/2016,"30,000.00",Frankfurt am Main,Deutschland,115
Gesellschaft für Nachhaltige Entwicklung mbH -GNE-    ,Qualifizierung und Beschäftigung junger Menschen,Qualifizierung und Beschäftigung junger Menschen -Q+B-  ,1/1/2015,12/31/2015,"143,200.00",Witzenhausen,Deutschland,109
Gesellschaft für Nachhaltige Entwicklung mbH -GNE-    ,Qualifizierung und Beschäftigung junger Menschen,Qualifizierung und Beschäftigung junger Menschen -Q+B-  ,1/1/2016,12/31/2016,"124,100.00",Witzenhausen,Deutschland,109
Gesellschaft für Wirtschaftskunde e.V.      ,Bildungsberatung und -coaching,Bildungscoaches Main-Kinzig-Kreis  ,1/1/2015,12/31/2016,"135,200.00",Hanau,Deutschland,117
Gesellschaft für Wirtschaftskunde e.V.      ,Praxis und Schule (PuSch),PuSch A: Bachschule  ,8/1/2015,7/31/2017,"45,000.00",Hanau,Deutschland,115
Gesellschaft für Wirtschaftskunde e.V.      ,Praxis und Schule (PuSch),PuSch A: Ernst-Reuter-Schule  ,8/1/2015,7/31/2016,"30,000.00",Hanau,Deutschland,115
Gesellschaft für Wirtschaftskunde e.V.      ,Praxis und Schule (PuSch),PuSch A: Philipp-Reis-Schule  ,8/1/2015,7/31/2017,"30,000.00",Hanau,Deutschland,115
Gesellschaft für Wirtschaftskunde e.V.      ,Praxis und Schule (PuSch),PuSch A: Tümpelgartenschule  ,8/1/2015,7/31/2017,"45,000.00",Hanau,Deutschland,115
gif Gesellschaft für Immobilien- wirtschaftliche Forschung e.V.    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,4/4/2016,10/3/2017,"4,156.00",Wiesbaden,Deutschland,118
Goldschmiede Inh. Berthold Vogelsang    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,3/30/2016,8/31/2016,"4,156.00",Darmstadt,Deutschland,118
GPE GmbH i. Gründung Ges. für päd. Betreuung bei Eßstörungen    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von  Kleinstunternehmen,11/13/2015,8/31/2017,"4,156.00",Kassel,Deutschland,118
Gräf-EDV      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von  Kleinstunternehmen,12/8/2015,7/31/2016,"4,156.00",Vellmar,Deutschland,118
Gräf-EDV      ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von Kleinstunternehmen,12/10/2015,7/31/2016,"4,156.00",Vellmar,Deutschland,118
Greenlox Inh. Christian Waßmann    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von  Kleinstunternehmen,4/29/2016,7/31/2017,"4,156.00",Rosbach,Deutschland,118
Greenlox Inh. Christian Waßmann    ,gut ausbilden,Stärkung der Ausbildungsfähigkeit und -qualität von  Kleinstunternehmen,4/29/2016,7/31/2017,"4,156.00",Rosbach,Deutschland,118
Grone Bildungszentren Hessen gGmbH      ,Impulse der Arbeitsmarktpolitik (IdeA),Netzwerk Wiedereinstieg Region Kassel  ,4/1/2015,12/31/2016,"207,500.00",Kassel,Deutschland,109
