Tytu³ projektu;Nazwa beneficjenta;Wartoœæ projektu;Dofinansowanie z EU;Multimedia;Dziedzina;Czy projekt jest realizowany na obszarze wiêkszym ni¿ jedna jednostka administracyjna?
Modernizacja linii kolejowej Warszawa – £ódŸ, etap II, Lot A - odcinek Warszawa Zachodnia - Miedniewice (Skierniewice), faza II;PKP POLSKIE LINIE KOLEJOWE S.A.;121957047.94;76581948.81;Nie;transport;Tak
Punkty Informacyjne Funduszy Europejskich;MINISTERSTWO INFRASTRUKTURY I ROZWOJU;87975491.00;74779167.35;Nie;brak;Nie
Realizacja projektów pilota¿owych w zakresie rewitalizacji.;MINISTERSTWO INFRASTRUKTURY I ROZWOJU;74000000.00;62900000.00;Nie;brak;Nie
Wzmocnienie monitoringu wód w zakresie procedur zapewnienia i kontroli jakoœci pomiarów i ocen stanu wód powierzchniowych oraz infrastruktury badawczej, pomiarowej i informatycznej;G£ÓWNY INSPEKTORAT OCHRONY ŒRODOWISKA;59000000.00;50150000.00;Nie;brak;Nie
Dzia³ania informacyjno-promocyjne Funduszy Europejskich w Polsce;MINISTERSTWO INFRASTRUKTURY I ROZWOJU;53551053.00;45518395.05;Nie;brak;Nie
„Modernizacja œluz odrzañskich na odcinku bêd¹cym w zarz¹dzie RZGW Gliwice – przystosowanie do III klasy drogi wodnej” Faza II;REGIONALNY ZARZ¥D GOSPODARKI WODNEJ W GLIWICACH;50528662.99;40768386.79;Nie;brak;Tak
Finansowanie kosztów zatrudnienia pracowników Ministerstwa Infrastruktury i Rozwoju wykonuj¹cych zadania z zakresu realizacji polityki spójnoœci w perspektywie finansowej 2014-2020 w 2015 roku;MINISTERSTWO INFRASTRUKTURY I ROZWOJU;45252103.00;38464287.55;Nie;administracja;Nie
"Pomorska Kolej Metropolitalna Etap I - rewitalizacja ""Kolei Kokoszkowskiej"" Faza II - realizacja przedsiêwziêcia - FAZA II";POMORSKA KOLEJ METROPOLITALNA S.A.;48893723.36;32228855.00;Nie;transport;Tak
"""Finansowanie kosztów zatrudnienia pracowników Urzêdów Kontroli Skarbowej zajmuj¹cych siê audytem w ramach polityki spójnoœci w latach 2014-2020 w 2016 roku""";MINISTERSTWO FINANSÓW;24687000.00;20983950.00;Nie;administracja;Nie
Uporz¹dkowanie gospodarki wodno-œciekowej w Gminie Raszyn - faza V;GMINA RASZYN;36162908.06;18860556.73;Nie;brak;Nie
Finansowanie wynagrodzeñ pracowników PARP w 2015 roku;POLSKA AGENCJA ROZWOJU PRZEDSIÊBIORCZOŒCI;19427326.05;15856077.16;Nie;administracja;Nie
Finansowanie kosztów zatrudnienia pracowników Urzêdów Kontroli Skarbowej zajmuj¹cych siê audytem funduszy strukturalnych 2014-2020 w 2015 roku;MINISTERSTWO FINANSÓW;16676431.00;14174966.35;Nie;administracja;Nie
Wsparcie Krajowej Jednostki Ewaluacji w zakresie realizacji procesu ewaluacji polityki spójnoœci 2014-2020 oraz 2007-2013.;MINISTERSTWO ROZWOJU, DEPARTAMENT KOORDYNACJI STRATEGII I POLITYK ROZWOJU;13650000.00;11602500.00;Nie;brak;Nie
Uporz¹dkowanie gospodarki œciekowej w Aglomeracji Pleszew;PRZEDSIÊBIORSTWO KOMUNALNE SPÓ£KA Z OGRANICZON¥ ODPOWIEDZIALNOŒCI¥;19940824.59;10155987.62;Nie;brak;Nie
Wsparcie technologi¹ IT procesów biznesowych realizowanych w obszarze polityki spójnoœci;MINISTERSTWO INFRASTRUKTURY I ROZWOJU;11800000.00;10030000.00;Nie;brak;Nie
Wsparcie technologi¹ IT procesów biznesowych realizowanych w obszarze polityki spójnoœci;MINISTERSTWO ROZWOJU, DEPARTAMENT INFORMATYKI;11800000.00;10030000.00;Nie;brak;Nie
Budowa, rozwój i utrzymanie systemów informatycznych wspomagaj¹cych zarz¹dzanie funduszami UE.;MINISTERSTWO INFRASTRUKTURY I ROZWOJU;10963000.00;9318550.00;Nie;brak;Nie
Modernizacja i rozbudowa systemu kanalizacyjnego miasta Jaworzna – faza V;MIEJSKIE PRZEDSIÊBIORSTWO WODOCI¥GÓW I KANALIZACJI SP. Z O.O.;16835052.35;8700935.77;Nie;brak;Nie
Wsparcie instytucji ds. koordynacji strategicznej Umowy Partnerstwa w latach 2015-2016;MINISTERSTWO ROZWOJU, DEPARTAMENT KOORDYNACJI STRATEGII I POLITYK ROZWOJU;9790316.00;8321768.60;Nie;brak;Nie
Wsparcie zatrudnienia w by³ym Ministerstwie Gospodarki jako Instytucji Poœrednicz¹cej POIR i POIiŒ w 2015 r.;MINISTERSTWO ROZWOJU, DEPARTAMENT BUD¯ETU I FINANSÓW;9590000.00;8151500.00;Nie;administracja;Nie
Wsparcie dzia³añ merytorycznych i technicznych prowadzonych przez Departament Partnerstwa Publiczno - Prywatnego w latach 2016-2019.;MINISTERSTWO ROZWOJU, DEPARTAMENT WSPARCIA PROJEKTÓW PARTNERSTWA PUBLICZNO-PRYWATNEGO;9223000.00;7839550.00;Nie;brak;Nie
Finansowanie kosztów zatrudnienia pracowników Centrum Projektów Polska Cyfrowa w 2015 r.;CENTRUM PROJEKTÓW POLSKA CYFROWA;8758000.00;7444300.00;Nie;administracja;Nie
Finansowanie kosztów zatrudnienia pracowników Instytucji Audytowej, Jednostki odpowiedzialnej za otrzymywanie i przekazywanie p³atnoœci oraz weryfikacjê zasady dodatkowoœci w MF w 2015 roku.;MINISTERSTWO FINANSÓW;8753439.00;7440423.15;Nie;administracja;Nie
Wsparcie stanowiska pracy pracowników Instytucji Audytowej w latach 2015-2017;MINISTERSTWO FINANSÓW;8510000.00;7233500.00;Nie;brak;Nie
Finansowanie kosztów zatrudnienia pracowników zaanga¿owanych w realizacjê Programu Operacyjnego Kapita³u Ludzkiego, Programu Operacyjnego Wiedza, Edukacja i Rozwój oraz Programu Operacyjnego Innowacja Gospodarka w Ministerstwie Administracji i Cyfryzacji ;MINISTERSTWO ADMINISTRACJI I CYFRYZACJI;8369723.00;7114264.55;Nie;administracja;Nie
Wsparcie Generalnej Dyrekcji Ochrony Œrodowiska oraz regionalnych dyrekcji ochrony œrodowiska w zakresie finansowania kosztów zatrudnienia pracowników w 2016 roku;GENERALNA DYREKCJA OCHRONY ŒRODOWISKA;30000000.00;6970850.00;Nie;administracja;Nie
Wsparcie funkcjonowania Ministerstwa Rozwoju realizuj¹cego Umowê Partnerstwa w 2016 roku.;MINISTERSTWO ROZWOJU, BIURO ADMINISTRACYJNE;8000000.00;6800000.00;Nie;brak;Nie
