Tytu≥ projektu;Nazwa beneficjenta;WartoúÊ projektu;Dofinansowanie z EU;Multimedia;Dziedzina;Czy projekt jest realizowany na obszarze wiÍkszym niø jedna jednostka administracyjna?
Rozbudowa drogi wojewÛdzkiej nr 222 i nr 229 na odcinku od Starogardu GdaÒskiego przez Jab≥owo do wÍz≥a autostrady A1;SAMORZ•D WOJEW”DZTWA POMORSKIEGO;64770000.00;52590440.10;Nie;transport;Tak
RozwÛj Pojedynczego Punktu Kontaktowego trzeciej generacji.;MINISTERSTWO ROZWOJU, DEPARTAMENT GOSPODARKI ELEKTRONICZNEJ;61327317.00;51157966.20;Nie;telekomunikacja i e-us≥ugi;Nie
Skomunikowanie mostu na rzece Odrze w miejscowoúci Brzeg Dolny z drogπ krajowπ nr 94 i drogπ wojewÛdzkπ nr 340 w zakresie ñ odcinek od drogi wojewÛdzkiej nr 341 do drogi powiatowej nr 1353D w m. Radecz ñ jako kontynuacja budowy przeprawy przez OdrÍ;WOJEW”DZTWO DONOSL•SKIE REPREZENTOWANE PRZEZ DOLNOåL•SK• S£UØB  DR”G I KOLEI;60000000.00;51000000.00;Nie;brak;Nie
Budowa obwodnicy Wronek w ciπgu drogi wojewÛdzkiej nr 182 i 184- od drogi powiatowej nr 1895P do DW 182;SAMORZ•D WOJEW”DZTWA WIELKOPOLSKIEGO;58500000.00;49725000.00;Nie;brak;Nie
Budowa obwodnicy Wronek w ciπgu drogi wojewÛdzkiej nr 182 i 184 - od DW 184 do drogi powiatowej nr 1895P;SAMORZ•D WOJEW”DZTWA WIELKOPOLSKIEGO;58500000.00;49725000.00;Nie;brak;Nie
Pomoc techniczna PO IR dla Narodowego Centrum BadaÒ i Rozwoju na lata 2015-2016;NARODOWE CENTRUM BADA— I ROZWOJU;56158000.00;47526515.40;Nie;brak;Nie
RozwÛj publicznego transportu zbiorowego w Wielkopolsce poprzez zakup spalinowego taboru kolejowego.;KOLEJE WIELKOPOLSKIE SP. Z O.O.;64255000.05;44403861.82;Nie;brak;Tak
Rozbudowa drogi wojewÛdzkiej nr 185 Obrzycko-Szamotu≥y;SAMORZ•D WOJEW”DZTWA WIELKOPOLSKIEGO;50750000.00;43137500.00;Nie;brak;Nie
Rozbudowa drogi wojewÛdzkiej nr 226 na odcinkach wÍze≥ ÑRusocinî autostrady A1 ñ Pruszcz GdaÒski i Pruszcz GdaÒski ñ Przejazdowo.;SAMORZ•D WOJEW”DZTWA POMORSKIEGO;52290000.00;42517592.45;Nie;transport;Nie
ROZBUDOWA DROGI WOJEW”DZKIEJ NR 705 NA ODCINKU BOLIMOWSKA WIEå - SKIERNIEWICE;WOJEW”DZTWO £”DZKIE;49430571.60;41998693.86;Nie;transport;Nie
Modernizacja systemu przesy≥owego na Dolnym ålπsku w celu poprawy jego funkcjonalnoúci oraz optymalnego wykorzystania po≥πczenia Polska ñ Niemcy, Faza II. ;OPERATOR GAZOCI•G”W PRZESY£OWYCH GAZ-SYSTEM S.A.;85989469.54;39235818.72;Nie;brak;Nie
"""Rozbudowa drogi wojewÛdzkiej nr 598 Olsztyn - Butryny - Zgni≥ocha na odcinku granica miasta Olsztyn - DP 1374N ze zmianπ przebiegu w m. Olsztyn"" / ÑRozbudowa drogi wojewÛdzkiej nr 598 na odcinku od skrzyøowania ul. P≥oskiego z ul. Witosa/Bukowskiego do w";WOJEW”DZTWO WARMI—SKO-MAZURSKIE;41830114.86;35488685.63;Nie;brak;Tak
Budowa obwodnicy miasta Kartuzy - Etap I;SAMORZ•D WOJEW”DZTWA POMORSKIEGO;42490000.00;34540061.66;Nie;transport;Nie
Budowa nowego przebiegu DW 764 w Kielcach na odcinku od skrzyøowania ul. Tarnowskiej z ul. Wapiennikowπ (DK 73) do Ronda CzwartakÛw;GMINA KIELCE;43754046.99;34362226.38;Nie;brak;Nie
Rozbudowa drogi wojewÛdzkiej nr 306 na odcinku od m. Buk do skrzyøowania z nowym przebiegiem S5;SAMORZ•D WOJEW”DZTWA WIELKOPOLSKIEGO;40000000.00;34000000.00;Nie;brak;Nie
Wsparcie zarzπdzania PARP w 2016 roku;POLSKA AGENCJA ROZWOJU PRZEDSI BIORCZOåCI;39676950.00;33578602.78;Nie;brak;Nie
Opracowanie prototypu sprÍøarki o znaczπco ulepszonych parametrach technicznych jako pierwszy krok do stworzenia w Polsce silnika turboúmig≥owego nowej generacji;GENERAL ELECTRIC COMPANY POLSKA SP. Z O.O.;53818139.40;31441017.53;Nie;badania, rozwÛj, innowacje;Nie
Budowa obwodnicy Obornik w ciπgu drogi wojewÛdzkiej nr 178 Wa≥cz-Oborniki;SAMORZ•D WOJEW”DZTWA WIELKOPOLSKIEGO;36700000.00;31195000.00;Nie;brak;Nie
Rozbudowa drogi wojewÛdzkiej 160 odc. Sowia GÛra-MiÍdzychÛd - budowa mostu w m. MiÍdzychÛd rz. Warta;SAMORZ•D WOJEW”DZTWA WIELKOPOLSKIEGO;36700000.00;31195000.00;Nie;brak;Nie
Zmiana przebiegu drogi wojewÛdzkiej nr 432 åroda Wielkopolska-Wrzeúnia na odcinku Grzymys≥awice-Ob≥aczkowo;SAMORZ•D WOJEW”DZTWA WIELKOPOLSKIEGO;36300000.00;30855000.00;Nie;brak;Nie
Rozbudowa drogi wojewÛdzkiej nr 305 na odcinku od mostu na Po≥udniowym Kanale Obry do m. Mochy;SAMORZ•D WOJEW”DZTWA WIELKOPOLSKIEGO;35743800.00;30382230.00;Nie;brak;Nie
RozwÛj innowacyjnej spersonalizowanej terapii nowotworÛw litych;SELVITA SP”£KA AKCYJNA;43772131.04;29876956.94;Nie;badania, rozwÛj, innowacje;Nie
Opracowanie innowacyjnej technologii produkcji walcÛwki z wysokowytrzyma≥ych stopÛw aluminium serii 2xxx, 5xxx i 7xxx;BORYSZEW SP”£KA AKCYJNA;74558715.60;29823486.24;Nie;badania, rozwÛj, innowacje;Nie
ÑRozbudowa DW 878 w Rzeszowie w ciπgu ul. Sikorskiego prowadzπcej do DK 94, na odcinku od skrzyøowania z ul. Malowniczπ do granicy miastaî;MIASTO RZESZ”W;34264571.28;28754686.18;Nie;brak;Nie
Budowa drogi wojewÛdzkiej Nr 747 na odcinku Radawiec - wÍze≥ Konopnica (S -19);WOJEW”DZTWO LUBELSKIE;50711759.46;28267083.65;Nie;brak;Nie
RozwÛj nowej generacji spersonalizowanych terapii celujπcych w metabolizm komÛrek nowotworowych;SELVITA SP”£KA AKCYJNA;39696318.88;27933818.41;Nie;badania, rozwÛj, innowacje;Nie
Rozbudowa drogi wojewÛdzkiej nr 224 na odcinku Godziszewo ñ wÍze≥ autostrady A1 Stanis≥awie;SAMORZ•D WOJEW”DZTWA POMORSKIEGO;33490000.00;27242177.00;Nie;transport;Tak
MIEJSKI OBSZAR FUNKCJONALNY ZDU—SKA WOLA ñ KARSZNICE ñ BUDOWA £•CZNIKA Z DROG• EKSPRESOW• S8 NA TERENIE POWIATU ZDU—SKOWOLSKIEGO I POWIATU £ASKIEGO.;POWIAT ZDU—SKOWOLSKI;32045210.65;26643429.04;Nie;transport;Tak
Prace badawczo rozwojowe nad uzyskaniem pierwszego na úwiecie ultra cienkiego ogniwa fotowoltaicznego na bazie perowskitÛw nadrukowanego metodπ electronic inkjet na podk≥ad elastyczny;SAULE SP. Z O.O.;34615532.70;25503650.82;Nie;badania, rozwÛj, innowacje;Nie
Rozbudowa drogi wojewÛdzkiej nr 305 na odcinku od granicy powiatu leszczyÒskiego do granicy wojewÛdztwa wielkopolskiego;SAMORZ•D WOJEW”DZTWA WIELKOPOLSKIEGO;30000000.00;25500000.00;Nie;brak;Nie
Zintegrowany system us≥ug dla nauki ñ etap I;MINISTERSTWO NAUKI I SZKOLNICTWA WYØSZEGO;29170190.00;24641978.65;Nie;telekomunikacja i e-us≥ugi;Nie
EnergooszczÍdne metro o podwyøszonym poziomie komfortu i bezpieczeÒstwa;POJAZDY SZYNOWE PESA BYDGOSZCZ S.A.;60017612.51;24406617.44;Nie;badania, rozwÛj, innowacje;Nie
Budowa przystanku osobowego KrakÛw Sanktuarium na linii nr 94 wraz z infrastrukturπ komunikacyjnπ;GMINA MIEJSKA KRAK”W;28774500.25;23799999.96;Nie;brak;Nie
Drogi dojazdowe do mostu na Odrze w m. CiechanÛw na odcinku Lubin, G≥ogÛw - CiechanÛw w zakresie: Przebudowy drogi wojewÛdzkiej nr 323 na odcinku Radoszyce - Gawrony wraz z budowπ obwodnic miejscowoúci Nieszczyce i Brodowiceñ jako kontynuacja budowy przep;WOJEW”DZTWO DONOSL•SKIE REPREZENTOWANE PRZEZ DOLNOåL•SK• S£UØB  DR”G I KOLEI;29839380.86;23676279.62;Nie;brak;Nie
ÑPoprawa jakoúci oraz ograniczenie strat wody w Centralnym Wodociπgu Øu≥awskimî ñ etap I;CENTRALNY WODOCI•G ØU£AWSKI SP. Z O.O.;51257979.00;23363731.00;Nie;brak;Nie
Badania przedkliniczne i kliniczne kandydata na innowacyjny lek w terapii astmy i nieswoistych chorÛb zapalnych jelit;ONCOARENDI THERAPEUTICS SP. Z O.O.;29994770.65;22789045.54;Nie;badania, rozwÛj, innowacje;Nie
System obs≥ugi wsparcia finansowanego ze úrodkÛw PFRON;CENTRUM ROZWOJU ZASOB”W LUDZKICH;26648826.50;22550236.98;Nie;telekomunikacja i e-us≥ugi;Nie
