Tytu≥ projektu;Nazwa beneficjenta;WartoúÊ projektu [z≥];Dofinansowanie z EU [z≥];Multimedia;Dziedzina;Czy projekt jest realizowany na obszarze wiÍkszym niø jedna jednostka administracyjna?
Modernizacja linii kolejowej E 59 na odcinku Wroc≥aw - PoznaÒ Etap II ñ odcinek Wroc≥aw ñ granica wojewÛdztwa dolnoúlπskiego;PKP Polskie Linie Kolejowe S.A.;1052606991.79;685624583.80;Nie;transport;Tak
Zakup taboru dla PKP Intercity S.A. do realizacji kolejowych przewozÛw pasaøerskich - zakup 20 elektrycznych zespo≥Ûw trakcyjnych;PKP Intercity S.A.;1156610820.00;658050400.00;Nie;transport;Tak
Modernizacja linii kolejowej E 65/CE 65 na odcinku Warszawa - Gdynia - obszar LCS Dzia≥dowo;PKP Polskie Linie Kolejowe S.A.;1132021728.07;626683174.92;Nie;transport;Tak
"Pomorska Kolej Metropolitalna Etap I- rewitalizacja ""Kolei Kokoszkowskiej"" Faza II - realizacja przedsiÍwziÍcia - FAZA I";Pomorska Kolej Metropolitalna S.A.;1054843106.88;624275224.00;Nie;transport;Tak
Przebudowa drogi S-8 PiotrkÛw Trybunalski - Warszawa na odcinku Rawa Mazowiecka - Radziejowice.;Generalna Dyrekcja DrÛg Krajowych i Autostrad;840788779.67;589088914.55;Nie;transport;Tak
Modernizacja linii kolejowej E 65/C-E 65 na odcinku Warszawa - Gdynia - obszar LCS GdaÒsk, LCS Gdynia;PKP Polskie Linie Kolejowe S.A.;1071049607.96;584157726.00;Nie;transport;Tak
Modernizacja Wroc≥awskiego WÍz≥a Wodnego (w zakresie obiektÛw ochrony przed powodziπ zarzπdzanych przez RZGW we Wroc≥awiu);Regionalny Zarzπd Gospodarki Wodnej we Wroc≥awiu;874486052.38;578478903.42;Nie;bezpieczeÒstwo;Nie
Zakup elektrycznych zespo≥Ûw trakcyjnych dla PKP Intercity S.A. Etap II;PKP Intercity S.A.;1008928410.00;574050400.00;Nie;transport;Tak
ÑOczyszczanie úciekÛw na Øywiecczyünie ñ Faza IIî;Zwiπzek MiÍdzygminny ds. Ekologii w Øywcu;910769013.04;538824787.16;Nie;ochrona úrodowiska;Nie
Rozbudowa i modernizacja trasy tramwaju w relacji WschÛd - ZachÛd (Retkinia - OlechÛw) wraz z systemem zasilania oraz systemem obszarowego sterowania ruchem;£Ûdü - miasto na prawach powiatu;740388077.38;532567902.12;Nie;transport;Nie
Obs≥uga pÛ≥nocnych obszarÛw Warszawy komunikacjπ tramwajowπ w zwiπzku z rozbudowπ sieci metra oraz zakupem taboru;Tramwaje Warszawskie Sp. z o.o.;778567714.42;498314487.12;Nie;transport;Nie
Zintegrowany System Transportu Szynowego w Aglomeracji i we Wroc≥awiu - Etap I;Miasto Wroc≥aw;736189219.52;477747653.84;Nie;transport;Nie
Budowa mostu drogowego w Toruniu wraz z drogami dojazdowymi;Gmina Miasta ToruÒ;629633344.67;467293423.89;Tak;transport;Nie
Budowa autostrady A2 na odcinku obwodnicy MiÒska Mazowieckiego.;Generalna Dyrekcja DrÛg Krajowych i Autostrad;761657930.62;450307843.41;Nie;transport;Nie
Modernizacja linii kolejowej E 65/C-E 65 na odcinku Warszawa - Gdynia ñ w zakresie warstwy nadrzÍdnej LCS, ERTMS/ETCS/GSMR, DSAT oraz zasilania uk≥adu trakcyjnego - FAZA I;PKP Polskie Linie Kolejowe S.A.;658444200.06;447503602.12;Nie;transport;Tak
Poprawa bezpieczeÒstwa poprzez zabudowÍ nowych rozjazdÛw kolejowych o podwyøszonym standardzie konstrukcyjnym;PKP Polskie Linie Kolejowe S.A.;582924050.06;445362086.26;Nie;transport;Tak
Przebudowa drogi krajowej nr 4 na odcinku Machowa - £aÒcut KM 527+456,00 ñ 613+767,30;Generalna Dyrekcja DrÛg Krajowych i Autostrad;590494386.32;439068565.80;Nie;transport;Tak
