Tytu≥ projektu;Nazwa beneficjenta;WartoúÊ projektu [z≥];Dofinansowanie z EU [z≥];Multimedia;Dziedzina;Czy projekt jest realizowany na obszarze wiÍkszym niø jedna jednostka administracyjna?
Budowa kanalizacji sanitarnej i deszczowej oraz oczyszczalni úciekÛw komunalnych w Tarnowskich GÛrach - II Faza;Gmina Tarnowskie GÛry;83021572.63;51973212.00;Nie;ochrona úrodowiska;Nie
Ochrona wÛd Zatoki GdaÒskiej - budowa i modernizacja systemu odprowadzania wÛd opadowych w Gdyni oraz Ma≥ym TrÛjmieúcie Kaszubskim;Gmina Miasta Gdyni;69530385.80;51794618.11;Nie;bezpieczeÒstwo;Nie
Poprawa jakoúci i niezawodnoúci us≥ug kolejowych poprzez centralizacjÍ lub automatyzacjÍ urzπdzeÒ srk;PKP Polskie Linie Kolejowe S.A.;74694099.41;51751671.37;Nie;transport;Tak
"Zapewnienie prawid≥owej gospodarki wodno-úciekowej na terenie ZwiπzkÛw MiÍdzygminnych ""Nidzica"" i ""Nida 2000""";"Zwiπzek MiÍdzygminny ""Nidzica""";83709751.52;51406489.85;Nie;ochrona úrodowiska;Tak
Przebudowa Nabrzeøa Szwedzkiego w Porcie Gdynia;Zarzπd Morskiego Portu Gdynia S.A.;88541489.09;51378344.07;Nie;transport;Nie
Modernizacja stopnia ChrÛúcice - przystosowanie do III kl. drogi wodnej;Regionalny Zarzπd Gospodarki Wodnej we Wroc≥awiu;79488697.11;51324252.57;Nie;transport;Nie
Przebudowa Kana≥u Portowego w Porcie Gdynia;Zarzπd Morskiego Portu Gdynia S.A.;90660788.00;51161570.04;Nie;transport;Nie
Modernizacja terminalu BCT w Gdyni dla zwiÍkszenia potencja≥u w zakresie prze≥adunkÛw intermodalnych;BCT - Ba≥tycki Terminal Kontenerowy SpÛ≥ka z ograniczonπ odpowiedzialnoúciπ;187447898.79;50737277.14;Nie;transport;Nie
Modernizacja i rozbudowa systemu wodno-kanalizacyjnego aglomeracji Ciechanowa - I Etap;Zak≥ad WodociπgÛw i Kanalizacji w Ciechanowie Sp. z o.o.;127843651.50;50427034.77;Nie;ochrona úrodowiska;Nie
Poprawa gospodarki wodno-úciekowej Miasta Sochaczew - Etap I;Zak≥ad WodociπgÛw i Kanalizacji - Sochaczew SpÛ≥ka z o.o.;105567818.91;50410591.63;Nie;ochrona úrodowiska;Nie
Budowa wiaduktÛw i przystankÛw kolejowych w bydgosko - toruÒskim obszarze metropolitalnym BiT - City - Bydgoszcz;Miasto Bydgoszcz;70389981.40;50010167.68;Nie;transport;Tak
Kompleksowe zabezpieczenie przeciwpowodziowe Øu≥aw ñ Etap I ñ ØZMiUW w Elblπgu;Øu≥awski Zarzπd Melioracji i UrzπdzeÒ Wodnych w Elblπgu;61822265.01;49988066.65;Nie;bezpieczeÒstwo;Tak
Przebudowa wiaduktu GÛrczyÒskiego Wschodniego w Poznaniu (DK 5).;PoznaÒ- Miasto na prawach powiatu;63450422.38;49835086.67;Nie;transport;Nie
"""Kompleksowe rozwiπzanie gospodarki wodno - úciekowej dla aglomeracji Szprotawa""";Gmina Szprotawa;101960442.80;49790818.60;Nie;ochrona úrodowiska;Nie
Modernizacja gospodarki cieplnej dla gmin: Bytom i RadzionkÛw;PrzedsiÍbiorstwo Energetyki Cieplnej Sp. z o.o.;84822982.10;49441753.60;Nie;energetyka;Nie
Modernizacja jazÛw odrzaÒskich na odcinku w zarzπdzie RZGW Wroc≥aw - wojewÛdztwo dolnoúlπskie;Regionalny Zarzπd Gospodarki Wodnej we Wroc≥awiu;58125200.04;49288712.46;Nie;transport;Tak
Zapewnienie prawid≥owego systemu odbioru úciekÛw na obszarze aglomeracji Oborniki;PrzedsiÍbiorstwo WodociπgÛw i Kanalizacji w Obornikach Sp. z o.o.;87136839.07;49279859.10;Nie;ochrona úrodowiska;Nie
Przebudowa infrastruktury drogowej w portach w Szczecinie i åwinoujúciu;Zarzπd Morskich PortÛw Szczecin i åwinoujúcie S.A.;77698048.47;48856754.18;Nie;transport;Tak
Poprawa dostÍpnoúci do portu Ko≥obrzeg od strony lπdu (drogi i kolej) - etap II;Gmina Miasto Ko≥obrzeg;67180525.02;48733453.75;Nie;transport;Nie
III etap budowy terminalu kontenerowego GCT w Porcie Gdynia - budowa infrastruktury i zakup sprzÍtu;Gdynia Container Terminal SpÛ≥ka Akcyjna;161125896.23;47973966.42;Nie;transport;Nie
Budowa obwodnicy miejscowoúci MiÍkowo w ciπgu drogi krajowej nr 3.;Generalna Dyrekcja DrÛg Krajowych i Autostrad;66356106.64;47804426.12;Nie;transport;Nie
RPD sektora transportu na rok 2009 (GDDKiA);Generalna Dyrekcja DrÛg Krajowych i Autostrad;56077000.00;47665450.00;Nie;administracja;Tak
Port lotniczy Szczecin-GoleniÛw - rozbudowa i modernizacja infrastruktury lotniskowej i portowej;Port Lotniczy Szczecin-GoleniÛw sp. z o.o.;120524834.38;47498737.67;Nie;transport;Nie
Zakup i modernizacja kolejowego taboru pasaøerskiego o napÍdzie elektrycznym, do obs≥ugi po≥πczeÒ miÍdzyregionalnych na obszarze co najmniej dwÛch wojewÛdztw.;Urzπd Marsza≥kowski WojewÛdztwa Pomorskiego;67641621.18;47366373.08;Nie;transport;Tak
Uporzπdkowanie gospodarki wodno - úciekowej na terenie gmin powiatu dzierøoniowskiego - etap I;Wodociπgi i Kanalizacja SpÛ≥ka z ograniczonπ odpowiedzialnoúciπ;104606394.84;46522764.07;Nie;ochrona úrodowiska;Nie
Porzπdkowanie gospodarki úciekowej Gminy KnurÛw - budowa i przebudowa systemÛw kanalizacyjnych;PrzedsiÍbiorstwo WodociπgÛw i Kanalizacji Sp. z o.o.;81094608.27;46393290.52;Nie;ochrona úrodowiska;Nie
Port Lotniczy Wroc≥aw - dodatkowe obiekty infrastruktury;Port Lotniczy Wroc≥aw S.A.;117489402.96;46342794.22;Nie;transport;Nie
System unieszkodliwiania odpadÛw komunalnych dla gmin objÍtych Porozumieniem wraz z budowπ Zak≥adu Zagospodarowania OdpadÛw w Lulkowie;URBIS Sp. z o.o.;81302651.00;46330137.28;Nie;ochrona úrodowiska;Tak
Uporzπdkowanie gospodarki wodno-úciekowej dla ochrony zasobÛw wodnych w Poznaniu i okolicach - Etap II;Aquanet S.A.;127517682.31;45782774.47;Nie;ochrona úrodowiska;Tak
Budowa terminalu intermodalnego w Brwinowie ko≥o Warszawy;HHLA Intermodal Polska SpÛ≥ka z ograniczonπ odpowiedzialnoúciπ;128860216.01;45316830.73;Nie;transport;Nie
Rozwiπzanie gospodarki wodno-úciekowej w Gminie Nowogrodziec - etap Ia;Hydro-Tech SpÛ≥ka z ograniczonπ odpowiedzialnoúciπ;89625296.84;45279822.63;Nie;ochrona úrodowiska;Nie
Uporzπdkowanie gospodarki wodno-úciekowej zlewni rzek S≥upi i £upawy w aglomeracji Sierakowice;PrzedsiÍbiorstwo WodociπgÛw i Kanalizacji SpÛ≥ka z ograniczonπ odpowiedzialnoúciπ;83173987.75;45200530.86;Nie;ochrona úrodowiska;Nie
Budowa Zak≥adu Unieszkodliwiania OdpadÛw komunalnych wraz ze sk≥adowiskiem odpadÛw w Siedliskach k/E≥ku;"PrzedsiÍbiorstwo Gospodarki Odpadami ""Eko-MAZURY"" SpÛ≥ka z ograniczonπ odpowiedzialnoúciπ";105312331.51;45030840.89;Nie;ochrona úrodowiska;Nie
Rozbudowa infrastruktury portowej do obs≥ugi statkÛw ro-ro z dostÍpem drogowym i kolejowym w Porcie Gdynia;Zarzπd Morskiego Portu Gdynia S.A.;100282908.37;44858186.53;Nie;transport;Nie
Uporzπdkowanie gospodarki wodno - úciekowej w aglomeracji Rawa Mazowiecka - Faza I;Rawskie Wodociπgi i Kanalizacja Sp. z o.o.;75886324.70;44743562.62;Nie;ochrona úrodowiska;Nie
Uporzπdkowanie gospodarki wodno-úciekowej na terenie gminy £omianki.;Zak≥ad WodociπgÛw i Kanalizacji w £omiankach Sp. z o.o.;85700370.31;44733738.91;Nie;ochrona úrodowiska;Nie
Racjonalizacja gospodarki odpadami komunalnymi i rekultywacja sk≥adowisk odpadÛw w Elblπgu;Zak≥ad Utylizacji OdpadÛw SpÛ≥ka z ograniczonπ odpowiedzialnoúciπ;94832754.28;44722440.98;Nie;ochrona úrodowiska;Tak
Ochrona brzegÛw morskich w granicach Centralnego Poligonu Si≥ Powietrznych Wicko Morskie;Urzπd Morski w S≥upsku;52222799.69;44347729.90;Nie;ochrona úrodowiska;Tak
Budowa po≥πczenia kolejowego MPL Katowice w Pyrzowicach z miastami aglomeracji gÛrnoúlπskiej, odcinek Katowice-Pyrzowice-PRACE PRZYGOTOWAWCZE;PKP Polskie Linie Kolejowe S.A.;63462204.00;44215470.00;Nie;transport;Tak
MiÍdzygminny system wodno-úciekowy w ramach aglomeracji Pu≥awy;"Miejskie PrzedsiÍbiorstwo WodociπgÛw i Kanalizacji ""Wodociπgi Pu≥awskie"" Sp. z o.o.";89557315.93;44165949.36;Nie;ochrona úrodowiska;Nie
Uporzπdkowanie gospodarki úciekowej w aglomeracji cieszyÒskiej;Gmina Cieszyn;85007975.21;44085196.14;Nie;ochrona úrodowiska;Nie
Oczyszczenie i zabezpieczenie przed wtÛrnπ degradacjπ stawu Kalina oraz rewitalizacja terenu przyleg≥ego.;Gmina åwiÍtoch≥owice;51776311.40;44009864.69;Nie;ochrona úrodowiska;Nie
Kompleksowe zagospodarowanie úciekÛw w zlewni rzeki Obry - Gmina åmigiel;Gmina åmigiel;70177925.34;43898096.65;Nie;ochrona úrodowiska;Nie
Modernizacja wejúcia do portu wewnÍtrznego (w GdaÒsku). Etap I - przebudowa falochronu wschodniego.;Urzπd Morski w Gdyni;51418109.02;43692321.52;Nie;transport;Nie
"""Porzπdkowanie gospodarki wodno-úciekowej Gminy GrÛdek nad Dunajcem na obrzezach Jeziora Roønowskiego""";Dunajec spÛ≥ka z o.o.;68340321.35;43365533.44;Nie;ochrona úrodowiska;Nie
"Wyposaøenie zaplecza technicznego SpÛ≥ki ""Przewozy Regionalne"" w infrastrukturÍ s≥uøπcπ do utrzymania kolejowego taboru pasaøerskiego";PRZEWOZY REGIONALNE SP.Z O. O.;69914844.98;43214802.17;Nie;transport;Tak
"""Uporzπdkowanie gospodarki wodno-úciekowej miasta Krosna - I etap""";Miejskie PrzedsiÍbiorstwo Gospodarki Komunalnej - KroúnieÒski Holding Komunalny Sp. z o.o.;94434205.60;42923333.81;Nie;ochrona úrodowiska;Tak
Przebudowa budynku dworca kolejowego Szczecin G≥Ûwny wraz z infrastrukturπ torowo - peronowπ;Polskie Koleje PaÒstwowe S.A.;101875850.43;42652549.96;Nie;transport;Nie
Rozbudowa wodociπgÛw i kanalizacji w Gminie Nowy Sπcz i Stary Sπcz;Sπdeckie Wodociπgi Sp. z o.o.;85603893.33;42464600.05;Nie;ochrona úrodowiska;Tak
Budowa Zak≥adu Zagospodarowania OdpadÛw dla regionu Bia≥a Podlaska;"Bialskie Wodociagi i Kanalizacja ""WOD-KAN"" Sp. z o.o. w Bia≥ej Podlaskiej";97441289.12;41534629.67;Nie;ochrona úrodowiska;Nie
Budowa RZZOK w miejscowoúci Piaski Bankowe, Gmina Bielawy, powiat ≥owicki, wojewÛdztwo ≥Ûdzkie.;"Zwiπzek MiÍdzygminny ""Bzura""";84819734.25;41476086.05;Nie;ochrona úrodowiska;Nie
Program wodno-úciekowy Gminy Krynica-ZdrÛj;Gmina Krynica-ZdrÛj;75572616.75;41355613.77;Nie;ochrona úrodowiska;Nie
"""Budowa i modernizacja sieci oraz urzπdzeÒ wodno-kanalizacyjnych w aglomeracji Øary""";Zak≥ad WodociπgÛw i Kanalizacji Sp. z o.o. Øary;81899069.18;41349340.02;Nie;ochrona úrodowiska;Nie
Rozbudowa i modernizacja systemu úciekowego w gminie KÍty - etap I;Miejski Zak≥ad WodociπgÛw i Kanalizacji Sp. z o. o. z siedzibπ w KÍtach;67443501.73;41255811.10;Nie;ochrona úrodowiska;Nie
Regionalny Zak≥ad Zagospodarowania OdpadÛw w DÍbowcu;PrzedsiÍbiorstwo Gospodarki Komunalnej Sp. z o.o. w Zamoúciu;64391503.86;40725602.34;Nie;ochrona úrodowiska;Tak
Port lotniczy w GdaÒsku - modernizacja infrastruktury lotniskowej po stronie airside;Port Lotniczy GdaÒsk Sp. z o.o.;102895654.74;40604207.02;Nie;transport;Nie
Modernizacja 20 lokomotyw spalinowych serii SM 42;PKP Intercity S.A.;72343836.43;40501806.29;Nie;transport;Tak
Modernizacja oczyszczalni úciekÛw w Che≥mie wraz z rozbudowπ systemu wodno-kanalizacyjnego;Miejskie PrzedsiÍbiorstwo Gospodarki Komunalnej Sp. z o.o. w Che≥mie;84449779.81;40498127.96;Nie;ochrona úrodowiska;Nie
Modernizacja Linii kolejowej Nr 7 Warszawa Wschodnia Osobowa - Dorohusk na odcinku Otwock - Lublin - Prace Przygotowawcze (dokumentacja projektowa i materia≥y przetargowe);PKP Polskie Linie Kolejowe S.A.;67337580.00;40484667.00;Nie;transport;Nie
Termomodernizacja obiektÛw uøytecznoúci publicznej na terenie powiatÛw: bia≥ogardzkiego, drawskiego, ko≥obrzeskiego, koszaliÒskiego, szczecineckiego i úwidwiÒskiego;Powiat Szczecinecki;53154616.53;40373633.01;Tak;energetyka;Tak
Budowa farmy wiatrowej Jarogniew - Mo≥towo;BETA Sp z o.o.;129115686.60;40000000.00;Nie;energetyka;Nie
Budowa farmy wiatrowej o mocy 30MW w Taciewie.;TACIEWO Sp. z o.o.;194202920.74;40000000.00;Nie;energetyka;Nie
Budowa farmy wiatrowej £ukaszÛw;AMON Sp. z o.o.;233193597.45;40000000.00;Nie;energetyka;Nie
Budowa farmy wiatrowej Modlikowice;TALIA Sp. z o.o.;165266375.46;40000000.00;Nie;energetyka;Nie
Budowa farmy wiatrowej wraz z niezbÍdnπ infrastrukturπ towarzyszπcπ w obrÍbie miejscowoúci Golice.;Golice Wind Farm Sp z o.o.;223000890.25;40000000.00;Nie;energetyka;Nie
Budowa farmy wiatrowej o mocy 48MW w gminie Pelplin;PGE Energia Odnawialna S.A.;280269755.83;40000000.00;Nie;energetyka;Nie
Budowa oúmiu si≥owni wiatrowych wraz z niezbÍdnπ infrastrukturπ w wojewÛdztwie zachodniopomorskim;Megawat Kanin Sp. z o.o.;137892864.44;40000000.00;Nie;energetyka;Nie
Farma wiatrowa åcieki o mocy 20MW;ELWIATR - PRUSZY—SKI Sp. z o.o.;159660197.19;40000000.00;Nie;energetyka;Nie
Budowa farmy wiatrowej o mocy 26 MW w gminie RymanÛw;ENERGIA WIATROWA Sp. z o.o.;167809746.49;40000000.00;Nie;energetyka;Nie
Budowa farmy wiatrowej Ostaszewo o ≥πcznej mocy 40MW;Nowotna Farma Wiatrowa Sp. z o.o.;274987640.00;40000000.00;Nie;energetyka;Nie
Budowa bloku energetycznego na biomasÍ ENERGA KOGENERACJA SP. Z O. O. w Elblπgu;ENERGA Kogeneracja Sp. z o.o.;271036616.39;40000000.00;Nie;energetyka;Nie
ÑBudowa biogazowi o mocy 5,65 MW dla energii elektrycznej i 5,62 MW dla energii cieplnej w Kutnieî;EKOSPOT Sp. z o.o.;118025703.19;40000000.00;Nie;energetyka;Nie
Budowa dwudziestu dwÛch elektrowni wiatrowych o ≥πcznej mocy 45,1 MW w gminie Legnickie Pole;EWG Taczalin SpÛ≥ka z ograniczonπ odpowiedzialnoúciπ;255599083.66;39999867.60;Nie;energetyka;Nie
Budowa zespo≥u si≥owni wiatrowych KUKINIA o mocy 28 MW;AWK Sp z o.o.;229758755.74;39998722.14;Nie;energetyka;Nie
Budowa instalacji do produkcji energii elektrycznej w Odnawialnym èrÛdle Energii w Stalowej Woli;Tauron Wytwarzanie S.A.;162829792.90;39998400.00;Nie;energetyka;Nie
BUDOWA FARMY WIATROWEJ W GMINIE G£UCH”W ETAP I - 20 MW;Enwind Sp. z o.o.;145385542.60;39997190.35;Nie;energetyka;Nie
Budowa farmy wiatrowej o ≥πcznej mocy 20 MW w gminie KrzyøanÛw;EOLOS POLSKA spÛ≥ka z ograniczonπ odpowiedzialnoúciπ;105858864.20;39995806.83;Nie;energetyka;Nie
Budowa farmy wiatrowej Koümin o mocy 24 MW (woj. dolnoúlπskie);J&Z Wind Farms SpÛ≥ka z ograniczonπ odpowiedzialnoúciπ;139294520.33;39991120.20;Nie;energetyka;Nie
îBudowa farmy wiatrowej JÍdrzychowice o mocy 26 MW (woj. dolnoúlπskie)î;J&Z Wind Farms SpÛ≥ka z ograniczonπ odpowiedzialnoúciπ;179222675.16;39988788.90;Nie;energetyka;Nie
"""Budowa kot≥a na biomasÍ w PKE S.A. Elektrownia Jaworzno III - Elektrownia II"".";Tauron Wytwarzanie SpÛ≥ka Akcyjna;282470580.00;39982296.55;Nie;energetyka;Nie
Port Lotniczy RzeszÛw - Rozbudowa i modernizacja infrastruktury lotniskowej;Port Lotniczy ÑRzeszÛw ñ Jasionkaî Sp. z o.o.;98794291.87;39506084.02;Nie;transport;Nie
Budowa systemu kanalizacji w Gminie £aziska GÛrne;PrzedsiÍbiorstwo Gospodarki Komunalnej i Mieszkaniowej Sp. z o.o. w £aziskach GÛrnych;65193075.70;39298096.78;Nie;ochrona úrodowiska;Nie
Uporzπdkowanie Gospodarki Wodno-åciekowej w Aglomeracji Ostrowiec åwiÍtokrzyski - etap I;Miejskie Wodociπgi i Kanalizacja SpÛ≥ka z o.o.;80047545.24;39228940.24;Nie;ochrona úrodowiska;Nie
Przebudowa nabrzeøy w Porcie Gdynia - Etap I Nabrzeøe RumuÒskie - Faza I;Zarzπd Morskiego Portu Gdynia S.A.;56573813.69;38950987.31;Nie;transport;Nie
Uporzπdkowanie gospodarki wodno-úciekowej aglomeracji Jelenia GÛra;"PrzedsiÍbiorstwo WodociπgÛw i Kanalizacji ""Wodnik"" Sp. z o.o. w Jeleniej GÛrze";108647447.33;38869354.43;Nie;ochrona úrodowiska;Nie
Uporzπdkowanie gospodarki úciekowej na terenie aglomeracji ØagaÒ;ØagaÒskie Wodociπgi i Kanalizacje SpÛ≥ka z o.o.;72136776.00;38686391.29;Nie;ochrona úrodowiska;Nie
Wdroøenie nowoczesnych technik monitorowania powietrza, wÛd i ha≥asu poprzez zakupy aparatury kontrolno pomiarowej i analitycznej dla sieci laboratoriÛw Inspekcji Ochrony årodowiska. Doskonalenie systemu zapewnienia jakoúci poprzez organizacjÍ laboratoriÛ;G≥Ûwny Inspektorat Ochrony årodowiska;45424766.42;38571722.70;Nie;bezpieczeÒstwo;Nie
Budowa farmy wiatrowej Postolin;Eolica Postolin SpÛ≥ka z ograniczonπ odpowiedzialnoúciπ;196543142.60;38454103.88;Nie;energetyka;Nie
Modernizacja miejskich sieci ciep≥owniczych w Lubinie, Legnicy i w G≥ogowie;WojewÛdzkie PrzedsiÍbiorstwo Energetyki Cieplnej w Legnicy SpÛ≥ka Akcyjna;80964801.87;38377773.59;Nie;energetyka;Tak
"""Program zaopatrzenia w wodÍ oraz odprowadzania i oczyszczania úciekÛw w gminie Su≥kowice - czÍúÊ 1""";Gmina Su≥kowice;62567904.23;38225399.27;Nie;ochrona úrodowiska;Nie
Uporzπdkowanie gospodarki úciekowej na terenie Miasta i Gminy Wronki;PrzedsiÍbiorstwo Komunalne Sp. z o. o. we Wronkach;62098992.31;37946474.60;Nie;ochrona úrodowiska;Nie
Przebudowa sieci ciep≥owniczych na terenie Aglomeracji Rybnickiej w aspekcie poprawy efektywnoúci energetycznej;PrzedsiÍbiorstwo Energetyki Cieplnej SpÛ≥ka Akcyjna;84979728.42;37583637.13;Nie;energetyka;Tak
Poprawa jakoúci wody pitnej i uporzπdkowanie gospodarki úciekowej w Gminie Ozimek ñ Trias Opolski;PrzedsiÍbiorstwo Gospodarki Komunalnej i Mieszkaniowej sp. z o.o.;75807490.81;37377594.93;Nie;ochrona úrodowiska;Nie
METEO - RISK System numerycznego prognozowania pogody i przewidywania zagroøeÒ meteorologicznych;Instytut Meteorologii i Gospodarki Wodnej - PaÒstwowy Instytut Badawczy;44431283.24;37171947.68;Nie;bezpieczeÒstwo;Tak
Budowa intermodalnego terminalu kontenerowego wraz z obiektami towarzyszπcymi w mieúcie Kutno;PCC Intermodal SpÛ≥ka Akcyjna;120267692.50;36697498.99;Nie;transport;Nie
Poprawa jakoúci i niezawodnoúci us≥ug kolejowych poprzez zakup urzπdzeÒ wykorzystywanych do diagnostyki stanu taboru i linii kolejowych;PKP Polskie Linie Kolejowe S.A.;79516111.25;36678391.19;Nie;transport;Tak
"""Poprawa gospodarki wodno - úciekowej na terenie Gminy Che≥miec i Podegrodzie""";Gmina Che≥miec;70615342.28;36631964.27;Nie;ochrona úrodowiska;Nie
Gospodarka wodno-úciekowa w Krakowie - Etap III;Miejskie PrzedsiÍbiorstwo WodociπgÛw i Kanalizacji S.A w Krakowie;82979357.68;36620479.31;Nie;ochrona úrodowiska;Nie
Modernizacja i przebudowa systemu ciep≥owniczego w Zielonej GÛrze;Elektrociep≥ownia ''Zielona GÛra'' S.A.;54853831.42;36233434.99;Nie;energetyka;Nie
System bezpieczeÒstwa publicznego na dworcach kolejowych Warszawskiego WÍz≥a Kolejowego;Polskie Koleje PaÒstwowe S.A.;65089413.39;35900791.22;Nie;transport;Nie
Port Lotniczy RzeszÛw ñ Budowa nowego terminalu pasaøerskiego;Port Lotniczy ÑRzeszÛw ñ Jasionkaî Sp. z o.o.;98436125.98;35790843.05;Nie;transport;Nie
Poprawa dostÍpnoúci do portu Ko≥obrzeg od strony lπdu (drogi i kolej) - etap I;Gmina Miasto Ko≥obrzeg;45244419.79;35665154.38;Nie;transport;Nie
Budowa Elektrowni Biogazowej Szarlej;Bioelektrownia Szarlej Sp. z o.o.;63974765.34;35241500.00;Nie;energetyka;Tak
Budowa infrastruktury terminali portowych w Szczecinie i åwinoujúciu - miejsca postojowe;Zarzπd Morskich PortÛw Szczecin i åwinoujúcie S.A.;51102214.65;35052052.31;Nie;transport;Nie
"""Uporzπdkowanie gospodarki úciekowej w aglomeracji Krosno OdrzaÒskie - etap I""";KroúnieÒskie PrzedsiÍbiorstwo Wodociπgowo-Kanalizacyjne Sp. z o.o.;59635036.83;35008816.82;Nie;ochrona úrodowiska;Nie
Budowa kanalizacji w Gminie Strzelin wraz z modernizacjπ oczyszczalni úciekÛw w Chociwelu;Zak≥ad WodociπgÛw i Kanalizacji SpÛ≥ka z ograniczonπ odpowiedzialnoúciπ;81361982.93;34991795.68;Nie;ochrona úrodowiska;Nie
Budowa kanalizacji sanitarnej wraz z zagospodarowaniem osadÛw w Gminie Radzymin;PrzedsiÍbiorstwo WodociπgÛw i Kanalizacji Sp. z o.o.;69917080.95;34908499.23;Nie;ochrona úrodowiska;Nie
Gospodarka wodno-úciekowa w mieúcie ØyrardÛw - etap II;"PrzedsiÍbiorstwo Gospodarki Komunalnej ""ØyrardÛw"" Sp. z o.o.";70597805.28;34887377.37;Nie;ochrona úrodowiska;Nie
Budowa farmy wiatrowej Karwice zlokalizowanej na terenie gminy Malechowo.;PGE Energia Natury PEW Sp z o.o.;293563880.54;34874472.19;Nie;energetyka;Nie
Modernizacja wagonÛw osobowych i lokomotyw elektrycznych;Przewozy Regionalne Sp. Z o.o.;55642338.33;34774916.50;Nie;transport;Tak
RPD sektora transportu na rok 2011 (PKP PLK S.A.);PKP Polskie Linie Kolejowe S.A.;40746851.95;34634824.15;Nie;administracja;Nie
Uporzπdkowanie gospodarki wodno-úciekowej strefy nadmorskiej w aglomeracji W≥adys≥awowo;"MiÍdzygminne PrzedsiÍbiorstwo WodociπgÛw i Kanalizacji ""EKOWIK"" Sp. z o.o.";51008698.83;34621335.55;Nie;ochrona úrodowiska;Nie
RPD sektora transportu na rok 2013 (PKP PLK S.A.);PKP Polskie Linie Kolejowe S.A.;40715760.05;34608396.04;Nie;administracja;Nie
Przebudowa instalacji zwiπzanej z odzyskiem odpadÛw w Hryniewiczach k. Bia≥egostoku;"PrzedsiÍbiorstwo Us≥ugowo-Handlowo-Produkcyjne ""LECH"" SpÛ≥ka z o.o.";82371255.32;34605327.83;Nie;ochrona úrodowiska;Nie
Poprawa gospodarki wodno-úciekowej we Wroc≥awiu- Etap IV;Miejskie PrzedsiÍbiorstwo WodociπgÛw i Kanalizacji S.A.;69969862.65;34520615.50;Nie;ochrona úrodowiska;Nie
Przebudowa falochronu wschodniego w åwinoujúciu;Urzπd Morski w Szczecinie;42271018.84;34506819.76;Nie;transport;Nie
FARMA WIATROWA WICKO 10 MW.;Szelf Sp. z o.o.;71115806.04;34187536.15;Nie;energetyka;Nie
Przebudowa sieci ciep≥owniczej wodnej w Dalkia £Ûdü S.A. w celu ograniczenia strat ciep≥a;Veolia Energia £Ûdü SpÛ≥ka Akcyjna;60187383.48;34162873.12;Nie;energetyka;Nie
Kompleksowe zabezpieczenie przeciwpowodziowe Øu≥aw - Etap I - Miasto Elblπg;Gmina Miasto Elblπg;40053777.68;34045711.02;Nie;bezpieczeÒstwo;Nie
Zakup sprzÍtu pomiarowego oraz ratowniczego przez Zarzπd Morskich PortÛw Szczecin i åwinoujúcie S.A.;Zarzπd Morskich PortÛw Szczecin i åwinoujúcie S.A.;42307332.98;34000000.00;Nie;transport;Tak
Budowa Zak≥adu Zagospodarowania OdpadÛw w Myúlenicach dla powiatÛw myúlenickiego i limanowskiego.;Zak≥ad Utylizacji OdpadÛw Sp. z o.o.;60570264.04;33920441.37;Nie;ochrona úrodowiska;Nie
Rozbudowa DK8 do parametrÛw drogi ekspresowej na odcinku PiotrkÛw Trybunalski - Rawa Mazowiecka;Generalna Dyrekcja DrÛg Krajowych i Autostrad;1928070164.18;33817877.44;Nie;transport;Tak
Budowa czterech elektrowni wiatrowych w gminie B≥aszki;KrzemieÒ i WspÛnicy Sp. z o.o.;59774500.00;33770889.85;Nie;energetyka;Nie
RPD sektora transportu na rok 2013 (CUPT);Centrum Unijnych ProjektÛw Transportowych;40565000.00;33677000.00;Nie;administracja;Nie
Zmniejszenie strat energii w sieci ciep≥owniczej Miasta Radomia;"Radomskie PrzedsiÍbiorstwo Energetyki Cieplnej ""RADPEC"" S.A.";57077588.67;33281502.72;Nie;energetyka;Nie
Poprawa gospodarki wodno-úciekowej aglomeracji E≥k;PRZEDSI BIORSTWO WODOCI•G”W I KANALIZACJI SP”£KA Z OGRANICZON• ODPOWIEDZIALNOåCI•;72686014.82;33165800.80;Nie;ochrona úrodowiska;Nie
Budowa statku ratowniczego I kat. typu SARñ3000/III;Morska S≥uøba Poszukiwania i Ratownictwa (S≥uøba SAR);39335010.70;33079459.09;Nie;transport;Tak
Zakup nowych i uøywanych platform podkontenerowych (wagonÛw intermodalnych) do obs≥ugi wybranych po≥πczeÒ intermodalnych;POLZUG Intermodal Polska SpÛ≥ka z ograniczonπ odpowiedzialnoúciπ;135713027.11;33037738.32;Nie;transport;Tak
RPD sektora transport na rok 2012 (PKP PLK S.A.);PKP Polskie Linie Kolejowe S.A.;38761769.67;32947504.21;Nie;administracja;Nie
Modernizacja systemu ciep≥owniczego Miasta Szczecin-Lewobrzeøe;SzczeciÒska Energetyka Cieplna Sp. z o.o.;89672272.75;32911290.13;Nie;energetyka;Nie
Modernizacja i rozbudowa systemu kanalizacyjnego Miasta Jaworzna - FAZA II.;Miejskie PrzedsiÍbiorstwo WodociπgÛw i Kanalizacji Sp. z o.o. Jaworzno;66525068.92;32621617.62;Nie;ochrona úrodowiska;Nie
Kompleksowy system gospodarki odpadami komunalnymi w RzÍdowie Gmina TuczÍpy;Zak≥ad Gospodarki Odpadami Komunalnymi SpÛ≥ka z ograniczonπ odpowiedzialnoúciπ;56625530.67;32298702.88;Nie;ochrona úrodowiska;Tak
