Name des Begünstigten,Bezeichnung des Vorhabens,Jahr Bewilligung ,Jahr Projektende,Gewährte Beträge,bei Abschluss des Vorhabens gezahlte Gesamtbeträge
Arbeitsförderungs-Zentrum im Lande Bremen GmbH,Projektbüro Tourismus,2008,2010,,"491087,1"
Arbeitsförderungs-Zentrum im Lande Bremen GmbH,"""Frauen im Aufwind"" Qualifizierungsprojekt für Frauen 50+
ohne Leistungsbezug",2008,2010,"323185,68",
Arbeitsförderungs-Zentrum im Lande Bremen GmbH,"MAE, Fehlbedarf, Perspektive Kita, AFZ",2011,2014,"704014,01",
Arbeitsförderungs-Zentrum im Lande Bremen GmbH,afz Beratung,2011,2013,"1807689,92",
Arbeitsförderungs-Zentrum im Lande Bremen GmbH,"Beratung und Stadtteilentwicklung ""Lehe-Grünhöfe-
Leherheide""",2008,2010,,"1817517,64"
Arbeitsförderungs-Zentrum im Lande Bremen GmbH,Kita: Arbeit - Bildung - Perspektiven für Beschäftigte,2008,2010,"520063,85",
Arbeitsförderungs-Zentrum im Lande Bremen GmbH,Kita: Arbeit - Bildung - Perspektiven für Arbeitslose,2008,2010,"1156339,39",
Arbeitsförderungs-Zentrum im Lande Bremen GmbH,Regiestelle TZ-Umschulung,2012,2013,"84055,38",
Arbeitsförderungs-Zentrum im Lande Bremen GmbH,"Frauen im Aufwind - Qualifizierungsprojekt für Frauen ohne
Leistungsbezug",2011,2013,"406384,59",
ArBiS Bremen gGmbH,"Bremen produktiv - integrativ ArBiS Bremen / Soziale und
Arbeitsintegration (integrativ)",2008,2010,,"239182,48"
ArBiS Bremen gGmbH,"MAE. ArBiS Bremen gGmbH, ""Soziale und
Arbeitsintegration für Menschen mit persönlichen
Einschränkungen und Leistungshemmnissen"", geförderte",2011,2013,601300,
"AS Abrechnungsstelle
für Heil-, Hilfs-, u. Pflegeberufe GmbH",Ausbildungsverhältnis,2013,2014,5000,
"AUCOOP
Handwerks- und Ausbildungskooperative Bremen eV.","Injobs-ESF Aucoop/Lagerhaus U65R11, geförderte
Beschäftigung",2011,2011,,"204053,69"
