Name des Begünstigten,Ort,Bezeichnung des Vorhabens,Beginn des Vorhabens,Ende des Vorhabens,Gewährte öffentliche Beträge in EUR
"Kreisausschuss des Landkreises Waldeck-
Frankenberg",Korbach,Passgenau in Arbeit (PiA),01.01.2008 , 31.12.2008,"239.610,00"
"Kreisausschuss des Landkreises Waldeck-
Frankenberg",Korbach,Passgenau in Arbeit (PiA),01.01.2009 , 31.12.2009,"230.675,00"
"Kreisausschuss des Landkreises Waldeck-
Frankenberg",Korbach,Passgenau in Arbeit (PiA),01.01.2010 , 31.12.2010,"155.889,00"
"Kreisausschuss des Landkreises Waldeck-
Frankenberg",Korbach,Arbeitsmarktbudget,01.01.2011 , 31.12.2011,"150.798,00"
"Kreisausschuss des Landkreises Waldeck-
Frankenberg",Korbach,Arbeitsmarktbudget,01.01.2012 , 31.12.2012,"131.445,00"
"Kreisausschuss des Landkreises Waldeck-
Frankenberg",Korbach,Arbeitsmarktbudget,01.01.2013 , 31.12.2013,"189.900,00"
Kreisausschuss des Main-Kinzig-Kreises,Gelnhausen,Arbeitsmarktbudget,01.01.2012 , 31.12.2012,"463.700,00"
Kreisausschuss des Main-Kinzig-Kreises,Gelnhausen,Arbeitsmarktbudget,01.01.2013 , 31.12.2013,"463.400,00"
Kreisausschuss des Odenwaldkreises,Erbach,Passgenau in Arbeit (PiA),01.01.2008 , 31.12.2008,"111.746,00"
Kreisausschuss des Odenwaldkreises,Erbach,Ausbildung in Partnerschaften,05.05.2008 , 31.07.2011,"80.963,00"
"Kreisausschuss des Landkreises Waldeck-
Frankenberg",Korbach,Passgenau in Arbeit (PiA),01.01.2008 , 31.12.2008,"239.610,00"
"Kreisausschuss des Landkreises Waldeck-
Frankenberg",Korbach,Passgenau in Arbeit (PiA),01.01.2009 , 31.12.2009,"230.675,00"
"Kreisausschuss des Landkreises Waldeck-
Frankenberg",Korbach,Passgenau in Arbeit (PiA),01.01.2010 , 31.12.2010,"155.889,00"
"Kreisausschuss des Landkreises Waldeck-
Frankenberg",Korbach,Arbeitsmarktbudget,01.01.2011 , 31.12.2011,"150.798,00"
"Kreisausschuss des Landkreises Waldeck-
Frankenberg",Korbach,Arbeitsmarktbudget,01.01.2012 , 31.12.2012,"131.445,00"
"Kreisausschuss des Landkreises Waldeck-
Frankenberg",Korbach,Arbeitsmarktbudget,01.01.2013 , 31.12.2013,"189.900,00"
Kreisausschuss des Main-Kinzig-Kreises,Gelnhausen,Arbeitsmarktbudget,01.01.2012 , 31.12.2012,"463.700,00"
Kreisausschuss des Main-Kinzig-Kreises,Gelnhausen,Arbeitsmarktbudget,01.01.2013 , 31.12.2013,"463.400,00"
Kreisausschuss des Odenwaldkreises,Erbach,Passgenau in Arbeit (PiA),01.01.2008 , 31.12.2008,"111.746,00"
Kreisausschuss des Odenwaldkreises,Erbach,Ausbildung in Partnerschaften,05.05.2008 , 31.07.2011,"80.963,00"
Kreisausschuss des Odenwaldkreises,Erbach,Ausbildung in Partnerschaften,18.05.2009 , 21.08.2009,"5.178,00"
Kreisausschuss des Odenwaldkreises,Erbach,Passgenau in Arbeit (PiA),01.01.2009 , 31.12.2009,"118.148,00"
Kreisausschuss des Odenwaldkreises,Erbach,Ausbildung in Partnerschaften,05.05.2010 , 31.07.2013,"85.242,00"
Kreisausschuss des Odenwaldkreises,Erbach,Passgenau in Arbeit (PiA),01.01.2010 , 31.12.2010,"126.385,00"
Kreisausschuss des Odenwaldkreises,Erbach,Arbeitsmarktbudget,01.01.2011 , 31.12.2011,"137.724,00"
Kreisausschuss des Odenwaldkreises,Erbach,Arbeitsmarktbudget,01.01.2012 , 31.12.2012,"115.539,00"
Kreisausschuss des Odenwaldkreises,Erbach,Studien und Modelle in der Bildung,01.08.2012 , 31.10.2013,"78.400,00"
Kreisausschuss des Odenwaldkreises,Erbach,Arbeitsmarktbudget,01.01.2013 , 31.12.2013,"160.409,00"
"Kreisausschuss des Rheingau-Taunus-
Kreises",Bad Schwalbach,Passgenau in Arbeit (PiA),01.01.2008 , 31.12.2008,"176.082,00"
"Kreisausschuss des Rheingau-Taunus-
Kreises",Bad Schwalbach,Passgenau in Arbeit (PiA),01.01.2009 , 31.12.2009,"183.137,00"
Kreisausschuss des Odenwaldkreises,Erbach,Ausbildung in Partnerschaften,18.05.2009 , 21.08.2009,"5.178,00"
Kreisausschuss des Odenwaldkreises,Erbach,Passgenau in Arbeit (PiA),01.01.2009 , 31.12.2009,"118.148,00"
Kreisausschuss des Odenwaldkreises,Erbach,Ausbildung in Partnerschaften,05.05.2010 , 31.07.2013,"85.242,00"
