Name des Begünstigten/beneficiary name,Bezeichnung des Vorhabens/operation name,Zusammenfassung des Vorhabens/operation summary,Datum des Beginns des Vorhabens/operation start date,Datum des Endes des Vorhabens/operation end date,Gesamtbetrag der förderfähigen Ausgaben des Vorhabens/total eligible expenditure allocated to the operation,Postleitzahl des Vorhabens/operation postcode,Land/country,Bezeichnung der Interventionskategorie für das Vorhaben/name of category of intervention for the operation,Spezifisches Ziel/specific objective,Internet-Adresse des Vorhabens/website of the operation
AST GmbH  ,Coaching,Förderprogramm Coaching 2015,21.04.2015,20.04.2016,"12.000,00",89134,Deutschland,106,A 5.1,www.ast-safety.com
ATEC GmbH Sondermaschinen-/ Anlagenbau,Coaching,Förderprogramm Coaching 2015,18.08.2015,31.07.2016,"12.000,00",77746,Deutschland,106,A 5.1,www.atec-automation.com
ATERA GmbH  ,Coaching,Förderprogramm Coaching 2016,01.05.2016,31.12.2016,"9.000,00",88299,Deutschland,106,A 5.1,www.atera.de
AURON GmbH  ,Fachkurse,Förderprogramm Fachkurse 2015/2016,03.03.2016,31.08.2016,"363.888,00",88677,Deutschland,106,A 5.1,www.auroncad.de
AWI Akademie der Wohnungs- und Immobilienwirtschaft GmbH,Fachkurse,Förderprogramm Fachkurse 2015-2016,01.09.2015,31.08.2016,"384.250,00",70174,Deutschland,106,A 5.1,www.awi-vbw.de
AWI Akademie der Wohnungs- und Immobilienwirtschaft GmbH,Fachkurse,Förderprogramm Fachkurse 2015,01.01.2015,31.08.2015,"145.965,00",70174,Deutschland,106,A 5.1,www.awi-vbw.de
AWO Böblingen-Tübingen gGmbH ,ADIM ADIM ,"ADIM ADIM - Projekt zur sozialen und beruflichen Integration von MigrantInnen. Es beinhaltet folgende Bausteine, die TN selbst zusammenstellen können. Deutsch- und Berufsorientierungskurse, PC-Kurse, Coaching a.d. Weg in den Beruf, pädagogische Begleitung",01.01.2016,31.12.2016,"117.800,82",71034,Deutschland,109,B 1.1,www.awo-kv-boeblingen.de
AWO Böblingen-Tübingen gGmbH ,ADIM ADIM,ADIM ADIM - Schritt für Schritt.  Ein Projekt zur Förderung der sozialen und beruflichen Inklöusion von Migrantinnen und Migranten.,01.01.2015,31.12.2015,"132.950,00",71034,Deutschland,109,B 1.1,www.awo-bb-tue.de
AWO Familien- und Migrations gGmbH ,X-tra4U,X-tra4U - ein Projekt zur Vermeidung von Schulversagen und Schulabbruch für die Klassenstufen 7-10 an der Thomas-Schweicker-Werkrealschule Schwäbisch Hall,01.01.2015,31.12.2016,"122.701,15",74523,Deutschland,115,C 1.1,www.awo-sha.de
AWO Karlsruhe gemeinnützige GmbH ,AWOrks 2015,AWOrks - Offene Beschäftigungsangebote für Menschen mit Handicap,01.01.2015,31.12.2015,"336.928,19",76185,Deutschland,109,B 1.1,www.awo-karlsruhe.de
AWO Karlsruhe gemeinnützige GmbH ,Schule des Lebens,Unterstützung für Schüler und Schülerinnen die durch aktive oder passive Verweigerungshaltung ihren Schulabschluss gefährden.,01.01.2016,31.12.2016,"169.147,84",76227,Deutschland,115,C 1.1,www.awo-karlsruhe.de
Abtis GmbH  ,Coaching,Förderprogramm Coaching 2015,24.08.2015,24.08.2016,"12.000,00",75179,Deutschland,106,A 5.1,www.abtis.de
Actilog Solutions GmbH ,Coaching,Förderprogramm Coaching 2015,01.07.2015,31.12.2015,"12.000,00",79761,Deutschland,106,A 5.1,www.iftest.ch
Adolf Wurst GmbH  ,Coaching,Förderprogramm Coaching 2015,05.10.2015,05.10.2016,"12.000,00",71522,Deutschland,106,A 5.1,www.badforumbacknang.de
Agil Software GmbH  ,Coaching,Förderprogramm Coaching 2016,01.03.2016,31.12.2016,"9.000,00",73312,Deutschland,106,A 5.1,www.agil-software.de
AgilEvent GmbH  ,Orten. Bildungslotse,Ortenauer Bildungslotse,01.01.2015,31.12.2015,"199.510,82",77736,Deutschland,115,C 1.1,www.agilevent.de
