SAM / pasākuma nr.,Projekta nosaukums,Finansējuma saņēmējs,Kopējais finansējums,ES finansējums,Projekta īstenošanas vieta
11.1.1.,Tehniskā palīdzība integrēto teritoriju investīciju projektu iesniegumu atlases nodrošināšanai Jēkabpils pilsētas pašvaldībā.,Jēkabpils pilsētas pašvaldība,"46666,00","39666,00","Brīvības iela 120, Jēkabpils, LV-5201"
11.1.1.,Atbalsts EM un LIAA vadības funkciju nodrošināšanā,LR Ekonomikas ministrija,"3203340,00","2722839,00","Brīvības iela 55, Rīga, LV-1010"
11.1.1.,ERAF tehniskā palīdzība Iepirkumu uzraudzības birojam Eiropas Savienības fondu administrēšanā un uzraudzībā,Iepirkumu uzraudzības birojs,"560000,00","476000,00","Eksporta iela 6, Rīga, LV-1010"
11.1.1.,Tehniskā palīdzība integrētu teritoriju investīciju projektu iesniegumu atlases nodrošināšanai Liepājā,Liepājas pilsētas pašvaldība,"46666,00","39666,00",
11.1.1.,"Izglītības un zinātnes ministrijas kapacitātes stiprināšana Eiropas Savienības struktūrfondu plānošanai, ieviešanai un uzraudzībai 2014-2020.gada plānošanas periodā, 1.kārta",Izglītības un zinātnes ministrija,"4876000,00","4144600,00","Vaļņu iela 2, Rīga, LV-1050 Vaļņu iela 1, Rīga, LV-1050"
11.1.1.,Tehniskā palīdzība Tieslietu ministrijas kā atbildīgās iestādes darbības nodrošināšanai,Latvijas Republikas Tieslietu ministrija,"490000,00","416500,00","Brīvības bulvāris 36, Rīga, LV-1050 Raiņa bulvāris 15, Rīga, LV-1050"
11.1.1.,Integrētu teritoriālo investīciju projektu iesniegumu atlases nodrošināšana Jelgavas pilsētas pašvaldībā,Jelgavas pilsētas dome,"46666,00","39666,00","Lielā iela 11, Jelgava, LV-3001"
11.1.1.,Tehniskā palīdzība Valsts kancelejas kā Eiropas Savienības fondu atbildīgās iestādes funkciju nodrošināšanai,Valsts Kanceleja,"873800,00","742730,00","Brīvības bulvāris 36, Rīga, LV-1050"
11.1.1.,Tehniskā palīdzība Valsts kases kā sertifikācijas iestādes funkciju nodrošināšanai,Valsts kase,"490000,00","416500,00","Smilšu iela 1, Rīga, LV-1050"
11.1.1.,Eiropas Savienības fondu administrēšana Labklājības ministrijā 2014.-2020.gada plānošanas periodā (1.kārta),Labklājības ministrija,"1843658,00","1567109,00",
11.1.1.,Tehniskā palīdzība Satiksmes ministrijai kā Eiropas Savienības fondu atbildīgajai iestādei 2016.-2018.gadā,LR Satiksmes ministrija,"1278000,00","1086300,00","Gogoļa iela 3, Rīga, LV-1050"
11.1.1.,Projektu atlases kontroles sistēmas izveide un ieviešana Valmieras pilsētas pašvaldībā,Valmieras pilsētas pašvaldība,"46666,00","39666,00","Lāčplēša iela 2, Valmiera, LV-4201"
11.1.1.,Tehniskās palīdzības nodrošināšana Eiropas Savienības fondu projektu iesniegumu atlases veikšanai Rēzeknes pilsētas pašvaldībā 2014. – 2020.gada plānošanas periodā.,Rēzeknes pilsētas dome,"46666,00","39666,00","Atbrīvošanas aleja 93, Rēzekne, LV-4601"
11.1.1.,"Eiropas Reģionālās attīstības fonda atbalsts Vides aizsardzības un reģionālās attīstības ministrijai Kohēzijas politikas fondu plānošanā, ieviešanā, uzraudzībā un kontrolē",Vides aizsardzības un reģionālās attīstības ministrija,"3018000,00","2565300,00","Pils iela 17, Rīga, LV-1050 Vaļņu iela 30, Rīga, LV-1050 Elizabetes iela 19, Rīga, LV-1010 Peldu iela 25, Rīga, LV-1050"
11.1.1.,Atbalsts integrēto teritoriālo investīciju projektu atlasei Ventspilī,Ventspils pilsētas dome,"46666,00","39666,00","Jūras iela 36, Ventspils, LV-3601"
11.1.1.,Daugavpils pilsētas pašvaldības kapacitātes palielināšana Eiropas Savienības fondu plānošanas un izvērtēšanas procesa nodrošināšanai,Daugavpils pilsētas pašvaldība,"46666,00","39666,00","Krišjāņa Valdemāra iela 1, Daugavpils, LV-5401"
11.1.1.,Tehniskā palīdzība Eiropas Savienības fondu atbildīgajai iestādei Latvijā,Kultūras ministrija,"340000,00","289000,00",
11.1.1.,Tehniskā palīdzība Veselības ministrijai kā Eiropas Savienības fondu atbildīgajai iestādei,Latvijas Republikas Veselības ministrija,"655868,00","557487,00",
11.1.1.,Tehniskā palīdzība Rīgas pilsētas pašvaldības integrēto teritoriālo investīciju projektu iesniegumu atlases nodrošināšanai Eiropas Savienības fondu 2014.-2020.gada plānošanas periodā,Rīgas dome,"46666,00","39666,00","Rātslaukums 1, Rīga, LV-1050"
11.1.1.,Atbalsts integrētu teritoriālo investīciju īstenošanai Jūrmalas pilsētas pašvaldībā,Jūrmalas pilsētas dome,"46666,00","39666,00","Jomas iela 1/5, Jūrmala, LV-2015"
12.1.1.,Kohēzijas fonda atbalsts Kohēzijas politikas fondu ieviešanai un vadībai Centrālajā finanšu un līgumu aģentūrā,Centrālā finanšu un līgumu aģentūra,"14331905,00","12182119,00",
12.1.1.,Tehniskā palīdzība Eiropas Savienības struktūrfondu un Kohēzijas fonda vadošajai iestādei Latvijā 2014.-2020.gada plānošanas periodā,Finanšu ministrija,"6950000,00","5907500,00",
12.1.1.,Tehniskā palīdzība Finanšu ministrijai kā Eiropas Savienības fondu Revīzijas iestādei,Finanšu ministrija,"1680000,00","1428000,00",
12.1.1.,Darbības programmas “Izaugsme un nodarbinātība” horizontālā principa “Ilgtspējīga attīstība” politikas koordinācija – plānošana un īstenošanas uzraudzība Vides aizsardzības un reģionālās attīstības ministrijā,Vides aizsardzības un reģionālās attīstības ministrija,"140000,00","119000,00","Vaļņu iela 30, Rīga, LV-1050"
12.1.1.,Horizontālā principa “Vienlīdzīgas iespējas” politikas koordinēšanas funkciju nodrošināšana Labklājības ministrijā (2015.-2018. gads),Labklājības ministrija,"130000,00","110500,00",
