"Name des Begünstigten / beneficiary name","Bezeichnung des Vorhabens / operation name","Zusammenfassung des Vorhabens / operation summary","Datum des Beginns des Vorhabens / operation start date","Datum des Endes des Vorhabens / operation end date","Gesamtbetrag der förderfähigen Ausgaben des Vorhabens / total eligible expenditure allocated to the operation","Unions-Kofinanzierungssatz pro Prioritätsachse / Union co-financing rate, as per priority axis","Postleitzahl des Vorhabens / operation postcode","Land / country","Interventionsbereich / intervention field","Finanzierungsform / form of finance","Art des Gebiets / territorial dimension","Territoriale Umsetzungsmechanismen / territorial delivery mechanism","Thematisches Ziel / thematic objective dimension"
Hochschule Aschaffenburg,Open Innovation Lab für Angewandte Lasertechnik und Photonik,"Vor dem Hintergrund zunehmender Nachfrage der Wirtschaft nach innovativen Fertigungstechniken zur Realisierung neuer Produkte und Prozesse stellt Open Innovation Lab Angebote im Bereich ressourceneffizienter, laserbasierter Fertigungstechnologien zur Verfügung.",24.07.2015,31.12.2020,5700388,50%*,63739,Aschaffenburg,"062 - Technologietransfer und Zusammenarbeit zwischen Hochschulen und Unternehmen, vor allem zugunsten von KMU",01 - Nicht rückzahlbare Finanzhilfe,04 - Gebiete der makroregionalen Zusammenarbeit,07 - Nicht zutreffend,"01 - Stärkung von Forschung, technologischer Entwicklung und Innovation"
Hochschule Coburg,"Innovationsterminal für Unternehmen in der ehemaligen nordbayerischen Grenzregion (""InnoTerm"")",Es soll in Zusammenarbeit mit kleinen und mittleren Unternehmen auf dem Gebiet der Sensor- und Aktortechnik eine regionale Plattform für einen kontinuierlichen Technologietransfer eingerichtet werden.,21.12.2015,31.12.2020,4164000,50%*,96450,Coburg,"062 - Technologietransfer und Zusammenarbeit zwischen Hochschulen und Unternehmen, vor allem zugunsten von KMU",01 - Nicht rückzahlbare Finanzhilfe,04 - Gebiete der makroregionalen Zusammenarbeit,07 - Nicht zutreffend,"01 - Stärkung von Forschung, technologischer Entwicklung und Innovation"
"Hochschule für angewandte Wissenschaften Ansbach (HAW Ansbach), Ingenieurwissenschafltiche Fakultät",TZM (Technologie-Transferzentrum für den Mittelstand),"Das Technologie-Transferzentrum für den Mittelstand (TZM) ist ein lehrstuhlübergreifendes Gemeinschaftsprojekt der ingenieurwissen-schaftlichen Fakultät (Studiengänge Energie- und Umweltsystemtechnik, Biomedizinische Technik und Wirtschaftsingenieurswesen) für Westmittelfranken.",01.01.2016,31.12.2020,3300000,50%*,91522,"Ansbach , Mittelfr","062 - Technologietransfer und Zusammenarbeit zwischen Hochschulen und Unternehmen, vor allem zugunsten von KMU",01 - Nicht rückzahlbare Finanzhilfe,04 - Gebiete der makroregionalen Zusammenarbeit,07 - Nicht zutreffend,"01 - Stärkung von Forschung, technologischer Entwicklung und Innovation"
Hochschule für angewandte Wissenschaften Würzburg-Schweinfurt (FHWS),Technologietransfer Hochschule - Mittelstand Mainfranken,"Mit dem Projekt „Technologietransfer Hochschule – Mittelstand Mainfranken” an
der Hochschule Würzburg-Schweinfurt soll über innovative Informations- und
Kommunikationstechnologien die Vernetzung von Wissenschaft und Wirtschaft in
der Region Mainfranken weiterentwickelt werden.",16.10.2015,31.12.2018,414413,50%*,97070,Würzburg,"062 - Technologietransfer und Zusammenarbeit zwischen Hochschulen und Unternehmen, vor allem zugunsten von KMU",01 - Nicht rückzahlbare Finanzhilfe,04 - Gebiete der makroregionalen Zusammenarbeit,07 - Nicht zutreffend,"01 - Stärkung von Forschung, technologischer Entwicklung und Innovation"
Hohenberger Tapeten Manufaktur GmbH,Markterschließung USA,Umsetzung der Markteintrittsstrategie für die USA. Webseite wird an den amerikanischen Makt angepasst um die Podrukte auch an die amerikanischen Kunden zu vertreiben.,23.07.2015,22.07.2016,40000,25%*,95691,Hohenberg a d Eger,"066 - Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse (einschließlich Dienstleistungen für Management, Marketing und Design)",01 - Nicht rückzahlbare Finanzhilfe,04 - Gebiete der makroregionalen Zusammenarbeit,07 - Nicht zutreffend,03 - Stärkung der Wettbewerbsfähigkeit von kleinen und mittleren Unternehmen
Hotel Drei Quellen Therme GmbH & Co.KG,Modernisierung,"Modernisierung, Hotel Drei Quellen Therme GmbH & Co.KG IN Griesbach i Rottal",08.09.2015,31.12.2018,1150000,25%*,94086,Griesbach i Rottal,001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“),01 - Nicht rückzahlbare Finanzhilfe,04 - Gebiete der makroregionalen Zusammenarbeit,07 - Nicht zutreffend,03 - Stärkung der Wettbewerbsfähigkeit von kleinen und mittleren Unternehmen
Hotel Eibl-Brunner KG,Erweiterung,"Erweiterung, Hotel Eibl-Brunner KG IN Frauenau , Bayerischer Wald",23.12.2014,31.12.2016,6635000,25%*,94258,"Frauenau , Bayerischer Wald",001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“),01 - Nicht rückzahlbare Finanzhilfe,04 - Gebiete der makroregionalen Zusammenarbeit,07 - Nicht zutreffend,03 - Stärkung der Wettbewerbsfähigkeit von kleinen und mittleren Unternehmen
Huber & Ranner GmbH,Rationalisierung,"Rationalisierung, Huber & Ranner GmbH IN Pocking",04.09.2015,31.12.2016,2700000,25%*,94060,Pocking,001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“),01 - Nicht rückzahlbare Finanzhilfe,04 - Gebiete der makroregionalen Zusammenarbeit,07 - Nicht zutreffend,03 - Stärkung der Wettbewerbsfähigkeit von kleinen und mittleren Unternehmen
Hummelsberger Schlosserei GmbH,Erschließung des Zielmarktes Großbritannien,Markterschließung für Solartank.,10.08.2015,09.08.2016,32550,25%*,84453,Mühldorf a Inn,"066 - Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse (einschließlich Dienstleistungen für Management, Marketing und Design)",01 - Nicht rückzahlbare Finanzhilfe,04 - Gebiete der makroregionalen Zusammenarbeit,07 - Nicht zutreffend,03 - Stärkung der Wettbewerbsfähigkeit von kleinen und mittleren Unternehmen
Hummelsberger Schlosserei GmbH,Erschließung des Zielmarktes Italien,Markterschließung für Solartank.,10.08.2015,09.08.2016,38350,25%*,84453,Mühldorf a Inn,"066 - Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse (einschließlich Dienstleistungen für Management, Marketing und Design)",01 - Nicht rückzahlbare Finanzhilfe,04 - Gebiete der makroregionalen Zusammenarbeit,07 - Nicht zutreffend,03 - Stärkung der Wettbewerbsfähigkeit von kleinen und mittleren Unternehmen
Hydewa GmbH,Markterschließung Italien,Vertrieb von hygienischen Decken- und Wandsystemen auf dem italienischen Markt.,18.05.2015,17.05.2017,40000,25%*,95466,"Weidenberg , Fichtelgeb","066 - Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse (einschließlich Dienstleistungen für Management, Marketing und Design)",01 - Nicht rückzahlbare Finanzhilfe,04 - Gebiete der makroregionalen Zusammenarbeit,07 - Nicht zutreffend,03 - Stärkung der Wettbewerbsfähigkeit von kleinen und mittleren Unternehmen
Josef Allgaier GmbH & Co. KG und Allgaier Kunststoffverarbeitung GmbH & Co. KG,Erweiterung,"Erweiterung, Josef Allgaier GmbH & Co. KG und Allgaier Kunststoffverarbeitung GmbH & Co. KG IN Nesselwang",16.03.2015,30.04.2016,3970000,25%*,87484,Nesselwang,001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“),01 - Nicht rückzahlbare Finanzhilfe,03 - Ländliche Gebiete (dünn besiedelt),07 - Nicht zutreffend,03 - Stärkung der Wettbewerbsfähigkeit von kleinen und mittleren Unternehmen
Josef Ziegler GmbH,inErweiterung,"inErweiterung, Josef Ziegler GmbH IN Plößberg , Oberpf",03.02.2015,31.12.2015,2200000,25%*,95703,"Plößberg , Oberpf",001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“),01 - Nicht rückzahlbare Finanzhilfe,03 - Ländliche Gebiete (dünn besiedelt),07 - Nicht zutreffend,03 - Stärkung der Wettbewerbsfähigkeit von kleinen und mittleren Unternehmen
Lang Cajetan GmbH & Co. KG,Rationalisierung,"Rationalisierung, Lang Cajetan GmbH & Co. KG IN Eggenfelden",14.07.2014,31.12.2015,"880879,34",25%*,84307,Eggenfelden,001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“),01 - Nicht rückzahlbare Finanzhilfe,04 - Gebiete der makroregionalen Zusammenarbeit,07 - Nicht zutreffend,03 - Stärkung der Wettbewerbsfähigkeit von kleinen und mittleren Unternehmen
LCTech Ges. für Chromatographie und Automatisierung mbH,Erweiterung,"Erweiterung, LCTech Ges. für Chromatographie und Automatisierung mbH IN Dorfen , Stadt",11.08.2015,31.03.2017,4609100,25%*,84419,Obertaufkirchen ,001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“),01 - Nicht rückzahlbare Finanzhilfe,03 - Ländliche Gebiete (dünn besiedelt),07 - Nicht zutreffend,03 - Stärkung der Wettbewerbsfähigkeit von kleinen und mittleren Unternehmen
Lemonstorm GmbH,Markterschliessung Frankreich,Internationale Online-Shops innerhalb der EU.,14.07.2015,13.07.2016,66667,25%*,90429,Nürnberg,"066 - Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse (einschließlich Dienstleistungen für Management, Marketing und Design)",01 - Nicht rückzahlbare Finanzhilfe,04 - Gebiete der makroregionalen Zusammenarbeit,07 - Nicht zutreffend,03 - Stärkung der Wettbewerbsfähigkeit von kleinen und mittleren Unternehmen
LfA Förderbank Bayern - Bayern Kapital,Bayern Kapital Innovationsfonds EFRE,"Die Fondsmittel des Bayern Kapital Innovationsfonds EFRE sollen vorrangig in innovative, technologieorientierter KMU in den Schwerpunktfeldern gemäß der regionalen Innovationsstrategie für Bayern in der Seed- und Start-up-Phase investiert werden.",01.10.2015,31.12.2023,20000000,25%*,,,001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“),"03 - Unterstützung durch Finanzinstrumente: Risikokapital, Beteiligungskapital oder Gleichwertiges",03 - Ländliche Gebiete (dünn besiedelt),07 - Nicht zutreffend,03 - Stärkung der Wettbewerbsfähigkeit von kleinen und mittleren Unternehmen
Maintal Konfitüren GmbH,Markterschließung Spanien,"Markterschließung Spanien inkl. Marktstudien, Beratungen, Adressrecherchen und Messeteilnahme.",29.07.2015,27.08.2016,29550,25%*,97437,Haßfurt,"066 - Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse (einschließlich Dienstleistungen für Management, Marketing und Design)",01 - Nicht rückzahlbare Finanzhilfe,04 - Gebiete der makroregionalen Zusammenarbeit,07 - Nicht zutreffend,03 - Stärkung der Wettbewerbsfähigkeit von kleinen und mittleren Unternehmen
MARAWE GmbH & Co. KG,Markterschließung Schweiz,"Vertrieb der Produkte aus dem Bereich der Galvanotechnik, der Veredelung von Oberflächen sowie der Analytik von Edelmetallen auf dem schweizer Markt.",18.12.2015,17.12.2016,37000,25%*,93055,Regensburg,"066 - Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse (einschließlich Dienstleistungen für Management, Marketing und Design)",01 - Nicht rückzahlbare Finanzhilfe,04 - Gebiete der makroregionalen Zusammenarbeit,07 - Nicht zutreffend,03 - Stärkung der Wettbewerbsfähigkeit von kleinen und mittleren Unternehmen
Markt Eschlkam,Errichtung des „Mehr-Blick-Hauses“ im Markt Eschlkam,Errichtung des „Mehr-Blick-Hauses“ im Markt Eschlkam mit einer neuen Tourist-Info und einem Veranstaltungssaal für Gäste in Eschlkam und der Umgebung,02.07.2015,31.12.2016,"108986,76",25%*,93458,Eschlkam,"092 - Schutz, Entwicklung und Förderung öffentlicher touristischer Ressourcen",01 - Nicht rückzahlbare Finanzhilfe,03 - Ländliche Gebiete (dünn besiedelt),07 - Nicht zutreffend,03 - Stärkung der Wettbewerbsfähigkeit von kleinen und mittleren Unternehmen
Mikro Präzision GmbH und Albert Schwarzfischer,Erweiterung,"Erweiterung, Mikro Präzision GmbH und Albert Schwarzfischer IN Roding , Regen",16.02.2015,31.12.2017,2050000,25%*,93426,"Roding , Regen",001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“),01 - Nicht rückzahlbare Finanzhilfe,04 - Gebiete der makroregionalen Zusammenarbeit,07 - Nicht zutreffend,03 - Stärkung der Wettbewerbsfähigkeit von kleinen und mittleren Unternehmen
MK-Tools-Service GmbH,Erweiterung,"Erweiterung, MK-Tools-Service GmbH IN Hauzenberg , Niederbayern",21.05.2015,19.06.2018,4114000,25%*,94051,"Hauzenberg , Niederbay",001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“),01 - Nicht rückzahlbare Finanzhilfe,04 - Gebiete der makroregionalen Zusammenarbeit,07 - Nicht zutreffend,03 - Stärkung der Wettbewerbsfähigkeit von kleinen und mittleren Unternehmen
Neue Materialien Bayreuth GmbH,Institutionelle Förderung der Neue Materialien Bayreuth GmbH,Förderung der Neue Materialien Bayreuth GmbH,01.01.2016,31.12.2016,2500000,50%*,95448,Bayreuth,058 - Forschungs- und Innovationsinfrastruktur (öffentlich),01 - Nicht rückzahlbare Finanzhilfe,"01 - Städtische Ballungsgebiete (dicht besiedelt, Bevölkerung > 50 000)",07 - Nicht zutreffend,"01 - Stärkung von Forschung, technologischer Entwicklung und Innovation"
Oberhaizinger GmbH und Oberhaizinger Immobilien GmbH & Co. KG,Verlagerung,"Verlagerung, Oberhaizinger GmbH und Oberhaizinger Immobilien GmbH & Co. KG IN Marktl , Inn",19.08.2013,31.12.2018,4004300,25%*,84387,"Julbach , Niederbay",001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“),01 - Nicht rückzahlbare Finanzhilfe,04 - Gebiete der makroregionalen Zusammenarbeit,07 - Nicht zutreffend,03 - Stärkung der Wettbewerbsfähigkeit von kleinen und mittleren Unternehmen
"Oberste Baubehörde im Bayer. Staatsministerium des Innern, für Bau und Verkehr, vertreten durch das Staatliche Bauamt Würzburg","Energetische Sanierung des Staatlichen Bauamtes Würzburg, Dienstgebäude Weißenburgstr. 6","Energetische Sanierung des Staatlichen Bauamtes Würzburg, Dienstgebäude Weißenburgstr. 6; Fassaden- und Dachsanierung sowie Austausch der Heizungsregelung",18.06.2015,31.12.2018,5595000,50%*,97082,Würzburg,"013 - Energieeffiziente Renovierung öffentlicher Infrastrukturen, Demonstrationsprojekte und Begleitmaßnahmen",01 - Nicht rückzahlbare Finanzhilfe,"01 - Städtische Ballungsgebiete (dicht besiedelt, Bevölkerung > 50 000)",07 - Nicht zutreffend,04 - Förderung der Bestrebungen zur Verringerung der CO2-Emissionen in allen Branchen der Wirtschaft
Oskar Müller GmbH & Co. KG (Betr.ges.) und HHSG Müller GbR (Bes.fa.),Rationalisierung,"Rationalisierung, Oskar Müller GmbH & Co. KG (Betr.ges.) und HHSG Müller GbR (Bes.fa.) IN Hauzenberg , Niederbayern",02.12.2014,31.12.2015,2000000,25%*,94051,"Hauzenberg , Niederbay",001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“),01 - Nicht rückzahlbare Finanzhilfe,04 - Gebiete der makroregionalen Zusammenarbeit,07 - Nicht zutreffend,03 - Stärkung der Wettbewerbsfähigkeit von kleinen und mittleren Unternehmen
"Quadrus Metalltechnik GmbH, Gsödl und Prüfling GmbH",Modernisierung und Erweiterung,"Modernisierung und Erweiterung, Quadrus Metalltechnik GmbH ( Betr.fa.) und Gsödl und Prüfling GmbH (Besitzfa.) IN Schmidgaden",03.12.2014,31.12.2016,10374000,25%*,92546,Schmidgaden,001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“),01 - Nicht rückzahlbare Finanzhilfe,03 - Ländliche Gebiete (dünn besiedelt),07 - Nicht zutreffend,03 - Stärkung der Wettbewerbsfähigkeit von kleinen und mittleren Unternehmen
Richstein e.K. Hotel zur Post,Modernisierung,"Modernisierung, Richstein e.K. Hotel zur Post IN Bad Füssing",06.08.2015,10.11.2016,1195000,25%*,94072,Bad Füssing,001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“),01 - Nicht rückzahlbare Finanzhilfe,04 - Gebiete der makroregionalen Zusammenarbeit,07 - Nicht zutreffend,03 - Stärkung der Wettbewerbsfähigkeit von kleinen und mittleren Unternehmen
