Name der Begünstigten,Vorhaben,Jahr der Bewilligung,Jahr der Restzahlung,Gewährte Beträge (insgesamt),Bei Abschluss des Vorhabens gezahlte Gesamtbeträge
"Gemeinde Weiskirchen, Weiskirchen",Außenwanddämmung des Dorfgemein- schaftshauses in Thailen,2013,,"19.493,85 €","19.493,85 €"
"Gesellchen GmbH, Illingen",Revalidierung des Umwelt- Managementsystems,2009,,"1.092,00 €","1.001,00 €"
"GHMT AG, Bexbach",Beschäftigung eines Forschungsmitarbeiters,2010,,"16.680,00 €","16.670,05 €"
"GHMT AG, Bexbach",Beschäftigung eines Forschungsmitarbeiters,2012,,"18.000,00 €","18.000,00 €"
"GIU - Gesellschaft für Innovation und Unter- nehmensförderung mbH & Co. Flächenmanage- ment Saarbrücken KG, Saarbrücken","Revitalisierung „Ehemaliges Ausbesse- rungswerk Burbach - awhandwerkerzentrum“ im Stadtteil Burbach der Landeshauptstadt Saarbücken (4. BA, 1. FA)",2009,,"669.900,00 €","378.443,00 €"
"GIU - Gesellschaft für Innovation und Unter- nehmensförderung mbH & Co. Flächenmanage- ment Saarbrücken KG, Saarbrücken","IT-Park Saarland – Erweiterung der Kit@ im Stadtteil Burbach der Landeshauptstadt Saarbrücken (2. BA, 1. und 2. FA)",2009,2011,"495.591,92 €","495.591,92 €"
"GIU - Gesellschaft für Innovation und Unter- nehmensförderung mbH & Co. Flächenmanage- ment Saarbrücken KG, Saarbrücken",IT-Park Saarland – Restmaßnahmen in der Landeshauptstadt Saarbrücken (1. und 2. FA),2010,2014,"1.064.283,00 €",
"GIU - Gesellschaft für Innovation und Unter- nehmensförderung mbH & Co. Flächenmanage- ment Saarbrücken KG, Saarbrücken","Eurobahnhof Saarbrücken – Erschließung Nordfläche (2. BA, 1. und 2. FA)",2010,2014,"5.633.214,00 €",
"GIU - Gesellschaft für Innovation und Unter- nehmensförderung mbH & Co. Flächenmanage- ment Saarbrücken KG, Saarbrücken",aw-Burbach – Restmaßnahmen in der Lan- deshauptstadt Saarbrücken (1. FA),2011,2015,"489.988,00 €",
"GIU - Gesellschaft für Innovation und Unter- nehmensförderung mbH & Co. Flächenmanage- ment Saarbrücken KG, Saarbrücken",Erweiterung Gewerbegebiet Wiesenstraße,2013,2014,"1.434.251,00 €",
"Gräf & Meyer GmbH, Homburg",Entwicklung einer elektronischen Einrichtung zur Kurzschlussisolation für hochohmige Lautsprecherleitungen in elektroakustischen Gefahrenmeldesystemen,2009,,"41.596,00 €","41.596,00 €"
"Gräf & Meyer GmbH, Homburg",Beschäftigung eines Forschungsmitarbeiters,2013,,"17.100,00 €","16.967,00 €"
"Gräf & Meyer GmbH, Homburg","Beschäftigung des Forschungsmitarbeiters Michael Ehrlich, Bachelor of Science",2014,,"24.000,00 €",
"grebitex GmbH, Klarenthal","Externe technische Dienstleistungen, Prü- fungen und Zulassungen im Zusammenhang mit der Umsetzung der notstandby- Technologie in SMD-Technik",2010,,"10.341,00 €","3.298,46 €"
"GUBSE AG, Schiffweiler",Beschäftigung eines Forschungsmitarbeiters,2011,,"18.845,00 €","18.844,99 €"
"GUBSE AG, GUBSE Immobiliengesellschaft I GbR, Schiffweiler",Erweiterung der Betriebsstätte in 66578 Schiffweiler,2012,2015,"283.476,00 €","283.476,00 €"
"Güth GmbH & Co. KG, Saarbrücken",Einführung eines Umwelt- Managementsystems,2011,,"2.664,00 €","2.166,25 €"
"GVT Gesellschaft für Vakuum-Technik mbH, Heusweiler",Einführung eines Umwelt- Managementsystems,2009,,"2.229,50 €","2.214,48 €"
"gwSaar Gesellschaft für Wirtschaftsförderung Saar mbH, Saarbrücken","Erschließung des Industriegebiets „Lisdorfer Berg“, Saarlouis (1. BA, 1. FA)",2012,2013,"20.820.153,00 €",
Haag Marketing & Design GmbH,"Beschäftigung des Forschungsmitarbeiters Niklas Hawener, Bachelor of Science",2014,,"13.200,00 €",
Hager Electro GmbH & Co. KG,Entwicklungsprojekt „Saarland- Stromsparland 1000 Plus“,2013,,"339.280,00 €",
"Handwerkskammer des Saarlandes, Saarbrücken",Aufbau eines Kompetenzzentrums für Metall- technik im Fachbereich Metall der Hand- werkskammer des Saarlandes – Bereich Ausstattung,2009,,"1.651.666,88 €","1.651.666,88 €"
"Handwerkskammer des Saarlandes, Saarbrücken",Aufbau eines Kompetenzzentrums für Metall- technik im Fachbereich Metall der Hand- werkskammer des Saarlandes – Bereich Bau,2010,,"1.817.846,18 €","1.817.846,18 €"
"Handy Man Handelsge- sellschaft mbH, Dirmingen","Softwaretool / Vertriebsmodul zur kanalge- steuerten Angebotserstellung, -Vorhaltung und -Abrechnung  von Hardware in Verbin- dung mit Mobilfunk-Vertragsprodukten im Online- und Offlinehandel",2008,,"53.994,00 €","44.036,77 €"
"Hans Zewe GmbH, Tholey",Einführung eines Umwelt- Managementsystems,2010,,"3.564,93 €","1.775,68 €"
"HDW Werbeagentur GmbH, Saarbrücken",Beschäftigung eines Forschungsmitarbeiters,2012,,"16.740,00 €","16.740,00 €"
"Heinz & Feld GmbH, Heinz & Feld GbR, Saarwellingen","Diversifizierung der Produktion der Betriebs- stätte in Saarwellingen in neue, zusätzliche Produkte",2010,2013,"150.000,00 €",
Helmholtz-Zentrum für Infektionsforschung GmbH,Errichtung eines Neubaus für das Helmholtz- Institut für Pharmazeutische Forschung Saarland (HIPS),2013,,"22.494.875,00 €",
"Helmut Dörr GmbH, Püttlingen",Einführung eines Umwelt- Managementsystems,2009,,"1.638,00 €","1.567,48 €"
"Helmut Dörr GmbH, Püttlingen",Revalidierung des Umwelt- Managementsystems,2012,,"1.756,00 €","1600,46 €"
"Helmut Zimmer GmbH, St. Wendel",Einführung eines Umwelt- Managementsystems,2009,,"4.620,52 €","3.376,10 €"
"Herweck AG, Philippi & Herweck GmbH & Co. KG, Kirkel",Erweiterung der Betriebsstätte in 66459 Kirkel,2009,2011,"150.060,00 €","150.060,00 €"
"Hochschule für Technik und Wirtschaft (HTW) des Saarlandes, Saarbrücken",EMF-Kataster Saar der 2. Generation,2009,,"407.835,48 €","284.882,53"
"Hochschule für Technik und Wirtschaft (HTW) des Saarlandes, Saarbrücken",Untersuchungen und Modellierung der Struk- turbildung durch Aktivierung in nanoporösen Aktivkohlefasern (UMSANA),2010,,"171.371,28 €",
"Hochschule für Technik und Wirtschaft (HTW) des Saarlandes, Projektbüro GPFS, Saarbrücken",Gründungspraxis für Studierende aus dem Bereich der Hochschule für Technik und Wirtschaft (HTW) des Saarlandes (2009).,2009,,"56.600,00 €","53.249,21 €"
"Hochschule für Technik und Wirtschaft (HTW) des Saarlandes, Projektbüro GPFS, Saarbrücken",Gründungspraxis für Studierende aus dem Bereich der Hochschule für Technik und Wirtschaft (HTW) des Saarlandes (2010).,2010,,"52.000,00 €","50.246,52 €"
"Hochschule für Technik und Wirtschaft (HTW) des Saarlandes, Projektbüro GSG, Saarbrücken",GSG Management Akademie,2012,,"14.650,00 €","11.945,95 €"
"Hochschule für Technik und Wirtschaft (HTW) des Saarlandes, Projektbüro UpS, Saarbrücken",Unternehmensplanung für Studierende,2012,,"77.780,00 €","71.584,60 €"
"Hochschule für Technik und Wirtschaft (HTW) des Saarlandes, Projektbüro UpS, Saarbrücken",Unternehmensplanung für Studierende 2.0 (UpS 2.0),2013,,"75.600,00 €","72.000,00 €"
"Hochschule für Technik und Wirtschaft (HTW) des Saarlandes, Projektbüro UpS, Saarbrücken",Schulpraxis Selbstständigkeit (SpS),2013,,"24.650,00 €","3.630,00 €"
"Hoffmann & Ollinger GmbH, Mettlach",Einführung eines Umwelt- Managementsystems,2009,,"1.296,75 €","1.294,47 €"
"Hoffmann & Ollinger GmbH, Mettlach",Revalidierung des Umwelt- Managementsystems,2012,,"1.319,50 €","1.300,16 €"
"Homburger Bedachungs GmbH, Homburg",Einführung eines Umwelt- Managementsystems,2011,,"1.296,00 €","1.281,73 €"
"Homburger Bedachungs GmbH, Homburg",Einführung EMAS,2014,,"848,34 €",
"Horst Walle Dreherei und Maschinenbau GmbH, Blieskastel",Erweiterung der Betriebsstätte in 66440 Blieskastel,2009,2011,"32.000,00 €","32.000,00 €"
"Hotel am Triller Hotelbe- triebs-GmbH,Trillerweg 57, 66117 Saarbrücken",Ausbau und Erneuerung des Hotel am Triller,2014,,"184.017,52 €",
"Hydac Fluidtechnik GmbH, Sulzbach",FuE-Vorhaben „Digitalhydraulik“ (in Koopera- tion mit ZeMA - Zentrum für Mechatronik und Automatisierungstechnik gemeinnützige GmbH),2012,,"114.839,00 €",
Hydac Filter Systems GmbH,Entwicklungsprojekt ICM Hydraulik,2013,,"207.165,00 €",
"IBP GmbH, Saarbücken",Entwicklung eines High-End-Korrelators auf Mikroprozessorbasis,2008,,"27.843,00 €","22.055,40 €"
"ICS Innovation Coating Systems UG, Lebach",Beschäftigung eines Forschungsmitarbeiters,2011,,"19.200,00 €","19.200,00 €"
"i-Deal Technologies GmbH, Saarbrücken",Entwicklung einer Messtechnik und eines Systemprototyps zur Kerngrößenbestimmung mittels Ultraschall mit der Bezeichnung „KORN-US“,2011,,"38.968,00 €","26.502,54 €"
"i-Deal technologies GmbH, Saarbrücken",Entwicklung einer universellen Ultraschall- Prüfgeräteplattform für „Low Cost“- Prüfanwendungen,2012,,"112.471,00 €",
"Ifal GmbH, Beckingen",Entwicklung einer Software „JDIA-FERT unter Java mit eigenem Ifal Look & Feel“,2011,,"186.828,00 €","172.154,03 €"
"imc information multi- media communication AG, Saarbrücken","Entwicklung einer portablen Applikation für innovatives Lernen und Kollaboration im Klassenzimmer (in Kooperation mit der Deutschen Forschungszentrum für Künstli- che Intelligenz GmbH (DFKI), Centre for e- Learning Technology der DFKI GmbH)",2012,,"226.290,00 €","224.191,23 €"
"imc information multi- media communication AG, Saarbrücken",Entwicklung eines Lernnavigators,2013,,"118.190,00 €",
"Inexio KGaA, Merzig",Beschäftigung eines Innovationsassistenten,2008,,"18.000,00 €","16.049,77 €"
INFOsys Kommunal GmbH,"Beschäftigung des Forschungsmitarbeiters Christian Müller, Fachinformatiker für An- wendungsentwicklung",2014,,"16.800,00",
"Ingenieurbüro Leibfried GmbH, Eppelborn",Einführung eines Umwelt- Managementsystems,2010,,"1.456,00 €","1.365,90 €"
"INM Leibniz Institut für Neue Materialien gGmbH, Saarbrücken",Technische Durchführbarkeitsstudie betref- fend die Herstellung und Entwicklung von core / shell-Nanopartikeln auf der Basis von Kupfer und Silber zur Anwendung als kos- tengünstige leitfähige Schicht mittels Druck- verfahren (in Kooperation mit der sarastro GmbH),2010,,"120.060,00 €","113.595,32 €"
"inomat GmbH, Neunkirchen",Entwicklung eines Verfahrens zur Nanokap- selung von chemisch instabilen Pigmenten „NAKAPI“,2009,,"41.636,00 €","22.234,79 €"
"inoson GmbH, St. Ingbert","Entwicklung eines modularen, berührungslos abtastenden Ultraschallsystems zur Struktur- und Fehleranalyse von Werkstücken und Werkstoffen",2009,,"93.312,00 €","91.498,33 €"
"inoson GmbH, St. Ingbert",Erweiterung und Verlagerung der Betriebs- stätte innerhalb von St. Ingbert,2012,2013,"134.469,00 €","134.469,00 €"
"inoson GmbH, St. Ingbert",Beschäftigung eines Forschungsmitarbeiters,2013,,"17.400,00 €",
"Institut für Prozessma- nagement und Produkti- onstechnik GmbH (Promtec GmbH), Saarbrücken",Aufbau eines Innovationskerns zur Einrich- tung einer Modellfabrik (Modellfabrik Saar),2011,,"262.916,38 €","208.968,91 €"
IS Predict GmbH,Entwicklungsprojekt „Saarland- Stromsparland 1000 Plus“,2013,,"249.927,00 €",
"Johann Breier GmbH, Mandelbachtal",Erweiterung der Betriebsstätte in 66399 Mandelbachtal,2011,2012,"37.146,00 €","37.146,00 €"
"Josef Raesch GmbH, Saarbrücken",Einführung eines Umwelt- Managementsystems,2009,,"3.039,40 €","3.039,40 €"
"Josef Weiant GmbH, St. Wendel",Einführung eines Umwelt- Managementsystems,2009,,"4.129,12 €","4.072,25 €"
"Josef Weiant GmbH, St. Wendel",Revalidierung des Umwelt- Managementsystems,2012,,"1.537,90 €","1.408,22 €"
"Juchem Food Ingre- dients GmbH, Eppelborn","Entwicklung eines Sprühturms zur Kristallisa- tion flüssiger, fettarmer Produkte mittels Kälte nach dem Gleichstromverfahrens",2010,,"246.928,00 €","246.924,64 €"
"JUNO-Metalltechnik GmbH, Homburg",Erweiterung der Betriebsstätte in 66424 Homburg,2012,2014,"129.121,00 €",
"Katholische Kirchenge- meinde Maria-Trost Dillingen, Dillingen",Einbau neuer Alu-Fenster und Dämmung des Steildachs,2010,,"138.989,36 €","95.613,74 €"
"Katholische Pfarreien- gemeinschaft St. Fron- leichnam, Homburg",Errichtung einer Gaswärmepumpe mit Erd- sonden und thermischer Solaranlage mit Nahwärmenetz am Standort Gemeindehaus mit Sakristei und Kindertagesstätte in Hom- burg,2010,,"45.560,99 €","44.534,84 €"
"Kautenburger GmbH, K & K Immobilien GbR, Merzig",Erweiterung der Betriebsstätte in 66663 Merzig,2011,2014,"80.960,00 €","80.960,00 €"
Kern GmbH,Einführung EMAS,2014,,"9.545,90 €",
"KD Pharma Bexbach GmbH, Bexbach",Beschäftigung eines Forschungsmitarbeiters,2010,,"18.000,00 €","18.000,00 €"
"Kernplan GmbH, Illingen",Beschäftigung eines Forschungsmitarbeiters,2009,,"16.800,00 €","16.800,00 €"
"Kernplan GmbH, Illingen",Beschäftigung eines Forschungsmitarbeiters,2010,,"18.000,00 €","18.000,00 €"
KLS Steuerungstechnik,Entwicklung eines Chaoslagers für elektroni- sche Bauteile und Edelmetalle,2013,,"67.889,00 €","43.182,23 €"
"Knauber & Wagner Besitzgesellschaft GbR, Wende & Malter GmbH, Saarwellingen",Erweiterung und Verlagerung der Betriebs- stätte von 66386 St. Ingbert nach 66793 Saarwellingen,2010,2013,"208.944,00 €","208.944,00 €"
"Korea Institute of Sci- ence and Technology Forschungsgesellschaft mbH (KIST), Saarbrücken",Neubau eines Institutsgebäudes für die KIST Europe Forschungsgesellschaft mbH (2. Bauabschnitt),2009,,"652.412,03 €",
"KSG Maschinenbau GmbH, St. Ingbert",Einführung eines Umwelt- Managementsystems,2009,,"2.120,30 €","2.021,61 €"
"Landeshauptstadt Saar- brücken, Saarbrücken","Eurobahnhof Saarbrücken – Europaallee – Terminal Nord (2., 3. und 4. FA)",2008,2011,"3.054.765,00 €",
"Landeshauptstadt Saar- brücken, Saarbrücken",Sanierung des Heidegartens im Deutsch- Französischen Garten in Saarbrücken,2010,,"24.500,00 €","24.261,59 €"
"Landeshauptstadt Saar- brücken, Saarbrücken","Sanierung des Deutsch-Französischen Gartens in Saarbrücken, II. BA, Neugestal- tung Eingangsbereich Metzer Straße",2010,2011,"469.665,00 €",
"Landeshauptstadt Saar- brücken, Saarbrücken",Sanierung der Asphaltwege im Deutsch- Französischen Garten in Saarbrücken,2010,,"60.200,00 €","60.200,00 €"
"Landeshauptstadt Saar- brücken, Saarbrücken",Umbau ehem. Deutschherrnschule zum Stadtarchiv : Einbau eines Doppel- Rekuperativ-Klimagerätes zur Wärmerück- gewinnung,2012,,"127.012,37",
"Landeshauptstadt Saar- brücken, Saarbrücken",Energetische Sanierung,2014,,"266.093,68 €","247.923,30 €"
"Landeshauptstadt Saar- brücken, Gebäudema- nagement der LHS, Saarbrücken",Fenstererneuerung an der Kindertagesstätte in Scheidt,2010,,"23.045,84 €","13.650,27 €"
"Landeshauptstadt Saar- brücken, Gebäudema- nagement der LHS, Saarbrücken",Einbau neuer Alu-Fenster am Feuerwehrge- rätehaus in Dudweiler,2010,,"12.181,90 €","9.056,18 €"
"Landeshauptstadt Saar- brücken, Gebäudema- nagement der LHS, Saarbrücken",Fassadensanierung mit Wärmedämmver- bundsystem-Fassade am Feuerwehrgerä- tehaus der Freiwilligen Feuerwehr in Dudwei- ler,2010,,"21.775,03 €","21.775,03 €"
"Landeshauptstadt Saar- brücken, Gebäudema- nagement der LHS, Saarbrücken",Erneuerung des Flachdaches an der Feuer- wache II in Saarbrücken-Malstatt,2010,,"42.790,17 €","42.790,17 €"
"Landeshauptstadt Saar- brücken, Gebäudema- nagement der LHS, Saarbrücken","Erneuerung der vorhandenen Aluminium- fenster durch neue Aluminiumfenster mit wärmegedämmten Profilen, Sonnenschutz- glas und Dreifachisolierverglasung",2010,,"106.974,00 €","99.171,46 €"
"Landeshauptstadt Saar- brücken, Gebäudema-",Fenster- und Fassadenerneuerung an der Turn- und Gymnastikhalle in Güdingen,2011,,"108.189,09 €","79.863,18 €"
"Landeshauptstadt Saar- brücken, IKS – Informa- tions- und Kommunika- tionsinstitut der Landes- hauptstadt Saarbrücken, Saarbrücken",LWL-Verbindung HTW-Waldhausweg,2010,,"421.454,76 €","421.454,76 €"
Landeshauptstadt Saar- brücken,Energetische Dachsanierung der Schwimm- halle der Grundschule Gersweiler,2013,,"15.144,29 €","15.144,29 €"
Landeshauptstadt Saar- brücken,Energetische Dachsanierung des Hauptge- bäudes der Grundschule  Gersweiler,2013,,"38.493,59 €","26.138,55 €"
Landeshauptstadt Saar- brücken,Energetische Sanierung Grundschule Alten- kessel,2013,,"83.658,52 €","83.487,81 €"
Landeshauptstadt Saar- brücken,Einbau einer Holzhackschnitzelheizung Einsegnungshalle Hauptfriedhof,2013,,"95.818,99 €","95.818,90 €"
Landeshauptstadt Saar- brücken,Rubbiner Rülf Platz,2013,,"1.038.145,93 €",
Landeshauptstadt Saar- brücken,Ufergasse/Am Steg,2013,,"1.736.529,59 €",
Landeshauptstadt Saar- brücken,Promenadensteg/Uferzone,2013,,"10.750.966,37 €",
Landeshauptstadt Saar- brücken,Wärmedämmverbund-System,2014,,"265.621,97 €","220.612,74 €"
Landeshauptstadt Saar- brücken,Fenstererneuerung,2014,,"89.070,18 €","89.070,18 €"
Landeshauptstadt Saar- brücken,Fenstererneuerung,2014,,"56.656,60 €","45.106,30 €"
Landeshauptstadt Saar- brücken,Außenwanddämmung,2014,,"237.611,35 €","224.862,37 €"
Landeshauptstadt Saar- brücken,Dachdämmung,2014,,"33.246,85 €","32.912,49 €"
Landeshauptstadt Saar- brücken,"Umgestaltung der Faktoreistraße, 1. BA C6-SB-2014-7",2014,,"1.166.139,60 €",
Landeshauptstadt Saar- brücken,Umgestaltung der Eisenbahnstraße C 6-SB-2013-57,2014,,"1.641.905,18 €",
Landeshauptstadt Saar- brücken,"Aufwertung Osthafen, 1. BA C 6-SB-2014-6",2014,,"11.966.640,39 €",
Landeshauptstadt Saar- brücken,"Umgestaltung Wilhelm-Heinrich-Brücke, 1. BA C 6-Sb-2013-8",2014,,"299.703,66 €",
Landeshauptstadt Saar- brücken,Geh- und Radwegerampe am FA C 6-SB-2013-10,2014,,"313.601,74 €",
Landeshauptstadt Saar- brücken,Kommunikation zum Großprojekt SMAF C 6-SB-2013-62,2014,,"326.832,00 €",
Landeshauptstadt Saar- brücken,Projektsteuerung zum Großprojekt SMAF C 6-SB-2014-3,2014,,"1.238.562,36 €",
Landeshauptstadt Saar- brücken,Untersuchungen zur Umweltverträglichkeit C 6-SB-2013-46,2014,,"68.394,45 €",
Landeshauptstadt Saar- brücken,Baugrundgutachten C 6-SB-2013-47,2014,,"138.341,46 €",
Landeshauptstadt Saar- brücken,Tiefgarage Boulevard C 6-SB-2013-48,2014,,"180.697,86 €",
Landeshauptstadt Saar- brücken,Städtebauliche Planungen C 6-SB-2013-50,2014,,"456.703,08 €",
Landeshauptstadt Saar- brücken,Freiraumplanung untere Ebene C 6-SB-2013-51,2014,,"59.105,89 €",
Landeshauptstadt Saar- brücken,Städtischer Boulevard C 6-SB-2013-52,2014,,"302.578,52 €",
Landeshauptstadt Saar- brücken,Hochwasserkompensation Osthafen C 6-SB-2013-53,2014,,"126.709,10 €",
Landeshauptstadt Saar- brücken,Objekt- und Tragwerks-planungen Brücken C 6-SB-2013-56,2014,,"385.642,74 €",
Landeshauptstadt Saar- brücken,Lebendige Mitte Bettingen A/4-Z-SB-2012-1269,2014,,"1.201.278,61 €",
Landeshauptstadt Saar- brücken,Zentrum für Bildung und Kultur A/4-Z-SB-2012-3001,2014,,"637.780,00 €",
Landeshauptstadt Saar- brücken,Ravelin V A/4-Z-SB-2012-1253,2014,,"872.227,11 €",
Landeshauptstadt Saar- brücken,Projekt zur städtebaulichen Aufwertung und Weiterentwicklung des Geländes der Univer- sität des Saarlandes C 6-SB-2014-5,2014,,"9.972.938,53 €",
Landeshauptstadt Saar- brücken,Ufergasse Am Steg C 6-SB-2013-44,2015,,"1.428.625,42 €",
Landeshauptstadt Saar- brücken,Promenadensteg / Uferzone C 6-SB-2013-45,2015,,"9.181.598,76 €",
Landeshauptstadt Saar- brücken,Umgestaltung Wilhelm-Heinrich- Brücke 1. BA C 6-SB-2014-8,2015,,"375.764,18 €",
Landeshauptstadt Saar- brücken,Geh- und Radwegerampe am FA C 6-SB-2014-10,2015,,"353.010,23 €",
Landeshauptstadt Saar- brücken,Lebendige Mitte Bettingen A/4-Z-SB-2012-1269,2015,,"1.427.420,99 €",
Landeshauptstadt Saar- brücken,Weiterentwicklung des Geländes der Univer- sität des Saarlandes C 6-SB-2014-5,2015,,"10.000.000,00 €",
Landeshauptstadt Saar- brücken,Abrissgutachten und Abriss „Drescher Haus“ C 6-SB-2014-5,2015,,"76.979,20 €",
Landeshauptstadt Saar- brücken,Anhebung der Schifferstraße C 6-SB-2013-55,2015,,"987.341,36 €",
Landeshauptstadt Saar- brücken,"Sanierung Deutsch-Französischer Garten, Neugestaltung Lesepavillon und Umfeld",2015,,"483.865,04 €",
"Landkreis Merzig- Wadern, Merzig",Virtuelle Schule am BBZ Merzig,2009,,"71.923,50 €","69.423,09 €"
"Landkreis Merzig- Wadern, Merzig",Fertigungsautomatisierung am BBZ Hoch- wald,2009,,"113.475,00 €","111.967,47 €"
"Landkreis Merzig- Wadern, Merzig","Außenwanddämmung, Flachdachdämmung und Fenstererneuerung am Verwaltungsge- bäude der ERS Merzig",2011,,"110.136,62 €","104.956,68 €"
"Landkreis Merzig- Wadern, Merzig","Förderschule Nowendel, Fenstererneuerung und Wärmedämmfassade für Süd-, Ost- und Nordseite",2011,,"52.908,03 €","52.032,50 €"
"Landkreis Merzig- Wadern, Merzig","Energetische Sanierung des Verwaltungsge- bäudes, Gymasiums am Stefansberg",2013,,"89.352,10 €","89.352,10 €"
"Landkreis Merzig- Wadern, Merzig",Energetische Sanierung Gesundheitsamt,2013,,"118.882,46 €","75.552,80 €"
"Landkreis Merzig- Wadern, Merzig",NT-Offensive – BBZ Merzig,2013,,"253.839,75 €","209.408,86 €"
"Landkreis Merzig- Wadern, Merzig",Fertigungsautomatisierung / Betriebstechnik- Hydraulik – BBZ Hochwald,2013,,"75.000,00 €","57.072,48 €"
"Landkreis Merzig- Wadern, Merzig",Energetische Sanierung,2015,,"398.925,68 €",
"Landkreis Neunkirchen, Ottweiler",Einführung eines Umwelt- Managementsystems,2011,,"30.310,11 €","29.299,86 €"
"Landkreis Neunkirchen, Neunkirchen","Sanierung Dienstgebäude Gesundheitsamt: Dämmung Rückseite u. Austausch der Fens- ter im 1., 2. u. 3. Obergeschoss",2013,,"76.149,06 €","57.781,06 €"
"Landkreis Neunkirchen, Neunkirchen",Kompetenzzentrum für Automatisierungs- technik – TGSBBZ Neunkirchen,2013,,"152.135,28 €","139.089,93 €"
"Landkreis Neunkirchen, Neunkirchen",Außenwanddämmung,2014,,"100.543,71 €","100.543,71 €"
"Landkreis Neunkirchen, Neunkirchen",Fenstererneuerung,2014,,"52.492,01 €","52.492,01 €"
"Landkreis Saarlouis, Saarlouis",Erneuerung von Aluminiumfenstern am KBBZ in Saarlouis,2010,,"38.528,31 €","38.528,31 €"
"Landkreis Saarlouis, Saarlouis","Alu-Fenstererneuerung am BBZ in Lebach, 2. BA",2010,,"17.330,35 €","17.330,35 €"
"Landkreis Saarlouis, Saarlouis","Sanierung Sitzungssaal, Fenstersanierung am Landratsamt Saarlouis",2010,,"28.432,17 €","28.432,17 €"
"Landkreis Saarlouis, Saarlouis",Internationaler Handel am KBBZ Dillingen und am KBBZ Saarlouis,2010,,"296.654,40 €","280.772,70 €"
"Landkreis Saarlouis, Saarlouis",Multimediales Lernen im ländlichen Raum als Selbstlernzentrum am BBZ Lebach,2010,,"100.513,50 €",
"Landkreis Saarlouis, Saarlouis",Kraftfahrzeugtechnik am TGBBZ Dillingen,2010,,"178.332,66 €","163.526,51 €"
"Landkreis Saarlouis, Saarlouis",Sanierung des Sitzungssaales und Dacher- neuerung am Landratsamt Saarlouis,2011,,"29.561,09 €","29.561,09 €"
"Landkreis Saarlouis, Saarlouis",Fassadensanierung am Haupthaus (Stra- ßenseite) des TGSBBZ,2011,,"21.916,16 €","21.916,16 €"
"Landkreis Saarlouis, Saarlouis",Flachdachsanierung mit extensiver Begrü- nung am KBBZ Saarlouis,2011,,"155.057,55 €","155.057,55 €"
"Landkreis Saarlouis, Saarlouis",Umbau und Sanierung der Schulaula des Gymnasiums am Stadtgarten - Erneuerung Deckenverkleidung - Oberste Geschossde- cke Aula,2011,,"10.436,47 €","10.436,47 €"
"Landkreis Saarlouis, Saarlouis",Energetische Sanierung des Flachdachs der Hausmeisterwhg.am KBBZ Saarlouis,2013,,"14.486,36 €","14.486,36 €"
"Landkreis Saarlouis, Saarlouis","Erneuerung Fenster 3. BA, KBBZ Saarlouis",2013,,"31.901,38 €","31.331,96 €"
"Landkreis Saarlouis, Saarlouis",Sanierung des Flachdachs des Nebenge- bäudes der Turnhalle an der ERS Schmelz,2013,,"6.612,19 €","6.612,19 €"
"Landkreis Saarlouis, Saarlouis",Fenstererneuerung,2014,,"39.564,70 €","38.883,54 €"
"Landkreis Saarlouis, Saarlouis",Fenster- und Türerneuerung,2014,,"63.704,51 €","62.772,11 €"
"Landkreis Saarlouis, Saarlouis",Dachdämmung,2014,,"7.674,18 €","7.674,18 €"
"Landkreis Saarlouis, Saarlouis",Fenstererneuerung,2014,,"43.086,49 €","43.083,49 €"
"Landkreis Saarlouis, Saarlouis",Dachdämmung,2014,,"90.722,39 €","90.722,39 €"
"Landkreis Saarlouis, Saarlouis",Be- und Entlüftungsanlage,2014,,"61.497,28 €","61.497,28 €"
"Landkreis Saarlouis, Saarlouis",BHKW,2015,,"17.342,03 €",
"Landkreis St. Wendel, St. Wendel","Dach- und Fassadensanierung an der ERS Theley, 3. BA",2010,,"77.326,46 €","77.326,46 €"
"Landkreis St. Wendel, St. Wendel",Erneuerung von Alufenstern und Türelemen- ten an der Gesamtschule Türkismühle,2011,,"68.362,34 €","68.362,34 €"
"Landkreis St. Wendel, St. Wendel",Erneuerung des Flachdaches des Hauptge- bäudes sowie Sanierung der Fassaden von Hauptgebäude und Pavillon (WDVS) des Cusanus-Gymnasiums in St. Wendel,2011,,"101.317,34 €","101.317,34 €"
"Landkreis St. Wendel – Freizeitzentrum St. Wendel, St. Wendel",Erneuerung der Fenster an der Eventhalle Bosarium in Bosen,2010,,"46.391,29 €","42.821,44 €"
"Landkreis St. Wendel, Freizeitzentrum Bos- talsee, St. Wendel","Dach,- Fassaden- und Fenstersanierung an der Bostalklause / ehemalige Verwaltung Campingplatz Bostalsee",2011,,"41.024,47 €","41.024,47 €"
"Landkreis St. Wendel, Freizeitzentrum Bos- talsee, St. Wendel",Neubau einer Logistikhalle zur touristischen Aufwertung des Freizeitzentrums Bostalsee,2014,,"996.611,77 €",
Landkreis St. Wendel,Flachdachsanierung Gebäudeteil B der Gesamtschule Marpingen,2013,,"26.767,23 €","26.767,23 €"
Landkreis St. Wendel,Flachdachsanierung im Bereich Pausenhalle der Dr.-Walter-Bruch-Schule in St. Wendel,2013,,"10.370,91 €","10.370,91 €"
Landkreis St. Wendel,Fassadensanierung kleine Schulturnhalle der Gesamtschule Marpingen,2013,,"22.508,44 €","22.089,73 €"
