Name der Begünstigten,Vorhaben,Jahr der Bewilligung,Jahr der Restzahlung,Gewährte Beträge (insgesamt),Bei Abschluss des Vorhabens gezahlte Gesamtbeträge
"Braun + Klein Siebdruck Vertriebs GmbH, Saarbrücken","Diversifizierung der Produktion der Betriebs- stätte in neue, zusätzliche Produkte",2013,2015,"100.883,00 €","100.883,00 €"
"BSB Industrieservice GmbH, Völklingen",Einführung eines Umwelt- Managementsystems,2011,,"5.105,10 €","4.638,72 €"
"BSW Zerspanungs- werkzeuge GmbH, Saarwellingen",Erweiterung der Betriebsstätte in 66793 Saarwellingen,2012,2013,"262.500,00 €","262.500,00 €"
"Buchholz Fachinforma- tionsdienst GmbH, Bexbach",Erweiterung der Betriebsstätte in 66450 Bexbach,2010,2014,"358.524,00 €","358.524,00 €"
"Buchholz Fachinforma- tionsdienst GmbH, Bexbach",Entwicklung des Fachinformationssystems bfd-online,2010,,"250.000,00 €","250.000,00 €"
"Burger Pumpen GmbH, Spiesen-Elversberg",Revalisierung des Umwelt- Managementsystems,2009,,"1.114,75 €","1.114,75 €"
Car i.t.a. GmbH & Co. KG,Entwicklung eines neuen Herstellungsverfah- ren,2013,,"182.203,00 €",
"Centigrade GmbH, Saarbrücken",Beschäftigung eines Forschungsmitarbeiters,2008,,"19.200,00 €","19.200,00 €"
"CNC Zerspanung Nicole Sicks GmbH, Nicole Sicks Besitzunterneh- men, Marpingen",Erweiterung der Betriebsstätte in 66646 Marpingen,2011,2014,"143.268,00 €","143.268,00 €"
"Consistec Engineering & Consulting GmbH, Saarbrücken",Beschäftigung eines Forschungsmitarbeiters,2011,,"18.765,00 €","18.642,42 €"
"Consistec Engineering & Consulting GmbH, Saarbrücken",Entwicklung einer plattformunabhängigen Synchronisierungsbibliothek für SQL- Datenbank (SYNC-BIB),2012,,"66.793,00 €","66.774,24 €"
"Consistec Engineering & Consulting GmbH, Saarbrücken",Entwicklungsprojekt SUCH,2013,,"181.468,23 €",
"creaTable Por- zellanHaus GmbH, Kleinblittersdorf","Diversifizierung der Produktion der Betriebs- stätte in neue, zusätzliche Produkte in 66271 Kleinblittersdorf",2012,2013,"242.875,00 €","242.875,00 €"
"Dacos Software GmbH, Saarbrücken",Entwicklung Preiscockpit 2010,2010,,"250.000,00 €","227.268,91 €"
"Data One GmbH, Saarbrücken",Beschäftigung von drei Forschungsmitarbei- tern,2009,,"50.400,00 €","50.400,00 €"
"Data One GmbH, Saarbrücken",Erweiterung der Betriebsstätte in 66115 Saarbrücken,2011,2014,"35.536,00 €","35.536,00 €"
"Deuba e. K. Jörg Deutschbauer, Merzig",Errichtung einer weiteren Betriebsstätte in 66679 Losheim,2009,2011,"400.000,00 €","400.000,00 €"
"Deutsches Forschungs- zentrum für Künstliche Intelligenz GmbH (DFKI), Kaiserslautern",Errichtung eines Erweiterungsbaus – III. Bauabschnitt (Riegelschluss) – für das Deut- sche Forschungszentrum für Künstliche Intelligenz (DFKI) in Saarbrücken,2009,,"2.244.750,00 €",
"Deutsches Forschungs- zentrum für Künstliche Intelligenz GmbH (DFKI), Centre for e- Learning Technology der DFKI GmbH, Saarbrücken",„CROMEX – CrossMedia E-Examination“ (in Kooperation mit der O.E.M GmbH),2011,,"337.554,00 €",
"Deutsches Forschungs- zentrum für Künstliche Intelligenz GmbH (DFKI), Centre for e- Learning Technology der DFKI GmbH, Saarbrücken",Entwicklung einer portablen Applikation für innovatives Lernen und Kollaboration im Klassenzimmer in 66123/66115 Saarbrücken (in Kooperation mit der imc information mul- timedia communication AG),2012,,"105.219,00 €",
"Deutsches Forschungs- zentrum für Künstliche Intelligenz GmbH (DFKI), Centre for e- Learning Technology der DFKI GmbH, Saarbrücken",Entwicklungsprojekt SUCH,2013,,"303.890,84 €",
"Deutsch-Französische Begegnungsstätte Schaumberg GmbH, Tholey",Touristische Inwertsetzung des Schaumberg- turmes und des Schaumbergplateaus in der Gemeinde Tholey,2010,2014,"2.721.919,83 €",
"Deutsch-Französische Begegnungsstätte Schaumberg GmbH, Tholey",Touristische Inwertsetzung des Schaumberg- turmes und des Schaumbergplateaus in der Gemeinde Tholey,2013,,"763.194,43 €",
"DeVeTec GmbH, Saarbrücken",Beschäftigung eines Forschungsmitarbeiters,2009,,"19.200,00 €","19.200,00 €"
"DKT Thielgen GmbH, Lebach",Beschäftigung eines Forschungsmitarbeiters,2008,,"19.200,00 €","9.600,00 €"
"Do it 4 you, Die Ideenwerkstatt, Kleinblittersdorf",Einführung eines Umwelt- Managementsystems,2009,,"11.124,75 €","11.124,75 €"
"DRS Innomis AG, Saarbrücken",Beschäftigung eines Innovationsassistenten,2008,,"18.000,00 €","18.000,00 €"
"DRS Innomis AG, Saarbrücken",Weiterentwicklung bzw. Erweiterung der Innomis Systemplattform,2009,,"182.000,00 €","181.882,25 €"
"DRS Consulting & Services AG, Saarbrücken",Entwicklungsvorhaben DRS Dataspace,2011,,"93.706,00 €",
"D & W Profilblechbau GmbH, Spiesen-Elversberg",Erweiterung der Betriebsstätte in 66583 Spiesen-Elversberg,2011,2013,"93.126,00 €","93.126,00 €"
"Egon Simon GmbH, St. Ingbert","Diversifizierung der Produktion einer Be- triebsstätte in neue, zusätzliche Produkte",2009,2012,"18.466,00 €","18.466,00 €"
"ENHA GmbH, Nonnweiler",Entwicklung eines Arbeitsschutzhelms mit Crash-Box,2009,,"82.219,00 €","61.002,61 €"
"ERGOSIGN GmbH, Saarbrücken",Realisierung eines Prototyping-Werkzeuges zum flexiblen Entwurf interaktiver User Inter- faces auf Basis umfassender Widget- Bibliotheken,2009,,"96.089,00 €","96.089,00 €"
"ERGOSIGN GmbH, Saarbrücken",Entwicklungsprojekt COTYPE: Konzeption und Implementierung eines kollaborativen User-Interface Spezifikationswerkzeugs für Nicht-Experten,2011,,"180.487,00 €","179.889,00 €"
"ERGOSIGN GmbH, Saarbrücken",Erwerb von Schutzrechten betreffend User Interface-Spezifikationswerkzeug COTYPE für Nicht-Experten,2011,,"5.500,00 €",
ESC Elektronic,Entwicklung eines Nagelclips für Porenbeton,2013,,"13.622,00 €",
European Research and Projekt Office GmbH (EURICE) Saarbrücken,AITS-AIDS/TB-Saar – Initiative zur Bünde- lung und Stärkng von AIDS/TB- Forschungskompetenzen im Saarland,2010,,"200.000,00 €",
"Eurokey Software GmbH, Saarbrücken",Beschäftigung eines Forschungsmitarbeiters,2008,,"16.500,00 €","16.500,00 €"
"Eurokey Software GmbH, Saarbrücken",Beschäftigung eines Innovationsassistenten,2008,,"16.800,00 €","16.800,00 €"
"Eurokey Software GmbH, Saarbrücken",Beschäftigung eines Forschungsmitarbeiters,2009,,"16.500,00 €","16.500,00 €"
"Eurokey Software GmbH, Saarbrücken",Beschäftigung eines Forschungsmitarbeiters,2010,,"14.400,00 €","14.400,00 €"
"Eurokey Software GmbH, Saarbrücken",FuE-Vorhaben „Multimodaler Interaktions- raum (MIR)“,2012,,"64.013,00 €","63.145,65 €"
"Eurokey Software GmbH, Saarbrücken",FuE-Vorhaben „Change List Optimizer (CLO)“,2012,,"38.935,00 €","37.965,00 €"
"Eurokey Software GmbH, Saarbrücken",Beschäftigung eines Forschungsmitarbeiters,2013,,"19.200,00 €","19.159,70 €"
Europäische Akademie Otzenhausen,Einführung EMAS,2013,,"9.327,50 €","9.233,95 €"
"Evangelische Kirchen- gemeinde Uchtelfangen, Illingen","Energetische Sanierung von zwei Bestands- gebäuden, verbunden mit der Nahwärmever- sorgung eines Neubaus (Kindergarten) mit Hilfe einer geothermischen Gasabsorptions- pumpe und einer Solarthermieanlage",2010,,"37.250,06 €","33.166,07 €"
"Evangelische Kirchen- gemeinde Saarlouis, Saarlouis",Sanierung des Daches des Gemeindehaus mit Dämmmaßnahmen,2011,,"46.862,88 €","46.279,65 €"
"Evangelische Kirchen- gemeinde Landsweiler, Schiffweiler",Dachsanierung des Pfarrhauses,2011,,"28.431,76 €","28.431,76 €"
"Evangelische Kirche im Rheinland, Düsseldorf",Energetische Sanierung der Fassaden der ESG Saarbrücken,2011,,"370.601,81 €","370.601,81 €"
Evangelische Kirchen- gemeinde Neuweiler,Dachdämmung,2014,,"9.245,46 €","9.229,00 €"
Evangelische Kirchen- gemeinde Riegelsberg- Güchenbach,Pelletheizung,2014,,"86.390,18 €","86.390,18 €"
Evangelische Kirchen- gemeinde Saarlouis,Energetische Sanierung,2015,,"72.068,78 €",
Evangelische Kirchen- gemeinde Dillingen,Fenstererneuerung,2018,,"115.217,44 €",
"Eyled GmbH, Saarbrücken",Entwicklung eines barrierefreien Indoor- Navigationssystems für Sehbehinderte,2008,,"77.208,00 €","73.861,17 €"
"Eyled GmbH, Saarbrücken",Entwicklung einer effizienten Sprachsteue- rung für mobile Endgeräte,2010,,"42.035,00 €","40.290,55 €"
Eyeled GmbH,Entwicklungsprojekt mobiPlan,2013,,"68.426,00 €","65.112,26 €"
"Fistec AG, Saarbücken",Beschäftigung eines Forschungsmitarbeiters,2008,,"16.470,00 €","16.470,00 €"
"Fistec AG, Saarbrücken",Beschäftigung eines Forschungsmitarbeiters,2009,,"16.200,00 €","16.200,00 €"
"Fitt gGmbH, Institut für Technologie- transfer an der HTW des Saarlandes, Saarbrücken",Unternehmensplanung gewerblicher Leer- stand 2014,2014,,"74.159,04 €","52.419,04 €"
Flexperto GmbH,"Beschäftigung des Forschungsmitarbeiters Felix Camernik, Dipl. Ing.",2014,,"16.800,00",
"Fobec/3D Formtec GmbH & Co. KG, 66538 Neunkirchen",Erweiterung der Betriebsstätte,2013,2015,"40.875,00 €","40.875,00 €"
"Franz Fensterbau GmbH & Co. KG, Boris Franz Sonderbetriebs- vermögen, Rehlingen",Erweiterung der Betriebsstätte in 66780 Rehlingen,2011,2014,"277.357,00 €","277.357,00 €"
