ANTRAGSNUMMER,Interventionskategorie,Name des Begünstigten,PLZ,BEGINN,ENDE,ZUSAMMENFASSUNG,BEZEICHNUNG,GESAMTBETRAG 1)
ESF/14-SM-A51-0186/15,106.0,Jana Schulze Hand in Hand Sozialstation,17252,08.06.15,15.06.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,1220.0
ESF/14-SM-A51-0372/16,106.0,Jens Krause und Ines Rodenhagen in Krause & Rodenhagen GbR - Krankenpflege-Schwester-Ines,18069,09.06.16,08.06.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,525.0
ESF/14-SM-A51-0211/16,106.0,Jens Krause und Ines Rodenhagen in Krause & Rodenhagen GbR - Krankenpflege-Schwester-Ines,18069,23.03.16,22.03.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,1180.8
ESF/14-SM-A51-0287/15,106.0,Jens Reinl Bezirksschornsteinfegermeister,18516,19.08.15,18.08.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,405.0
ESF/14-SM-A51-0525/15,106.0,Jessenitzer Aus- und Weiterbildung eingetragener Verein,19249,11.12.15,10.12.16,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,1344.0
ESF/14-SM-A511-0018/15,106.0,Jessenitzer Aus- und Weiterbildung eingetragener Verein,19249,08.10.15,03.08.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,2520.0
ESF/14-SM-A51-0373/16,106.0,Johanniter Seniorenhäuser GmbH,12205,06.06.16,05.06.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,120.0
ESF/14-SM-A51-0208/16,106.0,Johanniter Seniorenhäuser GmbH,12205,21.06.16,20.06.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,600.0
ESF/14-SM-A51-0124/16,106.0,Johanniter Seniorenhäuser GmbH,12205,02.02.16,01.02.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,1080.0
ESF/14-SM-A51-0195/16,106.0,Jörg Drews - Physiotherapie,18311,10.03.16,09.03.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,405.0
ESF/14-SM-A51-0397/16,106.0,Jürgen Prestin - Prestin Vermessungsbüro,19061,22.06.16,21.06.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,675.0
ESF/14-SM-A51-0040/16,106.0,Karpack GmbH,18147,15.12.15,14.12.16,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,660.0
ESF/14-SM-A51-0540/15,106.0,Karpack GmbH,18147,25.11.15,24.11.16,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,7920.0
ESF/14-SM-A51-0533/15,106.0,Katharina Kröger - Physiotherapie am See,19089,03.12.15,02.12.16,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,337.5
ESF/14-SM-A51-0252/16,106.0,Kathleen Gerds - Inh. GERDS+ WERCHAN DENTALLABOR,19061,29.03.16,28.03.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,830.0
ESF/14-SM-A51-0439/15,106.0,Kati Reiche und Markus Reiche in Ahrenshooper Ferien GbR,18375,29.09.15,28.09.16,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,240.0
ESF/14-SM-A51-0396/15,106.0,Kati Reiche und Markus Reiche in Ahrenshooper Ferien GbR,18375,28.09.15,27.09.16,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,940.0
ESF/14-SM-A51-0400/15,106.0,Kerstin Bliefert - Hauskrankenpflege,18239,22.09.15,21.09.16,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,158.4
ESF/14-SM-A51-0123/16,106.0,Kerstin Bliefert - Hauskrankenpflege,18239,10.02.16,09.02.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,950.4
ESF/14-SM-A51-0241/15,106.0,"Kerstin Wussow - ""Uns lütt Huus"" Tagespflege",17121,22.07.15,21.07.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,240.0
ESF/14-SM-A51-0497/15,106.0,Klaus Tiede - TIEDE-Haustechnik,23946,05.11.15,04.11.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,2450.0
ESF/14-SM-A51-0067/16,106.0,Klettermax Kinderspielplätze GmbH,19374,11.01.16,10.01.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,490.0
ESF/14-SM-A51-0240/15,106.0,KLH Kältetechnik GmbH,18209,31.07.15,30.07.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,8500.0
ESF/14-SM-A51-0519/15,106.0,KLP GmbH,23996,09.11.15,08.11.16,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,285.0
ESF/14-SM-A51-0133/16,106.0,Küchen Direkt e.K.,19417,01.03.16,28.02.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,445.0
ESF/14-SM-A51-0342/15,106.0,Kur- und Tourismus GmbH Zingst,18374,21.08.15,20.08.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,255.0
ESF/14-SM-A51-0549/15,106.0,Kur- und Tourismus GmbH Zingst,18374,15.12.15,14.12.16,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,510.0
ESF/14-SM-A51-0394/15,106.0,Kur- und Tourismus GmbH Zingst,18374,16.09.15,15.09.16,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,3540.0
ESF/14-SM-A51-0001/16,106.0,Kur- und Tourismus GmbH Zingst,18374,10.11.15,09.11.16,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,7776.0
ESF/14-SM-A51-0431/15,106.0,Kur- und Tourist GmbH Darß,18375,14.10.15,13.10.16,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,240.0
ESF/14-SM-A51-0443/15,106.0,Kurhaus Ahrenshoop Verwaltung und Projekt GmbH,18347,01.10.15,30.09.16,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,3000.0
ESF/14-SM-A51-0407/15,106.0,Kurhaus Ahrenshoop Verwaltung und Projekt GmbH,18347,30.09.15,29.09.16,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,14120.0
ESF/14-SM-A51-0461/15,106.0,Landesfußballverband Mecklenburg- Vorpommern e.V.,18057,26.10.15,25.10.16,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,9150.0
ESF/14-SM-A51-0385/15,106.0,Lear Corporation GmbH,65462,15.09.15,14.09.16,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,8000.0
ESF/14-SM-A51-0551/15,106.0,Lebensqualität Pflegegesellschaft mbH,18106,25.01.16,10.01.18,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,1600.0
ESF/14-SM-A51-0201/16,106.0,Lebensqualität Pflegegesellschaft mbH,18106,29.03.16,28.03.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,1830.0
ESF/14-SM-A51-0334/16,106.0,Lebensqualität Pflegegesellschaft mbH,18106,03.05.16,02.05.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,1830.0
ESF/14-SM-A51-0369/16,106.0,Lebensqualität Pflegegesellschaft mbH,18106,03.06.16,02.06.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,1830.0
ESF/14-SM-A51-0189/16,106.0,Lebensqualität Pflegegesellschaft mbH,18106,01.03.16,28.02.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,1830.0
ESF/14-SM-A511-0025/15,106.0,LEWA Qualifizierungs- GmbH Niederlassung Wismar,23970,23.11.15,14.09.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,2016.0
ESF/14-SM-A51-0544/15,106.0,Lewitz-Werkstätten gGmbH,19370,03.12.15,02.12.16,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,4748.1
ESF/14-SM-A51-0212/16,106.0,LiMaB - Laserintegrierte Materialbearbeitung GmbH,18069,10.03.16,09.03.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,900.0
ESF/14-SM-A51-0109/16,106.0,Lothar Sturm und Ray Sturm in Metallbau Sturm GbR,18569,02.02.16,01.02.18,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,2916.6
ESF/14-SM-A51-0339/16,106.0,Lothar Sturm und Ray Sturm in Metallbau Sturm GbR,18569,30.06.16,29.06.18,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,4455.0
ESF/14-SM-A51-0338/16,106.0,Lothar Sturm und Ray Sturm in Metallbau Sturm GbR,18569,23.06.16,22.06.18,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,5578.64
ESF/14-SM-A51-0417/16,106.0,Lotsbetrieb GmbH Mecklenburg-Vorpommern,18119,25.07.16,24.07.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,540.0
ESF/14-SM-A51-0115/15,106.0,Lotsbetrieb GmbH Mecklenburg-Vorpommern,18119,28.04.15,10.05.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,17290.0
ESF/14-SM-A51-0297/15,106.0,LOTUS Packaging GmbH & Co. KG,19258,07.08.15,06.08.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,1050.0
ESF/14-SM-A51-0090/16,106.0,LSS Lewens Sonnenschutz-Systeme GmbH & Co. KG,19288,20.01.16,19.01.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,2300.0
ESF/14-SM-A51-0112/16,106.0,LSS Lewens Sonnenschutz-Systeme GmbH & Co. KG,19288,28.01.16,27.01.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,9660.0
ESF/14-SM-A51-0283/15,106.0,MAB Metall- und Anlagenbau GmbH,19073,26.08.15,25.08.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,6475.0
ESF/14-SM-A51-0383/15,106.0,Manfred Lührmann Metallbau,18299,06.10.15,05.10.16,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,3582.0
ESF/14-SM-A51-0147/16,106.0,Manuela Hasler Praxis für Podologie,18435,03.03.16,02.03.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,60.0
ESF/14-SM-A51-0179/16,106.0,MAPLAN Maschinenfabrik und Anlagen für Kunststofftechnik Schwerin GmbH,19061,24.02.16,23.02.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,14400.0
ESF/14-SM-A51-0038/16,106.0,Mareen Buchholz und Daniel Buchholz in Pflegeteam Ostseeküste GbR,18507,21.01.16,10.01.18,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,1600.0
ESF/14-SM-A51-0393/15,106.0,Marianne Henke - Zimmerbörse Prerow,18375,23.09.15,22.09.16,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,960.0
ESF/14-SM-A51-0202/15,106.0,Mario Braun Zimmerei und Holzbau,23966,29.05.15,04.06.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,175.0
ESF/14-SM-A51-0358/16,106.0,MAT Foundries Europe GmbH,66539,06.06.16,05.06.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,7800.0
ESF/14-SM-A51-0401/16,106.0,Matthäi Bauunternehmen GmbH & Co. KG,19067,22.06.16,21.06.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,675.0
ESF/14-SM-A51-0256/16,106.0,Mecklenburger Backstuben GmbH,17192,06.04.16,05.04.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,60.0
ESF/14-SM-A51-0530/15,106.0,Mecklenburger Backstuben GmbH,17192,20.11.15,19.11.16,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,300.0
ESF/14-SM-A51-0255/16,106.0,Mecklenburger Backstuben GmbH,17192,06.04.16,05.04.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,1140.0
ESF/14-SM-A51-0092/16,106.0,Mecklenburger Backstuben GmbH,17192,25.01.16,24.01.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,3220.0
ESF/14-SM-A51-0268/16,106.0,Mecklenburgische Kanalbau GmbH,18198,31.03.16,30.03.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,1432.0
ESF/14-SM-A51-0284/16,106.0,Mecklenburgische Kanalbau GmbH,18198,12.04.16,11.04.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,3520.0
ESF/14-SM-A51-0095/16,106.0,Medizintechnik Jürgen K. Kranz GmbH,23968,09.02.16,08.02.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,340.0
ESF/14-SM-A51-0340/16,106.0,Medizintechnik Rostock GmbH,12249,17.05.16,16.05.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,510.0
ESF/14-SM-A51-0452/16,106.0,Medizintechnik Rostock GmbH,12249,10.08.16,09.08.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,510.0
ESF/14-SM-A51-0108/16,106.0,Medizintechnik Rostock GmbH,12249,25.01.16,24.01.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,3937.58
ESF/14-SM-A51-0219/15,106.0,Metallbau Rostock GmbH,18147,24.06.15,30.06.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,4465.84
ESF/14-SM-A51-0132/16,106.0,Metallbau Wittenberg GmbH & Co. KG,17358,09.02.16,08.02.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,270.0
ESF/14-SM-A51-0063/16,106.0,Metallbau Wittenberg GmbH & Co. KG,17358,20.01.16,19.01.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,8704.0
ESF/14-SM-A51-0552/15,106.0,MGB Fliesen & Naturstein GmbH,19075,18.12.15,17.12.16,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,175.0
ESF/14-SM-A51-0451/15,106.0,Michael Kreft TAXUS Zimmerei & Dachdeckerei,17235,08.10.15,07.10.16,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,980.0
ESF/14-SM-A51-0266/15,106.0,Michael Wamp - The Black Bull Das Stralsunder Steakhaus,18439,23.07.15,22.07.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,600.0
ESF/14-SM-A51-0273/16,106.0,Michaela Hapke Physiotherapie,17034,29.03.16,28.03.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,1200.0
ESF/14-SM-A51-0292/15,106.0,MIS Vorpommern GmbH,18519,17.08.15,16.08.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,6475.0
ESF/14-SM-A51-0345/16,106.0,MIS Vorpommern GmbH,18519,29.06.16,28.06.18,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,6670.0
ESF/14-SM-A51-0291/16,106.0,ML Bau GmbH,18059,14.04.16,13.04.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,600.0
ESF/14-SM-A51-0116/15,106.0,"ml&s manufacturing, logistics and services GmbH & Co. KG",17489,07.05.15,17.05.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,970.0
ESF/14-SM-A51-0448/15,106.0,mobili ART Innenausbau Brenner e. Kfm.,18198,29.10.15,28.10.16,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,570.0
ESF/14-SM-A51-0285/15,106.0,MSP - Intensivpflege GmbH,17489,19.08.15,18.08.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,13500.0
ESF/14-SM-A51-0258/15,106.0,MST Sicherheitstransport- Gesellschaft Mecklenburg mbH,19073,24.07.15,23.07.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,2800.0
ESF/14-SM-A51-0247/16,106.0,Müritzparadies GmbH,17248,18.03.16,17.03.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,816.5
ESF/14-SM-A51-0440/15,106.0,Natalia Brim - Vermessungsbüro Brim -,19075,13.10.15,12.10.16,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,675.0
ESF/14-SM-A51-0053/16,106.0,NDB Elektro- und Kommunikationstechnik GmbH,19075,05.01.16,04.01.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,175.0
ESF/14-SM-A51-0392/15,106.0,Nena GmbH,19057,24.09.15,23.09.16,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,5000.0
ESF/14-SM-A51-0449/16,106.0,NEPTUN WERFT GmbH & Co. KG,18119,02.08.16,01.08.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,7920.0
ESF/14-SM-A51-0025/16,106.0,Neubrandenburger Verkehrsbetriebe GmbH,17034,06.01.16,05.01.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,2932.6
ESF/14-SM-A51-0554/15,106.0,Neue ohne Barrieren gGmbH,18057,11.01.16,10.01.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,1378.85
ESF/14-SM-A51-0165/16,106.0,Neue ohne Barrieren gGmbH,18057,02.03.16,01.03.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,4141.2
ESF/14-SM-A51-0173/16,106.0,Neue ohne Barrieren gGmbH,18057,03.03.16,02.03.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,5521.6
ESF/14-SM-A51-0350/16,106.0,Neue ohne Barrieren gGmbH,18057,16.06.16,15.06.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,9660.0
ESF/14-SM-A51-0170/16,106.0,Neue ohne Barrieren gGmbH,18057,02.03.16,01.03.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,9662.8
ESF/14-SM-A51-0198/16,106.0,Neue ohne Barrieren gGmbH,18057,16.03.16,15.03.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,11733.4
ESF/14-SM-A51-0082/16,106.0,Norcons-Nordic Conservations UG (haftungsbeschränkt),18519,12.01.16,11.01.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,1550.0
ESF/14-SM-A51-0004/16,106.0,Norcons-Nordic Conservations UG (haftungsbeschränkt),18519,12.11.15,11.11.16,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,1550.0
ESF/14-SM-A51-0002/16,106.0,Norcons-Nordic Conservations UG (haftungsbeschränkt),18519,12.11.15,11.11.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,4320.0
ESF/14-SM-A51-0083/16,106.0,Norcons-Nordic Conservations UG (haftungsbeschränkt),18519,12.01.16,11.01.18,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,4320.0
ESF/14-SM-A51-0350/15,106.0,Norddeutsche Kaffeewerke GmbH,23936,04.09.15,03.09.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,60.0
ESF/14-SM-A51-0219/16,106.0,Norddeutsche Kaffeewerke GmbH,23936,27.06.16,26.06.18,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,3050.0
ESF/14-SM-A51-0041/15,106.0,Nordic Yards Wismar GmbH,23966,10.04.15,12.04.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,2080.0
ESF/14-SM-A51-0433/15,106.0,Nordkorn Saaten GmbH,18273,21.10.15,20.10.16,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,6366.0
ESF/14-SM-A51-0291/15,106.0,NSB GmbH Neubrandenburger Stahl und Bau,17033,15.10.15,14.10.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,2380.0
ESF/14-SM-A51-0475/15,106.0,NTC Systemtechnik GmbH für Informationstechnologie,19061,19.10.15,18.10.16,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,300.0
ESF/14-SM-A51-0137/15,106.0,Obdachlosenhilfe Rostock e. V.,18147,19.05.15,20.05.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,2240.0
ESF/14-SM-A51-0341/15,106.0,Ohne Barrieren Wohnen und Sozialdienste gGmbH,18059,08.10.15,07.10.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,9600.0
ESF/14-SM-A51-0459/15,106.0,"Olaf Sitte Tief-, Straßen- und Energieanlagenbau GmbH",19243,27.10.15,26.10.16,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,1660.0
ESF/14-SM-A51-0447/15,106.0,Oliver Behrens Ostseecamp & Ferienpark Rostocker Heide,18181,19.10.15,18.10.16,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,720.0
ESF/14-SM-A51-0307/16,106.0,OMS Ostsee-Montage-Service GmbH & Co. KG,23968,21.04.16,20.04.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,890.0
ESF/14-SM-A51-0046/16,106.0,optimal media GmbH,17207,05.01.16,04.01.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,8000.0
ESF/14-SM-A51-0005/16,106.0,Ostsee Kurklinik Fischland GmbH,18347,10.11.15,09.11.16,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,3840.0
ESF/14-SM-A51-0022/15,106.0,Ostseebus GmbH,17419,08.04.15,12.04.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,189.0
ESF/14-SM-A51-0172/16,106.0,"Ostseecamp ""Seeblick"" Lange und Pönitz OHG",18230,11.03.16,10.03.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,600.0
ESF/14-SM-A51-0437/15,106.0,Ostseehotel Dierhagen GmbH & Co. KG,60323,28.10.15,27.10.16,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,9020.0
ESF/14-SM-A51-0036/16,106.0,Ostseeklinik Kühlungsborn GmbH & Co. KG,18225,22.12.15,21.12.16,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,3336.0
ESF/14-SM-A51-0228/15,106.0,OZEANEUM Stralsund GmbH,18439,18.06.15,31.08.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,542.33
ESF/14-SM-A51-0034/16,106.0,OZEANEUM Stralsund GmbH,18439,22.12.15,21.12.16,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,1020.0
ESF/14-SM-A51-0200/16,106.0,OZEANEUM Stralsund GmbH,18439,09.03.16,08.03.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,1968.59
ESF/14-SM-A51-0248/15,106.0,Pension Haus am Meer  Lange und Nippkow OHG,18181,12.08.15,11.08.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,1512.0
ESF/14-SM-A51-0522/15,106.0,Personenverkehr GmbH Müritz - PVM,17192,16.11.15,15.11.16,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,378.0
ESF/14-SM-A51-0171/16,106.0,Petra Goldboom - Podologische Praxis,17166,01.03.16,28.02.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,60.0
ESF/14-SM-A51-0209/16,106.0,Pflege in Vorpommern GmbH,17489,06.04.16,05.04.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,225.0
ESF/14-SM-A511-0023/15,106.0,Pflegeakademie Gerlach e. V.,18106,27.10.15,06.12.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,5200.0
ESF/14-SM-A51-0109/15,106.0,Pflegedienst Stügerhoff UG (haftungsbeschränkt),17367,13.08.15,12.08.17,Förderung der Anpassungsfähigkeit der Beschägtigten und Unternehmen an den Wandel,Bildungsschecks,1370.0
