Cod SMIS,Titlu,Beneficiar, Region , County ,Locality,FEDR,member state amount,own contribution,Ineligible Expenses ,total amount,Priority Axis,Intervention Category
30566,Dezvoltarea capacitatii SC SPRING SERV COM SRL in domeniul constructiilor ,SC SPRING SERV COM SRL,Sud ,Teleorman,ALEXANDRIA,460052,54317,0,128415,642784,Axa Prioritara 4 Sprijinirea dezvoltarii mediului de afaceri regional si local,Domeniul Major de Interventie 4.3 Sprijinirea dezvoltarii microintreprinderilor
26524,Dezvoltarea firmei SC Salstar SRL prin crearea unui mediu de lucru conform standardelor europene,SC Salstar SRL,Nord Vest,Cluj,CLUJ NAPOCA,761730,89936,0,750363,1602029,Axa Prioritara 4 Sprijinirea dezvoltarii mediului de afaceri regional si local,Domeniul Major de Interventie 4.3 Sprijinirea dezvoltarii microintreprinderilor
27099,Utilaje pentru dezvoltarea afacerii SC Ingenium Consult SRL,SC Ingenium Consult SRL,Nord Vest,Bihor,ORADEA,295387,34876,0,79263,409526,Axa Prioritara 4 Sprijinirea dezvoltarii mediului de afaceri regional si local,Domeniul Major de Interventie 4.3 Sprijinirea dezvoltarii microintreprinderilor
23259,Dotarea firmei Century Image SRL cu o linie de productie photo-book-uri si materiale de promovare,SC Century Image SRL,Centru,Brasov,BRASOV,744771,87934,0,199849,1032554,Axa Prioritara 4 Sprijinirea dezvoltarii mediului de afaceri regional si local,Domeniul Major de Interventie 4.3 Sprijinirea dezvoltarii microintreprinderilor
38909,Infiintare Copy Center,SC Atomic SRL,Sud Vest,Olt,SLATINA,487299,57534,0,183035,727868,Axa Prioritara 4 Sprijinirea dezvoltarii mediului de afaceri regional si local,Domeniul Major de Interventie 4.3 Sprijinirea dezvoltarii microintreprinderilor
30727,Dezvoltarea SC RADILUM SRL Targoviste prin dotare cu utilaje performante,SC RADILUM SRL ,Sud ,Dambovita,TARGOVISTE,678027,80053,0,181939,940019,Axa Prioritara 4 Sprijinirea dezvoltarii mediului de afaceri regional si local,Domeniul Major de Interventie 4.3 Sprijinirea dezvoltarii microintreprinderilor
27201,Dezvoltarea SC Farago VDL Impex SRL prin achizitia de utilaje pentru constructii de drumuri," SC Farago VDL Impex SRL (Str. Granicerilor nr. 73, ap. 24, Baia Mare)",Nord Vest,Maramures,BAIA MARE,775725,91588,0,220056,1087369,Axa Prioritara 4 Sprijinirea dezvoltarii mediului de afaceri regional si local,Domeniul Major de Interventie 4.3 Sprijinirea dezvoltarii microintreprinderilor
38879,"Dezvoltarea SC Prest Serv Instal SRL prin achizitia de echipamente moderne destinate lucrarilor de instalatii, alimentari cu apa, canalizari si retele de alimentare cu gaze naturale",SC Prest-Serv-Instal SRL,Sud Vest,Olt,SLATINA,709968,83825,0,220252,1014045,Axa Prioritara 4 Sprijinirea dezvoltarii mediului de afaceri regional si local,Domeniul Major de Interventie 4.3 Sprijinirea dezvoltarii microintreprinderilor
38906,Dezvoltarea microintreprinderii Theba SRL prin constructia pensiunii Mika,SC Theba SRL,Sud Vest,Valcea,HOREZU,723343,85404,0,458852,1267598,Axa Prioritara 4 Sprijinirea dezvoltarii mediului de afaceri regional si local,Domeniul Major de Interventie 4.3 Sprijinirea dezvoltarii microintreprinderilor
26668,DOTARE MICROINTREPRINDERE CU UTILAJE,SC DIABAC PRODCOM SRL,Nord Est,Bacau,BACAU,757449,89431,0,203251,1050131,Axa Prioritara 4 Sprijinirea dezvoltarii mediului de afaceri regional si local,Domeniul Major de Interventie 4.3 Sprijinirea dezvoltarii microintreprinderilor
