Name des Begünstigten,Bezeichnung des Vorhabens,Jahr der Bewilligung / Jahr der Restzahlung,Gewährte Beträge - ERDF und Nationale Mittel ohne Eigenmittel,Bei Abschluss des Vorhabens gezahlte Gesamtbeträge
"Bau-Innung Werra-Meißner, Eschwege",Modernisierung der Ausstattung im Ausbildungszentrum der Bauwirtschaft für den Werra- Meißner-Kreis in Eschwege,2014,,"212.404,16"
"BBK Kassel-Nordhessen e. V., Kassel",Kunstmesse Kassel 2014,2014,,"23.887,81"
"BDP Bildungsstätte Vogtscher Hof e. V., Felsberg",Erneuerung der Außentreppe der Bildungsstätte Vogtscher Hof in Felsberg-Gensungen,2014,,"8.625,04"
"Behle Hochheide GmbH & Co. KG, Willingen (Upland)",Erweiterung einer Betriebsstätte in 34508 Willingen,2013,,"180.000,00"
"Berggasthof Ahrenberg GmbH & Co. KG, Bad Sooden-Allendorf",Erweiterung einer Betriebsstätte in 37242 Bad Sooden-Allendorf,2011,,"479.388,32"
"Bernd Manthei Zerspanungstechnik GmbH & Co. KG, Dautphetal",Erweiterung einer Betriebsstätte in 35232 Dautphetal,2011,,"1.083.600,00"
"Berufsbildungswerk des Hessischen Dachdeckerhandwerks e. V., Weilburg",Modernisierungs- und Umstrukturierungsmaßnahmen im Dachdecker-Zentrum Hessen in Weilburg,2010,,"430.700,00"
"Berufsbildungswerk Südhessen gGmbH, Karben",Ergänzung der Ausstattung an den verschiedenen Standorten des BBW Südhessen gGmbH,2009,,"74.000,00"
"Berufsbildungswerk Südhessen gGmbH, Karben","Bauliche Modernisierung der Gebäudeteile 2.0, 3.0 und 5.0 des BBW Südhessen in Karben",2012,,"800.000,00"
"Berufsbildungswerk Südhessen gGmbH, Karben",Beschaffung von Ausstattung für den neuen Ausbildungsberuf Fachinformatiker/in Systemintegration im BBW Südhessen in Karben,2015,,"35.655,64"
"Bildungs- und Technologiezentrum für Elektro- und Informationstechnik e.V., Lauterbach",Entwicklung des BZL in Lauterbach zu einem Kompetenzzentrum für Prozessautomation in Klein- und Mittelbetrieben,2011,,"184.800,00"
"Bildungs- und Technologiezentrum für Elektro- und Informationstechnik e.V., Lauterbach",Modernisierung der Ausstattung im Bildungs- und Technologiezentrum für Elektro- und Informationstechnik e.V.,2011,,"99.328,95"
"Bildungs- und Technologiezentrum für Elektro- und Informationstechnik e.V., Lauterbach",Neubau eines Internats für das BZL Lauterbach,2012,"1.045.278,00",
"Bildungswerk BAU Hessen-Thüringen e.V., Erfurt","Modernisierung des EBL Bildungszentrums Frankfurt am Main, erster und zweiter Bauabschnitt",2008,,"5.897.700,00"
"Bildungszentrum des Hessischen Handels gGmbH, Frankfurt am Main",Beauftragter für Innovation und Technologietransfer im Handel (BIT),2008,,"96.350,00"
"Bioenergiedorf Heubach eG, Kalbach","Demonstrationsvorhaben ""Holzvergaseranlage in Heubach""",2014,,"145.750,00"
"BioNatur GbR Iris & Dirk Rateike, Gilserberg","Errichtung einer Betriebsstätte in 34630 Gilserberg, Bahnhofstraße 57",2008,,"178.510,64"
"Breitband Marburg-Biedenkopf GmbH, Marburg",Machbarkeitsstudie zur Vorbereitung von Breitbandinfrastruktur maßnahmen für ein regionales Hochleistungsnetz (NGA),2011,,"38.300,00"
"Brenergo GmbH, Erbach",CLEO - Cluster Erneuerbare Energien Odenwald Aufbauphase - 2009 - 2011,2009,,"238.555,28"
"BTQ Kassel Beratungsstelle für Technologiefolgen u. Qualifizierung im ver.di Bildungswerk im Lande Hessen e. V., Kassel",Neue Technologien und Wettbewerbsfähigkeit 2008/2009,2008,,"166.836,07"
"BTQ Kassel Beratungsstelle für Technologiefolgen u. Qualifizierung im ver.di Bildungswerk im Lande Hessen e. V., Kassel",Neue Technologien und Wettbewerbsfähigkeit 2010,2010,"99.016,42",
"BTQ Kassel Beratungsstelle für Technologiefolgen u. Qualifizierung im ver.di Bildungswerk im Lande Hessen e. V., Kassel",Neue Technologien und Wettbewerbsfähigkeit 2011,2011,,"83.864,99"
"BTQ Kassel Beratungsstelle für Technologiefolgen u. Qualifizierung im ver.di Bildungswerk im Lande Hessen e. V., Kassel",Wissenslogistik in KMU 2012/2013,2012,,"149.016,76"
"Buchbinderei Thomas Zinn, Kleinlüder",Übernahme einer von der Stilllegung bedrohten Betriebsstätte mit Erweiterung in 36137 Kleinlüder,2009,,"110.683,58"
"Burghof M & H Betriebs-GmbH Meisinger & Hinz GbR, Brombachtal","Errichtung einer Betriebsstätte in 64753 Brombachtal, Burghof 16",2010,,"549.700,00"
"Burgtheater Peter Unger, Schwalmstadt","Umrüstung einer Leinwand von analoger auf digitale Projektionste chnik des Burgtheaters, Schwalmstadt",2013,,"13.097,99"
"Butzbacher Filmtheater Betriebsgesellschaft mbH, Butzbach","Umrüstung einer Leinwand von analoger auf digitale Projektionste chnik, Butzbacher Filmtheater, Rossbrunnenstrasse 3, Butzbach",2011,,"20.250,00"
