Name des Begünstigten,Bezeichnung des Vorhabens,Jahr der Bewilligung / Jahr der Restzahlung,Gewährte Beträge - ERDF und Nationale Mittel ohne Eigenmittel,Bei Abschluss des Vorhabens gezahlte Gesamtbeträge
"F.A.Z.-Institut für Management-, Markt- und Medieninformationen GmbH, Frankfurt am Main",Gründerflirt 2012-2013,2012,,"235.000,00"
"F.A.Z.-Institut für Management-, Markt- und Medieninformationen GmbH, Frankfurt am Main",IT-Transfer 2012,2012,,"150.000,00"
"F.A.Z.-Institut für Management-, Markt- und Medieninformationen GmbH, Frankfurt am Main",BEST Excellence 2013,2013,,"150.000,00"
"F.A.Z.-Institut für Management-, Markt- und Medieninformationen GmbH, Frankfurt am Main",IT-Transfer 2013,2013,,"150.000,00"
"Filmladen Kassel e. V., Kassel","Umrüstung einer Leinwand von analoger auf digitale Projektionste chnik, Open Air Kino des Filmladens Kassel",2014,,"14.900,00"
"Filmladen Kassel e.V., Kassel","Umrüstung einer Leinwand von analoger auf digitale Projektions technik, Filmladen Kassel e. V.",2011,,"18.697,20"
"Filmseher Kulturmanagement OHG, Seeheim-Jugenheim",Umrüstung des Filmtheaters Freilichtbühne Seeheim-Jugenheim von analoger auf digitale Projektionstechnik,2014,,"9.239,93"
"Filmtheaterbetrieb Ralf Schuhmacher, Witzenhausen",Umrüstung von analoger auf digitale Projektionstechnik,2013,,"31.166,61"
"Filmtheaterbetriebe Dieter Lachner, Bad Vilbel","Umrüstung von 2 Leinwänden von analoger auf digitale Projektions technik, Cinepark Karben, Robert-Bosch-Straße 62, 61184 Karben",2011,,"32.187,50"
"Filmtheaterbetriebe Manfred Ewert KG, Wiesbaden","Umrüstung von fünf Leinwänden von analoger auf digitale Projek tionstechnik, Apollo- Center, Wiesbaden",2012,,"73.138,00"
"Förderverein Kloster Haydau e. V., Morschen","Wiederherstellung der historischen Gartenanlage, Teilbereich Untere Westterrasse",2010,,"224.973,99"
"Formenbau Krug GmbH, Breidenbach",Erweiterung einer Betriebsstätte in 35236 Breidenbach,2011,,"456.900,00"
"Forum KIEDRICH GmbH, Wiesbaden",Gründernetzwerk,2008,,"24.500,00"
"Forum KIEDRICH GmbH, Wiesbaden","Betriebsberatung, Gründungsförderung, Wettbewerbsfähigkeit 2009-2011",2009,,"232.868,08"
"Forum KIEDRICH GmbH, Wiesbaden","Betriebsberatung, Gründungsförderung, Wettbewerbsfähigkeit 2012-2013",2012,,"144.407,27"
"Forum KIEDRICH GmbH, Wiesbaden","Betriebsberatung, Gründungsförderung, Wettbewerbsfähigkeit 2014-2015",2014,,"116.060,05"
"FRADO GbR Immobilien & Beteiligungesellschaft(BsG) Energy Glas GmbH (BtG), Wolfhagen",Erweiterung einer Betriebsstätte in Wolfhagen,2012,,"960.800,00"
"FRANKFURT BUSINESS MEDIA GmbH Der F.A.Z.-Fachverlag, Frankfurt am Main",BEST Excellence 2014,2014,,"150.000,00"
"FRANKFURT BUSINESS MEDIA GmbH Der F.A.Z.-Fachverlag, Frankfurt am Main","Gründerflirt und Gründen, Fördern, Wachsen 2014",2014,,"124.000,00"
"FRANKFURT BUSINESS MEDIA GmbH Der F.A.Z.-Fachverlag, Frankfurt am Main",IT-Transfer 2014,2014,,"150.000,00"
"FRANKFURT BUSINESS MEDIA GmbH Der F.A.Z.-Fachverlag, Frankfurt am Main",BEST Excellence und Gründerflirt 2015,2015,,"190.000,00"
"FRANKFURT BUSINESS MEDIA GmbH Der F.A.Z.-Fachverlag, Frankfurt am Main","Gründen, Fördern, Wachsen 2015",2015,,"84.000,00"
Frankfurt am Main,,,,
"FRANKFURT BUSINESS MEDIA GmbH Der F.A.Z.-Fachverlag, Frankfurt am Main",Unternehmensnachfolge 2015,2015,,"60.000,00"
"Frauenbetriebe - Qualifikation für die berufliche Selbstständigkeit eV, Frankfurt am Main",Genderspezifisches Monitoringsystem 2008,2008,,"37.283,00"
"Frauenbetriebe - Qualifikation für die berufliche Selbstständigkeit eV, Frankfurt am Main",Unternehmerinnenportal Hessen Relaunch,2008,,"14.500,00"
"Frauenbetriebe - Qualifikation für die berufliche Selbstständigkeit eV, Frankfurt am Main",Qualifizierung für Geschäftspartnerschaften und teilhabe 2008,2008,,"33.750,00"
"Frauenbetriebe - Qualifikation für die berufliche Selbstständigkeit eV, Frankfurt am Main",Genderspezifisches Monitoringsystem 2009,2009,,"69.500,00"
"Frauenbetriebe - Qualifikation für die berufliche Selbstständigkeit eV, Frankfurt am Main",Qualifizierung für Geschäftspartnerschaften 2009,2009,,"82.700,00"
"Frauenbetriebe ''jumpp - Ihr Sprungbrett in die Selbstständigkeit'' e.V., Frankfurt am Main",Qualifizierung für Geschäftspartnerschaften 2010,2010,,"84.900,00"
"Frauenbetriebe ''jumpp - Ihr Sprungbrett in die Selbstständigkeit'' e.V., Frankfurt am Main",Veranstaltungsreihe zu Wachstum für Entrepreneurship von Frauen 2010,2010,,"10.300,00"
"Frauenbetriebe ''jumpp - Ihr Sprungbrett in die Selbstständigkeit'' e.V., Frankfurt am Main",StratA - Kooperationen und Netzwerken für strategische Allianzen,2011,,"86.700,00"
"Frauenbetriebe ''jumpp - Ihr Sprungbrett in die Selbstständigkeit'' e.V., Frankfurt am Main",Fit für die Zukunft 2012-2013,2012,,"121.700,00"
"Frauenbetriebe ''jumpp - Ihr Sprungbrett in die Selbstständigkeit'' e.V., Frankfurt am Main","Vertrag über die Errichtung einer hessenweiten Koordinierungsstelle ""Frauen & Wirtschaft"" vom __.05.2013 (im Auftrag des HMWVL, Ref. IV 2)",2013,,"190.000,00"
"Frauenbetriebe ''jumpp - Ihr Sprungbrett in die Selbstständigkeit'' e.V., Frankfurt am Main","Zukunftssymposium ""Women 3.0, Megatrend Frauen - zwischen Wunsch und Wirklichkeit""",2014,,"49.449,16"
"Fraunhofer-Gesellschaft Institut für sichere Informations- technologie (SIT), Darmstadt",CIRECS - Center for Industrial Research in Cloud Security 2013-2014,2013,,"492.338,19"
"Fraunhofer-Gesellschaft Institut für sichere Informations- technologie (SIT), Darmstadt",ENTERPRISE ENCRYPTION 2014,2014,,"45.670,58"
"Freizeit-Unternehmens-Gesellschaft mbH Künzell & Co. Bäderpark KG, Künzell",Erweiterung einer Betriebsstätte in der Gemeinde Künzell,2009,,"1.106.200,00"
"Friedrich und Renate Plutte, Darmstadt","Pilot- und Demonstrationsvorhaben ""Mikro-BHKW-Brennstoffzelle Viessmann Vitovalor 300- P""",2015,,"16.720,00"
"frimeo GmbH, Darmstadt",frimeo App,2015,,"8.300,00"
"fsave Solartechnik GmbH, Kassel",Einstellung eines/r Innovationsassistenten/in in 34117 Kassel,2012,,"30.000,00"
"FTB Anja Wenz, Groß-Gerau","Umrüstung von 2 Leinwänden von analoger auf digitale Projektions technik, Lichtspielhaus/CineBar, Mittelstraße 2, Groß-Gerau",2011,,"31.499,64"
"FTH Fertigungstechnik Hofgeismar GmbH, Hofgeismar",Erweiterung einer Betriebsstätte in 34369 Hofgeismar Assendorfer Weg 3,2008,,"315.494,01"
"Fürstenhof Lichtspiele Martin Scheid, Büdingen",Umrüstung einer Leinwand von analoger auf digitale Projektions technik,2011,,"14.029,46"
"Gabriele Jost, Viernheim","Pilot- und Demonstrationsvorhaben ""Brennstoffzelle Viessmann Vitovalor 300-P im Wohnhaus""",2015,,"15.803,00"
"GCCS UG (haftungsbeschränkt), Fischbachtal",Geodetic Cloud Computing Service,2015,,"14.604,77"
"Gebrüder Eckart GbR, Hünfeld","Demonstrationsvorhaben ""Holzvergaseranlage in Hünfeld-Michelsrombach""",2013,,"115.446,69"
"Gemeinde Biblis, Biblis",Standortentwicklungskonzept Biblis,2012,,"130.317,88"
"Gemeinde Biblis, Biblis",Standortentwicklungskonzept Biblis - Umsetzung von Kommunikation smaßnahmen,2013,,"24.878,14"
"Gemeinde Burghaun, Burghaun","Rundweg Burgmauer, OT Burghaun",2013,,"26.350,56"
"Gemeinde Burghaun, Burghaun","Freiflächengestaltung Stadtstraße, Ev. Kirche/Torhaus; OT Burghaun",2013,,"76.252,03"
"Gemeinde Calden, Calden",Ausbau Verkehrsflughafen Kassel-Calden zum Verkehrslandesplatz Erschließung Gewerbegebiet für flughafenaffines Gewerbe,2011,"1.383.200,00",
"Gemeinde Calden, Calden",Ausbau Verkehrslandeplatz Kassel-Calden zum Verkehrsflughafen landseitige Erschließung - Anbindung an öffentliche Verkehrsnetz,2011,"3.071.300,00",
"Gemeinde Dautphetal, Dautphetal",Bau von zwei Linksabbiegespuren an der L 3042 im Ortsteil Mornshausen (GWG Hommertshäuser Straße),2011,,"72.925,00"
"Gemeinde Diemelsee, Diemelsee",Errichtung eines Kurplatzes mit Info-Point,2008,,"32.700,00"
"Gemeinde Diemelsee, Diemelsee","Besucherbergwerk Grube Christiane bei Adorf, Umstrukturierung zum Infozentrum für Bergwerksgeschichte und Geologie",2014,,"273.650,00"
"Gemeinde Diemelsee, Diemelsee",Informations- und Begegnungszentrum Kloster Flechtdorf,2015,,"194.600,00"
"Gemeinde Fuldatal, Fuldatal",Konversion - Erschließung Technickbereich der ehem. Fritz-Erler-Kaserne in Fuldatal- Rothwesten,2011,,"2.365.973,39"
"Gemeinde Hofbieber, Hofbieber","Erschließung Industriegebiet ""Kreuzfeld"" mit Anbindung an die L 3174 in der Gemeinde Hofbieber / OT Hofbieber",2010,,"86.200,00"
"Gemeinde Kirchheim, Kirchheim",Errichtung eines Badeteichs  im Feriendorf Am Eisenberg,2009,,"124.500,00"
"Gemeinde Lohfelden, Lohfelden",ARS NATURA - Lückenschluss zwischen Kassel-Waldau und Söhrewald- Wellerode,2008,,"11.610,00"
"Gemeinde Mörlenbach, Mörlenbach","Potenzialanalyse ""Interkommunale Gewerbeflächenentwicklung im Weschnitztal""",2011,,"19.516,00"
"Gemeinde Philippsthal, Philippsthal","Neubau der Ulsterbrücke ""Schwupp""",2014,,"85.500,00"
"Gemeinde Reichelsheim (Odenwald), Reichelsheim (Odenwald)","Errichtung eines touristischen Buchungs- und Informationszentrum für die TAG ""Westlicher Odenwald"" in Reichelsheim",2010,,"31.900,00"
"Gemeinde Wabern, Wabern","Förderung des Demonstrationsvorhabens ""Innovative Straßenbeleuchtungsanlagen in Hessen"" / Förderung nach § 6 HEnG",2012,,"13.330,00"
"Gemeinde Wald-Michelbach, Waldmichelbach",Sanierung der Rudi-Wünzer-Halle Wald-Michelbach,2010,"785.000,00",
"Gemeinde Willingen (Upland), Willingen",Erweiterung und funktionsgerechte Umgestaltung des Veranstaltungszentrums,2008,,"1.529.000,00"
"Gemeinnützige Umwelthaus GmbH, Kelsterbach","Informationszentrum ""Flughafen und Region im Umwelt- und Nachbarschaftshaus""",2010,,"167.500,00"
"Geowelt Fortuna e.V., Solms-Oberbiel",Touristische Entwicklung der Erlebnislandschaft Geowelt Fortuna,2012,,"849.500,00"
"Gerhard Klapp Cosmetics, Hessisch Lichtenau",Erweiterung einer Betriebsstätte in der Stadt Hessisch Lichtenau,2009,,"681.600,00"
"Gerhard Lorch, Mücke","Demonstrationsvorhaben ""Brennstoffzelle BlueGen im Wohn- und Geschäftshaus in 35423 Lich""",2013,,"17.058,69"
"Gesellschaft für Wirtschaftskunde e.V., Hanau",Modernisierung der Ausstattungen in der Metallausbildungswerkstatt der GfW in Hanau,2010,,"212.200,00"
"GesundRichtungZukunft e.V., Marburg",Gesund Richtung Zukunft,2013,"66.400,00",
"GEWAK - Gesellschaft für Wirtschaft, Arbeit und Kultur, Frankfurt",Erhöhung der Innovationsfähigkeit kleiner und mittlerer Unternehmen in der Kontraktlogistik,2011,,"72.715,63"
"gfnork UG (haftungsbeschränkt), Darmstadt",RoadAtlas,2014,,"25.000,00"
"GINo mbH Gesellschaft für Innovation Nordhessen, Kassel",Verbesserung Technologietransfer im Bereich Patent- und Markeninformation 2010,2010,,"69.458,64"
"GINo mbH Gesellschaft für Innovation Nordhessen, Kassel",Verbesserung Technologietransfer im Bereich Patent- und Markeninformation 2011,2011,,"55.900,00"
"GINo mbH Gesellschaft für Innovation Nordhessen, Kassel",Verbesserung Technologietrransfer im Bereich Patent- und Markeninformation 2012,2012,,"49.725,85"
"GINo mbH Gesellschaft für Innovation Nordhessen, Kassel",Verbesserung Technologietransfer im Bereich Patent- und Markeninformation 2013,2013,,"58.607,98"
"GINo mbH Gesellschaft für Innovation Nordhessen, Kassel",Unterstützung von KMU-Strategien und Management sowie Technologietransfer im Bereich Patente Marken und eingetragene Designs 2014,2014,,"43.099,12"
"Glaser-Schleicher GbR, Fulda","Pilot- und Demonstrationsvorhaben ""Brennstoffzellenheizgerät Ceramic Fuel Cells, BlueGEN""",2015,,"16.442,00"
"GOAB GmbH, Offenbach am Main",VerbundWerk - Kooperationsförderung,2008,,"51.430,44"
"GOAB GmbH, Offenbach am Main",Beschaffung von Ausstattung für den Ausbildungsbereich Metall,2009,,"8.980,00"
"Göbel GmbH, Rodgau","Umrüstung einer Leinwand von analoger auf digitale Projektionste chnik der Saalbau- Lichtspiele, Rodgau",2013,,"15.898,00"
"Greenerity GmbH, Hanau","Demonstrationsvorhaben ""PEM-Elektrolyseur zur Erzeugung von grünem Wasserstoff""",2015,,"178.383,22"
"Grümel e.V., Fulda",Errichtung von Unterrichts- und Werkstatträumen zur beruflichen Qualifizierung und Ausbildung von benachteiligten Jugendlichen,2009,,"280.000,00"
"Grümel e.V., Fulda",Beschaffung von Ausstattungen für das Schulungszentrum Grümel in der Steubenallee 6 in 36041 Fulda,2010,,"49.900,00"
"Grümel e.V., Fulda",Beschaffung von Ausstattungen für Unterrichts- und Werkstatträume im Grümel Zentrum in der Steubenallee 6 in Fulda,2012,,"45.500,00"
"Grundstücksges. Rühl + Heß GbR (BSG) print-ID GmbH & Co. KG (BTG), Gießen",Erwerb einer stillgelegten Betriebsstätte in 35305 Grünberg,2012,,"218.000,00"
"Grundstücksverwaltungsgesellschaft Mercedes-Benz AG & Co. OHG, Schönefeld","Errichtung einer betrieblichen Kinderbetreuungseinrichtung der Grundstücksverwaltungsgesellschaft, Mercedesplatz 1, 34112 Kassel",2009,,"500.000,00"
"Günter Friedrich, Rodgau","Pilot- und Demonstrationsvorhaben ""Brennstoffzelle Viessmann Vitovalor 300-P im Wohnhaus""",2014,,"18.705,00"
"H. Wunderer FTB Friedberg GmbH, Idstein","Umrüstung von 2 Leinwänden von analoger auf digitale Projektions technik, Kino-Center Friedberg, Blende u. Keller-Kino, Friedberg",2011,,"30.575,00"
"HA Hessen Agentur GmbH, Wiesbaden",Förderung modellhafter Forschungs- und Entwicklungsprojekte,2008,"15.093.239,70",
"HA Hessen Agentur GmbH, Wiesbaden","Aufbau des Clusters ""Integrierte Bioindustrie""",2008,,"259.698,06"
"HA Hessen Agentur GmbH, Wiesbaden","Vertrag über die inhaltiche Überarbeitung verschiedener Publikationen (Broschüren und Flyer) durch die HA (im Auftrag des HMWVL, Ref. IV 2)",2008,,"17.968,00"
"HA Hessen Agentur GmbH, Wiesbaden",TTN-Hessen 2. Halbjahr 2008,2008,,"338.978,21"
"HA Hessen Agentur GmbH, Wiesbaden",Clusterwettbewerb - Begleitung der Umsetzung der prämierten Konzepte in 2009,2008,,"60.293,00"
"HA Hessen Agentur GmbH, Wiesbaden",Modellhafte Forschungs- und Entwicklungsprojekte insbesondere in der Automobilzulieferindustrie,2009,,"3.298.003,12"
"HA Hessen Agentur GmbH, Wiesbaden",TechnologieTransferNetzwerk Hessen 2009,2009,,"700.533,00"
"HA Hessen Agentur GmbH, Wiesbaden","Vertrag mit der HA: Hessischer Mittelstandsbericht 2009 (im Auftrag des HMWVL, Ref. IV 2)",2009,,"24.718,00"
"HA Hessen Agentur GmbH, Wiesbaden",Sonderförd. von Marketingproj. im zentralen tourist. Marketing  für die Reiseziele in Hessen im In- und Ausland im Jahr 2009,2009,,"1.191.580,00"
"HA Hessen Agentur GmbH, Wiesbaden",TechnologieTransferNetzwerk Hessen 2010,2010,,"685.317,97"
"HA Hessen Agentur GmbH, Wiesbaden",Begleitung der geförderten Clusternetzwerke 2010,2010,,"59.296,43"
"HA Hessen Agentur GmbH, Wiesbaden","Vertrag mit der HA: Hessischer Mittelstandsbericht 2010 ""Hessischer Mittelstand - Fit für die Zukunft?"" (im Auftrag des HMWVL, Ref. IV 2)",2010,,"47.866,00"
"HA Hessen Agentur GmbH, Wiesbaden",Technologie TransferNetzwerk Hessen 2011,2011,,"667.120,35"
"HA Hessen Agentur GmbH, Wiesbaden","Vertrag zwischen dem HMWVL und der HA vom 15.12.2010 i. V. m. Ergänzungsvertrag vom 28.11.2011 über die Projektträgerschaft der Aktionslinie Hessen-IT 2011 (im Auftrag des HMWVL, Ref. IV 6)Patente, Marken und eingetragene Designs 2015.",2011,,"1.618.500,00"
"HA Hessen Agentur GmbH, Wiesbaden","Vertag zwischen dem HMWVL und der HA vom 15.12.2010 i. V. m. Änderungsvertrag vom 30.11.2011 über die Aktionslinien Hessen-Nanotech, Hessen-Biotech,Hessen-Umwelttech 2011 und 1. Quartal 2012 (im Auftrag des HMWVL, Ref. IV 7)Patente, Marken und eingetragene Designs 2015.",2011,,"2.022.839,50"
"HA Hessen Agentur GmbH, Wiesbaden","Cluster ""Integrierte Bioindustrie"" - Verstetigungsphase 2011 - 2014",2011,,"241.953,33"
"HA Hessen Agentur GmbH, Wiesbaden","Vertrag mit der HA über die Erstellung der Publikation: ""Social Media/WEB 2.0 in der mittelständischen Wirtschaft in Hessen"" (im Auftrag des HMWVL, Ref. IV 2)",2011,,"44.770,00"
"HA Hessen Agentur GmbH, Wiesbaden","Projektträgerschaft über die Aktionslinie Hessen IT 2012, Vertrag vom 13.12.2011 i. V. m. 1. Änderungsvertrag vom 25.07.2012 sowie 2. Änderungsvertrag vom 12.10.2012 mit der Hessen Agentur GmbH (im Auftrag des HMWVL, Ref. IV 6)",2012,,"1.234.726,00"
"HA Hessen Agentur GmbH, Wiesbaden",Evaluation des TechnologieTransferNetzwerkes Hessen 2012,2012,,"67.212,15"
"HA Hessen Agentur GmbH, Wiesbaden","Vertrag vom 14.12.2011 i. V. m. Änderungsvertrag vom 15.10.2012 mit der Hessen Agentur GmbH über die Projektträgerschaft der Aktionslinien Hessen-Nanotech, Biotech, Umwelttech für das Jahr 2012 (im Auftrag des HMWVL, Ref. IV 7)",2012,,"1.227.858,15"
"HA Hessen Agentur GmbH, Wiesbaden",TechnologieTransferNetzwerk Hessen 2012,2012,,"560.062,41"
"HA Hessen Agentur GmbH, Wiesbaden","Vertrag mit der HA über die Erstellung einer Studie: ""Energiewende: Chancen und Risiken für den Mittelstand in Hessen"" (im Auftrag des HMWVL, Ref. IV 2)",2012,,"38.124,00"
"HA Hessen Agentur GmbH, Wiesbaden",Konversionsberatung 2013 und 2014,2013,,"194.857,50"
"HA Hessen Agentur GmbH, Wiesbaden",Tourismus und Kongressmarketing 2014,2013,,"1.509.000,00"
"HA Hessen Agentur GmbH, Wiesbaden","Vertrag über die Erstellung eines Hessischen Mittelstandsberichtes 2014 durch die HA (i. A. HMWEVL, Ref. IV2)",2014,,"6.740,16"
"HA Hessen Agentur GmbH, Wiesbaden",Tourismus- und Kongressmarketing für das Jahr 2015,2015,,"1.600.000,00"
"HA Hessen Agentur GmbH, Wiesbaden","Vertrag über Begleitung geförderter Clusternetzwerke in 2015 i.A. HMWEVL, Ref. II 3",2015,,"111.274,71"
"HA Hessen Agentur GmbH, Wiesbaden","Umsetzung des Projekts ""Bewegtbild-Kommunikation im Tourismus- und Kongressmarketing im Reiseland Hessen""",2015,,"75.000,00"
"HA Hessen Agentur GmbH, Wiesbaden","Erstellung touristischer Erstinfomationen über Hessen für die Quellmärkte USA/UK und NL, Faltkarte",2015,,"21.143,92"
"HA Hessen Agentur GmbH, Wiesbaden",Gesamtkonzeption für touristische Messeauftritte des Landes 2016 - 2019,2015,,"23.811,90"
"HA Hessen Agentur GmbH, Wiesbaden",Konversionsberatung 2015,2015,,"89.980,66"
"Hagemann-Weiß Grundstücks GbR, Kassel","Pilot- und Demonstrationsvorhaben ""Mikro-BHKW-Brennstoffzelle Viessmann Vitovalor 300- P""",2015,,"11.565,00"
"Handelsverband Hessen e. V., Wiesbaden",Gründungsberatung im hessischen Einzelhandel 2014,2014,,"17.868,00"
"Handelsverband Hessen e. V., Wiesbaden",Gründungsberatung im hessischen Einzelhandel 2015,2015,,"14.100,00"
"Handelsverband Hessen-Süd e. V., Frankfurt",Hessischer Handelstag 2013-Die Fachkonferenz für KMU im Handel,2013,,"31.897,26"
"Handelsverband Hessen-Süd e. V., Frankfurt",Hessischer Handelstag 2014 - Die Fachkonferenz für KMU und Handel,2014,,"23.039,73"
"Handelsverband Hessen-Süd e. V., Frankfurt",Hessischer Handelstag 2015 - Die Fachkonferenz für KMU im Handel,2015,,"28.574,97"
"Handwerkskammer Frankfurt-Rhein-Main, Frankfurt am Main",Technologietransfer-Stelle,2008,,"11.000,00"
"Handwerkskammer Frankfurt-Rhein-Main, Frankfurt am Main",Technologie- und Wissenstransfer 2009,2009,,"22.000,00"
"Handwerkskammer Frankfurt-Rhein-Main, Frankfurt am Main",Technologie- und Wissenstransfer 2010,2010,,"32.097,44"
"Handwerkskammer Frankfurt-Rhein-Main, Frankfurt am Main",Technolologie- und Wissenstransfer 2011,2011,,"21.110,76"
"Handwerkskammer Frankfurt-Rhein-Main, Frankfurt am Main",Technolologie- und Wissenstransfer 2012,2012,,"16.790,39"
"Handwerkskammer Frankfurt-Rhein-Main, Frankfurt am Main",Technologie- und Wissenstransfer 2013,2013,,"14.097,07"
"Handwerkskammer Frankfurt-Rhein-Main, Frankfurt am Main",Technologie- und Wissenstransfer 2014,2014,,"15.366,74"
"Handwerkskammer Frankfurt-Rhein-Main, Frankfurt am Main",Technologie- und Wissenstransfer 2015,2015,,"10.000,00"
"Handwerkskammer Frankfurt-Rhein-Main, Frankfurt am Main",Modernisierung der Ausstattung der EDV für Unterrichtszwecke in den BTZ Frankfurt und Weiterstadt der HWK Frankfurt-Rhein-Main,2015,,"49.734,73"
"Handwerkskammer Frankfurt-Rhein-Main, Frankfurt am Main",Modernisierung der Ausstattung des Fachbereichs Elektro im BTZ Frankfurt und Weiterstadt der HWK Frankfurt-Rhein-Main,2015,,"35.877,08"
"Handwerkskammer Kassel, Kassel",Neubau der Werkstatthalle des BZ1 und Modernisierung des Kasinos und des Internats im Bildungszentrum Kassel,2012,,"5.978.850,00"
"Handwerkskammer Wiesbaden, Wiesbaden",Sonderberatungsstellen der hessischen Handwerkskammern 2008-2010,2008,,"1.238.400,00"
"Handwerkskammer Wiesbaden, Wiesbaden","Modernisierungsmaßnahmen im BTZ Lahn-Dill ""Arnold-Spruck-Haus"" in Wetzlar",2011,,"1.238.668,21"
"Hansestadt Korbach, Korbach","Machbarkeitsstudie für das ""Zentrale Geopark-Infozentrum""",2008,,"24.611,57"
"Hansestadt Korbach, Korbach",Weiterentwicklung der Korbacher Spalte und touristische Inwertsetzung der Fossilienfundstätte,2012,,"370.900,00"
"Harald Vogel Filmtheater GmbH, Frankfurt","Erstmalige Ausrüstung von zwei Leinwänden des Harmonie Kinos, ""Große Harmonie"" und ""Kleine Harmonie"" mit digitaler Projektionstechnik in 2k/4K-Qualität entsprechend dem DCI- Standard",2011,,"15.000,00"
"Heidi Nelius, Reinheim","Pilot- und Demonstrationsvorhaben ""Brennstoffzelle Viessmann Vitovalor 300-P im Wohnhaus""",2014,,"17.774,00"
"Henschel Antriebstechnik GmbH, Kassel",Einstellung eines/r Innovationsassistenten/in in 34127 Kassel,2008,,"30.000,00"
"Herborner Pumpenfabrik J. H. Hoffmann GmbH & Co. KG, Herborn",Einstellung eines/r Innovationsassistenten/in in 35745 Herborn,2011,,"27.300,00"
"Hessen Design e.V., Darmstadt","Warum Ecodesign? - Nachhaltiges Design schafft Mehrwehrt - sichtbar, spürbar und erlebbar (Ausstellung)",2013,,"13.926,60"
"Hessen Design e.V., Darmstadt",Designausstellung und Symposium: New Narratives - Design im digitalen Zeitalter,2014,,"16.000,00"
"Hessen Trade & Invest GmbH, Wiesbaden","Vertrag über die Projektträgerschaft der Aktionslinien Hessen IT, Hessen-Bio-, Nano- u. Umwelttech sowie den Technologietransfer für das Jahr 2013 (im Auftrag des HMWVL, Ref. IV 6 und IV 7)",2013,,"2.760.731,50"
"Hessen Trade & Invest GmbH, Wiesbaden","Vertrag über die Projektträgerschaft AL Hessen IT, Hessen-Bio- Nano- und Umwelttech sowie TTN für das Jahr 2014 (i. A. HMWVL, Ref. IV 6 und IV 7)",2014,,"2.208.245,32"
"Hessen Trade & Invest GmbH, Wiesbaden","Vertrag über Maßnahmen zur Förderung von Zukunftstechnologiefeldern sowie der nachfrageorientierten Innovationsunterstützung in 2015 (i. A. HMWEVL, Ref. IV6 IV7)",2014,,"1.826.500,00"
"Hessen Trade & Invest GmbH, Wiesbaden","Vertrag über zusätzliche Leistungen im Rahmen der Förderung von Zukunftstechnologiefeldern sowie der nachfrageorientierten Innovationsunterstützung (i. A. HMWEVL, Ref. IV6 und IV7)",2015,,"1.585.000,00"
"Hessischer Tourismusverband e. V., Marburg",ServiceQualität Deutschland Einführung in Hessen,2008,,"64.600,00"
"Hessischer Tourismusverband e. V., Marburg",ServiceQualität Deutschland - Umsetzung in Hessen - Projektphase II,2009,"208.300,00",
"Hessischer Tourismusverband e. V., Marburg",ServiceQualität Deutschland - Umsetzung in Hessen - Projektphase III,2011,"194.411,23",
"Hessischer Tourismusverband e. V., Marburg",ServiceQualität  Deutschland - Einführung in Hessen - Projektphase IV,2014,,"132.669,61"
"Hessisches Immobilienmanagement, Wiesbaden","Unterstützung der wissenschaftl. Begleitung, Beratung+Qualitätssicherung des PPP- Projektes zum Neubau des Behördenzentrums in Heppenheim in PH-",2015,,"96.180,71"
"Hessisches Ministerium für Wirtschaft, Energie, Verkehr und Landesentwicklung, Wiesbaden","Technische Hilfe: Vorbereitung, Durchführung, Begleitung, Kontrolle (ohne DV-Systeme)",2007,"16.526.669,88",
"Hessisches Ministerium für Wirtschaft, Energie, Verkehr und Landesentwicklung, Wiesbaden",Erarbeitung eines Ausstellungskonzeptes für eine Wanderausstellung zum Thema Passivhaus,2009,,"92.200,00"
"Hessisches Ministerium für Wirtschaft, Energie, Verkehr und Landesentwicklung, Wiesbaden",Erarbeitung eines Leitfadens für energieeffiziente Bildungsgebäude im Neubau + Modernisierung,2010,,"112.200,00"
"Hessisches Ministerium für Wirtschaft, Energie, Verkehr und Landesentwicklung, Wiesbaden",Technische Hilfe: Aufbau Datenbank SAP/ABAKUS-Workflow EFRE,2010,,"368.860,77"
"Hessisches Ministerium für Wirtschaft, Energie, Verkehr und Landesentwicklung, Wiesbaden","Technische Hilfe: Evaluierung, Studien, Information, Kommunikation",2012,,"147.805,34"
"Hessisches Ministerium für Wirtschaft, Energie, Verkehr und Landesentwicklung, Wiesbaden","Technische Hilfe: Vorbereitung, Durchführung, Begleitung, Kontrolle (Vorbereitung der Förderperiode 2014 - 2020)",2015,,"335.184,97"
"Hessisches Ministerium für Wirtschaft, Energie, Verkehr und Landesentwicklung, Wiesbaden","Technische Hilfe: eCohesion, IWB-EFRE-Portal (Vorbereitung der Förderperiode 2014 - 2020)",2015,,"621.479,17"
"HLUG, Wiesbaden","Versorgung der FRENGER GmbH, Heubach mit geotherm. Energie - wissenschaftl. Begl. des Projektes durch das HLUG",2012,,"77.246,90"
"Hochschule für Gestaltung Offenbach am Main, Offenbach am Main",B3 Biennale: B3 Campus/Markt,2013,,"50.000,00"
"Hochtaunuskreis, Bad Homburg v. d. Höhe",Modernisierung und Ergänzung der IuK-Ausstattung in der Hochtaunusschule in Oberursel,2012,,"12.307,00"
