Begünstigte/r,Maßnahmebezeichnung,Jahr der Bewilligung / Jahr der Restzahlung,Bewilligte Beträge,Bei Abschluss des Vorhabens gezahlte Gesamtbeträge
Academy of Sports GmbH Backnang,Bildungsscheck,2012,,"249,90"
Academy of Sports GmbH Backnang,Bildungsscheck,2012,,"500,00"
Academy of Sports GmbH Backnang,Bildungsscheck,2012,,"500,00"
Ackerknecht & Barthel GbR Institut für IT-Ausbildung,Bildungsscheck,2013,,"932,96"
"ACOL Gesellschaft für Arbeitsförderung mbH,
Cottbus","""Tourismus für Alle"" - Verbesserung der sozialen Eingliederung von arbeitslosen
Frauen und Männern",2012,"341.225,00",
"ACOL Gesellschaft für Arbeitsförderung mbH,
Cottbus",Teilprojekt Regionalbudget Cottbus,2010,"127.268,35",
"ACOL Gesellschaft für Arbeitsförderung mbH,
Cottbus",Teilprojekt Regionalbudget Cottbus,2010,"138.447,00",
"ACONsulting GmbH - Consultingunternehmen
Niedergörsdorf","Qualifizierung in kleinen und mittleren Unternehmen -Lehrgang zum Erwerb der
Sachkunde für Asbestsanierung gemäß TRGS 519 Anlage 3",2014,,"787,50"
ad modum GmbH Agentur für Kommunikation,"Beschäftigung von Werkstudierenden im Rahmen eines betrieblichen
Innovationsprojektes",2014,"7.179,50",
ad modum GmbH Agentur für Kommunikation,"Beschäftigung von Werkstudierenden im Rahmen eines betrieblichen
Innovationsprojektes",2014,"6.566,37",
"Adam, Philipp - Kabellverlegung im Hochbau","Qualifizierung in kleinen und mittleren Unternehmen -KNX Projektierung und
Inbetriebnahme",2014,,"692,30"
"ADL Archiv- Daten- Logistik und Projektgesellschaft
mbH","Qualifizierung in kleinen und mittleren Unternehmen - Barcodes-System Optimale
Datenbanknutzung durch Excel, Lotus, Windows Schnittstellen",2010,,"2.940,00"
Adolf Siebeneicher KG - Installateur Prenzlau,"Qualifizierung in kleinen und mittleren Unternehmen -Lehrgang Gasschweißen Modul
G3 und G4",2014,"4.732,50",
"Advancer TeleMedicina GmbH - Elektr. Bauelemente
Hersteller Hennigsdorf","Beschäftigung einer Innovationsassistentin bzw. eines Innovationsassistenten im
Bereich: Innovations-, Produktions-, Qualitäts-, Umweltmanagement",2013,"24.750,00",
ADW Estrich GmbH - Estrichbodenleger Eberswalde,"Lohnkostenzuschuss für arbeitslose Ältere und Alleinerziehende in Brandenburger
Unternehmen",2014,"34.020,00",
AEP Ingenieurgesellschaft mbH Frankfurt (Oder),"Qualifizierung in kleinen und mittleren Unternehmen - Weiterbildungsmaßnahme:
Auto CAD MEP 2009 - Basisschulung, Haustechnik HLSE",2009,,"2.100,00"
"AETNA Gesellschaft für Dienstleistungen und
Innovationen mbH",Qualifizierung in kleinen und mittleren Unternehmen - Führungskräftetraining,2012,,"455,00"
"AETNA Gesellschaft für Dienstleistungen und
Innovationen mbH","Qualifizierung in kleinen und mittleren Unternehmen - Fachwirt Facility Management -
Objektmanagement",2011,,"752,85"
"AETNA Gesellschaft für Dienstleistungen und
Innovationen mbH","Qualifizierung in kleinen und mittleren Unternehmen - Qualifizierung Fachwirt Facility
Management",2011,,"2.310,40"
AFW Wirtschaftsakademie Bad Harzburg GmbH,Bildungsscheck,2011,,"500,00"
AFW Wirtschaftsakademie Bad Harzburg GmbH,Bildungsscheck,2012,"0,00","1.500,00"
"agilex GmbH - Software und Datenverarbeitung.
Softwareentwicklung, Projektmanagement, Beratung
Cottbus","Beschäftigung von Werkstudierenden im Rahmen eines betrieblichen
Innovationsprojektes",2014,"14.940,00",
"Agrargenossenschaft ""Stepenitzland"" Seddin eG","Lohnkostenzuschuss für arbeitslose Ältere und Alleinerziehende in Brandenburger
Unternehmen",2014,"18.684,00",
Agrargenossenschaft Grochwitz eG,"Qualifizierung in kleinen und mittleren Unternehmen - Weiterbildung ""MS Excel 2003""",2010,,"946,00"
Agrargenossenschaft Grochwitz eG,"Qualifizierung in kleinen und mittleren Unternehmen -MS Power Point, MS Excel",2013,,"2.079,00"
Agrargenossenschaft Werenzhain eG,Ausbildungsnetzwerk Elbe- Elster - individualisierte Ausbildungsunterstützung,2012,"82.011,48",
Agrarhandel & Service GmbH Dürrenhofe,"Qualifizierung in kleinen und mittleren Unternehmen - EDV-Systeme und
Kraftstoffsparen im Agrarhandel",2010,,"11.200,00"
Agrarproduktion Oderbruch GmbH,"Qualifizierung in kleinen und mittleren Unternehmen - Allgemeines Vertragsrecht,
Gesellschaftsrecht, Kaufmännisches Recht, Liquiditätsproblem, Mahn -und
Klagewesen, Umsatzbesteuerung im EU-Binnenland; Ausbildung der Ausbilder IHK",2013,,"126,00"
