Begünstigte/r,Maßnahmebezeichnung,Jahr der Bewilligung / Jahr der Restzahlung,Bewilligte Beträge,Bei Abschluss des Vorhabens gezahlte Gesamtbeträge
Berufsbildungsverein Eberswalde e. V. (BBV e.V.),Berufliche Förderung junger Gefangener - Kunst- oder arbeitstherapeutisches Training,2010,,"106.973,40"
Berufsbildungsverein Eberswalde e. V. (BBV e.V.),Arbeitstherapeutische Maßnahme in der JVA Wriezen,2013,,"128.667,25"
Berufsbildungsverein Eberswalde e. V. (BBV e.V.),"""AQUA"" Berufliche Förderung junger Gefangener in der JVA Wriezen",2014,,"144.585,66"
Berufsbildungsverein Eberswalde e. V. (BBV e.V.),"Bildungs-und Behandlungsmaßnahme im offenen Vollzug ""Freiheit in Grenzen""",2012,,"154.138,46"
Berufsbildungsverein Eberswalde e. V. (BBV e.V.),"Umsetzung der Ziele des regionalen Projektes  ""Initiative Oberschule"" in den
Schulamtsbereichen Eberswalde und Frankfurt/O.",2012,,"339.335,93"
Berufsbildungsverein Eberswalde e. V. (BBV e.V.),"Offener Vollzug ""Freiheit in Grenzen"" JVA Wriezen",2014,,"392.831,60"
Berufsbildungsverein Eberswalde e. V. (BBV e.V.),Berufsvorbereitung in der JVA Wriezen,2010,,"412.978,63"
Berufsbildungsverein Eberswalde e. V. (BBV e.V.),Berufsvorbereitung von Inhaftierten in der JVA Wriezen,2013,,"551.912,25"
Berufsbildungsverein Eberswalde e. V. (BBV e.V.),"Erstausbildung in JVA Wriezen Gärtner, Maler/Lackierer, Holzmechaniker/Tischler
und Ausbaufacharbeiter",2010,,"568.198,61"
Berufsbildungsverein Eberswalde e. V. (BBV e.V.),Berufsvorbereitende Maßnahmen in der JVA Wriezen in mehreren Gewerken,2014,,"672.138,30"
Berufsbildungsverein Eberswalde e. V. (BBV e.V.),"Erstausbildung im Jugendvollzug in den Ausbildungsrichtungen Gärtner,
Maler/Lackierer, Ausbaufacharbeiter Fachrichtung Fliesen, Platten, Mosaik und
Holzmechaniker in der JVA Wriezen",2013,,"872.025,01"
Berufsbildungsverein Eberswalde e. V. (BBV e.V.),Berufliche Erstausbildung in der JVA Wriezen,2014,,"953.128,66"
Berufsbildungsverein Eberswalde e. V. (BBV e.V.),"Umsetzung der Ziele des regionalen Teilprojektes ""Initiative Oberschule"" in den
Schulamtsbereichen Eberswalde und Frankfurt/Oder",2010,,"1.643.936,26"
Berufsbildungsverein Eberswalde e. V. (BBV e.V.),"IOS - Initiative Oberschule in den Schulamtsbereichen Eberswalde und Frankfurt
(Oder)",2014,,"2.658.917,57"
Berufsbildungsverein Eberswalde e. V. (BBV e.V.),IOS Initiative Oberschule in den Schulamtsbereichen Eberswalde und Frankfurt (Oder),2011,"3.931.724,96",
Berufsbildungsverein Eberswalde e. V. (BBV e.V.),Regionalbudget V: Teilprojekt INTEGER V,2012,"164.628,54",
Berufsbildungsverein Eberswalde e. V. (BBV e.V.),Integrationsbegleitung von Langzeitarbeitslosen,2012,"763.368,32",
Berufsbildungsverein Eberswalde e. V. (BBV e.V.),Fachkräfte von morgen - der inklusive Arbeitsmarkt,2013,"83.555,32",
Berufsbildungsverein Eberswalde e. V. (BBV e.V.),"Erstausbildung im Jugendvollzug der JVA Wriezen zur Herstellung von
Chancengleichheit inhaftierter junger Gefangener",2013,"1.143.872,90",
Berufsbildungsverein Eberswalde e. V. (BBV e.V.),Berufsvorbereitende Bildungsmaßnahmen in der JVA Wriezen,2013,"909.229,33",
Berufsbildungsverein Eberswalde e. V. (BBV e.V.),Arbeit und Qualifizierung im Jugendstrafvollzug in der JVA Wriezen (AQUA),2013,"164.981,76",
Berufsbildungsverein Eberswalde e. V. (BBV e.V.),"Wohngruppenprojekt ""Freiheit in Grenzen"" für den offenen Vollzug der JVA Wriezen",2013,"373.102,24",
Berufsbildungsverein Eberswalde e. V. (BBV e.V.),"""Perspektive Arbeit: Fit for Job im Barnim"" Unterstützungsangebote für arbeitslose
Personen ohne Berufsabschluss bis unter 35 Jahren mit dem Ziel, den Zugang zur
beruflichen Ausbildung oder zu einer sozialversicherungspflichtigen Beschäftigung zu
verbessern",2014,"412.026,45",
Berufsbildungsverein Eberswalde e. V. (BBV e.V.),Teilprojekt Regionalbudget Barnim,2010,"40.780,00",
Berufsbildungsverein Eberswalde e. V. (BBV e.V.),Teilprojekt Regionalbudget Barnim,2011,"96.137,00",
Berufsbildungsverein Eberswalde e. V. (BBV e.V.),Teilprojekt Regionalbudget Barnim,2011,"43.372,00",
Berufsbildungsverein Prenzlau e.V.,Verbundausbildung - Prüfungsvorbereitung,2011,,"75,00"
Berufsbildungsverein Prenzlau e.V.,Verbundausbildung - Prüfungsvorbereitung CNC-Technik,2010,,"200,00"
Berufsbildungsverein Prenzlau e.V.,"Verbundausbildung - Kaufmännische Steuerung und Kontrolle, Textverarbeitung,
Auftrags- und Rechnungsverarbeitung",2012,,"345,00"
Berufsbildungsverein Prenzlau e.V.,Verbundausbildung - Metallbearbeitung,2009,,"380,00"
Berufsbildungsverein Prenzlau e.V.,Verbundausbildung - CNC-Technik (PAL),2011,,"380,00"
Berufsbildungsverein Prenzlau e.V.,Verbundausbildung - CNC-Technik,2009,,"460,00"
Berufsbildungsverein Prenzlau e.V.,Verbundausbildung - CNC-Technik,2009,,"460,00"
Berufsbildungsverein Prenzlau e.V.,Verbundausbildung - Berufliche Fachbildung Industriekauffrau,2010,,"525,00"
Berufsbildungsverein Prenzlau e.V.,"Verbundausbildung - Leistungserstellung, Kosten- und Leistungsrechnung",2011,,"600,00"
Berufsbildungsverein Prenzlau e.V.,"Verbundausbildung - CNC-Technik, Prüfungsvorbereitung",2010,,"620,00"
Berufsbildungsverein Prenzlau e.V.,Verbundausbildung - Metallbearbeitung,2009,,"660,00"
Berufsbildungsverein Prenzlau e.V.,Verbundausbildung - Zusatzqualifikation - Metallbearbeitung,2010,,"700,00"
Berufsbildungsverein Prenzlau e.V.,Verbundausbildung - CNC-Technik (PAL) Prüfungsvorbereitung,2011,,"700,00"
Berufsbildungsverein Prenzlau e.V.,"Verbundausbildung - Fügen, Schweißen, E-Technik",2011,,"720,00"
Berufsbildungsverein Prenzlau e.V.,Verbundausbildung - CNC-Technik,2011,,"800,00"
Berufsbildungsverein Prenzlau e.V.,"Verbundausbildung - Metallbearbeitung, CNC-Technik",2010,,"960,00"
Berufsbildungsverein Prenzlau e.V.,"Verbundausbildung - konventionelles Drehen, Fräsen, CNC-Technik",2010,,"980,00"
Berufsbildungsverein Prenzlau e.V.,"Verbundausbildung - Berufliche Fachbildung Industriekaufleute, Prüfungsvorbereitung",2009,,"1.095,00"
Berufsbildungsverein Prenzlau e.V.,"Verbundausbildung - Drehen, Fräsen, Trennen, Umformen, Fügen",2011,,"1.140,00"
Berufsbildungsverein Prenzlau e.V.,"Verbundausbildung - Metallbearbeitung: Fügen, Konstruktion, Drehen",2010,,"1.220,00"
Berufsbildungsverein Prenzlau e.V.,"Verbundausbildung - Metallbearbeitung, CNC-Technik",2009,,"1.240,00"
Berufsbildungsverein Prenzlau e.V.,"Verbundausbildung - Metallbearbeitung, Fügen, Maschinelles Spanen",2011,,"1.260,00"
Berufsbildungsverein Prenzlau e.V.,"Verbundausbildung - Metallbearbeitung, Prüfungsvorbereitung",2010,,"1.300,00"
Berufsbildungsverein Prenzlau e.V.,Allgemeine Verbundausbildung - Berufliche Fachbildung Zerspanungsmechaniker,2012,,"1.300,00"
Berufsbildungsverein Prenzlau e.V.,Allgemeine Verbundausbildung - Berufliche Fachbildung Zerspanungsmechaniker,2012,,"1.300,00"
Berufsbildungsverein Prenzlau e.V.,Verbundausbildung - Grundlagen Metallbearbeitung,2011,,"1.320,00"
Berufsbildungsverein Prenzlau e.V.,Allgemeine Verbundausbildung - Berufliche Fachbildung Mechatroniker,2012,,"1.380,00"
Berufsbildungsverein Prenzlau e.V.,"Verbundausbildung - Metallbearbeitung, Maschinelles Spanen, Fügen",2011,,"1.400,00"
Berufsbildungsverein Prenzlau e.V.,"Verbundausbildung - Drehen, Fräsen, CNC-Technik",2010,,"1.460,00"
Berufsbildungsverein Prenzlau e.V.,"Verbundausbildung - Metallbearbeitung, Anlagenbau",2009,,"1.620,00"
Berufsbildungsverein Prenzlau e.V.,"Verbundausbildung - Metallbearbeitung, E-Technik, Steuerungstechnik",2011,,"1.660,00"
Berufsbildungsverein Prenzlau e.V.,"Verbundausbildung - Grundlagen Metallbearbeitung, CNC-Technik",2011,,"1.800,00"
Berufsbildungsverein Prenzlau e.V.,"Verbundausbildung - Zusatzqualifizierung: Erlangen einer Prüfbescheinigung im WIG-
Schweißverfahren",2009,,"1.840,00"
Berufsbildungsverein Prenzlau e.V.,"Verbundausbildung - Metallbearbeitung, SPS, Elektrotechnik",2010,,"1.860,00"
Berufsbildungsverein Prenzlau e.V.,"Verbundausbildung - Grundlagen der Metallbearbeitung, Grundlagen der
Elektrotechnik",2009,,"1.880,00"
Berufsbildungsverein Prenzlau e.V.,"Verbundausbildung - Metallgrundausbildung Metallbearbeitung/Elektrik, Steuer- und
Regelungstechnik",2009,,"2.080,00"
Berufsbildungsverein Prenzlau e.V.,"Verbundausbildung - Fügen, maschinelles Spanen, Montage, Demontage,
Instandhaltung, Prüfungsvorbereitung",2011,,"2.140,00"
Berufsbildungsverein Prenzlau e.V.,"Verbundausbildung - Metallbearbeitung, konventionelles Drehen/Fräsen, CNC-
Technik, Prüfungsvorbereitung",2009,,"2.160,00"
Berufsbildungsverein Prenzlau e.V.,Allgemeine Verbundausbildung - Berufliche Fachbildung Zerspanungsmechaniker,2012,,"2.200,00"
Berufsbildungsverein Prenzlau e.V.,Allgemeine Verbundausbildung - Berufliche Fachbildung Zerspanungsmechaniker,2012,,"2.260,00"
Berufsbildungsverein Prenzlau e.V.,"Verbundausbildung - Montage, Demontage, Instandhaltung mechatronischer Systeme",2011,,"2.400,00"
Berufsbildungsverein Prenzlau e.V.,"Verbundausbildung - Metallgrundausbildung 1. Lehrjahr Drehen/Fräsen, 2. Lehrjahr
CNC-Technik, 3. Lehrjahr Prüfungsvorbereitung",2009,,"2.500,00"
Berufsbildungsverein Prenzlau e.V.,Allgemeine Verbundausbildung - Berufliche Fachbildung Anlagenmechaniker,2012,,"3.240,00"
Berufsbildungsverein Prenzlau e.V.,"Verbundausbildung - Metallbearbeitung, E-Technik",2011,,"3.260,00"
Berufsbildungsverein Prenzlau e.V.,"Verbundausbildung - Metallbearbeitung, CNC-Technik, Prüfungsvorbereitung",2010,,"3.300,00"
Berufsbildungsverein Prenzlau e.V.,"Verbundausbildung - Metallgrundausbildung Elektrik, Steuer- und Regelungstechnik",2009,,"3.560,00"
Berufsbildungsverein Prenzlau e.V.,"Verbundausbildung - Metallbearbeitung, Fügen, Prüfungsvorbereitung",2010,,"4.540,00"
Berufsbildungsverein Prenzlau e.V.,"Verbundausbildung - Metallbearbeitung, Anlagenbau",2009,,"4.760,00"
Berufsbildungsverein Prenzlau e.V.,"Verbundausbildung - Grundlagen der Metallbearbeitung CNC-Technik
Prüfungsvorbereitung",2011,,"5.340,00"
Berufsbildungsverein Prenzlau e.V.,"Verbundausbildung - Metallbearbeitung, Elektrotechnik, Marketing und Absatz",2010,,"5.645,00"
Berufsbildungsverein Prenzlau e.V.,"Verbundausbildung - Grundlagen Metallbearbeitung, E-Technik, Auftragsbearbeitung,
Buchungsvorgänge, Prüfungsvorbereitung",2012,,"5.730,00"
Berufsbildungsverein Prenzlau e.V.,"Verbundausbildung - Metallbearbeitung, Fügen, Umformen, Konstruieren,
Prüfungsvorbereitung",2012,,"7.100,00"
Berufsbildungsverein Prenzlau e.V.,Allgemeine Verbundausbildung - Mechatroniker,2014,,"1.000,00"
Berufsbildungsverein Prenzlau e.V.,Allgemeine Verbundausbildung - Zerspanungsmechaniker,2014,,"1.050,00"
Berufsbildungsverein Prenzlau e.V.,Allgemeine Verbundausbildung - Zerspanungsmechaniker,2014,,"1.100,00"
Berufsbildungsverein Prenzlau e.V.,Allgemeine Verbundausbildung - Zerspanungsmechaniker,2013,,"1.700,00"
Berufsbildungsverein Prenzlau e.V.,Allgemeine Verbundausbildung - Zerspanungsmechaniker,2014,,"2.300,00"
Berufsbildungsverein Prenzlau e.V.,"Allgemeine Verbundausbildung - Berufliche Fachbildung für Zerspanungsmechaniker
1. und 2. Lehrjahr. Prüfen, Messen, Kennzeichnen, Manuelles Spanen, Trennen,
Umformen, Fügen, Maschinelles Spanen, konventionelles Drehen und Fräsen,
Prüfungsvorbereitungen Teil 1 und CNC Grundlagen",2013,,"2.660,00"
Berufsbildungsverein Prenzlau e.V.,"Allgemeine Verbundausbildung - Mechatroniker, Prüfungsvorbereitungen",2013,,"2.680,00"
Berufsbildungsverein Prenzlau e.V.,"Allgemeine Verbundausbildung - Zerspanungsmechaniker, Erwerb der
Bedienberechtigung zum Führen von Flurförderzeugen",2013,,"3.120,00"
Berufsbildungsverein Prenzlau e.V.,Allgemeine Verbundausbildung - Zerspanungsmechaniker,2014,,"3.460,00"
Berufsbildungsverein Prenzlau e.V.,"Allgemeine Verbundausbildung - Messen, Prüfen, Lehren, Kennzeichnen, Manuelles
und Maschinelles Spanen, Trennen, Umformen u. a.",2014,,"3.670,00"
Berufsbildungsverein Prenzlau e.V.,"Allgemeine Verbundausbildung - Messen, Prüfen, Lehren, Kennzeichnen, Manuelles
und Maschinelles Spanen, Trennen, Umformen, Fügen u. a.",2013,,"4.640,00"
Berufsbildungsverein Prenzlau e.V.,"Regionalbudget V Landkeis Uckermark Teilprojekt Berufsbildungsverein Prenzlau
e.V.: Bauliches Erbe-Beschäftigungsfähigkeit",2014,,"101.790,90"
Berufsbildungsverein Prenzlau e.V.,2. Chance für einen Berufsabschluss im Handwerk,2013,,"147.282,88"
Berufsbildungsverein Prenzlau e.V.,"Regionalbudget V Landkreis Uckermark Teilprojekt BBVP: Bauliches Erbe-
Beschäftigungsfähigkeit",2012,"144.555,30",
Berufsbildungsverein Prenzlau e.V.,"Regionalbudget V Landkreis Uckermark Teilprojekt Berufsbildungsverein Prenzlau
e.V.: Erprobung neuer Integrationswege",2012,"184.543,05",
Berufsbildungsverein Prenzlau e.V.,"Allgemeine Verbundausbildung - Steuerungstechnik, Grundlagen Elektrotechnik,",2014,"1.130,00",
Berufsbildungsverein Prenzlau e.V.,Allgemeine Verbundausbildung - Zerspanungsmechaniker,2014,"2.330,00",
Berufsbildungsverein Prenzlau e.V.,Allgemeine Verbundausbildung - Zerspanungsmechaniker,2014,"1.050,00",
Berufsbildungsverein Prenzlau e.V.,Allgemeine Verbundausbildung - Zerspanungsmechaniker,2014,"1.180,00",
Berufsbildungsverein Prenzlau e.V.,Allgemeine Verbundausbildung - Industriemechaniker,2014,"6.200,00",
Berufsbildungsverein Prenzlau e.V.,Allgemeine Verbundausbildung - Fachkraft für Kreislauf- und Abfallwirtschaft,2014,"1.230,00",
Berufsbildungsverein Prenzlau e.V.,Allgemeine Verbundausbildung - Fachkraft für Kreislauf- und Abfallwirtschaft,2014,"1.810,00",
Berufsbildungsverein Prenzlau e.V.,Allgemeine Verbundausbildung - Bürokauffrau; Zerspanungsmechaniker,2014,"1.695,00",
Berufsbildungsverein Prenzlau e.V.,Allgemeine Verbundausbildung - Land- und Baumaschinenmechatroniker,2014,"1.080,00",
Berufsbildungsverein Prenzlau e.V.,Allgemeine Verbundausbildung - Mechatroniker,2014,"1.050,00",
Berufsbildungsverein Prenzlau e.V.,Allgemeine Verbundausbildung - Tischler-Schreiner-Maschinenlehrgänge,2014,"1.900,00",
Berufsbildungswerk im Oberlinhaus gGmbH,"Heranführung von Schülerinnen und Schülern mit Behinderungen an das Berufs- und
Arbeitsleben",2011,,"24.216,67"
Berufsbildungswerk im Oberlinhaus gGmbH,"Heranführung von Schülerinnen und Schülern mit Behinderungen an das Berufs- und
Arbeitsleben",2011,,"26.002,03"
"Berufsförderungswerk der Fachgemeinschaft Bau
Berlin und Brandenburg gGmbH","Allgemeine Verbundausbildung - Mitwirkung bei Bauprozessen und Durchführen von
Bauarbeiten AO § 4 Nr. 10",2014,,"1.160,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung - Schalen, Bewehren, Betonieren, Holzarbeiten",2011,,"120,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung - Vermittlung der Grundlagenbildung Beton- und Stahlbetonbauer:
Bewehren, Betonieren, Holzbearbeitung",2010,,"180,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Verbundausbildung - Lehrgang Holzbearbeitungsmaschinen,2010,,"200,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Verbundausbildung - Grundlagenbildung Straßenwärter 1. Ausbildungsjahr,2009,,"220,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung - Spezialisierung im Bereich Hochbau, Mauerwerksbau und
Holzbau",2011,,"240,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Verbundausbildung - Holzbearbeitungsmaschinen und Gabelstapler,2010,,"260,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Verbundausbildung - Lehrgang Gabelstapler und Holzbearbeitungsmaschinen,2011,,"260,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Verbundausbildung - Lehrgang Gabelstapler und Holzbearbeitungsmaschinen,2011,,"260,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung - Fachausbildung Bewehren, Betonieren",2010,,"320,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Verbundausbildung - Holzbearbeitungsmaschinen,2010,,"360,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Verbundausbildung - Prüfungsvorbereitung,2012,,"360,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung - fachspezifische Ausbildung im Lehrgang Pneumatik,
Baugruppen, Kran",2009,,"380,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung - Bewehrungsbau, Betonbau, Herstellen von Betonelementen",2009,,"380,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Verbundausbildung - Prüfungsvorbereitung,2012,,"380,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Verbundausbildung - Holzbearbeitungsmaschinen,2010,,"400,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Verbundausbildung - Holzbearbeitungsmaschinen,2010,,"400,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Verbundausbildung - Herstellen von Schalungs- und Bewehrungselementen,2011,,"400,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Verbundausbildung - Fachausbildung Beton- und Stahlbeton,2012,,"400,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung - Vermittlung von Fachkenntnissen im Brunnenbau - Verbau und
Wasserabsenkung, Herstellen von geschlossener Wasserhaltung, Einbau und
Anschließen von Versorgungsleitungen",2012,,"400,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung - Prüfungsvorbereitung-Planen und Berechnen von
Betonfertigteilen, Herstellen dieser Elemente",2012,,"400,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung - Planung und Vorbereitung eines Gehweges,Straße mit
anschließender Fertigstellung. Prüfungsvorbereitung im Straßenbau",2011,,"400,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung - Pflasterarbeiten, Naturstein verlegen, Nivellieren von
Wegabschnitten",2009,,"420,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Verbundausbildung - Grundlagenbildung Tiefbau,2010,,"420,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Verbundausbildung - Holzbearbeitungsmaschinen und Gabelstapler,2010,,"520,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Verbundausbildung - Holzbearbeitungsmaschinen und Gabelstapler,2010,,"520,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Verbundausbildung - Mitwirkung bei Bauprozessen und Durchführung von Bauarbeiten,2012,,"540,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Allgemeine Verbundausbildung - Baugeräteführer,2014,,"540,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung - Straßenwärter 3. Lehrjahr Vermessen, Gala, Straßenbau,
Technikausbildung mit Vorbereitung zur Abschlussprüfung",2009,,"580,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung - Grundlagenbildung bei Bauprozessen und Durchführung von
Bauarbeiten",2010,,"580,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung - Fachausbildung zum Baugeräteführer: Bedienen von Kränen,
Baugeräte, Instandhaltung",2009,,"600,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung - Erdbaugeräte, Baugruppen, Vorbereitung auf die
Abschlussprüfung",2010,,"600,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Verbundausbildung - Bauhandwerk,2010,,"600,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Verbundausbildung - Lehrgang Holzbearbeitungsmaschinen und Gabelstapler,2011,,"600,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Verbundausbildung - fachspezifische Ausbildung Straßenwärter,2010,,"620,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Allgemeine Verbundausbildung - Betonbauer,2014,,"620,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Verbundausbildung - fachspezifische Ausbildung Straßenwärter,2010,,"640,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Verbundausbildung - fachspezifische Ausbildung Straßenwärter,2010,,"640,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung - Freischneiden, Grünanlagen- Technikausbildung",2012,,"640,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung - fachspezifische Ausbildung im Bereich Rohrleitung,
Prüfungsvorbereitung",2010,,"660,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Verbundausbildung - fachspezifische Ausbildung des Straßenwärters im 3. Lehrjahr,2009,,"680,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung - Grundlagen Straßen- und Tiefbau, Vermessen, Holzbau,
fachvertiefend Beton-Stahlbeton",2010,,"700,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung - Baugeräteführer-Pneumatik, E- Pneumatik, Baugruppen,
Schweißen",2011,,"700,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Verbundausbildung - Vermittlung von Grundkenntnissen im Baufachhandwerk,2009,,"720,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung -  Fachausbildung im Bereich Beton- und Stahlbeton,
2. Ausbildungsjahr",2009,,"740,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung - Bewehrungsbau, Betonbau, Herstellen von Betonelementen",2009,,"760,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung - Fachausbildung Betonieren, Bewehren- Prüfungsvorbereitung",2010,,"760,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung - Fachausbildung mit Prüfungsvorbereitung Beton-
Stahlbetonbauer",2012,,"760,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung - Fachausbildung und Prüfungsvorbereitung zum Beton- und
Stahlbetonbauer",2009,,"780,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung - Fachspezifische Ausbildung zum Zimmerer, einschließlich
Vorbereitung auf die Abschlussprüfung",2009,,"800,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Verbundausbildung - Fachausbildung Schalen und Bewehren,2010,,"800,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung - Prüfungsvorbereitung im Straßenbau Planung und Vorbereitung
eines Gehweges, Straße mit anschließender Fertigstellung",2011,,"800,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Verbundausbildung - Prüfungsvorbereitung,2012,,"800,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung - Schweißen, Pneumatik, E- Pneumatik, Kranausbildung,
Gabelstapler",2011,,"880,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Allgemeine Verbundausbildung - Zimmerer,2012,,"880,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Allgemeine Verbundausbildung - Fachausbildung im Beruf Straßenwärter,2012,,"880,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung - Erstausbildung in der Bauwirtschaft zum Bauwerksmechaniker
2. Lehrjahr",2009,,"900,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung - Vermessen, Bewehren, Holzbearbeitung, Herstellen von
Bauwerkskörpern",2010,,"940,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Verbundausbildung - Fachausbildung Baugeräteführer,2010,,"940,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung - Führen von Baumaschinen und Baugeräte, Hydraulik, E-
Hydraulik, Pneumatik, E-Pneumatik, Brennschneiden",2012,,"960,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Verbundausbildung - Ausbildung Grundlagenbildung Rohrleitungsbau,2009,,"980,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung - Vermessen, Straßenbau, Garten- und Landschaftsbau,
Bedienen von Motor-Kettensägen",2012,,"980,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Verbundausbildung - Grundausbildung Baugeräteführer,2012,,"1.000,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Verbundausbildung - Ausbildung Straßenwärter 2. Ausbildungsjahr,2009,,"1.100,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg",Verbundausbildung - Straßenwärterausbildung mit fachspezifischem Inhalt,2010,,"1.100,00"
"Berufsförderungswerk e.V. des
Bauindustrieverbandes Berlin-Brandenburg","Verbundausbildung - Straßenwärter mit fachspez. Inhalt - Alleepflege,
Technikausbildung, Straßenbau",2011,,"1.100,00"
