Name des Begünstigten,Bezeichnung des Vorhabens,Jahr der Bewilligung,Jahr der Restzahlung,Gewährte Beträge,Bei Abschluss des Vorhabens gezahlte Gesamtbeträge
"Freundeskreis Schloss Wiepersdorf Bettina und Achim v.
Arnim-Museum e.V.",Ausstattung des Museums (Vitrinen),2014,,"11.018,00 €",
"Freydank e.K., Matthias","Verbesserung der Organisation in der Tanzschule -
Kundenbindungssystems sowie Controlling",2010,2012,"2.800,00 €","2.800,00 €"
Freyer Bauunternehmen GmbH,"Messeteilnahme ""BAUEN + ENERGIE"" in Frankfurt/Oder",2009,2011,"1.060,00 €","1.060,00 €"
"Fricke, Klaus","begl. Beratung bei der Vermarktung eines neuartigen sicherheits-
techn. Moduls für Schweißstromquellen zum Unterwasserschweißen",2008,2009,"20.000,00 €","20.000,00 €"
"Friedow, Jörg","Messeteilnahmen: ""Handwerker-22. Ausstellung 2012"" und ""Bau-
Energie-Leben 2012"" in Cottbus",2012,2013,"1.100,00 €","1.100,00 €"
"Friedrich, Kay",Beratung zur Verbesserung der Organisation,2010,2011,"12.000,00 €","12.000,00 €"
"Friedrich, Markus","Messeteilnahme ""Dach & Holz 2014"" in Köln",2013,2014,"3.870,00 €","3.870,00 €"
"Friedrich, Markus",Messeteilnahme Dach & Holz 2008 in Stuttgart,2008,2008,"2.540,00 €","2.540,00 €"
"Friedrich, Markus","Messeteilnahme: ""Bau 2009"" in München",2008,2009,"2.860,00 €","2.860,00 €"
"Friedrich, Markus","Messeteilnahme: ""DACH + HOLZ 2012"" in Stuttgart",2011,2012,"4.010,00 €","4.010,00 €"
"Friedrich, Yvonne",Errichtung eines Fachgeschäftes für Bastelbedarf mit Kursangeboten,2011,,"17.608,00 €",
Friendship Consulting GmbH,Beschäftigung eines Innovationsassisten,2007,2009,"12.000,00 €","12.000,00 €"
Friendship Consulting GmbH,"Beschäftigung eines Innovationsassistenten im Bereich
Produktentwicklung einschließl. Produktvorbereitung und Design",2008,,"0,00 €",
FRIENDSHIP-Systems GmbH,"Beschäftigung von zwei Innovationsassistenten im Bereich
Produktentwicklung einschl. -vorbereitung und Design",2007,2010,"56.000,00 €","56.000,00 €"
"Friese, Axel","Diversifizierung einer Betriebsstätte für Stahlbauarbeiten als
Auftragsfertigung",2009,,"0,00 €",
Friki Storkow GmbH,"Erweiterung einer Betriebsstätte zur Schlachtung und Verarbeitung von
Hähnchen",2010,,"1.540.400,00 €",
"Frind, Andreas","Erweiterung einer Betriebsstätte zur Herstellung von Möbeln,
Saunagartenhäusern sowie Treppen und Türen",2007,2008,"16.000,00 €","16.000,00 €"
"Frind, Andreas",Umstellung einer Betriebsstätte zur Herstellung von Objektmöbeln,2009,,"0,00 €",
Frisch-Backshop & Cafe GmbH,"Erweiterung einer Betriebsstätte zur Herstellung und Vertrieb von
Dauerbackwaren",2009,,"0,00 €",
Friseurgenossenschaft Neuruppin e. G.,Errichtung eines Friseursalons (neue Betriebsstätte im Stadtgebiet),2014,2014,"13.639,00 €","13.639,00 €"
"Fritsch, Martin","Beratung zur Erstellung einer Marktanalyse für
EnergetischeOptimierung und Erneuerbare Energien in der VR China",2012,2013,"34.950,00 €","34.950,00 €"
"Fritsche, Renate","Modernisierung einer Betriebsstätte für den Einzelhandel mit
Reformhausartikeln",2011,2011,"1.504,00 €","1.504,00 €"
"Fröde, Rudi",Modernisierung einer Kfz-Reparaturwerkstatt,2009,2010,"2.798,00 €","2.798,00 €"
Fromm & Co. GmbH,Beratung zur Optimierung der Prozesse,2010,2011,"16.000,00 €","16.000,00 €"
Fruchtsaft Bayer GmbH & Co. KG,"Erweiterung einer Betriebsstätte zur Herstellung, Verkauf, Vertrieb und
Handel von Getränken aller Art",2008,,"0,00 €",
Fruchtsaft Bayer GmbH & Co. KG,"Messeteilnahme ""Anuga 2009"" in Köln",2009,2011,"10.160,00 €","10.160,00 €"
"Frühling, Enrico","Erweiterung einer Betriebsstätte zur Herstellung von sonstigen
Kunststoffwaren",2007,2009,"19.226,00 €","19.226,00 €"
FSB Aircraft Maintenance GmbH,"Diversifizierung einer Betriebsstätte zur überregionalen
Flugzeugwartung",2008,2009,"105.300,00 €","105.300,00 €"
FSB Aircraft Maintenance GmbH,Erweiterung einer Betriebsstätte zur überregionalen Flugzeugwartung,2007,2008,"74.400,00 €","74.400,00 €"
FSC Berlin-Brandenburg GmbH,Errichtung einer Betriebsstätte zum Betreiben von Flugsimulatoren,2010,,"0,00 €",
FTI Engineering Network GmbH,Entwicklung eines CVMS (Cabin Video Monitoring System),2009,2010,"192.546,00 €","192.546,00 €"
FTI Engineering Network GmbH,"Entwicklung eines innovativen Kamerabasierten Sicherheits- und
Informationssystems für die zivile Luftfahrt",2013,,"861.900,00 €",
"Fuchs, Ralf-Michael","Beratung zur Unternehmensplanung/-entwicklung/-strategie,
Organisation,Optimierung,Controlling und zum Marketing",2011,2012,"20.000,00 €","20.000,00 €"
"Fuchs, Ralf-Michael",Errichtung einer Betriebsstätte für eine sportbetonte Freizeiteinrichtung,2010,2014,"171.990,00 €","171.990,00 €"
Fude + Serrahn Milchprodukte GmbH & Co. KG,"Erweiterung einer Betriebsstätte zur Produktion von Milch und
Milchprodukten",2010,,"5.029.200,00 €",
Fügetechnik Berlin-Brandenburg GmbH,"Messeteilnahme: ""Hannovermesse 2012"" in Hannover",2012,2012,"1.780,00 €","1.780,00 €"
Fukato GmbH,"Beschäftigung eines Innovationsassistenten im Bereich Innovations-,
Produktions-, Umwelt- und betriebsw. Management",2007,2008,"11.250,00 €","11.250,00 €"
Fukato GmbH,"Erweiterung einer Betriebsstätte zur Entwicklung und Produktion von IT
Unterhaltungselektronik",2008,,"0,00 €",
Füllner & Partner GmbH,"mathematische Methoden zur Fehlerdetektion bei technischen Anlagen
und moderne Ansätze zur Verfahrensgangoptimierung",2007,2008,"13.160,00 €","13.160,00 €"
Füllner & Partner GmbH,"Vermarkt. d. Erg. a. d. Innova ""Energieoptim u. Schadstoffminim.  b.
Schmelzproz. d. 3D-Simulationswerkz u.Hochleistungsbrenner.""",2008,2013,"24.840,00 €","24.840,00 €"
Fultec Products GmbH & Co. KG,"Errichtung einer Betriebsstätte zur Produktion und Vermarktung von
Dachbauteilen aus Kunststoff",2009,,"0,00 €",
Furchner GmbH,"Messeteilnahme ""Bauen und Energie 2009"" in Frankfurt/Oder",2009,2011,"520,00 €","520,00 €"
Furnierwerk Prignitz GmbH & Co. KG,"Beratung zum Aufbau und Verbesserung von
Unternehmensplanungen/ -konzepten, Soll-/Ist-Vergleichen,
Berichtswesen",2010,2012,"24.000,00 €","24.000,00 €"
Furnierwerk Prignitz GmbH & Co. KG,"Erweiterung einer Betriebsstätte zur Herstellung von Furnieren aus
Holz",2007,,"0,00 €",
Furnierwerk Prignitz GmbH & Co. KG,"Messeteilnahme: ""Interzum 2011"" in Köln",2010,2012,"4.010,00 €","4.010,00 €"
"Fürstmann, Rainer",Erweiterung einer Pension,2009,,"0,00 €",
G quadrat Geokunststoffgesellschaft mbH,"Errichtung einer Betriebsstätte zur Herstellung von Sand- und
Dichtungsmatten",2008,2011,"418.200,00 €","418.200,00 €"
"G&O Geräte- und Anlagenbau Kunststoffverarbeitung
GmbH","Erweiterung einer Betriebsstätte zur Herstellung von sonstigen
Kunststoffen",2008,2009,"135.000,00 €","135.000,00 €"
G. Fleischhauer Ingenieur-Büro Cottbus GmbH,"Beschäftigung von einem Innovationsassistenten im Bereich
Medientechnik",2008,2010,"22.900,00 €","22.900,00 €"
G.U.B. Ingenieur AG,"begleitende Beratung bei der Erarbeitung einer 'Wachstums- strategie
für den Standort Cottbus der G.U.B. Ingenieur AG",2008,2009,"18.370,00 €","18.370,00 €"
GA Generic Assays GmbH,"Entwicklung eines Immunoassays zur Bestimmung von GP2-
Autoantikörpern",2007,,"500.000,00 €",
GA Generic Assays GmbH,"Messeteilnahme ""MEDICA 2014"" in Düsseldorf",2014,,"4.410,00 €",
Gabarró Deutschland GmbH,Errichtung einer Betriebsstätte zur Herstellung von Stahldraht,2008,,"5.151.600,00 €",
"Gaertner, Ute",Beratung zur Einführung eines QMS-Systems im Unternehmen,2009,2011,"5.000,00 €","5.000,00 €"
"Gaertner, Ute","Beratung zur Erweiterung und Anpassung des Unternehmens an
internationales Niveau",2008,2009,"5.600,00 €","5.600,00 €"
GAETAN DATA-Gesellschaft für Datenverarbeitung mbH,"Beratung zur Vermarktungsstrategie für Schulungs- und Trainings-
leistungen im Groundhandling an deutschen Flughäfen",2010,2013,"50.000,00 €","50.000,00 €"
Gala Bau Girbig GmbH,"Beratung zur Erarbeitung/ Etablierung von Unternehmensplanungen/ -
konzepten sowie Aufbau/ Anpassung des Controllingsystems",2008,2011,"17.950,00 €","17.950,00 €"
GALFA GmbH & Co. KG,Beschäftigung eines Innovationsassistenten,2007,2010,"21.948,00 €","21.948,00 €"
GALFA GmbH & Co. KG,"Beschäftigung eines Innovationsassistenten im Bereich Innovations-,
Prduktions- und Umweltmanagement",2009,2011,"24.880,00 €","24.880,00 €"
GALFA GmbH & Co. KG,"Entwickl. eines umweltfreundl. Dünnschicht-Hochkorrosionsschutz-
systems ohne Schwermetalle u. org. Lösemittel - Zinkbeschichtung",2012,2014,"239.600,00 €","239.600,00 €"
GALFA GmbH & Co. KG,"Entwicklung eines Schnelltests zur Korrosionsschutzprüfung von
Beschichtungen",2009,2011,"106.473,00 €","106.473,00 €"
GALFA GmbH & Co. KG,Errichtung einer Betriebsstätte zur Oberflächenveredelung,2009,2012,"1.054.200,00 €","1.054.200,00 €"
"Galkow, Jens","Beschäftigung 1 Innovationsassistenten im Bereich Innovations-,
Produktions-/Umweltmanagement; betriebswirtschaft. Management",2009,2011,"21.600,00 €","21.600,00 €"
Galle GmbH Kompostierung & Landschaftsbau,"Beratung zum Aufbau eines Controllingsystems und Verbesserung der
Organisation",2010,2011,"10.000,00 €","10.000,00 €"
Games Quality - Ausborn und Wegener GbR,Games Quality - Qualitätssicherung für Software & Spielesoftware,2010,2012,"40.210,00 €","40.210,00 €"
"GAP Gesellschaft f. Architekten u. Pro- jektm. mbH
Gesellschaft v. Architekten",Erwerb von Einrichtungsgegenstände und technischer Infrastruktur,2014,2014,"26.623,00 €","26.623,00 €"
Gärtnerei Kühnlein GbR,"Energetische Sanierung der Gewächshäuser und Errichtung einer
Holzhackschnitzelheizung",2012,2014,"72.230,00 €","72.230,00 €"
Gasitech Industrie-Gas- Handelsgesellschaft mbH,"Begleitende Beratung zum Aufbau eines Umweltschutz- und
Arbeitssicherheitsmanagementsystems",2011,2012,"12.000,00 €","12.000,00 €"
Gasitech Industrie-Gas- Handelsgesellschaft mbH,"Beratung/Konzept zur Optimierung des logistisch-technologischen
Prozessablaufes und Erstellung eines Soll-Konzeptes",2010,2012,"20.000,00 €","20.000,00 €"
Gasitech Industrie-Gas- Handelsgesellschaft mbH,"Beschäftigung eines Innovationsassistenten im Bereich Innovations-,
Produktions-, Umwelt- u. betriebsw. Management",2007,2010,"24.400,00 €","24.400,00 €"
Gasitech Industrie-Gas- Handelsgesellschaft mbH,"Erweiterung einer Betriebsstätte zur Instandhaltung von
Druckgasbehältern",2007,2010,"89.991,00 €","89.991,00 €"
"Gast, Simone","Erweiterung einer Betriebsstätte des Einzelhandels mit
Telekommunikationsgeräten",2009,2012,"2.236,00 €","2.236,00 €"
"Gautzsch, Karin",Erweiterung einer Gaststätte,2009,2014,"13.290,00 €","13.290,00 €"
"GBFSE Gesellschaft für Bildung, Forschung, Strategie
und Entwicklung mbH","Beschäft. eines Innov.assistenten im Bereich Innovations-/Prod.- und
Umweltmanagement; betriebswirtschaftliches Management",2011,2013,"21.570,00 €","21.570,00 €"
"GBFSE Gesellschaft für Bildung, Forschung, Strategie
und Entwicklung mbH","Beschäftigung eines Innovationsassistenten im Bereich
betriebswirtschaftliches Management",2010,2012,"21.510,00 €","21.510,00 €"
GbR Pöllath und Rodin,Errichtung einer Wärmepumpe,2009,2009,"25.690,00 €","25.690,00 €"
GbR Specker & Johst Speckers Landhaus GmbH,Erweiterung einer Gaststätte,2007,2008,"258.200,00 €","258.200,00 €"
GEA AWP GmbH,Erweiterung einer Betriebsstätte,2008,2008,"213.193,00 €","213.193,00 €"
GEA AWP GmbH,"Erweiterung einer Betriebsstätte zur Entwicklung, Herstellung und
Vertrieb von Armaturen für Großkältetechnik",2008,2009,"39.600,00 €","39.600,00 €"
Gebäudereinigung Brandenburg GmbH,"Erwerb von Einrichtungsgegenständen und Maschinen für die Gebäud
ereinigung Brandenburg GmbH",2014,2014,"11.770,00 €","11.770,00 €"
Gebauer Optik GmbH,"Erweiterung einer Betriebsstätte zur Herstellung und zum Vertrieb von
Sehhilfen",2010,2011,"11.715,00 €","11.715,00 €"
Gebrüder Noack Holzhandel GmbH,"Messeteilnahme ""BUDMA 2010"" in Posen",2010,2011,"2.670,00 €","2.670,00 €"
Gebrüder Noack Sägewerk GbR,"Messeteilnahme ""HandWerker 2014"" in Cottbus",2014,2014,"710,00 €","710,00 €"
Gebrüder Schierstaedt Industriebeteiligungen oHG,"Beratung zur strategischen Kommunikation in der Baubranche
Entwicklung eines Gesamtansatzes",2008,2009,"8.840,00 €","8.840,00 €"
GED Electronic Design GmbH,"ANPEMOT- Innovatives Ansteuerverfahren für
Gleichstromelektromotoren (Verbundvorhaben)",2011,,"132.147,00 €",
GED Electronic Design GmbH,"Erweiterung einer Betriebsstätte zur Entwicklung und Vertrieb von
mikroelektronischen Bauteilen",2007,2009,"64.423,00 €","64.423,00 €"
"Gehlert, Andreas","Erweiterung und Modernisierung einer Betriebsstätte für
getränkegeprägte Gastronomie",2011,2012,"7.276,00 €","7.276,00 €"
Geiger-Berl & Partner GmbH,Beratung zur Entwicklung/ Anpassung Unternehmenskonzept,2008,2009,"7.500,00 €","7.500,00 €"
"Geißler, Sven",Erweiterung einer Facharztpraxis für innere Medizin,2010,2011,"28.549,00 €","28.549,00 €"
GEKO Uckermärkische Frucht- handelsgesellschaft mbH,"Beschäftigung eines Innov.assistenten im Bereich Innovations-/
Produktions-/Umweltmanagement; betriebswirtschaftl. Management",2010,2013,"21.546,00 €","21.546,00 €"
Gemeinde Am Mellensee,"XPlankonforme Aufbereitung des Flächennutzungsplanes und die
Bereitstellung über den Infrastrukturknoten des Landkreises TF",2013,,"4.514,06 €",
"Gemeinde Bad Saarow vertreten durch das Amt
Scharmützelsee","Rückbau und Entsiegelung auf der ehemaligen WGT-Liegenschaft
Munitionslager Bad Saarow, Baufeld 1",2010,2012,"249.963,94 €","249.963,94 €"
Gemeinde Birkenwerder,Geodateninfrastruktur Birkenwerder,2011,2012,"73.019,59 €","73.019,59 €"
Gemeinde Birkenwerder,"Lärmminderung Brieseallee, Sacco-Vancetti-Straße und Friedensallee",2011,2015,"1.307.276,95 €","1.307.276,95 €"
Gemeinde Blankenfelde-Mahlow,"Ergänzung der IT-Ausstattung am Kopernikus-Gymnasium
Blankenfelde",2010,2011,"197.954,00 €","197.954,00 €"
Gemeinde Blankenfelde-Mahlow,Wärmepumpen-Errichtung,2008,2010,"67.554,65 €","67.554,65 €"
Gemeinde Blankenfelde-Mahlow,"XPlanungskonforme Erfassung der Bauleitplanung für das Gebiet der
Gemeinde Blankenfelde-Mahlow",2013,,"8.376,95 €",
Gemeinde Brieselang,Anbindung des GVZ Berlin West Brieselang an die BAB 10,2013,,"2.390.430,00 €",
Gemeinde Eichwalde,"Digitalisierung und Veröffentlichung von Bauleitplanungsdaten und
""interessante Orte""",2013,2014,"12.035,70 €","12.035,70 €"
Gemeinde Fredersdorf-Vogelsdorf,"Datenaufbereitung lt. INSPIRE-Richtlinie und Geodatenzugangsge-
setz und Einrichtung eines Web Map Servers",2009,2013,"57.069,19 €","57.069,19 €"
Gemeinde Glienicke/Nordbahn,"Aufbau eines ISK u. GeoPortals und Aufbereitung v. Planungsdaten
mit Raumbezug (XPlanungskonform)",2012,,"34.986,00 €",
Gemeinde Golzow vertreten durch das Amt Golzow,"Fertigstellung der Sicherungs- und Rekultivierungsarbeiten an der
Deponie ""Gemeindemüllkippe"" Golzow",2011,2014,"122.584,18 €","122.584,18 €"
Gemeinde Groß Kreutz (Havel),"Konzeption und Aufbau eines Infrastrukturknotens und eines
Geoportals einschließlich Datenaufbereitung",2011,2012,"24.514,00 €","24.514,00 €"
Gemeinde Groß Pankow (Prignitz),Um- und Ausbau der ehemaligen Grundschule in Lindenberg,2011,2012,"98.470,62 €","98.470,62 €"
Gemeinde Großbeeren,"Aufbau eines Geoportals und XPlanungskonforme Erfassung
derBauleitplanung für die Gemeinde Großbeeren",2013,2014,"27.738,90 €","27.738,90 €"
Gemeinde Großbeeren,"Erschließung der GVZ-Erweiterungsfläche ""Am Lilograben""",2011,,"5.714.244,83 €",
Gemeinde Großbeeren,"Planung und Errichtung einer LKW - Vorstau- und Abrufflächeinnerhalb
des GVZ Berlin Süd Großbeeren (Osdorfer Ring)",2012,2014,"408.281,19 €","408.281,19 €"
Gemeinde Großbeeren,"Planungs-, Errichtungs- und Erschließungsleistungen für dieAnbindung
der GVZ-Erweiterungsfläche ""An der Anhalter Bahn""",2012,,"5.653.845,23 €",
Gemeinde Großbeeren,"Planungsleistungen und Planfeststellungsverfahren für die Anbindung
der GVZ-Erweiterungsfläche ""An der Anhalter Bahn""",2010,2014,"175.494,22 €","175.494,22 €"
Gemeinde Großbeeren,"Vorbereitende planerische Maßnahmen für die GVZ-
Erweiterungsfläche ""Am Lilograben""",2009,2013,"219.834,91 €","219.834,91 €"
Gemeinde Großbeeren,"Vorbereitende planerische Maßnahmen für die GVZ-
Erweiterungsfläche ""An der Anhalter Bahn""",2009,2014,"388.131,58 €","388.131,58 €"
Gemeinde Grünheide (Mark),"Konzeption und Aufbau eines Infrastrukturknotens und eines
Geoportals einschließlich Geodatenaufbereitung",2012,2014,"22.491,00 €","22.491,00 €"
Gemeinde Heideblick,"Digitalisierung und Veröffentlichung von Bauleitplanungsdaten,
Katastrophenschutz/Feuerwehreinsatzplang. u. Tourismusinform.",2009,2011,"19.694,50 €","19.694,50 €"
"Gemeinde Hohenfinow vertreten durch das Amt Britz-
Chorin-Oderberg","Rückbau und Entsiegelung der ehemaligen WGT-Liegenschaft FO085-
02 Kaserne Freienwalder Straße in Eberswalde, BF4",2013,2015,"530.000,00 €","530.000,00 €"
Gemeinde Hoppegarten,"Konzeption und Aufbau eines Infrastrukturknotens und eines
Geoportals einschließlich Geodatenaufbereitung",2012,2013,"26.989,20 €","26.989,20 €"
Gemeinde Karstädt,Ausbau Mühlenstraße am Gewerbestandort Karstädt,2011,2013,"80.429,15 €","80.429,15 €"
Gemeinde Karstädt,Erschließung/Erweiterung des Gewerbegebietes Karstädt,2011,2014,"751.786,81 €","751.786,81 €"
Gemeinde Karstädt,"Rekonstruktion Schmutzwasserkanal Karstädt, J.-F.-Böttger-Str.",2012,2013,"87.540,48 €","87.540,48 €"
Gemeinde Karstädt,Sanierung SWK Pestalozzistraße in Karstädt,2009,2011,"89.023,21 €","89.023,21 €"
Gemeinde Karstädt,Sicherung und Rekultivierung der ehemaligen Deponie Karstädt,2011,2013,"146.828,52 €","146.828,52 €"
Gemeinde Kleinmachnow,"Ergänzung der IT-Ausstattung an der Maxim-Gorki-Gesamtschule
Kleinmachnow",2013,2014,"29.414,28 €","29.414,28 €"
Gemeinde Kleinmachnow,XPlanungskonforme Aufbereitung von Bebauungsplänen,2013,,"30.000,00 €",
Gemeinde Kleinmachnow,"XPlanungskonforme Aufbereitung von Flächennutzungsplänen der
Region ""Der Teltow""",2013,2014,"13.357,15 €","13.357,15 €"
Gemeinde Kloster Lehnin,Energetische Konzeption zur Entwicklung  des Schulcampus OTLehnin,2012,2013,"32.725,00 €","32.725,00 €"
Gemeinde Kloster Lehnin,"Energetische Konzeption zur Modernisierung und
Betriebskostensenkung der Emsterlandhalle",2011,2011,"7.259,00 €","7.259,00 €"
Gemeinde Kloster Lehnin,"Erweiterung eines bestehenden Infrastrukturknotens und eines
Geoportals einschließlich ergänzender Geodatenaufbereitung",2012,2013,"29.988,00 €","29.988,00 €"
Gemeinde Kloster Lehnin,"Flächenfreilegung/Rückbau und innere Erschließung der ehemaligen
Kaserne Damsdorf für Nachnutzung als Handwerkerhof",2010,2012,"177.492,38 €","177.492,38 €"
Gemeinde Kloster Lehnin,"Konzeption und Aufbau eines ISK und eines Geoportals einschließlich
Geodatenaufbereitung",2010,2011,"17.992,80 €","17.992,80 €"
Gemeinde Kloster Lehnin,"Vermeidung KFZ -Immission/ Steuerung Radverkehr Kaltenhausen OT
Lehnin, 2.BA",2013,2014,"219.383,27 €","219.383,27 €"
Gemeinde Kloster Lehnin,"Vermeidung KfZ-Immission / Steuerung Radverkehr Kaltenhausen OT
Lehnin",2012,2014,"344.878,70 €","344.878,70 €"
Gemeinde Kloster Lehnin,Wärmekonzept für das Rathaus,2011,2011,"7.259,00 €","7.259,00 €"
Gemeinde Kolkwitz,"Digitalisierung vorhandener analoger B-Pläne, Satzungen u. wei- terer
analoger Daten zur Bereitstellung in Infrastrukturknoten",2009,2013,"45.337,86 €","45.337,86 €"
"Gemeinde Küstriner Vorland vertreten durch das Amt
Golzow","Rückbau und Entsiegelung der ehemaligen WGT-Liegenschaft
Kaserne Küstrin-Kietz FO 027, Baufeld 2",2014,,"237.391,20 €",
"Gemeinde Küstriner Vorland vertreten durch das Amt
Golzow","Sanierung der historischen Gebäude und Gestaltung des
Wanderwegenetzes auf dem Gelände des Fort Gorgast",2008,2010,"217.023,63 €","217.023,63 €"
"Gemeinde Marienwerder vertreten durch das Amt
Biesenthal-Barnim","Wiedereröffnung des Werbellinkanals zwischen Finowkanal undOder-
Havel-Kanal",2008,2013,"5.409.665,70 €","5.409.665,70 €"
Gemeinde Märkische Heide,"Digitalisierung von Plänen des Straßenbeleuchtungsnetzes sowie
Digitalisier. u. XPlanungskonforme Bereitstell. v. Bauleitplänen",2012,,"12.635,51 €",
Gemeinde Michendorf,Pilotprojekt LED-Straßenbeleuchtung an der Peter-Huchel-Chaussee,2011,2012,"59.435,29 €","59.435,29 €"
Gemeinde Milower Land,"Havelradwegabschnitt zwischen Gemarkungsgrenze Böhne/Bützerund
Ortslage Bützer",2011,2014,"341.613,51 €","341.613,51 €"
Gemeinde Mühlenbecker Land,Einbau einer Lüftungsanlage mit Wärmerückgewinnung,2010,2010,"35.700,00 €","35.700,00 €"
Gemeinde Mühlenbecker Land,Einbau einer Wärmepumpenanlage,2010,2011,"112.937,99 €","112.937,99 €"
Gemeinde Mühlenbecker Land,"Geodatenaufbereitung und XPlankonforme Erfassung von
Bauleitplänen",2013,,"7.797,24 €",
Gemeinde Mühlenbecker Land,"Lärmsanierung Schillerstraße, Mönchmühlenstraße/-allee,
Kastanienallee",2013,,"1.268.079,70 €",
Gemeinde Neuenhagen bei Berlin,Neubau Einfeldsporthalle Neuenhagen im Passivhausstandard,2009,2011,"240.562,70 €","240.562,70 €"
Gemeinde Neuenhagen bei Berlin,"Vergabe von Dienstleistungen zur Digitalisierung und XPlanungs-
konforme Aufbereitung von analog vorliegenden Bauleitplänen",2013,2014,"4.557,70 €","4.557,70 €"
Gemeinde Niedergörsdorf,"Abriss und Entsiegelung auf der ehemaligen WGT-LiegenschaftNeues
Lager",2011,2012,"132.406,31 €","132.406,31 €"
Gemeinde Niedergörsdorf,"XPlanungskonforme Aufarbeitung von Daten der Bauleitplanungund
deren Bereitstellung über Geodienste im Internet",2013,2014,"26.769,05 €","26.769,05 €"
Gemeinde Nuthetal,"Aufbau eines Infrastrukturknotens und eines Geoportals einschließlich
Geodatenaufbereitung",2010,2011,"40.638,50 €","40.638,50 €"
Gemeinde Nuthetal,"Erweiterung eines bestehenden ISK und eines Geoportals einschl.
ergänzender Geodatenaufbereitung",2013,2014,"9.246,20 €","9.246,20 €"
Gemeinde Nuthetal,"Konzeption des Aufbaus eines Infrastrukturknotens und
einesGeoportals für die Gemeinde Nuthetal",2009,2010,"10.710,00 €","10.710,00 €"
Gemeinde Oberkrämer,"XPlanungskonforme Aufbereitung des Flächennutzungsplanes und
Veröffentlichung über das Geoportal Oberhavel",2013,2013,"2.984,52 €","2.984,52 €"
Gemeinde Panketal,"Digitalisierung der analogen und Aufbereitung der
digitalenLeitungsbestände für das Trink- und Abwassernetz",2013,,"101.503,12 €",
Gemeinde Panketal,"Ergänzung der IT-Ausstattung für den Sek II-Bereich an der
Gesamtschule Wilhelm Conrad Röntgen in Panketal/OT Zepernik",2011,2014,"118.644,92 €","118.644,92 €"
Gemeinde Pinnow vertreten durch das Amt Oder-Welse,"Schienenanbindung, Ausbau des Verladebahnhofes und
Straßenanbindung im Industrie- und Gewerbegebiet Pinnow",2012,,"3.758.613,91 €",
Gemeinde Rangsdorf,"XPlanungs-konforme Erfassung von B-Plänen sowie Aufbau eines Geo
dateninfrastrukturknotens und eines Geoportals",2010,2012,"17.040,80 €","17.040,80 €"
Gemeinde Rüdersdorf,"Konzeption und Aufbau eines Infrastrukturknotens und eines
Geoportals einschließlich Geodatenaufbereitung",2013,2014,"21.562,80 €","21.562,80 €"
Gemeinde Schenkendöbern,"XPlanungskonforme Erfassung von Daten der Bauleitplanung durch
Erzeugen von Rasterbildern und themat. Vektorisierung",2013,2014,"25.007,79 €","25.007,79 €"
Gemeinde Schönefeld,verkehrsseitige äußere Anbindung B-Plangebiet Kienberg,2008,,"3.474.174,65 €",
Gemeinde Schöneiche bei Berlin,"Erweiterung eines bestehenden Infrastrukturknotens und eines
Geoportals einschl. ergänzender Geodatenaufbereitung",2012,2014,"7.746,90 €","7.746,90 €"
Gemeinde Schöneiche bei Berlin,"Erweiterung eines bestehenden Infrastrukturknotens und eines
Geoportals einschließlich ergänzender Geodatenaufbereitung",2011,2012,"13.827,80 €","13.827,80 €"
Gemeinde Schöneiche bei Berlin,"Erweiterung eines bestehenden Infrastrukturknotens und Geoportal
einschließlich ergänzender Geodatenaufbereitung",2013,2014,"5.247,90 €","5.247,90 €"
Gemeinde Schöneiche bei Berlin,"Konzeption und Aufbau eines Infrastrukturknotens und eines
Geoportals einschließlich Geodatenaufbereitung",2010,2011,"28.438,53 €","28.438,53 €"
Gemeinde Schöneiche bei Berlin,"Neubau eines Tourismus- und Kulturzentrums - ""KultOurKate""",2010,2014,"1.600.000,00 €","1.600.000,00 €"
Gemeinde Schöneiche bei Berlin,"Pilot- und Demonstrationsprojekt: Neubau Kindertagesstätte in
Passivhausstandard",2008,2010,"179.787,12 €","179.787,12 €"
Gemeinde Schwielowsee,"XPlanungskonforme Erfassung von Daten der Bauleitplanung sowie
Datenaufbereitung und Datenerhebung von analogen Bestandsplänen",2012,,"119.708,22 €",
Gemeinde Wandlitz,"Abriss, Entsiegelung und Rückbau auf dem Gelände der ehem.
Fachhochschule der Polizei im OT Basdorf, Teilfläche Ost",2012,,"2.601.118,39 €",
Gemeinde Wandlitz,"Abriss, Entsiegelung und Rückbau auf dem Gelände der ehem.
Fachhochschule der Polizei im OT Basdorf, Teilfläche West",2012,,"914.836,45 €",
Gemeinde Wandlitz,"Konzeption und Aufbereitung eines Infrastrukturknotens und eines
Geoportals einschließlich Geodatenaufbereitung",2012,,"21.647,44 €",
Gemeinde Wusterhausen/Dosse,"Sanierung ""Herbstsches Haus""",2008,2013,"1.681.564,96 €","1.681.564,96 €"
Gemeinde Wustermark,Ausbau der Hafeninfrastruktur im GVZ Berlin West Wustermark,2007,2008,"1.094.634,29 €","1.094.634,29 €"
Gemeinde Zeuthen,Aufbau eines Geo-Governementportals der Gemeinde Zeuthen,2011,2014,"47.630,95 €","47.630,95 €"
