Name des Begünstigten,Bezeichnung des Vorhabens,Jahr der Bewilligung,Jahr der Restzahlung,Gewährte Beträge,Bei Abschluss des Vorhabens gezahlte Gesamtbeträge
ABS GmbH Storkow,"Erweiterung einer Betriebsstätte zur Metallverarbeitung
undOberflächenschutz",2008,2013,"163.500,00 €","163.500,00 €"
ACN GmbH,"Entwicklung eines Diagnose- und Reparatursystems (FairRepair) -
webgestützte und zertifizierte Wartung/Reparatur techn.Systeme",2007,,"53.456,00 €",
ACT Aviation Centre of Technology GmbH,WebService-Variante und Skalierung des Acternity-Systems,2008,,"0,00 €",
ADLARES GmbH,"Beschäftigung eines Innovationsassistenten im Bereich
Produktentwicklung einschl. Produktvorbereitung und Design",2008,2010,"26.850,00 €","26.850,00 €"
ADLARES GmbH,"Erstellung einer Vermarktungs- und Markterschließungsstrategie zur
luftgestützten Dichtheitsprüfung von Mülldeponien",2014,,"14.870,00 €",
AdrenoMed AG,"Entwicklung eines neuartigen selektiven Adsorbers zur Akuttherapie
des Organversagens bei Blutvergiftung",2012,,"500.000,00 €",
adva Business Software GmbH,"Beschäftigung eines Innovationsassistenten im Bereich
Produktentwicklung einschließlich Produktvorbereitung und Design",2009,2011,"21.410,00 €","21.410,00 €"
adva Business Software GmbH,Weiterentwickl. der Prozess-Lösung advaBEST & Sicherheit (PLAS),2009,,"0,00 €",
AEP Ingenieurgesellschaft mbH,"Einführung eines Qualitätsmanagementsystems nach ISO 9001 und
Brandmeldeanlagen nach DIN 14675",2008,2008,"2.600,00 €","2.600,00 €"
Aeroplacement GmbH,"Errichtung einer Betriebsstätte zur Erbringung von Dienstleistungen
des Wissensmanagements",2007,2010,"9.100,00 €","9.100,00 €"
AEROTOURS GmbH,"Messeteilnahme ""ILA 2014"" in Schönefeld",2014,2014,"4.540,00 €","4.540,00 €"
Aeterna Lichte GmbH & Co. KG,Errichtung einer Betriebsstätte zur Herstellung von Grablichtern,2008,2010,"31.697,00 €","31.697,00 €"
AFT Abgastechnik GmbH,Messeteilnahme: AGRITECHNICA 2007,2008,,"0,00 €",
AGG Anlagen- und Gerätebau GmbH,"Messeteilnahme ""InnoTrans 2010"" in Berlin",2011,,"0,00 €",
AGG Anlagen- und Gerätebau GmbH,"Messeteilnahme: ""Innotrans 2012"" in Berlin",2012,2013,"5.800,00 €","5.800,00 €"
AGRI-Service GmbH,"Beratung und Konzepterstellung für eine Vermarktungsstrategie für
den TÜV-geprüften Klauenpflegestand Typ ""Hydraulik""",2011,2012,"12.500,00 €","12.500,00 €"
AGRI-Service GmbH,"Messeteilnahme ""EuroTier 2014"" in Hannover",2014,2015,"3.330,00 €","3.330,00 €"
AGRI-Service GmbH,"Messeteilnahme: ""EURO-Tier 2012"" in Hannover",2012,2013,"2.610,00 €","2.610,00 €"
AGRI-Service GmbH,"Zertifizierung des Produktes ""agri Klauenpflegebox hydraulik""",2011,2011,"12.300,00 €","12.300,00 €"
Ahner und Brehm GbR,Errichtung eines Architekturbüros für Garten- und Landschaftsbau,2010,2012,"200.000,00 €","200.000,00 €"
aibis Informationssysteme Potsdam GmbH,aibis dynamic interface,2009,,"0,00 €",
aibis Informationssysteme Potsdam GmbH,"Realisierung eines Betreibermodells zur mobilen Dokumentation und
Datenerfassung auf Basis der Digitalen Stift-Technologie",2010,2011,"91.764,00 €","91.764,00 €"
Air Service Berlin CFH GmbH,"Beratung zur Machbarkeitsuntersuchung und Organisation zum
Erweiterungsvorhaben Terminal C",2008,2010,"35.960,00 €","35.960,00 €"
Air Service Berlin Terminal C GmbH,Errichtung einer Betriebsstätte zur Erbringung von Dienstleistungen,2008,,"0,00 €",
airkom Druckluft GmbH,"Beschäftigung eines Innovationsassistenten im Bereich Innovations-
/Produktions-/Umwelt- und betriebsw. Management",2007,2009,"26.120,00 €","26.120,00 €"
airkom Druckluft GmbH,"Messeteilnahme ""Industrial Automation 2010"" in Hannover",2010,2011,"2.210,00 €","2.210,00 €"
airkom Druckluft GmbH,"Messeteilnahme: ""Hannover Messe (COMVAG) 2011"" in Hannover",2010,2011,"4.210,00 €","4.210,00 €"
"AKK Allgemeine Kompensatoren- und Klappentechnik
GmbH","Erweiterung einer Betriebsstätte zum Bau von Kompensatoren und
Klappen",2008,2009,"39.013,00 €","39.013,00 €"
AkoTec Produktionsgesellschaft mbH,"Beschäftigung eines Innovationsassistenten im Bereich Produkt-
entwicklung einschl.Produktvorbereitung und Design",2009,2010,"4.370,00 €","4.370,00 €"
AkoTec Produktionsgesellschaft mbH,"Beschäftigung eines Innovationsassistenten im Bereich
Produktentwicklung einschließlich Produktvorbereitung und Design",2012,2014,"28.000,00 €","28.000,00 €"
AkoTec Produktionsgesellschaft mbH,"Entwicklung des ""Single Tube Collector STC""",2010,,"203.900,00 €",
AkoTec Produktionsgesellschaft mbH,"Messeteilnahme ""SHKG - Leipzig"" in Leipzig""",2009,2011,"1.780,00 €","1.780,00 €"
AkoTec Produktionsgesellschaft mbH,"Messeteilnahmen ""Hannovermesse 2014"" in Hannover und ""Intersolar
2014"" in München",2014,2014,"6.400,00 €","6.400,00 €"
Akson GmbH,Erweiterung einer Betriebsstätte,2008,2014,"334.302,00 €","334.302,00 €"
AKTIF Technology GmbH Software-Entwicklung,"Messeteilnahme ""Energy 2013"" in Hannover",2013,2013,"2.310,00 €","2.310,00 €"
AKTIF Technology GmbH Software-Entwicklung,"Messeteilnahme ""E-World energy & water 2014"" in Essen",2014,,"0,00 €",
AKTIF Technology GmbH Software-Entwicklung,"Messeteilnahme: ""E-WOLD Energy & Water 2012"" in Essen",2012,2012,"11.790,00 €","11.790,00 €"
