Name des Begünstigten -  beneficiary name;Bezeichnung des Vorhabens - operation name;Zusammenfassung des Vorhabens - operation summary;Beginns des Vorhabens - operation start date;Ende des Vorhabens  - operation end date;Gesamtbetrag der förderfähigen Ausgaben des Vorhabens - total eligible expenditure allocated to the operation;Unions-Kofinanz-ierungs-satz  pro Prioritätsachse - Union co-financing rate;Postleitzahl des Vorhabens - operation postcode;Land -country;Bezeichnung der Interventionskategorie-  name of category of intervention
Gemeinde Sonnenstein;2015 GZ 0037;Maßnahmen zur Strukturgüteverbesserung und zur Schaffung der Durchgängigkeit an der Geröder Eller (Abschnitt 1) und der Weilröder Eller (Abschnitte 1 und 2) in der Gemarkung Zwinge;09.12.2015;31.10.2016;353.920,43 €;80%;37345;Deutschland;085 - Schutz und Verbesserung der biologischen Vielfalt, des Naturschutzes und grüner Infrastrukturen
Gemeinde Uhlstädt-Kirchhasel;2016 GZ 0032;Erstellung Hochwasserschutzkonzept für den Haselbach (von den Quellgebieten bis zur Mündung in die Saale);22.02.2016;31.12.2016;63.145,31 €;80%;7407;Deutschland;087 - Maßnahmen zur Anpassung an den Klimawandel und zur Verhinderung des Klimawandels, Bewältigung klimabezogener Risiken (z. B. Erosion, Brände, Überschwemmungen, Stürme und Dürren), einschließlich Sensibilisierungsmaßnahmen sowie Katastrophenschutz- und Kata
Gemeinde Unterbreizbach;2015 GZ 0031;Gewässersanierung an der Mosa, TA 1: Planung;16.12.2015;30.11.2016;41.229,97 €;80%;36414;Deutschland;087 - Maßnahmen zur Anpassung an den Klimawandel und zur Verhinderung des Klimawandels, Bewältigung klimabezogener Risiken (z. B. Erosion, Brände, Überschwemmungen, Stürme und Dürren), einschließlich Sensibilisierungsmaßnahmen sowie Katastrophenschutz- und Kata
Gemeinde Unterbreizbach;2015 GZ 0038;Hochwasserschutz an der Sünna in der Ortslage von Sünna, TA 1: Planung;10.12.2015;30.11.2016;39.437,74 €;80%;36404;Deutschland;087 - Maßnahmen zur Anpassung an den Klimawandel und zur Verhinderung des Klimawandels, Bewältigung klimabezogener Risiken (z. B. Erosion, Brände, Überschwemmungen, Stürme und Dürren), einschließlich Sensibilisierungsmaßnahmen sowie Katastrophenschutz- und Kata
Gemeinde Untermaßfeld;2015 GZ 0010;Amalienruher Wasser - Offenlegung u. Abtrennung vom MW-Kanal in Untermaßfeld (Planung LP 5-9, sowie Bau);29.06.2016;30.11.2017;1.059.971,97 €;80%;98617;Deutschland;087 - Maßnahmen zur Anpassung an den Klimawandel und zur Verhinderung des Klimawandels, Bewältigung klimabezogener Risiken (z. B. Erosion, Brände, Überschwemmungen, Stürme und Dürren), einschließlich Sensibilisierungsmaßnahmen sowie Katastrophenschutz- und Kata
Gemeinde Wahns;2015 GZ 0019;Rückbau der naturfernen Ufersicherung und Aufweitung des Gewässersprofils an einem 500 m langen Abschnitt der Katz in der OL Wahns;24.03.2016;30.11.2016;90.257,57 €;80%;98634;Deutschland;085 - Schutz und Verbesserung der biologischen Vielfalt, des Naturschutzes und grüner Infrastrukturen
Gemeinschaftskonto Automobile Christian Günther GmbH und Firma Günther Inh. Christian Günther;2015 TIZ 0065;Durchführung baulicher Investitionen und Anschaffung neuer Maschinen und Einrichtungen durch die Automobile Christian Günther GmbH und durch die Firma Günther Inh. Christian Günther zur Vermietung an die Automobile Christian Günther GmbH;01.03.2015;14.01.2016;465.118,32 €;80%;99974;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Gemeinschaftskonto Karl G. Miller Holding GmbH & Co. KG und KGM Furnierprofile GmbH;2015 TIZ 0046;Bauliche Investitionen, Anschaffung neuer Maschinen und Einrichtungen durch die KGM Furnierprofile GmbH sowie durch die Karl G. Miller Holding GmbH & Co. KG zur Vermietung an die KGM Furnierprofile GmbH;29.01.2015;30.10.2015;250.000,00 €;80%;98708;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Geramöbel GmbH;2016 TIZ 0075;Kauf eines neuen Servers und eines Warenwirtschaftssystems für das Unternehmen;15.03.2016;31.03.2017;250.000,00 €;80%;7570;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
GERATECH Landmaschinen GmbH;2015 TIZ 0048;Durchführung von baulichen Investitionen sowie Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;09.02.2015;08.02.2017;250.000,00 €;80%;7551;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Geratherm Medical AG;2016 AWF 0049;Teilnahme an der Messe Arab Health vom 30.01.2017 bis zum 02.02.2017 in Dubai / Vereinigte Arabische Emirate  sowie zur Erstellung von Werbematerialien in mindestens einer Fremdsprache;01.03.2016;02.02.2017;13.000,00 €;80%;98716;Deutschland;066 - Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse (einschließlich Dienstleistungen für Management, Marketing und Design)
GERMINA Sportwelt GmbH;2016 EEB 0055;Durchführung einer Energieeffizienzberatung (Situationsanalyse) für das Unternehmen GERMINA Sportwelt GmbH;01.04.2016;31.07.2016;7.450,00 €;80%;98587;Deutschland;068 - Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
Gesellschaft für Bild- und Signalverarbeitung (GBS) mbH;2015 AWF 0001;Teilnahme an internationalen Messe in Deutschland/ im Ausland sowie zur Erstellung von Werbematerialien in mindestens einer Fremdsprache;23.09.2015;17.03.2016;13.000,00 €;80%;98693;Deutschland;066 - Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse (einschließlich Dienstleistungen für Management, Marketing und Design)
Gesellschaft für Bild- und Signalverarbeitung (GBS) mbH;2015 AWF 0017;Teilnahme an der VISION - Weltmesse für Bildbearbeitung vom 08.11.2016 - 10.11.2016 in Stuttgart sowie zur Erstellung von Werbematerialien in Englisch;21.10.2015;10.11.2016;13.000,00 €;80%;98693;Deutschland;066 - Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse (einschließlich Dienstleistungen für Management, Marketing und Design)
Gesellschaft für Bild- und Signalverarbeitung (GBS) mbH;2015 AWF 0018;Kontaktanbahnung über die Petrasch Asia Consulting KG nach Asien;21.10.2015;10.11.2016;1.600,00 €;80%;98693;Deutschland;066 - Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse (einschließlich Dienstleistungen für Management, Marketing und Design)
Gesellschaft für Bild- und Signalverarbeitung (GBS) mbH;2016 AWF 0134;Teilnahme an der internationalen Messe Control - Internationale Fachmesse für Qualitätssicherung vom 09.05.2017 bis 12.05.2017 in Stuttgart/Deutschland sowie zur Erstellung von Werbematerialien in mindestens einer Fremdsprache;15.06.2016;12.05.2017;13.000,00 €;80%;98693;Deutschland;066 - Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse (einschließlich Dienstleistungen für Management, Marketing und Design)
Gestellbau Stillegrund GmbH;2015 TIZ 0168;Durchführung baulicher Investitionen und Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;20.04.2015;30.09.2015;172.937,15 €;80%;98587;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Gestellbau Stillegrund GmbH;2016 TIZ 0008;Durchführung baulicher Investitionen für das Unternehmen;18.01.2016;30.09.2016;320.000,00 €;80%;98587;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
"Gewässerunterhaltungsverband ""Flößgraben/ Leina""";2015 GZ 0033;Herstellung der ökologischen Durchgängigkeit am Schilfwasser in der OL Friedrichroda durch Rückbau von Querbauwerken und Bau einer Sohlgleite (Abschnitt 6300 - Bachstraße) - TA 1: Planung LPh 1 bis 7 einschl. weiterer Vorarbeiten;29.06.2016;30.11.2016;41.756,18 €;80%;99894;Deutschland;085 - Schutz und Verbesserung der biologischen Vielfalt, des Naturschutzes und grüner Infrastrukturen
"Gewässerunterhaltungsverband ""Mittlere Nesse""";2015 GZ 0043;Gehölzumwandlung u. strukturverbessernde Maßnahmen an der Nesse zwischen Westhausen u. Wangenheim;21.06.2016;31.10.2017;46.330,23 €;80%;99869;Deutschland;085 - Schutz und Verbesserung der biologischen Vielfalt, des Naturschutzes und grüner Infrastrukturen
"Gewässerunterhaltungsverband ""Orlasenke""";2015 GZ 0013;Ersatz Absturz Neunhofen 2 durch Sohlgleite in Neustadt an der Orla, OT Neunhofen;01.03.2016;15.11.2016;168.933,04 €;80%;7806;Deutschland;085 - Schutz und Verbesserung der biologischen Vielfalt, des Naturschutzes und grüner Infrastrukturen
"Gewässerunterhaltungsverband ""Orlasenke""";2015 GZ 0042;Hochwasserfreilegung und Renaturierung der Kotschau in Pößneck, OT Jüdewein;01.04.2016;15.12.2016;777.820,81 €;80%;7381;Deutschland;087 - Maßnahmen zur Anpassung an den Klimawandel und zur Verhinderung des Klimawandels, Bewältigung klimabezogener Risiken (z. B. Erosion, Brände, Überschwemmungen, Stürme und Dürren), einschließlich Sensibilisierungsmaßnahmen sowie Katastrophenschutz- und Kata
