Name des Begünstigten -  beneficiary name;Bezeichnung des Vorhabens - operation name;Zusammenfassung des Vorhabens - operation summary;Beginns des Vorhabens - operation start date;Ende des Vorhabens  - operation end date;Gesamtbetrag der förderfähigen Ausgaben des Vorhabens - total eligible expenditure allocated to the operation;Unions-Kofinanz-ierungs-satz  pro Prioritätsachse - Union co-financing rate;Postleitzahl des Vorhabens - operation postcode;Land -country;Bezeichnung der Interventionskategorie-  name of category of intervention
"""Auszeit"" Bistro und Pension Inh. Ulrike Lescher-Warnke";2015 TIZ 0299;Anschaffung neuer Geräte und Einrichtungen für das Bistro und die Pension;15.07.2015;31.12.2016;40.000,00 €;80%;7743;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
"""grünes Herz"" Teehaus und Bistro UG (haftungsbeschränkt)";2015 TIZ 0013;bauliche Investitionen und Anschaffung von Maschinen und Einrichtungen für das Unternehmen;06.01.2015;31.12.2016;20.800,00 €;80%;99084;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
"""Landhof"" GmbH Thüringer Fleisch- und Wurstwaren";2016 TIZ 0117;Durchführung baulicher Investitionen für einen neuen Unternehmensstandort;06.04.2016;31.12.2016;460.000,00 €;80%;7589;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
"""Sterngrund GbR"" Stefan Lange & Frank-Uwe Bartholomäus";2015 TIZ 0132;Durchführung baulicher Investitionen und Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;27.03.2015;26.03.2017;200.000,00 €;80%;98544;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
"""Thüfleiwa"" Thüringer Fleischwaren, Produktions- und Vertriebs AG";2015 TIZ 0461;Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;07.12.2015;01.03.2016;98.466,50 €;80%;99510;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
3D-Schilling GmbH;2016 EEB 0048;Durchführung einer Energieeffizienzberatung (Situationsanalyse) für das Unternehmen 3D-Schilling GmbH;01.05.2016;29.09.2016;11.062,50 €;80%;99706;Deutschland;068 - Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
3Faktur GmbH;2015 TIZ 0163;Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;22.04.2015;31.12.2016;80.000,00 €;80%;7745;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
-4H - JENA engineering GmbH;2015 AWF 0030;Teilnahme an der internationalen Messe Oceanology International 2016 in London/ Großbritannien (Ausland) sowie zur Erstellung von Werbematerialien in mindestens einer Fremdsprache;16.11.2015;17.03.2016;13.000,00 €;80%;7745;Deutschland;066 - Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse (einschließlich Dienstleistungen für Management, Marketing und Design)
A.F.F.T. Aluminium-Fenster- Fassadentechnik GmbH;2016 EEB 0082;Durchführung einer Situationsanalyse bei der A.F.F.T. Aluminium-Fenster-Fassadentechnik GmbH in 36404 Vacha, Einersbergstraße 3;01.07.2016;28.02.2017;12.600,00 €;80%;36404;Deutschland;068 - Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
A.G. Thorwarth Metallwarenfabrik GmbH;2015 FE 9046;Entwicklung einer Tiefziehtechnologie auf der Basis eines durch Fräsen mit überlagerter Bewegung erzeugten Tiefziehwerkzeuges;01.07.2016;30.06.2018;50.500,00 €;80%;98574;Deutschland;062 - Technologietransfer und Zusammenarbeit zwischen Hochschulen und Unternehmen, vor allem zugunsten von KMU
a2 - solar Advanced and Automotive Solar Systems GmbH;2016 AWF 0028;"Teilnahme an der internationalen Messe ""Intersolar Europe"" vom 22.06.2016 bis 24.06.2016 in München / Deutschland sowie zur Erstellung von Werbematerialien in mindestens einer Fremdsprache";09.02.2016;24.06.2016;13.000,00 €;80%;99099;Deutschland;066 - Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse (einschließlich Dienstleistungen für Management, Marketing und Design)
ABS Gesellschaft f.Automatisierung, Bildverarbeitung und Software mbH;2016 AWF 0091;"Teilnahme an der internationalen Messe ""electronica"" in München/Deutschland vom 08.11.2016 - 11.11.2016 sowie zur Erstellung von Werbematerialien in mindestens einer Fremdsprache";05.04.2016;11.11.2016;13.000,00 €;80%;7747;Deutschland;066 - Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse (einschließlich Dienstleistungen für Management, Marketing und Design)
"Absatzgenossenschaft ""Fahner Obst"" e.G.";2015 EEB 0082;"Durchführung einer Energieeffizienzberatung (Situationsanalyse) für die Absatzgenossenschaft ""Fahner Obst"" eG";01.01.2016;30.06.2016;12.600,00 €;80%;99100;Deutschland;068 - Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
Abwasser-Rohrreinigung Rohn GmbH;2015 TIZ 0216;Anschaffung eines neuen Kamerasystems für das Unternehmen;01.06.2015;30.12.2015;50.500,00 €;80%;99734;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
ACHAVA e.V.;2016 LTM 0002;ACHAVA Festspiele Thüringen 2016;01.06.2016;30.11.2016;64.997,85 €;80%;99423;Deutschland;075 - Entwicklung und Förderung touristischer Dienstleistungen durch oder für KMU
Active Fiber Systems GmbH;2015 FE 9157;Langzeitstabile und skalierbare parallelisierte Ultrakurzpulsverstärker;01.04.2016;31.03.2019;1.037.287,50 €;80%;7745;Deutschland;062 - Technologietransfer und Zusammenarbeit zwischen Hochschulen und Unternehmen, vor allem zugunsten von KMU
agenos GmbH;2015 TIZ 0493;bauliche Investitionen und Anschaffung neuer Maschinen und Einrichtungen sowie immaterieller Wirtschaftsgüter für das Unternehmen;04.11.2015;30.11.2016;186.000,00 €;80%;99427;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Agrargenossenschaft Rückersdorf eG;2016 DMO 0001;Lüftung Schweinestall;03.06.2016;28.02.2017;54.008,00 €;80%;7580;Deutschland;068 - Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
AGS Autoservice Gebr. Schilling GbR Kevin und Cliff Schilling;2015 TIZ 0352;Durchführung baulicher Investitionen sowie Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;31.08.2015;31.10.2016;390.000,00 €;80%;7616;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
AH ARCHITEKTENBÜRO HOSE Dietrich Hose;2015 TIZ 0345;Anschaffung neuer Maschinen und Einrichtungen sowie immaterieller Wirtschaftsgüter für das Unternehmen;15.09.2015;01.09.2017;59.818,00 €;80%;99974;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Albert Karl OHG;2015 TIZ 0479;bauliche Investitionen für das Unternehmen;01.01.2016;31.10.2016;470.000,00 €;80%;99198;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Albert Pohle GmbH Seilerei, Sport- & Spielbedarf;2015 TIZ 0375;Durchführung von baulichen Investitionen sowie Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;01.10.2015;31.10.2016;259.900,00 €;80%;7950;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Alberts Holzverarbeitungszentrum Inh. Mirko Albert;2015 TIZ 0052;Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;20.02.2015;31.12.2015;389.389,67 €;80%;7613;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Alexander Brenner und Sven Hiemisch GbR;2015 EEB 0092;Durchführung einer Energieeffizienzberatung (Situationsanalyse) für das Unternehmen Alexander Brenner und Sven Hiemisch GbR;01.12.2015;30.09.2016;12.502,57 €;80%;7318;Deutschland;068 - Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
Alexander Brenner und Sven Hiemisch GbR;2015 TIZ 0426;Durchführung baulicher Investitionen und Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;12.11.2015;11.11.2017;150.000,00 €;80%;7318;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Alfred Kratz Kunststoffprodukte GmbH;2015 EEB 0095;Durchführung einer Energieeffizienzberatung (Situationsanalyse) für das Unternehmen Alfred Kratz, Kunststoffprodukte GmbH;01.01.2016;31.07.2016;9.525,00 €;80%;98596;Deutschland;068 - Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
Alfred Kratz Kunststoffprodukte GmbH;2016 TIZ 0129;Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;06.04.2016;31.01.2017;280.000,00 €;80%;98596;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Alpha Omega Inh. Doreen Löser-Nestora;2016 TIZ 0116;bauliche Investitionen und Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;23.03.2016;31.12.2016;13.300,00 €;80%;99867;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
ALPHAPROTECT Speziallöschsysteme Inh. Toni Thorwarth;2016 AWF 0078;Kontaktanbahnung über die LEG Thüringen mbH - Thüringen International mittels Delegationsreise nach Lettland sowie Erstellung von Werbematerialien in mindestens einer Fremdsprache;24.03.2016;31.12.2016;8.600,00 €;80%;98593;Deutschland;066 - Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse (einschließlich Dienstleistungen für Management, Marketing und Design)
AMB Dach GmbH;2015 TIZ 0171;Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;27.04.2015;27.03.2017;225.000,00 €;80%;99095;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Andato GmbH & Co. KG;2015 FE 9032;Technische Konzpterstellung und Test;01.07.2016;30.06.2019;259.578,00 €;80%;98693;Deutschland;062 - Technologietransfer und Zusammenarbeit zwischen Hochschulen und Unternehmen, vor allem zugunsten von KMU
André Amberg Friseure Inh. André Amberg;2016 TIZ 0030;Durchführung baulicher Investitionen sowie Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;01.03.2016;31.12.2016;106.500,00 €;80%;99867;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Andrea Niendorf-Fachgroßhandel für Reinigungsmittel und -maschinen/ Sanitärhygiene/Haushaltwaren e.K.;2015 TIZ 0386;Durchführung von baulichen Investitionen sowie Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;12.10.2015;30.06.2016;276.000,00 €;80%;7552;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Andreas Bodlak UG (haftungsbeschränkt);2015 TIZ 0164;Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;01.06.2015;31.01.2016;33.900,00 €;80%;99084;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
ANNE GORKE GmbH;2015 AWF 0065;Teilnahme an internationalen Messe in Deutschland/ im Ausland sowie zur Erstellung von Werbematerialien in mindestens einer Fremdsprache;21.12.2015;25.01.2016;13.000,00 €;80%;99423;Deutschland;066 - Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse (einschließlich Dienstleistungen für Management, Marketing und Design)
Antennentechnik ABB Bad Blankenburg GmbH;2015 FE 9043;Entwicklung von Antennenbauformen und -anschlüssen zur KFZ-Integration;01.07.2016;30.06.2019;352.875,00 €;80%;7422;Deutschland;062 - Technologietransfer und Zusammenarbeit zwischen Hochschulen und Unternehmen, vor allem zugunsten von KMU
AP Treppenbau GmbH;2015 TIZ 0452;Durchführung baulicher Investitionen sowie Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;01.01.2016;31.12.2016;66.000,00 €;80%;7980;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Apart Hotel Gera Inh. Annett Pestel;2015 TIZ 0464;Anschaffung neuer Maschinen und Einrichtungen sowie immaterielle Wirtschaftsgüter für das Unternehmen;09.12.2015;31.03.2017;45.000,00 €;80%;7548;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Apartmenthaus Anneliese Inh. Harald Macke;2015 TIZ 0376;Durchführung baulicher Investitionen sowie Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;01.10.2015;31.12.2016;207.000,00 €;80%;99768;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
AQUANT - Pflanzenkläranlagen Inh. Marcus Bednarsch;2016 ITS 0005;"die Erlangung und Sicherung des Gebrauchsmusters: ""Badeteich""";14.03.2016;30.04.2016;2.730,00 €;80%;98527;Deutschland;065 - Forschungs- und Innovationsinfrastruktur, Prozesse, Technologietransfer und Zusammenarbeit in Unternehmen mit Schwerpunkt auf der CO 2 -armen Wirtschaft und der Verstärkung der Widerstandsfähigkeit gegenüber dem Klimawandel
Arena Filmtheater Betriebs- GmbH;2015 TIZ 0439;Durchführung von baulichen Investitionen sowie Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;29.10.2015;30.09.2016;165.000,00 €;80%;7545;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Arno Barthelmes Spezialwerkstatt für Stimmgabeln e.K.;2015 AWF 0059;Teilnahme an der internationalen Messe MEDICA vom 14.11.2016 - 17.11.2016 in Düsseldorf sowie zur Erstellung von Werbematerialien in mindestens einer Fremdsprache;17.12.2015;17.11.2016;13.000,00 €;80%;98544;Deutschland;066 - Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse (einschließlich Dienstleistungen für Management, Marketing und Design)
Arno Barthelmes Zella-Mehlis GmbH;2015 AWF 0052;Teilnahme an der internationalen Messe PSI - Europäische Leitmesse der Werbeartikelindsutrie vom 13.01.2016 - 15.01.2016 in Düsseldorf sowie zur Erstellung von Werbematerialien in Englisch;04.12.2015;15.01.2016;13.000,00 €;80%;98544;Deutschland;066 - Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse (einschließlich Dienstleistungen für Management, Marketing und Design)
Arno Barthelmes Zella-Mehlis GmbH;2016 AWF 0066;Teilnahme an der internationalen Messe  ISPO 2017 vom 05.02.2017 bis 08.02.2017 in München/Deutschland sowie zur Erstellung von Werbematerialien in mindestens einer Fremdsprache;11.03.2016;08.02.2017;13.000,00 €;80%;98544;Deutschland;066 - Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse (einschließlich Dienstleistungen für Management, Marketing und Design)
Arno Barthelmes Zella-Mehlis GmbH;2016 AWF 0086;Teilnahme an der internationalen Messe  PSI vom 10.01.2017 bis 12.01.2017 in Düsseldorf/Deutschland sowie zur Erstellung von Werbematerialien in mindestens einer Fremdsprache;24.03.2016;12.01.2017;13.000,00 €;80%;98544;Deutschland;066 - Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse (einschließlich Dienstleistungen für Management, Marketing und Design)
Arno Barthelmes Zella-Mehlis GmbH;2016 EEB 0012;Durchführung einer Energieeffizienzberatung (Situationsanalyse) für das Unternehmen Arno Barthelmes Zella-Mehlis Gmbh;01.02.2016;30.06.2016;6.700,00 €;80%;98544;Deutschland;068 - Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
ARNSTADT-KRISTALL GmbH;2015 AWF 0015;"Teilnahme an der internationalen Messe ""Ambiente"" in Frankfurt am Main vom 12.02.2016 bis 16.02.2016 sowie zur Erstellung von Werbematerialien in mindestens einer Fremdsprache";26.10.2015;16.02.2016;13.000,00 €;80%;99310;Deutschland;066 - Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse (einschließlich Dienstleistungen für Management, Marketing und Design)
ARNSTADT-KRISTALL GmbH;2016 AWF 0096;Kontaktanbahnung im Rahmen einer Delegationsreise über die LEG Thüringen mbH vom 16.05.2016-20.05.2016 in den Iran sowie zur Erstellung von Werbematerialien in mindestens einer Fremdsprache;12.04.2016;30.09.2016;8.600,00 €;80%;99310;Deutschland;066 - Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse (einschließlich Dienstleistungen für Management, Marketing und Design)
ARNSTADT-KRISTALL GmbH;2016 EEB 0041;Durchführung einer Energieeffizienzberatung (Situationsanalyse) für das Unternehmen Arnstadt Kristall GmbH;07.03.2016;31.05.2016;3.920,00 €;80%;99310;Deutschland;068 - Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
ART KON TOR KOMMUNIKATION GMBH;2016 TIZ 0104;Anschaffung neuer Geräte und Einrichtungen sowie immaterieller Wirtschaftsgüter für das Unternehmen;01.03.2016;31.08.2017;72.546,00 €;80%;7745;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
ART KON TOR Produktentwicklung GmbH;2016 TIZ 0103;Anschaffung neuer Geräte und Einrichtungen sowie immaterieller Wirtschaftsgüter für das Unternehmen;01.03.2016;30.09.2017;63.960,00 €;80%;7745;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
ASF Jens Bauer OHG;2016 TIZ 0039;bauliche Investitionen und Anschaffung neuer Maschinen und Einrichtungen einschließlich immaterieller Wirtschaftsgüter für das Unternehmen;20.02.2016;19.02.2018;250.000,00 €;80%;99610;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
ASKION GmbH;2015 AWF 0011;"Teilnahme an der internationalen Messe ""MEDICA - Compamed"" in Düsseldorf vom 14.11.2016 bis 17.11.2016 sowie zur Erstellung von Werbematerialien in mindestens einer Fremdsprache";12.10.2015;18.11.2016;13.000,00 €;80%;7549;Deutschland;066 - Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse (einschließlich Dienstleistungen für Management, Marketing und Design)
ASKION GmbH;2016 FE 0040;Lagermodule für biologisches Material in tiefkalten Temperaturen (unter -150 °C) für große vollautomatische Kryo-Biobanken;09.05.2016;28.02.2018;1.035.300,75 €;80%;7549;Deutschland;064 - Forschungs- und Innovationsprozesse in KMU (einschließlich Gutscheinprogrammen, Innovationen in den Bereichen Verfahren, Design und Dienstleistung sowie sozialer Innovationen)
ASM GmbH;2015 TIZ 0115;Durchführung baulicher Investitionen und Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;07.04.2015;31.12.2016;50.000,00 €;80%;98597;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
asphericon GmbH;2015 FE 0018;Erforschung und Enwicklung eines feldaberrationskontrollierten Messobjektiv für die Tilted -Wave Interferometrie;01.01.2016;30.06.2018;4.510.440,00 €;80%;7747;Deutschland;064 - Forschungs- und Innovationsprozesse in KMU (einschließlich Gutscheinprogrammen, Innovationen in den Bereichen Verfahren, Design und Dienstleistung sowie sozialer Innovationen)
ASS-Einrichtungssysteme GmbH;2015 EEI 0087;Optimierungsleistungen an der Absauganlage, Einbau einer übergeordneten Steuerung für die bestehende Druckluftanlage, Umstellung der Beleuchtung auf LED-Beleuchtung im Unternehmen sowie Isolierung der Pressenwerkzeuge;10.11.2015;31.10.2016;98.500,00 €;80%;7330;Deutschland;068 - Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
Atrium Juwelier Inh. Alexander Nüßle;2015 TIZ 0402;Durchführung baulicher Investitionen, Anschaffung neuer Geräte sowie immaterieller Wirtschaftsgüter für das Unternehmen;01.08.2015;01.06.2016;115.000,00 €;80%;99734;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
AUb Chem.Analytik u. Umweltberatung Dr. Ronald Fischer;2016 TIZ 0203;Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;06.06.2016;31.12.2017;190.000,00 €;80%;99438;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Auflage, Umsetzung und Abwicklung des Thüringer Start-up-Fonds;2015 TSF 0001;Auflage, Umsetzung und Abwicklung des Thüringer Start-up-Fonds;20.06.2015;31.12.2020;18.750.000,00 €;80%;99084;Deutschland;067 - Entwicklung von KMU, Förderung von Unternehmertum und Gründerzentren (einschließlich der Unterstützung von Spin-offs und Spin-outs)
Auflage, Umsetzung und Abwicklung des WachstumgsBeteiligungsfonds;2015 WBF 0001;Auflage, Umsetzung und Abwicklung des WachstumgsBeteiligungsfonds;20.06.2015;31.12.2020;37.500.000,00 €;80%;99084;Deutschland;067 - Entwicklung von KMU, Förderung von Unternehmertum und Gründerzentren (einschließlich der Unterstützung von Spin-offs und Spin-outs)
Augustin Catering GmbH;2015 TIZ 0453;Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;02.12.2015;01.03.2016;33.163,60 €;80%;99819;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Aumaer Holz- & Imprägnierwerk GmbH;2015 TIZ 0389;Anschaffung einer neuen Nachschnittlinie für ein Blockbandsägewerk für das Unternehmen;01.12.2015;31.12.2016;260.000,00 €;80%;7955;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Auto Paatsch Inh. Jens Burkhardt;2015 TIZ 0075;Bauliche Investitionen und Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;27.02.2015;31.12.2016;60.000,00 €;80%;7381;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Auto Ribbe Inh. Michael Ribbe;2015 TIZ 0112;Durchführung baulicher Investitionen sowie Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;24.03.2015;30.06.2016;31.749,96 €;80%;99439;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Auto Schobert KG;2015 TIZ 0463;Anschaffung neuer Maschinen und Einrichtungen für das Untenehmen;01.01.2016;31.12.2017;43.000,00 €;80%;7973;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Autocenter Kornmaul GmbH & Co. KG;2015 TIZ 0086;bauliche Investitionen und Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;01.03.2015;28.02.2017;180.000,00 €;80%;99085;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Autocenter Kornmaul GmbH & Co. KG;2015 TIZ 0356;bauliche Investitionen für die Außensignalisierung und Anschaffung neuer Maschinen und Einrichtungen sowie immaterieller Wirtschaftsgüter für das Unternehmen;18.08.2015;30.09.2016;70.000,00 €;80%;99427;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Autohaus Albertsmeyer Nordhausen GmbH & Co. KG;2016 EEB 0091;Durchführung einer Energieeffizienzberatung (Situationsanalyse) für das Unternehmen Autohaus Alberstmeyer Nordhausen GmbH & Co.KG;13.05.2016;30.08.2016;11.575,00 €;80%;99734;Deutschland;068 - Energieeffizienz- und Demonstrationsprojekte in KMU und Begleitmaßnahmen
Autohaus an der Bahnbrücke GmbH;2015 TIZ 0126;Durchführung baulicher Investitionen und Anschaffung neuer Maschinen und Einrichtungen für das Autohaus;01.04.2015;31.12.2016;150.000,00 €;80%;7318;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Autohaus Andreas Schulze GmbH;2015 TIZ 0211;Durchführung  baulicher Investitionen sowie Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;25.05.2015;24.05.2017;250.000,00 €;80%;99310;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Autohaus Barth OHG;2015 TIZ 0491;Durchführung baulicher Investitionen sowie Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;01.01.2016;31.12.2016;45.000,00 €;80%;99894;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Autohaus Freytag GmbH;2015 TIZ 0148;Anschaffung einer neuen Portalwaschanlage für das Autohaus;01.05.2015;31.08.2015;42.585,58 €;80%;98743;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Autohaus Funke Inh. Andreas Funke;2015 TIZ 0028;Durchführung baulicher Investitionen und Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;26.01.2015;31.12.2015;237.635,00 €;80%;99974;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Autohaus Funke Inh. Andreas Funke;2016 TIZ 0095;Durchführung von baulichen Investitionen und Anschaffung neuer Maschinen und Einrichtungen für die Hauptniederlassung und Filialen des Unternehmens;17.03.2016;30.06.2017;250.000,00 €;80%;37339;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Autohaus Gleichmann Inhaber Daniela Bergner e.K.;2015 TIZ 0316;Durchführung baulicher Investitionen sowie Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;01.01.2016;31.12.2017;40.000,00 €;80%;99974;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Autohaus HESS GmbH;2015 TIZ 0061;Bauliche Investitionen und Anschaffung neuer Maschinen und Einrichtungen für 5 Autohäuser des Unternehmens;12.02.2015;30.06.2016;250.000,00 €;80%;36433;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Autohaus Hocksch GmbH;2016 TIZ 0037;bauliche Investitionen und Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;01.03.2016;30.06.2017;250.000,00 €;80%;99610;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Autohaus Meyer GmbH;2015 TIZ 0252;bauliche Investitionen für das Unternehmen;29.06.2015;31.12.2016;125.000,00 €;80%;99891;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Autohaus Neudeck e.K. Inh. Heidi Neudeck-Rumpf;2015 TIZ 0183;Durchführung von baulichen Investitionen sowie Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;04.05.2015;23.06.2016;100.000,00 €;80%;7957;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Autohaus Olaf Schnur Kfz-Handel und Reparatur;2015 TIZ 0001;Anschaffung neuer Maschinen und Einrichtungen für das Unternehmen;09.01.2015;31.12.2016;155.400,00 €;80%;37327;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Autohaus Orlob GmbH;2015 TIZ 0190;Durchführung baulicher Investitionen sowie Anschaffung neuer Maschinen und Einrichtungen und immaterieller Wirtschaftsgüter für das Unternehmen;28.04.2015;31.12.2016;135.000,00 €;80%;37327;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Autohaus Schenk GmbH;2015 TIZ 0153;Anschaffung neuer Maschinen und Einrichtungen sowie immaterieller Wirtschaftsgüter für das Unternehmen;15.04.2015;30.08.2016;137.500,00 €;80%;98693;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Autohaus Stoye GmbH & Co. KG;2015 TIZ 0187;Durchführung baulicher Investitionen sowie Anschaffung neuer Maschinen und Einrichtungen sowie immaterieller Wirtschaftsgüter für das Unternehmen;30.04.2015;31.10.2015;244.000,00 €;80%;99444;Deutschland;001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
