NAME DES BEGÜNSTIGTEN,NAME DES PROJEKTS,JAHR DER BEWILLIGUNG,JAHR DES ABSCHLUSSES,VORGESEHENE ÖFFENTLICHE BETEILIGUNG,ENDGÜLTIGE BETEILIGUNG NACH ABSCHLUSS DES PROJEKTS
ddp energy GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2011,2011,,"4.140,00"
Delta Analytics OHG,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2011,2011,,"1.489,00"
Delta Analytics OHG,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2013,2014,,"3.130,00"
Delta Analytics OHG,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2011,2012,,"5.026,00"
Delta Analytics OHG,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2012,2013,,"2.950,00"
Deutsche Flugsicherung GmbH,"go!CART - Initiierung und Aufbau des Bremer Kompetenz- und
Forschungsverbundes FLUGROBOTIK CART (Competitive
Aerial Robot Technologies)",2007,2012,,"104.708,00"
"Deutsche Gesellschaft für angewandte
Wissenschaften e. V.","Fonds Wissenschaftliche Kongresse: DGAW Internationales
Transportforum 2013 - Europa im Spannungsfeld multipolarer
Herausforderungen",2012,,"40.000,00",
"Deutsche Gesellschaft für angewandte
Wissenschaften e. V.","Fonds Wissenschaftliche Kongresse: DGAW Internationales
Wirtschafts- und Transportforum 2009",2009,2009,,"29.568,24"
Deutsche Offshore Consult GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2012,2013,,"6.000,00"
Deutsche Offshore Consult GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2011,2012,,"3.532,00"
"Deutsche Rotor- und Turm-Service GmbH &
Co. KG","Programm zur Förderung anwendungsnaher Umwelttechniken
(PFAU): Mogli - Entwicklung eines nachrüstbaren
Strömungselementes zur Anlagen- und Ertragsoptimierung an
Rotorblättern von Windenergieanlagen",2009,2012,,"48.706,00"
Deutsche WindGuard Engeneering GmbH,"Förderprogramm Angewandte Umweltforschung (AUF):
Messverfahren zur akustisch-aerodynamischen Optimierung
von Rotorblättern (MakOR)",2012,,"21.655,00",
Deutsche WindGuard Engeneering GmbH,"Programm zur Förderung anwendungsnaher Umwelttechniken
(PFAU): Vermarktung Windkanal",2014,,"49.825,00",
Deutsche WindGuard Engeneering GmbH,"Programm zur Förderung anwendungsnaher Umwelttechniken
(PFAU): ReynoldsWK",2010,,"127.577,00",
Deutsche Windtechnik AG,"Programm zur Förderung anwendungsnaher Umwelttechniken
(PFAU): Mogli - Entwicklung eines nachrüstbaren
Strömungselementes zur Anlagen- und Ertragsoptimierung an
Rotorblättern von Windenergieanlagen",2009,2012,,"30.135,00"
"Deutsche Windtechnik Betriebsführung
GmbH","Programm zur Förderung anwendungsnaher Umwelttechniken
(PFAU): Roboter gestütztes Offshore-Servicesystem",2009,2012,,"55.650,00"
Deutsches Auswandererhaus,Fonds Wissenschaftliche Kongresse: EMYA-Verleihung 2011,2011,2013,,"23.413,02"
"Deutsches Forschungszentrum für Künstliche
Intelligenz (DFKI) Bremen","Förderprogramm Angewandte Umweltforschung (AUF):
Robotergestützte Sortierung von großstückigem Abfall (ROSA)",2009,2012,,"98.823,00"
"Deutsches Forschungszentrum für Künstliche
Intelligenz GmbH","Neubau eines Forschungs- und Verwaltungsgebäudes für das
Deutsche Forschungszentrum für Künstliche Intelligenz (DFKI)
Bremen",2010,,"3.100.000,00",
Die Informationsgesellschaft mbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2012,2013,,"3.021,00"
DocuPortal,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2009,2011,,"1.997,00"
Domeyer GmbH & Co. KG,"Einzelbetriebliche Förderung nach dem
Landesinvestitionsförderprogramm (LIP)",2007,2009,,"755.000,00"
Dreiha GmbH,"Einzelbetriebliche Förderung nach dem
Landesinvestitionsförderprogramm (LIP)",2012,,"80.000,00",
Dreiha GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2012,2012,,"5.647,00"
Dreiha GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2014,2015,,"5.512,00"
DZT Dues Zerspanungstechnik GmbH,"Einzelbetriebliche Förderung nach dem
Landesinvestitionsförderprogramm (LIP)",2007,2009,,"150.000,00"
ecologix,"Förderprogramm Angewandte Umweltforschung (AUF):
RessourcenManager: Stoffstrommodell für die Kreislauf- und
Abfallwirtschaft",2008,2014,,"19.875,00"
Eickworth Modellbau GmbH,"Einzelbetriebliche Förderung nach dem
Landesinvestitionsförderprogramm (LIP)",2012,,"70.000,00",
engram GmbH,"Einzelbetriebliche Förderung nach dem
Landesinvestitionsförderprogramm (LIP)",2007,2010,,"43.500,00"
Enough Software GmbH & Co KG,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2009,2010,,"6.000,00"
Enough Software GmbH & Co KG,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2008,2009,,"5.815,00"
Enough Software GmbH & Co KG,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2009,2010,,"2.551,00"
Environmental Systems GmbH,"Förderprogramm Angewandte Umweltforschung (AUF):
Einsatz von Hochfrequenz-Ultraschall zur Keimreduktion in
wassergemischten Kühlschmierstoffen (HUSKK)",2012,,"26.306,00",
Environmental Systems GmbH,"Programm zur Förderung anwendungsnaher Umwelttechniken
(PFAU): PowerPlant - Weiterentwicklung und Modifikation des
ESSORP-Systems",2010,,"115.638,00",
Environmental Systems GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2010,2010,,"4.331,00"
Environmental Systems GmbH,"Programm zur Förderung anwendungsnaher Umwelttechniken
(PFAU): Markterschließung des HUSKK-Projekts",2013,,"41.369,00",
Environmental Systems GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2011,2011,,"2.719,00"
eventV GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2011,2011,,"4.398,00"
eventV GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2012,2012,,"4.435,00"
ExxpertSystems GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2013,2014,,"5.400,00"
ExxpertSystems GmbH,"Zentrale Vernetzung komplexer Test- und Verifikationsanlagen
- Bremer Technologie-Center (Bre-TeC)",2009,,"885.000,00",
faden e.V.,"Arbeitspolitische Maßnahmen: ""Holz & Co"" die
Spielzeugwerkstatt",2013,,"9.047,50",
faden e.V.,"Arbeitspolitische Maßnahmen: Maschinenmodernisierung in
der Spielzeugwerkstatt",2013,,"15.050,94",
Faserinstitut Bremen e. V.,"Förderung Forschung und Entwicklung in Innovationsprojekten
(FEI): Bauteilgenerierung mit integrierten Fasern",2014,2015,,"52.819,17"
Faserinstitut Bremen e. V.,"CFKI - Entwicklung einer Prozesskette zur Fertigung
hochintegraler Bauteile aus faserverstärkten Kunststoffen
(CFK) am Beispiel einer Landeklappe",2007,2013,,"2.378.762,06"
Faserinstitut Bremen e. V.,"Förderung Forschung und Entwicklung in Innovationsprojekten
(FEI)",2011,2012,,"99.990,00"
Faserinstitut Bremen e. V.,"QS-CFK: Zerstörungsfreie Qualitätsprüfungsmethoden für die
vollständige Wertschöpfungskette von Faserverbundbauteilen
und Schweißverbindungen",2013,,"649.980,00",
Faserinstitut Bremen e. V.,"Förderung Forschung und Entwicklung in Innovationsprojekten
(FEI)",2013,2014,,"76.267,33"
Faserinstitut Bremen e. V.,"Förderung Forschung und Entwicklung in Innovationsprojekten
(FEI)",2012,2014,,"49.223,57"
Faserinstitut Bremen e. V.,"Förderung Forschung und Entwicklung in Innovationsprojekten
(FEI)",2013,,"99.965,00",
FBG Fischereihafen Betriebsgesellschaft,"Schwerlasttaugliche Ertüchtigung des südlichen
Labradorhafens",2007,,"6.645.177,07",
FBG Fischereihafen Betriebsgesellschaft,"Schwerlastertüchtigung des Labradorhafens, 2. Bauabschnitt",2008,,"4.701.884,00",
FBG Fischereihafen Betriebsgesellschaft,"Erweiterung des Bremerhavener Instituts für
Bioverfahrenstechnik und Lebensmitteltechnologie (BILB) -
Planungskosten",2011,2012,,"68.666,52"
FERRIT Blechservice GmbH & Co. KG,"Einzelbetriebliche Förderung nach dem
Landesinvestitionsförderprogramm (LIP)",2007,2008,,"375.000,00"
fibretech composites GmbH,"Förderung Forschung und Entwicklung in Innovationsporjekten
(FEI)",2012,,"51.500,00",
"FIELAX Gesellschaft für wissenschaftliche
Datenverarbeitung mbH","Förderung Forschung und Entwicklung in Innovationsprojekten
(FEI): Technische Durchführbarkeitsstudie zu einem
alternativen Auftriebssystem für Unterwassergeräte",2010,2012,,"35.100,00"
"FIELAX Gesellschaft für wissenschaftliche
Datenverarbeitung mbH","Entwicklung eines 3D-Modells zur Vorhersage von
Energieträgern aus flacher Geothermie",2014,2015,,"39.600,00"
"FIELAX Gesellschaft für wissenschaftliche
Datenverarbeitung mbH","Förderung Forschung und Entwicklung in Innovationsprojekten
(FEI): Monitherm",2011,2013,,"95.100,00"
"FIELAX Gesellschaft für wissenschaftliche
Datenverarbeitung mbH","Förderprogramm Angewandte Umweltforschung (AUF):
Effiziente Bestimmung von Bodenparametern für die
Seekabelverlegung (LIR Meter)",2010,2014,,"30.000,00"
"FIELAX Gesellschaft für wissenschaftliche
Datenverarbeitung mbH","Förderung Forschung und Entwicklung in Innovationsprojekten
(FEI): FlexiHyp",2010,2013,,"49.781,00"
First Racing GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2014,2014,,"3.953,53"
flix GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2013,2013,,"3.245,00"
flix GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2012,2012,,"2.816,00"
Fördergesellschaft für Bildung mbH,"Arbeitspolitische Maßnahmen: Ausbildungsbegleitende
Investitionen",2013,,"4.248,30",
Förderwerk Bremen GmbH,"WIEGE - Wiederaufbau der Gärtnerei in der ehemaligen JVA
Blockland",2012,,"49.992,61",
"Forschungsvereinigung Recycling und
Wertstoffverwertung im Bauwesen e. V.
(RWB)","Förderprogramm Angewandte Umweltforschung (AUF): Scale
up des Porenbetonrecyclings (RecyLeichtwand)",2011,,"3.060,00",
Frauen in Arbeit und Wirtschaft e. V.,Beratungsstelle Frauen in Arbeit und Wirtschaft,2008,,"1.147.061,92",
Frauen in Arbeit und Wirtschaft e. V.,Frauen in Arbeit und Wirtschaft 2011 - 2013,2011,,"700.648,00",
Frauen in Arbeit und Wirtschaft e. V.,"Mentoring für Frauen des Expertinnen-Beratungsnetzes
Bremen (ebn)",2012,,"22.700,75",
"Fraunhofer-Gesellschaft zur Förderung der
angewandten Forschung e. V.","Förderung des IWES - Fraunhofer-Institut für Windenergie und
Energiesystemtechnik in Bremerhaven",2009,,"10.000.000,00",
"Fraunhofer-Gesellschaft zur Förderung der
angewandten Forschung e. V.","Programm zur Förderung anwendungsnaher Umwelttechniken
(PFAU): Ressourceneffizienzsteigerung durch
qualitätsorientierte Prozessüberwachung",2009,2011,,"120.000,00"
"Fraunhofer-Gesellschaft zur Förderung der
angewandten Forschung e. V.","Förderung Forschung und Entwicklung in Innovationsprojekten
(FEI)",2013,,"72.012,00",
"Fraunhofer-Gesellschaft zur Förderung der
angewandten Forschung e. V.","Aufbau eines Fraunhofer Anwendungszentrums für
Windenergie-Feldmessungen (Fraunhofer AWF) in
Bremerhaven",2013,,"600.000,00",
"Fraunhofer-Gesellschaft zur Förderung der
angewandten Forschung e. V.","Integration der MeVis Research GmbH in die Fraunhofer-
Gesellschaft",2008,,"11.000.000,00",
"Fraunhofer-Gesellschaft zur Förderung der
angewandten Forschung e. V.","Förderung Forschung und Entwicklung in Innovationsprojekten
(FEI)",2011,,"76.800,00",
"Fraunhofer-Gesellschaft zur Förderung der
angewandten Forschung e. V.","Center für Windenergie und Meerestechnik, 2. Bauabschnitt",2007,2013,,"7.000.000,00"
"Fraunhofer-Institut für Fertigungstechnik und
angewandte Materialforschung (IFAM)","Programm zur Förderung anwendungsnaher Umwelttechniken
(PFAU): Modulares High-Solid Lacksystem mit definierter
Infrarotemission und verbesserten Abriebschutzeigenschaften",2010,2012,,"37.360,00"
Freunde der Erfrischung GbR,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2008,2008,,"2.043,00"
Friedrich Bähr GmbH & Co. KG,"Einzelbetriebliche Förderung nach dem
Landesinvestitionsförderprogramm (LIP)",2007,2008,,"40.000,00"
Friedrich Benien GmbH & Co. KG,"Einzelbetriebliche Förderung nach dem
Landesinvestitionsförderprogramm (LIP)",2007,2009,,"815.000,00"
"Friedrich W. Derkum Fabrik und Handels-
GmbH & Co. KG","Einzelbetriebliche Förderung nach dem
Landesinvestitionsförderprogramm (LIP)",2007,2008,,"149.161,00"
FTI Technologies GmbH,"Zentrale Vernetzung komplexer Test- und Verifikationsanlagen
- Bremer Technologie-Center (BRE-TeC)",2009,2015,,"1.167.300,00"
G. Schürmann GmbH,"Einzelbetriebliche Förderung nach dem
Landesinvestitionsförderprogramm (LIP)",2008,2008,,"118.849,48"
Ganpati Edelstein GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2013,2014,,"2.701,00"
Ganpati Edelstein GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2012,2013,,"2.649,00"
Gastronovi GmbH & Co. KG,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2013,2013,,"4.440,00"
Gastronovi GmbH & Co. KG,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2012,2013,,"3.779,00"
Gastronovi GmbH & Co. KG,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2012,2012,,"3.056,00"
GeoHydroConsult,"Programm zur Förderung anwendungsnaher Umwelttechniken
(PFAU): Entwicklung und Überprüfung innovativer Produkte für
den Schallschutz unter Einbeziehung bekannter
Mikrostrukturen sowie die Konzeptgestaltung für ihre
Markteinführung (EPEM)",2008,2011,,"13.375,00"
German Tanker Shipping GmbH & Co. KG,"Förderprogramm Angewandte Umweltforschung (AUF):
Satellitengestützte Meeresströmungsanalyse zur
Treibstoffeinsparung von Schiffen (SatMeS)",2009,,"2.500,00",
"GeRon Gurt- und Hebetechnik GmbH & Co.
KG","Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2011,2012,,"6.000,00"
"GeRon Gurt- und Hebetechnik GmbH & Co.
KG","Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschtschaftsförderungsprogramms",2010,2012,,"6.000,00"
Gesellschaft Deutscher Chemiker e. V.,"Fonds Wissenschaftliche Kongresse: GDCh-
Wissenschaftsforum Chemie 2011",2011,2012,,"115.599,65"
"Gesellschaft für Angewandten Umweltschutz
und Sicherheit im Seeverkehr GAUSS mbH","Förderprogramm Angewandte Umweltforschung (AUF):
Satellitengestützte Meeresströmungsanalyse zur
Treibstoffeinsparung von Schiffen (SatMeS)",2009,2012,,"185.361,29"
getju GmbH,"Programm zur Förderung anwendungsnaher Umwelttechniken
(PFAU): Entwicklung und Überprüfung innovativer Produkte für
den Schallschutz unter Einbeziehung bekannter
Mikrostrukturen sowie die Konzeptgestaltung für ihre
Markteinführung (EPEM)",2008,2011,,"14.975,00"
GfG GastroPart GmbH,"Einzelbetriebliche Förderung nach dem
Landesinvestitionsförderprogramm (LIP)",2007,2007,,"11.683,00"
Gröpelinger Marketing e. V.,Stadtteilmarketing Gröpelingen: Gröpelinger Marketing 2012,2012,2013,,"74.145,83"
Gröpelinger Marketing e. V.,Stadtteilmarketing 2013 - 2014: Gröpelinger Marketing 2013,2012,2015,,"79.924,50"
Gröpelinger Marketing e. V.,Stadtteilmarketing 2013 - 2014: Gröpelinger Marketing 2014,2014,,"70.000,00",
Gröpelinger Marketing e. V.,Gröpelinger Marketing 2010 - 2011,2009,2012,,"150.000,00"
Gulbinat Systemtechnik GmbH & Co KG,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2013,2014,,"4.987,00"
Gustav Schramm GmbH,"Einzelbetriebliche Förderung nach dem
Landesinvestitionsförderprogramm (LIP)",2007,2008,,"151.500,00"
H. Albert GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2008,2009,,"4.031,00"
H. Albert GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2009,2011,,"6.000,00"
Haag Industrietechnik GmbH,"Einzelbetriebliche Förderung nach dem
Landesinvestitionsförderprogramm (LIP)",2007,2009,,"207.500,00"
Haindl Kunststoffverarbeitung GmbH,"Programm zur Förderung anwendungsnaher Umwelttechniken
(PFAU): Composite Structure-Flexible Automated Production",2009,,"100.719,00",
Haindl Kunststoffverarbeitung GmbH,"go!CART - Initiierung und Aufbau des Bremer Kompetenz- und
Forschungsverbundes FLUGROBOTIK CART (Competitive
Aerial Robot Technologies)",2007,2011,,"155.165,00"
Haindl Kunststoffverarbeitung GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2013,2014,,"5.638,00"
Haindl Kunststoffverarbeitung GmbH,"CFKI - Entwicklung einer Prozesskette zur Fertigung
hochintegraler Bauteile aus faserverstärkten Kunststoffen
(CFK) am Beispiel einer Landeklappe",2007,2010,,"155.000,00"
Handwerk gGmbH,Förderung überbetrieblicher Berufsbildungsstätten (ÜBS),2013,,"2.010.380,93",
Handwerk gGmbH,"Arbeitspolitische Maßnahmen: Investitionen in moderne
Werkzeug- und Prüfgeräte zur Ausbildung von
AugenoptikerInnen",2013,,"41.976,50",
Hans Kiesling GmbH & Co KG,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2011,2011,,"3.745,00"
Hans Kiesling GmbH & Co KG,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2009,2010,,"4.381,00"
Hans Kiesling GmbH & Co KG,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2011,2012,,"4.607,00"
Hansa Fine Chemicals GmbH,"Einzelbetriebliche Förderung nach dem
Landesinvestitionsförderprogramm (LIP)",2007,2008,,"13.750,00"
Hanseatic Aviation Solutions GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2014,2014,,"3.305,00"
"Hanseatische Waren Handelsgesellschaft
mbH & Co KB","Förderung Forschung und Entwicklung in Innovationsprojekten
(FEI)",2013,,"49.843,00",
Hauskrankenpflege Andrea Hugo,"Förderung der Forschung und Entwicklung in betrieblichen
Innovationsprojekten (FEI-Richtlinie), Gesundheitswirtschaft:
Sicher wohnen im Alter",2009,2011,,"44.174,99"
"HEC Hanseatische Software- Entwicklungs-
und Consulting GmbH","Förderung der Forschung und Entwicklung in betrieblichen
Innovationsprojekten (FEI-Richtlinie), Gesundheitswirtschaft:
Sicher wohnen im Alter",2009,2012,,"88.941,96"
HEGECO Trading GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2013,2014,,"1.889,00"
Heino Ilsemann GmbH,"Förderung Forschung und Entwicklung in Innovationsprojekten
(FEI)",2012,,"66.150,00",
Heinrich Helms Metallwarenfabrik GmbH,"Einzelbetriebliche Förderung nach dem
Landesinvestitionsförderprogramm (LIP)",2007,2008,,"56.433,00"
Hella Fahrzeugkomponenten GmbH,"Förderung Forschung und Entwicklung in Innovationsprojekten
(FEI)",2011,2013,,"5.799,50"
Hella Fahrzeugkomponenten GmbH,"Programm zur Förderung anwendungsnaher Umwelttechniken
(PFAU): Hybride Mediensensoren durch Eigengefertigte Multi-
Chip-Modul-Technologie",2009,2012,,"37.500,00"
H+M Electronics Systems GmbH,"Einzelbetriebliche Förderung nach dem
Landesinvestitionsförderprogramm (LIP)",2007,2009,,"46.000,00"
Hochschule Bremen,"Förderprogramm Angewandte Umweltforschung (AUF):
RessourcenManager: Stoffstrommodell für die Kreislauf- und
Abfallwirtschaft",2008,2014,,"75.975,38"
"Hochschule Bremen - Koordinierungsstelle für
Weiterbildung","OptimAG - Optimierung von Arbeits- und Gesundheitsschutz
im Kfz-Gewerbe",2012,,"581.913,09",
"Hochschule Bremen, Fakultät Natur und
Technik, Abteilung Maschinenbau","Programm zur Förderung anwendungsnaher Umwelttechniken
(PFAU): Mogli - Entwicklung eines nachrüstbaren
Strömungselementes zur Anlagen- und Ertragsoptimierung an
Rotorblättern von Windenergieanlagen",2009,2012,,"78.035,92"
"Hochschule Bremen, Institut für Bio- und
Umwelttechnik","Förderprogramm Angewandte Umweltforschung (AUF):
Trainingssimulator für Biomasse-Kraftwerke",2008,2013,,"97.002,38"
"Hochschule Bremen, Institut für
Freizeitwissenschaft und Kulturarbeit e. V.","Fonds Wissenschaftliche Kongresse: Bremer Freizeitkongress
2012",2012,2013,,"6.000,00"
"Hochschule Bremen, Institut für
Kreislaufwirtschaft an der Hochschule
Bremen GmbH","Förderprogramm Angewandte Umweltforschung (AUF):
Robotergestützte Sortierung von großstückigem Abfall (ROSA)",2009,,"42.164,00",
"Hochschule Bremen, Institut für
Kreislaufwirtschaft an der Hochschule
Bremen GmbH","Förderprogramm Angewandte Umweltforschung (AUF):
RessourcenManager: Stoffstrommodell für die Kreislauf- und
Abfallwirtschaft",2008,2014,,"24.102,52"
"Hochschule Bremen, Zentrum für
energieeffiziente Technik und Architektur
(ZETA)","Förderprogramm Angewandte Umweltforschung (AUF):
Energieeffizienter Falt-Wärmetauscher",2008,2013,,"77.375,69"
Hochschule Bremerhaven,"Programm zur Förderung anwendungsnaher Umwelttechniken
(PFAU): Entwicklung und Überprüfung innovativer Produkte für
den Schallschutz unter Einbeziehung bekannter
Mikrostrukturen sowie die Konzeptgestaltung für ihre
Markteinführung (EPEM)",2008,2012,,"110.667,00"
Hochschule Bremerhaven,"Förderprogramm Angewandte Umweltforschung (AUF):
Biologische Reststoffbehandlung bei der Autoverwertung
(Shredderabfallbehandlung)",2008,2014,,"60.118,59"
Hochschule Bremerhaven,"Förderung Forschung und Entwicklung in Innovationsprojekten
(FEI): Gewinnung von hochwertigem Protein",2012,,"92.106,00",
Hochschule Bremerhaven,"Projekt zum Aufbau des Instituts für marine Ressourcen
(IMARE) in der Hochschule Bremerhaven",2007,2009,,"877.308,87"
"Hochschule Bremerhaven, Institut für
Windenergie (fk-Wind)","Förderprogramm Angewandte Umweltforschung (AUF):
Windenergiepotenziale auf Dächern (WiPoDa)",2012,,"64.891,00",
"Hochschule Bremerhaven,
Versorgungstechnik und
Anlagenbetriebstechnik","Förderprogramm Angewandte Umweltforschung (AUF): PCR-
Validierung einer energieeffizienten Trinkwasser-
Hygienisierung (Bioprotect)",2010,,"8.429,00",
Hochschule für Künste Bremen,"Fonds Wissenschaftliche Kongresse: Out of Order. Störung
als Prinzip (Modetagung)",2009,2012,,"9.000,00"
Hohenberger Vertriebs GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2011,2011,,"6.000,00"
HSS Tools GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2009,2010,,"6.000,00"
"HVG Hanseatische Veranstaltungs-GmbH -
Geschäftsbereich Messe","Wissenswerte 2008  - Bremer Forum für
Wirtschaftsjournalismus",2008,,"134.000,00",
ibso Automation GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2011,2011,,"4.700,00"
"IGEL Elektronische Kommunikationshilfen
GmbH","Förderung der Forschung und Entwicklung in betrieblichen
Innovationsprojekten (FEI-Richtlinie),
Gesundheitswirtschaft:Früherkennung und Therapie von
neurodegenerativen Krankheiten",2012,2014,,"8.800,00"
"IGEL Elektronische Kommunikationshilfen
GmbH","Förderung der Forschung und Entwicklung in betrieblichen
Innovationsprojekten (FEI-Richtlinie), Gesundheitswirtschaft:
IT-gestütztes Assistenzsystem für ältere Menschen",2009,2012,,"26.650,00"
"IMARE - Institut für Marine Ressourcen
GmbH","Förderprogramm Angewandte Umweltforschung (AUF):
Immunonachweis toxikologisch wirksamer Chemikalien in
Wasserproben (TOXsense)",2009,2014,,"72.719,97"
"IMARE - Institut für Marine Ressourcen
GmbH","Förderprogramm Angewandte Umweltforschung (AUF): Studie
""mikrobielle Sedimentbatterien für den Korrosionsschutz""
(Sedimentbatterie)",2008,2011,,"27.376,00"
"IMARE - Institut für Marine Ressourcen
GmbH",Förderung des Instituts für marine Ressourcen IMARE,2008,,"4.996.000,00",
"IMARE - Institut für Marine Ressourcen
GmbH","Förderung Forschung und Entwicklung in Innovationsprojekten
(FEI): Yacht Engeneering nach dem Verfahren ELiSE für die
Anwendung im High-End Regattaeinsatz",2010,,"99.855,00",
"IMARE - Institut für Marine Ressourcen
GmbH","Förderprogramm Angewandte Umweltforschung (AUF):
Alternative Futtermittel für die Aquakultur mariner Fischlarven
(Fischfutter)",2009,,"112.650,00",
"IMARE - Institut für Marine Ressourcen
GmbH","Fonds Wissenschaftliche Kongresse: Marine Resourcen -
2011 and beyond",2010,,"80.000,00",
"IMARE - Institut für Marine Ressourcen
GmbH","Förderung Forschung und Entwicklung in Innovationsprojekten
(FEI): VS-Polar",2010,2014,,"85.000,00"
Impetus GmbH & Co. Bioscience KG,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2011,2011,,"3.856,00"
Impetus GmbH & Co. Bioscience KG,"Förderprogramm Angewandte Umweltforschung (AUF):
Alternative Futtermittel für die Aquakultur mariner Fischlarven
(Fischfutter)",2009,,"15.000,00",
Impetus Quality Inspection GmbH & Co.KG,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2011,2012,,"4.049,00"
Impetus Quality Inspection GmbH & Co.KG,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2012,2013,,"9.363,00"
Impetus Quality Inspection GmbH & Co.KG,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2013,2014,,"3.400,00"
Impetus Quality Inspection GmbH & Co.KG,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2011,2011,,"3.378,00"
Impetus Quality Inspection GmbH & Co.KG,"Förderung Forschung und Entwicklung in Innovationsprojekten
(FEI): Verbesserung der Logistik für TK-Fischprodukte im
Herkunftsland",2012,,"99.506,00",
Impetus Quality Inspection GmbH & Co.KG,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2012,2012,,"3.940,00"
