NAME DES BEGÜNSTIGTEN,NAME DES PROJEKTS,JAHR DER BEWILLIGUNG,JAHR DES ABSCHLUSSES,VORGESEHENE ÖFFENTLICHE BETEILIGUNG,ENDGÜLTIGE BETEILIGUNG NACH ABSCHLUSS DES PROJEKTS
ATACAMA Software GmbH,"Förderung der Forschung und Entwicklung in betrieblichen
Innovationsprojekten (FEI-Richtlinie), Gesundheitswirtschaft:
Entwicklung und Einführung einer Pflege- und
Versorgungssoftware",2009,2011,,"60.200,00"
ATACAMA Software GmbH,"Förderung der Forschung und Entwicklung in betrieblichen
Innovationsprojekten (FEI-Richtlinie), Gesundheitswirtschaft:
Wissensdatenbank für Pflegende",2012,2014,,"99.200,00"
ATO interactive GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2013,2014,,"6.000,00"
ATO interactive GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2009,2009,,"6.000,00"
ATO interactive GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2011,2012,,"6.000,00"
"August Müth Selbstklebetechnik GmbH & Co.
KG","Einzelbetriebliche Förderung nach dem
Landesinvestitionsförderprogramm (LIP)",2012,2013,,"10.000,00"
"August Müth Selbstklebetechnik GmbH & Co.
KG","Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2014,2015,,"4.700,00"
"August Müth Selbstklebetechnik GmbH & Co.
KG","Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2008,2008,,"1.341,00"
avantro GmbH,"Förderung der Forschung und Entwicklung in betrieblichen
Innovationsprojekten (FEI-Richtlinie), Gesundheitswirtschaft:
Ambulante Rehabilitation in Bremen",2009,2011,,"57.635,00"
Bädergesellschaft Bremerhaven mbH,Sanierung des Weser-Strandbades Bremerhaven,2011,,"1.659.000,00",
Baubecon,"Immobilienstandortmanagement im alten Zentrum Blumenthal;
hier: Miete, Nebenkosten",2012,,"14.685,00",
Baubecon,Immobilienstandortmanagement im alten Zentrum Blumenthal,2012,,"105.315,00",
BEAN Bremerhaven,Erweiterung des Deutschen Auswandererhauses,2011,,"4.000.000,00",
Beilken Sails GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2008,2009,,"5.300,00"
Beilken Sails GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2009,2009,,"4.228,00"
Beluga Shipping GmbH,"Förderprogramm Angewandte Umweltforschung (AUF):
Satellitengestützte Meeresströmungsanalyse zur
Treibstoffeinsparung von Schiffen (SatMeS)",2009,2012,,"2.050,00"
Beratungsbüro Dr. Peter Krams,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2008,2009,,"1.489,00"
Berufliche Bildung Bremerhaven (BBB),KOMPASS,2013,,"179.397,00",
Berufliche Bildung Bremerhaven (BBB),"Arbeitspolitische Maßnahmen: Frau, Schule und Beruf-
Coaching",2013,,"12.400,00",
Berufliche Bildung Bremerhaven (BBB),SPS Labor,2013,,"270.897,00",
Besitzgesellschaft Science Center GmbH,Erneuerung der Dauerausstellung im Universum Bremen,2013,,"5.000.000,00",
bfw,"Arbeitspolitische Maßnahmen: Innovative
Werkzeugausstattung in der Berufsqualifizierung",2013,,"7.928,37",
"BIBA - Bremer Institut für Produktion und
Logistik GmbH","Förderung Forschung und Entwicklung in Innovationsprojekten
(FEI)",2012,2013,,"57.093,19"
"Bildungszentrum der Wirtschaft im
Unterwesergebiet e. V.","Landesinitiative Arbeits- und Gesundheitsschutz: Betriebliches
Gesundheitsnetz für Kleinbetriebe (BEGINN-REGIO)",2009,2013,,"681.104,39"
Binder Metalltechnik,"Einzelbetriebliche Förderung nach dem
Landesinvestitionsförderprogramm (LIP)",2007,2008,,"52.411,00"
Biokraft Weser-Elbe GmbH,"Förderprogramm Angewandte Umweltforschung (AUF):
Energieeffiziente Produktion von Ammoniakwasser aus
Gärreststoffen",2007,2012,,"1.173,73"
BIONATIC Deutschland GmbH & Co KG,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2011,2012,,"3.431,00"
BIONATIC Deutschland GmbH & Co KG,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2010,2011,,"3.025,00"
BIONATIC Deutschland GmbH & Co KG,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2012,2013,,"4.910,00"
"BIS Bremerhavener Gesellschaft für
Investitionsförderung und Stadtentwicklung
mbH","Innovationspolitik 2014 - Öffentlichkeitsarbeit und
Veranstaltungen (BIS)",2014,,"200.000,00",
"BIS Bremerhavener Gesellschaft für
Investitionsförderung und Stadtentwicklung
mbH","Innovationspolitik 2014 - Netzwerkarbeit und
Technologietransfer (BIS)",2014,,"50.000,00",
"BIS Bremerhavener Gesellschaft für
Investitionsförderung und Stadtentwicklung
mbH",Förderung der Kreativwirtschaft in BHV 2014 (BIS),2014,,"129.750,00",
"BIS Bremerhavener Gesellschaft für
Investitionsförderung und Stadtentwicklung
mbH",Marketing Havenwelten; Havenwelten Sommer 2013,2013,,"110.000,00",
"BIS Bremerhavener Gesellschaft für
Investitionsförderung und Stadtentwicklung
mbH","Innovationsförderung 2007-2013: Förderung des
innovationspolitischen Schwerpunktthemas Maritime
Wirtschaft/ Life Sciences in 2009 - 2010",2009,2010,,"14.626,30"
"BIS Bremerhavener Gesellschaft für
Investitionsförderung und Stadtentwicklung
mbH","Innovationsförderung 2007-2013: Förderung des
innovationspolitischen Schwerpunktthemas Maritime
Wirtschaft/ Life Sciences in 2011",2011,,"100.000,00",
"BIS Bremerhavener Gesellschaft für
Investitionsförderung und Stadtentwicklung
mbH",Sail Sommer 2011,2011,,"111.000,00",
"BIS Bremerhavener Gesellschaft für
Investitionsförderung und Stadtentwicklung
mbH",Marketing Havenwelten: Langzeitmonitoring,2012,,"114.900,00",
"BIS Bremerhavener Gesellschaft für
Investitionsförderung und Stadtentwicklung
mbH",Vorprüfung der Machbarkeit eines Windkraft-Offshoreterminals,2009,2011,,"150.000,00"
"BIS Bremerhavener Gesellschaft für
Investitionsförderung und Stadtentwicklung
mbH","Marketing Havenwelten, Havenwelten Sommer 2014",2014,,"110.000,00",
"BIS Bremerhavener Gesellschaft für
Investitionsförderung und Stadtentwicklung
mbH",Marketing Havenwelten - Havenwelten Sommer 2012,2012,,"110.000,00",
BLG in.add.out LOGISTICS GmbH & Co. KG,"Förderprogramm Angewandte Umweltforschung (AUF):
Kennzahlen grüner Logistik - Kurs auf die öko-effiziente
Logistikfabrik (KeyP green)",2010,2012,,"9.832,50"
Blum und Partner Lagertechnik GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2013,2013,,"6.000,00"
Blum und Partner Lagertechnik GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2009,2010,,"6.000,00"
Blum und Partner Lagertechnik GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2010,2011,,"6.000,00"
Blum und Partner Lagertechnik GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2012,2012,,"5.940,00"
Böhne und Warns GbR,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2010,2010,,"2.158,00"
Bootswerft Maleika GmbH,"Einzelbetriebliche Förderung im Rahmen des Bremischen
Außenwirtschaftsförderungsprogramms",2013,2014,,"2.811,00"
botanika GmbH,"Veranstaltungen zur Wissenschaftskommunikation im Grünen
Science Center botanika",2010,,"1.009.000,00",
botanika GmbH,"Fonds Wissenschaftliche Kongresse: Natürlich Bremen - Markt
der Grünen Branche",2012,,"30.000,00",
botanika GmbH,"Fonds Wissenschaftliche Kongresse: Markt der Grünen
Branche 2014",2014,,"30.000,00",
botanika GmbH,"Fonds Wissenschaftliche Kongresse: Markt der Grünen
Branche 2013",2013,,"30.000,00",
bras e. V.,"Arbeitspolitische Maßnahmen: Öffentlichkeitsarbeit im
Geschichtenhaus",2013,,"7.371,75",
