A70323,EAKR,Energia tehokkaiden tuotantotilojen rakentaminen kansaivälityvälle ja kasvalle yritykselle.,1,Keski-Suomen elinkeino-  liikenne- ja ympäristökeskus,Toiminnassa,30.7.2014,31.1.2016,KIINTEISTÖ OY REPONEN,403910,392519,403910,392519,,;
A70324,EAKR,Investointihanke 2014-2017,1,Etelä-Savon elinkeino-  liikenne- ja ympäristökeskus,Toiminnassa,24.9.2014,23.9.2017,KARELIA-IKKUNA OY,711550,0,711550,0,,;
A70325,EAKR,Investointihanke 2014-2015,1,Etelä-Savon elinkeino-  liikenne- ja ympäristökeskus,Toiminnassa,1.10.2014,30.11.2016,FIN-MACHINING OY,152615,70918,152615,70918,,;
A70326,EAKR,Design Stand mallisto palveluyrityksille.,1,Etelä-Savon elinkeino-  liikenne- ja ympäristökeskus,Toiminnassa,17.9.2014,31.12.2016,OY CAP-NET FINLAND AB,104190,64800,104190,64800,,;
A70327,EAKR,Erikoislasitehdas,1,Etelä-Savon elinkeino-  liikenne- ja ympäristökeskus,Toiminnassa,19.9.2014,31.12.2015,PLG-HAAPAJÄRVI OY,245720,244123,245720,244123,,;
A70328,EAKR,Tuotannon tehostaminen 2015,1,Pohjois-Pohjanmaan elinkeino-  liikenne- ja ympäristökeskus,Toiminnassa,2.10.2014,31.10.2015,JMC TERÄSPALVELU OY,70000,50943,70000,50943,,;
A70329,EAKR,SIEIDI Global,1,Keski-Suomen elinkeino-  liikenne- ja ympäristökeskus,Toiminnassa,2.10.2014,31.3.2017,SIEIDI OYSIEIDI LTD,22170,3566,22170,3566,,;
A70330,EAKR,Lumilinnan / hotellin vastaanottotilat,1,Pohjois-Pohjanmaan elinkeino-  liikenne- ja ympäristökeskus,Toiminnassa,11.6.2014,31.10.2016,LEVIN ERÄTULET,43750,0,43750,0,,;
A70331,EAKR,Sokkelopuu Oy:n ympäristörakenteiden ja pyöröhirsituotteiden kehityshanke,1,Pohjois-Pohjanmaan elinkeino-  liikenne- ja ympäristökeskus,Toiminnassa,10.6.2014,30.6.2016,SOKKELOPUU OY,51950,15004,51950,15004,,;
A70332,EAKR,Suurempien ja nopeampien walkaround veneiden kehittämishanke,1,Keski-Suomen elinkeino-  liikenne- ja ympäristökeskus,Toiminnassa,7.3.2014,31.12.2016,LINEX-BOAT OY,356550,112847,356550,112847,,;
A70333,EAKR,Tuotannon kehittäminen ja monipuolistaminen kansainvälisille markkinoille,1,Keski-Suomen elinkeino-  liikenne- ja ympäristökeskus,Toiminnassa,23.5.2014,31.12.2016,KOKKOLAN NAHKA OYKOKKOLAN NAHKA OY KARLEBY LÄDER AB,147500,45402,147500,45402,,;
A70334,EAKR,Flatlight Films Oy:n kehittämis- ja kansainvälistymishanke,1,Pohjois-Pohjanmaan elinkeino-  liikenne- ja ympäristökeskus,Toiminnassa,3.1.2014,30.4.2016,FLATLIGHT FILMS OY,66670,65985,66670,65985,,;
A70335,EAKR,Betoni- ja tiilijätteen kierrätyksen tehostaminen Pohjois-Suomen alueella,1,Pohjois-Pohjanmaan elinkeino-  liikenne- ja ympäristökeskus,Toiminnassa,18.3.2014,30.4.2015,MAANSIIRTO MYKKÄLÄ OY,46250,46250,46250,46250,,;
A70336,EAKR,Tapituskoneen ja koneen terien hankinta,1,Pohjois-Pohjanmaan elinkeino-  liikenne- ja ympäristökeskus,Toiminnassa,15.5.2014,31.12.2015,LASITUSLIIKE M & J RAUTIO,10228,7545,10228,7545,,;
