Begünstigte,Bezeichnung des Vorhabens,öffentliche Beteiligung(EU+nationale Kofinanzierung),Status - G genehmigt - A ausbezahlt
Dau GmbH & Co KG,Innovationsdienstleistung für Unternehmen,"16.500,00",A
DCCS GmbH,ESF cross-financing,"11.546,40",A
DCCS GmbH,ESF cross-financing,"12.840,00",A
DCCS GmbH,ESF cross-financing,"5.040,00",A
DCCS GmbH,ESF cross-financing,"5.400,00",A
DCCS GmbH,ESF cross-financing,"5.872,50",A
DCCS GmbH,ESF cross-financing,"11.137,50",A
DCCS GmbH,Innovationsdienstleistung für Unternehmen,"9.600,00",A
delfonte Business Services GmbH,Innovationsdienstleistung für Unternehmen,"46.711,86",A
denkbar&so Projektkreation GmbH,Innovationsdienstleistung für Unternehmen,"12.033,74",A
Der Platzhirsch Werbe GmbH,Innovationsdienstleistung für Unternehmen,"13.216,00",A
Destillerie Hochstrasser GmbH & Co KG,Unternehmensinvestition mit Innovationsbezug,"222.600,00",A
DFP Hammer GmbH,Unternehmensinvestition mit Innovationsbezug,"20.000,00",A
DI Dr. Michael Nöst,Innovationsdienstleistung für Unternehmen,"3.400,00",A
DI Heinrich Richter Steuerberatungs GmbH,ESF cross-financing,"576,00",A
DI Heinrich Richter Steuerberatungs GmbH,Innovationsdienstleistung für Unternehmen,"375,00",A
DI Heinz Michalitsch,Innovationsdienstleistung für Unternehmen,"2.565,00",A
DI Kai Bergmann,Innovationsdienstleistung für Unternehmen,"4.080,00",A
DI Max Staudinger,Innovationsdienstleistung für Unternehmen,"2.240,00",A
DI Naser Amiryousofi,Innovationsdienstleistung für Unternehmen,"5.555,00",A
DI Posch KG,Innovationsdienstleistung für Unternehmen,"60.140,00",A
DI Wolfgang Blazek,Innovationsdienstleistung für Unternehmen,"4.200,00",A
DieTex GmbH & Co KG,Innovationsdienstleistung für Unternehmen,"5.940,00",A
DieTex GmbH & Co KG,Innovationsdienstleistung für Unternehmen,"18.995,00",A
DieTex GmbH & Co KG,Innovationsdienstleistung für Unternehmen,"6.840,00",A
Digitalherz Software GmbH,Innovationsdienstleistung für Unternehmen,"5.000,00",A
Digitalherz Software GmbH,Innovationsdienstleistung für Unternehmen,"5.555,00",A
Digitalherz Software GmbH,Unternehmensinvestition mit Forschungs-/Technologiebezug,"2.044,09",A
Dipl. Ing. Wagner GmbH & Co KG,ESF cross-financing,"3.360,00",A
Dipl. Ing. Wagner GmbH & Co KG,Innovationsdienstleistung für Unternehmen,"6.000,00",A
Dipl. Ing. Walter Daninger,Innovationsdienstleistung für Unternehmen,"6.000,00",A
Dipl.-Ing. (FH) Harald Schenner,Innovationsdienstleistung für Unternehmen,"2.700,00",A
Der Platzhirsch Werbe GmbH,Innovationsdienstleistung für Unternehmen,"13.216,00",A
Destillerie Hochstrasser GmbH & Co KG,Unternehmensinvestition mit Innovationsbezug,"222.600,00",A
DFP Hammer GmbH,Unternehmensinvestition mit Innovationsbezug,"20.000,00",A
DI Dr. Michael Nöst,Innovationsdienstleistung für Unternehmen,"3.400,00",A
DI Heinrich Richter Steuerberatungs GmbH,ESF cross-financing,"576,00",A
DI Heinrich Richter Steuerberatungs GmbH,Innovationsdienstleistung für Unternehmen,"375,00",A
DI Heinz Michalitsch,Innovationsdienstleistung für Unternehmen,"2.565,00",A
DI Kai Bergmann,Innovationsdienstleistung für Unternehmen,"4.080,00",A
DI Max Staudinger,Innovationsdienstleistung für Unternehmen,"2.240,00",A
DI Naser Amiryousofi,Innovationsdienstleistung für Unternehmen,"5.555,00",A
DI Posch KG,Innovationsdienstleistung für Unternehmen,"60.140,00",A
DI Wolfgang Blazek,Innovationsdienstleistung für Unternehmen,"4.200,00",A
DieTex GmbH & Co KG,Innovationsdienstleistung für Unternehmen,"5.940,00",A
DieTex GmbH & Co KG,Innovationsdienstleistung für Unternehmen,"18.995,00",A
DieTex GmbH & Co KG,Innovationsdienstleistung für Unternehmen,"6.840,00",A
Digitalherz Software GmbH,Innovationsdienstleistung für Unternehmen,"5.000,00",A
Digitalherz Software GmbH,Innovationsdienstleistung für Unternehmen,"5.555,00",A
Digitalherz Software GmbH,Unternehmensinvestition mit Forschungs-/Technologiebezug,"2.044,09",A
Dipl. Ing. Wagner GmbH & Co KG,ESF cross-financing,"3.360,00",A
Dipl. Ing. Wagner GmbH & Co KG,Innovationsdienstleistung für Unternehmen,"6.000,00",A
Dipl. Ing. Walter Daninger,Innovationsdienstleistung für Unternehmen,"6.000,00",A
Dipl.-Ing. (FH) Harald Schenner,Innovationsdienstleistung für Unternehmen,"2.700,00",A
Dipl.-Ing. (FH) Peter Reithofer,Innovationsdienstleistung für Unternehmen,"4.842,00",A
Dipl.-Ing. Dr. mont. Jürgen Antrekowitsch,Innovationsdienstleistung für Unternehmen,"14.800,00",A
Dipl.-Ing. Erich Hösel,ESF cross-financing,"2.649,16",A
Dipl.-Ing. Erich Hösel,Innovationsdienstleistung für Unternehmen,"350,00",A
Dipl.-Ing. Günter Markowitz,Innovationsdienstleistung für Unternehmen,"4.799,99",A
Dipl.-Ing. Jürgen Astner,ESF cross-financing,"1.950,00",A
Dipl.-Ing. Jürgen Astner,Innovationsdienstleistung für Unternehmen,"2.018,75",A
Dipl.-Ing. Ute Stotter,ESF cross-financing,"810,00",A
DiTEST Fahrzeugdiagnose GmbH,Betriebliches Forschungs- und Entwicklungsprojekt,"70.814,00",A
DMH Dichtungs- und Maschinenersatzteilhandels GmbH,Innovationsdienstleistung für Unternehmen,"2.500,00",A
DMS Blechbearbeitung GmbH,ESF cross-financing,"5.724,00",A
DMS Blechbearbeitung GmbH,Innovationsdienstleistung für Unternehmen,"10.790,00",A
DMS DATA+MAIL Schinnerl GmbH,Innovationsdienstleistung für Unternehmen,"75.600,00",A
DMS DATA+MAIL Schinnerl GmbH,Unternehmensinvestition mit Innovationsbezug,"94.785,74",A
DMS DATA+MAIL Schinnerl GmbH,Innovationsdienstleistung für Unternehmen,"12.000,00",A
Dominika Kalcher,Innovationsdienstleistung für Unternehmen,"3.960,00",A
Domitner GmbH,ESF cross-financing,"2.370,00",A
Domitner GmbH,Innovationsdienstleistung für Unternehmen,"10.600,00",A
Dr. Gernot Hannes Hutter,Innovationsdienstleistung für Unternehmen,"1.000,00",A
Dr. Klaus Hasenhütl,ESF cross-financing,"486,00",A
Dr. Luise Maria Sommer,Innovationsdienstleistung für Unternehmen,"2.585,00",A
Dr. Michael Wegerer,ESF cross-financing,"3.042,00",A
Dr. Michael Wegerer,ESF cross-financing,"1.992,00",A
Dipl.-Ing. Dr. mont. Jürgen Antrekowitsch,Innovationsdienstleistung für Unternehmen,"14.800,00",A
Dipl.-Ing. Erich Hösel,ESF cross-financing,"2.649,16",A
Dipl.-Ing. Erich Hösel,Innovationsdienstleistung für Unternehmen,"350,00",A
Dipl.-Ing. Günter Markowitz,Innovationsdienstleistung für Unternehmen,"4.799,99",A
Dipl.-Ing. Jürgen Astner,ESF cross-financing,"1.950,00",A
Dipl.-Ing. Jürgen Astner,Innovationsdienstleistung für Unternehmen,"2.018,75",A
Dipl.-Ing. Ute Stotter,ESF cross-financing,"810,00",A
DiTEST Fahrzeugdiagnose GmbH,Betriebliches Forschungs- und Entwicklungsprojekt,"70.814,00",A
DMH Dichtungs- und Maschinenersatzteilhandels GmbH,Innovationsdienstleistung für Unternehmen,"2.500,00",A
DMS Blechbearbeitung GmbH,ESF cross-financing,"5.724,00",A
DMS Blechbearbeitung GmbH,Innovationsdienstleistung für Unternehmen,"10.790,00",A
DMS DATA+MAIL Schinnerl GmbH,Innovationsdienstleistung für Unternehmen,"75.600,00",A
DMS DATA+MAIL Schinnerl GmbH,Unternehmensinvestition mit Innovationsbezug,"94.785,74",A
DMS DATA+MAIL Schinnerl GmbH,Innovationsdienstleistung für Unternehmen,"12.000,00",A
Dominika Kalcher,Innovationsdienstleistung für Unternehmen,"3.960,00",A
Domitner GmbH,ESF cross-financing,"2.370,00",A
Domitner GmbH,Innovationsdienstleistung für Unternehmen,"10.600,00",A
Dr. Gernot Hannes Hutter,Innovationsdienstleistung für Unternehmen,"1.000,00",A
Dr. Klaus Hasenhütl,ESF cross-financing,"486,00",A
Dr. Luise Maria Sommer,Innovationsdienstleistung für Unternehmen,"2.585,00",A
Dr. Michael Wegerer,ESF cross-financing,"3.042,00",A
Dr. Michael Wegerer,ESF cross-financing,"1.992,00",A
Dr. Michael Wegerer,ESF cross-financing,"2.880,00",A
Dr. Michael Wegerer,ESF cross-financing,"749,26",A
Dr. Michael Wegerer,Innovationsdienstleistung für Unternehmen,"550,00",A
Dr. Pfeiler GmbH Ziviltechnikergesellschaft,ESF cross-financing,"9.750,00",A
Dr. Pfeiler GmbH Ziviltechnikergesellschaft,ESF cross-financing,"1.316,24",A
Dr. Pfeiler GmbH Ziviltechnikergesellschaft,Innovationsdienstleistung für Unternehmen,"9.000,00",A
Dr. Schilhan Holding GmbH,Innovationsdienstleistung für Unternehmen,"14.702,56",A
Dr. Vassili Kravtschenko-Berejnoi,Innovationsdienstleistung für Unternehmen,"12.000,00",A
Druckerei Bachernegg GmbH,Unternehmensinvestition mit Innovationsbezug,"345.701,34",A
Druckerei Niegelhell GmbH,Unternehmensinvestition mit Innovationsbezug,"70.060,00",A
druckhaus scharmer GmbH,ESF cross-financing,"6.087,16",A
druckhaus scharmer GmbH,ESF cross-financing,"11.189,64",A
druckhaus scharmer GmbH,ESF cross-financing,"1.379,40",A
druckhaus scharmer GmbH,ESF cross-financing,"1.177,50",A
druckhaus scharmer GmbH,Innovationsdienstleistung für Unternehmen,"975,00",A
Durmont Teppichbodenfabrik GmbH,Innovationsdienstleistung für Unternehmen,"4.550,62",A
"DVF Dienstleistungs,Verwaltungs und ForschungsgmbH",Innovationsdienstleistung für Unternehmen,"26.000,00",A
"DVF Dienstleistungs,Verwaltungs und ForschungsgmbH; STAR AGRO
Analyse und Handels GmbH; TBH AGROCHEMIE GmbH;",Innovationsdienstleistung für Unternehmen,"7.450,00",A
Dynamic Assembly Machines Anlagenbau GmbH,Innovationsdienstleistung für Unternehmen,"52.640,00",A
Dynamic Assembly Machines Anlagenbau GmbH,Innovationsdienstleistung für Unternehmen,"57.150,00",A
E. Schönegger KG,Innovationsdienstleistung für Unternehmen,"1.960,00",A
e1 Business Solutions GmbH,Innovationsdienstleistung für Unternehmen,"7.200,00",A
E1 Wärme und Energie GmbH,ESF cross-financing,"12.000,00",A
Dr. Michael Wegerer,ESF cross-financing,"749,26",A
Dr. Michael Wegerer,Innovationsdienstleistung für Unternehmen,"550,00",A
Dr. Pfeiler GmbH Ziviltechnikergesellschaft,ESF cross-financing,"9.750,00",A
Dr. Pfeiler GmbH Ziviltechnikergesellschaft,ESF cross-financing,"1.316,24",A
Dr. Pfeiler GmbH Ziviltechnikergesellschaft,Innovationsdienstleistung für Unternehmen,"9.000,00",A
Dr. Schilhan Holding GmbH,Innovationsdienstleistung für Unternehmen,"14.702,56",A
Dr. Vassili Kravtschenko-Berejnoi,Innovationsdienstleistung für Unternehmen,"12.000,00",A
Druckerei Bachernegg GmbH,Unternehmensinvestition mit Innovationsbezug,"345.701,34",A
Druckerei Niegelhell GmbH,Unternehmensinvestition mit Innovationsbezug,"70.060,00",A
druckhaus scharmer GmbH,ESF cross-financing,"6.087,16",A
druckhaus scharmer GmbH,ESF cross-financing,"11.189,64",A
druckhaus scharmer GmbH,ESF cross-financing,"1.379,40",A
druckhaus scharmer GmbH,ESF cross-financing,"1.177,50",A
druckhaus scharmer GmbH,Innovationsdienstleistung für Unternehmen,"975,00",A
Durmont Teppichbodenfabrik GmbH,Innovationsdienstleistung für Unternehmen,"4.550,62",A
"DVF Dienstleistungs,Verwaltungs und ForschungsgmbH",Innovationsdienstleistung für Unternehmen,"26.000,00",A
"DVF Dienstleistungs,Verwaltungs und ForschungsgmbH; STAR AGRO
Analyse und Handels GmbH; TBH AGROCHEMIE GmbH;",Innovationsdienstleistung für Unternehmen,"7.450,00",A
Dynamic Assembly Machines Anlagenbau GmbH,Innovationsdienstleistung für Unternehmen,"52.640,00",A
Dynamic Assembly Machines Anlagenbau GmbH,Innovationsdienstleistung für Unternehmen,"57.150,00",A
E. Schönegger KG,Innovationsdienstleistung für Unternehmen,"1.960,00",A
e1 Business Solutions GmbH,Innovationsdienstleistung für Unternehmen,"7.200,00",A
E1 Wärme und Energie GmbH,ESF cross-financing,"12.000,00",A
e2 group umweltengineering GmbH,ESF cross-financing,"22.920,90",A
e2 group umweltengineering GmbH,ESF cross-financing,"19.434,00",A
e2 group umweltengineering GmbH,ESF cross-financing,"3.600,00",A
e2 group umweltengineering GmbH,Innovationsdienstleistung für Unternehmen,"6.600,00",A
e2 group umweltengineering GmbH,Innovationsdienstleistung für Unternehmen,"16.000,00",A
EagleBurgmann Production Center Judenburg GmbH,Innovationsdienstleistung für Unternehmen,"37.400,00",A
EagleBurgmann Production Center Judenburg GmbH,ESF cross-financing,"13.192,28",A
EagleBurgmann Production Center Judenburg GmbH,ESF cross-financing,"14.447,72",A
EagleBurgmann Production Center Judenburg GmbH,ESF cross-financing,"7.642,48",A
EagleBurgmann Production Center Judenburg GmbH,ESF cross-financing,"6.206,18",A
EagleBurgmann Production Center Judenburg GmbH,Innovationsdienstleistung für Unternehmen,"1.120,00",A
EagleBurgmann Production Center Judenburg GmbH,Innovationsdienstleistung für Unternehmen,"577,52",A
EagleBurgmann Production Center Judenburg GmbH,ESF cross-financing,"5.736,37",A
EAM Systems GmbH,Innovationsdienstleistung für Unternehmen,"12.806,26",A
EAM Systems GmbH,Innovationsdienstleistung für Unternehmen,"15.000,00",A
EAM Systems GmbH,Innovationsdienstleistung für Unternehmen,"73.225,00",A
EAM Systems GmbH,Innovationsdienstleistung für Unternehmen,"4.224,00",A
EAM Systems GmbH,ESF cross-financing,"11.217,99",A
EAM Systems GmbH,ESF cross-financing,"40.781,40",A
EAM Systems GmbH,ESF cross-financing,"10.050,00",A
EAM Systems GmbH,ESF cross-financing,"3.705,75",A
EAM Systems GmbH,Innovationsdienstleistung für Unternehmen,"8.820,00",A
e2 group umweltengineering GmbH,ESF cross-financing,"22.920,90",A
e2 group umweltengineering GmbH,ESF cross-financing,"19.434,00",A
e2 group umweltengineering GmbH,ESF cross-financing,"3.600,00",A
e2 group umweltengineering GmbH,Innovationsdienstleistung für Unternehmen,"6.600,00",A
e2 group umweltengineering GmbH,Innovationsdienstleistung für Unternehmen,"16.000,00",A
EagleBurgmann Production Center Judenburg GmbH,Innovationsdienstleistung für Unternehmen,"37.400,00",A
EagleBurgmann Production Center Judenburg GmbH,ESF cross-financing,"13.192,28",A
EagleBurgmann Production Center Judenburg GmbH,ESF cross-financing,"14.447,72",A
EagleBurgmann Production Center Judenburg GmbH,ESF cross-financing,"7.642,48",A
EagleBurgmann Production Center Judenburg GmbH,ESF cross-financing,"6.206,18",A
EagleBurgmann Production Center Judenburg GmbH,Innovationsdienstleistung für Unternehmen,"1.120,00",A
EagleBurgmann Production Center Judenburg GmbH,Innovationsdienstleistung für Unternehmen,"577,52",A
EagleBurgmann Production Center Judenburg GmbH,ESF cross-financing,"5.736,37",A
EAM Systems GmbH,Innovationsdienstleistung für Unternehmen,"12.806,26",A
EAM Systems GmbH,Innovationsdienstleistung für Unternehmen,"15.000,00",A
EAM Systems GmbH,Innovationsdienstleistung für Unternehmen,"73.225,00",A
EAM Systems GmbH,Innovationsdienstleistung für Unternehmen,"4.224,00",A
EAM Systems GmbH,ESF cross-financing,"11.217,99",A
EAM Systems GmbH,ESF cross-financing,"40.781,40",A
EAM Systems GmbH,ESF cross-financing,"10.050,00",A
EAM Systems GmbH,ESF cross-financing,"3.705,75",A
EAM Systems GmbH,Innovationsdienstleistung für Unternehmen,"8.820,00",A
EAM Systems GmbH,Innovationsdienstleistung für Unternehmen,"2.992,50",A
easyMOBIZ mobile IT solutions GmbH,Innovationsdienstleistung für Unternehmen,"2.653,00",A
easyMOBIZ mobile IT solutions GmbH,Innovationsdienstleistung für Unternehmen,"2.438,46",A
easyMOBIZ mobile IT solutions GmbH,Innovationsdienstleistung für Unternehmen,"5.400,00",A
ECO WORLD STYRIA Umwelttechnik Cluster GmbH,Projekt im Bereich Technologietransfer / KMU-Kooperation,"9.600,00",A
ECO WORLD STYRIA Umwelttechnik Cluster GmbH,Projekt im Bereich Technologietransfer / KMU-Kooperation,"62.838,00",A
ECO WORLD STYRIA Umwelttechnik Cluster GmbH,Projekt im Bereich Technologietransfer / KMU-Kooperation,"77.304,00",A
ECO WORLD STYRIA Umwelttechnik Cluster GmbH,Projekt im Bereich Technologietransfer / KMU-Kooperation,"140.721,30",A
ECO WORLD STYRIA Umwelttechnik Cluster GmbH,Projekt im Bereich Technologietransfer / KMU-Kooperation,"123.373,42",A
ECO WORLD STYRIA Umwelttechnik Cluster GmbH,Projekt im Bereich Technologietransfer / KMU-Kooperation,"404.108,26",A
ECO WORLD STYRIA Umwelttechnik Cluster GmbH,Projekt im Bereich Technologietransfer / KMU-Kooperation,"202.814,64",A
ECO WORLD STYRIA Umwelttechnik Cluster GmbH,Projekt im Bereich Technologietransfer / KMU-Kooperation,"190.870,33",A
ECO WORLD STYRIA Umwelttechnik Cluster GmbH,Projekt im Bereich Technologietransfer / KMU-Kooperation,"217.100,22",A
"ECO-TECHNOLOGIES Planungs-, Entwicklungs- & Handelsges.m.b.H.",Unternehmensinvestition mit Forschungs-/Technologiebezug,"318.353,90",A
"ECO-TECHNOLOGIES Planungs-, Entwicklungs- und Handelsgesellschaft
m.b.H.",Innovationsdienstleistung für Unternehmen,"18.587,50",A
ecowatt - erneuerbare energien gmbh,ESF cross-financing,"1.180,56",A
ecowatt - erneuerbare energien gmbh,ESF cross-financing,"2.667,00",A
ecowatt - erneuerbare energien gmbh,Innovationsdienstleistung für Unternehmen,"6.216,00",A
Edelweiss Werbeagentur GmbH,ESF cross-financing,"2.172,00",A
Edelweiss Werbeagentur GmbH,Innovationsdienstleistung für Unternehmen,"3.000,00",A
Edmund Reitbauer,Innovationsdienstleistung für Unternehmen,"7.290,00",A
EDV-Lösungen Pressberger GmbH,ESF cross-financing,"7.260,00",A
EDV-Lösungen Pressberger GmbH,Innovationsdienstleistung für Unternehmen,"3.600,00",A
easyMOBIZ mobile IT solutions GmbH,Innovationsdienstleistung für Unternehmen,"2.653,00",A
easyMOBIZ mobile IT solutions GmbH,Innovationsdienstleistung für Unternehmen,"2.438,46",A
easyMOBIZ mobile IT solutions GmbH,Innovationsdienstleistung für Unternehmen,"5.400,00",A
ECO WORLD STYRIA Umwelttechnik Cluster GmbH,Projekt im Bereich Technologietransfer / KMU-Kooperation,"9.600,00",A
ECO WORLD STYRIA Umwelttechnik Cluster GmbH,Projekt im Bereich Technologietransfer / KMU-Kooperation,"62.838,00",A
ECO WORLD STYRIA Umwelttechnik Cluster GmbH,Projekt im Bereich Technologietransfer / KMU-Kooperation,"77.304,00",A
ECO WORLD STYRIA Umwelttechnik Cluster GmbH,Projekt im Bereich Technologietransfer / KMU-Kooperation,"140.721,30",A
ECO WORLD STYRIA Umwelttechnik Cluster GmbH,Projekt im Bereich Technologietransfer / KMU-Kooperation,"123.373,42",A
ECO WORLD STYRIA Umwelttechnik Cluster GmbH,Projekt im Bereich Technologietransfer / KMU-Kooperation,"404.108,26",A
ECO WORLD STYRIA Umwelttechnik Cluster GmbH,Projekt im Bereich Technologietransfer / KMU-Kooperation,"202.814,64",A
ECO WORLD STYRIA Umwelttechnik Cluster GmbH,Projekt im Bereich Technologietransfer / KMU-Kooperation,"190.870,33",A
ECO WORLD STYRIA Umwelttechnik Cluster GmbH,Projekt im Bereich Technologietransfer / KMU-Kooperation,"217.100,22",A
"ECO-TECHNOLOGIES Planungs-, Entwicklungs- & Handelsges.m.b.H.",Unternehmensinvestition mit Forschungs-/Technologiebezug,"318.353,90",A
"ECO-TECHNOLOGIES Planungs-, Entwicklungs- und Handelsgesellschaft
m.b.H.",Innovationsdienstleistung für Unternehmen,"18.587,50",A
ecowatt - erneuerbare energien gmbh,ESF cross-financing,"1.180,56",A
ecowatt - erneuerbare energien gmbh,ESF cross-financing,"2.667,00",A
ecowatt - erneuerbare energien gmbh,Innovationsdienstleistung für Unternehmen,"6.216,00",A
Edelweiss Werbeagentur GmbH,ESF cross-financing,"2.172,00",A
Edelweiss Werbeagentur GmbH,Innovationsdienstleistung für Unternehmen,"3.000,00",A
Edmund Reitbauer,Innovationsdienstleistung für Unternehmen,"7.290,00",A
EDV-Lösungen Pressberger GmbH,ESF cross-financing,"7.260,00",A
EDV-Lösungen Pressberger GmbH,Innovationsdienstleistung für Unternehmen,"3.600,00",A
EFKON AG,Betriebliches Forschungs- und Entwicklungsprojekt,"269.223,00",G
EGGER HOLZ GmbH,Unternehmensinvestition mit Innovationsbezug,"487.453,16",A
Egger Transport GmbH,ESF cross-financing,"10.710,00",A
Egger Transport GmbH,Innovationsdienstleistung für Unternehmen,"7.200,00",A
Ehrenhausen Hotel Entwicklungs- und Errichtungs GmbH,Unternehmensinvestition mit Innovationsbezug,"3.160.001,15",A
Einrichtungswerkstätte Groß GmbH & Co KG,ESF cross-financing,"9.060,00",A
Einrichtungswerkstätte Groß GmbH & Co KG,ESF cross-financing,"10.945,00",A
Einrichtungswerkstätte Groß GmbH & Co KG,Innovationsdienstleistung für Unternehmen,"1.800,00",A
EKRO Kronsteiner GmbH,Innovationsdienstleistung für Unternehmen,"8.000,00",A
Elcotech GmbH,Innovationsdienstleistung für Unternehmen,"3.947,90",A
"Elcotech GmbH, Peter Schütte",Unternehmensinvestition mit Innovationsbezug,"171.854,06",A
Elektrizitätswerk Gösting V. Franz GmbH,Innovationsdienstleistung für Unternehmen,"4.882,50",A
Elektrizitätswerk Gösting V. Franz GmbH,Innovationsdienstleistung für Unternehmen,"8.820,00",A
Elektro Lang GmbH & Co KG,ESF cross-financing,"600,00",A
Elektro Pfund Gesellschaft m.b.H.,Innovationsdienstleistung für Unternehmen,"10.584,00",A
Elektro Pöltl GmbH,Unternehmensinvestition mit Forschungs-/Technologiebezug,"33.333,00",A
Elektrobau Denzel GmbH,Innovationsdienstleistung für Unternehmen,"30.000,00",A
Elektrounternehmen Baltl GmbH,ESF cross-financing,"616,52",A
Elektrounternehmen Baltl GmbH,Innovationsdienstleistung für Unternehmen,"2.420,00",A
ELIN Motoren GmbH,Unternehmensinvestition mit Forschungs-/Technologiebezug,"2.550.000,00",A
Elsta-Mosdorfer Gesellschaft m.b.H.,ESF cross-financing,"8.190,00",A
Elsta-Mosdorfer Gesellschaft m.b.H.,ESF cross-financing,"10.168,59",A
EFKON AG,Betriebliches Forschungs- und Entwicklungsprojekt,"269.223,00",G
EGGER HOLZ GmbH,Unternehmensinvestition mit Innovationsbezug,"487.453,16",A
Egger Transport GmbH,ESF cross-financing,"10.710,00",A
Egger Transport GmbH,Innovationsdienstleistung für Unternehmen,"7.200,00",A
Ehrenhausen Hotel Entwicklungs- und Errichtungs GmbH,Unternehmensinvestition mit Innovationsbezug,"3.160.001,15",A
Einrichtungswerkstätte Groß GmbH & Co KG,ESF cross-financing,"9.060,00",A
Einrichtungswerkstätte Groß GmbH & Co KG,ESF cross-financing,"10.945,00",A
Einrichtungswerkstätte Groß GmbH & Co KG,Innovationsdienstleistung für Unternehmen,"1.800,00",A
EKRO Kronsteiner GmbH,Innovationsdienstleistung für Unternehmen,"8.000,00",A
Elcotech GmbH,Innovationsdienstleistung für Unternehmen,"3.947,90",A
"Elcotech GmbH, Peter Schütte",Unternehmensinvestition mit Innovationsbezug,"171.854,06",A
Elektrizitätswerk Gösting V. Franz GmbH,Innovationsdienstleistung für Unternehmen,"4.882,50",A
Elektrizitätswerk Gösting V. Franz GmbH,Innovationsdienstleistung für Unternehmen,"8.820,00",A
Elektro Lang GmbH & Co KG,ESF cross-financing,"600,00",A
Elektro Pfund Gesellschaft m.b.H.,Innovationsdienstleistung für Unternehmen,"10.584,00",A
Elektro Pöltl GmbH,Unternehmensinvestition mit Forschungs-/Technologiebezug,"33.333,00",A
Elektrobau Denzel GmbH,Innovationsdienstleistung für Unternehmen,"30.000,00",A
Elektrounternehmen Baltl GmbH,ESF cross-financing,"616,52",A
Elektrounternehmen Baltl GmbH,Innovationsdienstleistung für Unternehmen,"2.420,00",A
ELIN Motoren GmbH,Unternehmensinvestition mit Forschungs-/Technologiebezug,"2.550.000,00",A
Elsta-Mosdorfer Gesellschaft m.b.H.,ESF cross-financing,"8.190,00",A
Elsta-Mosdorfer Gesellschaft m.b.H.,ESF cross-financing,"10.168,59",A
Elsta-Mosdorfer Gesellschaft m.b.H.,Innovationsdienstleistung für Unternehmen,"21.800,00",A
Elsta-Mosdorfer Gesellschaft m.b.H.,Innovationsdienstleistung für Unternehmen,"866,29",A
EN GARDE Interdisciplinary  GmbH,Innovationsdienstleistung für Unternehmen,"6.394,50",A
ENBASYS GmbH,Innovationsdienstleistung für Unternehmen,"56.348,02",A
ENBASYS GmbH,ESF cross-financing,"25.569,06",A
Energie Steiermark Technik GmbH,Investition zur Verbesserung der Energieeffizienz,"575.029,00",A
Energie-Wärme-Klima Sparer Gesellschaft m.b.H.,ESF cross-financing,"12.352,20",A
Energie-Wärme-Klima Sparer Gesellschaft m.b.H.,Innovationsdienstleistung für Unternehmen,"3.290,00",A
ENERTEC Naftz & Partner GmbH & Co KG,ESF cross-financing,"3.696,00",A
ENERTEC Naftz & Partner GmbH & Co KG,Innovationsdienstleistung für Unternehmen,"3.360,00",A
Envesta Energie- und Dienstleistungs GmbH,Investition - Erneuerbare Energien,"53.239,00",A
EPCOS OHG,Betriebliches Forschungs- und Entwicklungsprojekt,"697.244,00",A
EPCOS OHG,Betriebliches Forschungs- und Entwicklungsprojekt,"865.326,00",A
EPCOS OHG,Betriebliches Forschungs- und Entwicklungsprojekt,"821.093,00",A
EPCOS OHG,Betriebliches Forschungs- und Entwicklungsprojekt,"574.184,00",A
EPCOS OHG,Betriebliches Forschungs- und Entwicklungsprojekt,"549.605,00",A
EPCOS OHG,Betriebliches Forschungs- und Entwicklungsprojekt,"763.179,00",A
EPCOS OHG,Betriebliches Forschungs- und Entwicklungsprojekt,"767.500,00",A
EPCOS OHG,ESF cross-financing,"58.180,50",A
EPCOS OHG,ESF cross-financing,"59.918,96",A
EPCOS OHG,ESF cross-financing,"38.469,70",A
EPCOS OHG,ESF cross-financing,"52.223,70",A
EPCOS OHG,ESF cross-financing,"19.643,69",A
Elsta-Mosdorfer Gesellschaft m.b.H.,Innovationsdienstleistung für Unternehmen,"866,29",A
EN GARDE Interdisciplinary  GmbH,Innovationsdienstleistung für Unternehmen,"6.394,50",A
ENBASYS GmbH,Innovationsdienstleistung für Unternehmen,"56.348,02",A
ENBASYS GmbH,ESF cross-financing,"25.569,06",A
Energie Steiermark Technik GmbH,Investition zur Verbesserung der Energieeffizienz,"575.029,00",A
Energie-Wärme-Klima Sparer Gesellschaft m.b.H.,ESF cross-financing,"12.352,20",A
Energie-Wärme-Klima Sparer Gesellschaft m.b.H.,Innovationsdienstleistung für Unternehmen,"3.290,00",A
ENERTEC Naftz & Partner GmbH & Co KG,ESF cross-financing,"3.696,00",A
ENERTEC Naftz & Partner GmbH & Co KG,Innovationsdienstleistung für Unternehmen,"3.360,00",A
Envesta Energie- und Dienstleistungs GmbH,Investition - Erneuerbare Energien,"53.239,00",A
EPCOS OHG,Betriebliches Forschungs- und Entwicklungsprojekt,"697.244,00",A
EPCOS OHG,Betriebliches Forschungs- und Entwicklungsprojekt,"865.326,00",A
EPCOS OHG,Betriebliches Forschungs- und Entwicklungsprojekt,"821.093,00",A
EPCOS OHG,Betriebliches Forschungs- und Entwicklungsprojekt,"574.184,00",A
EPCOS OHG,Betriebliches Forschungs- und Entwicklungsprojekt,"549.605,00",A
