Naziv projekta,Fond,Šifra operativnog programa,Operativni program,NUTSII,Županija,Korisnik,Opis projekta,Datum ugovaranja,Zaključni datum provedbe aktivnosti,Bespovratna sredstva,Ukupno prihvatljivi troškovi
Kreativna akademija,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,OSJEČKO-BARANJSKA,Centar za poduzetništvo (75020571350),"Projekt Poduzetnička akademija ima za cilj promociju poduzetništva i cjeloživotnog učenja(CU) kao ključnih čimbenika u razvoju mladih koji mogu povećati zapošljivost i samozapošljavanje mladih. Projektom će se provesti 4 kampanje, prva putem interneta koja će ciljati širu populaciju mladih, druga s ciljem promocije poduzetničkih vještina, treća s ciljem razvoja poduzetničkih vještina i četvrta s ciljem promocije CU. Kombinacijom ovih elemenata sa Smotrom ideja i predstavljanjem primjera dobre prakse stvoriti će se trajna vrijednost kod korisnika i na najbolji način promovirati poduzetništvo.",20.07.2015,19.07.2016,"235.253,80 kn","247.635,84 kn"
Unapređenje uloge sindikata u socijalnom dijalogu u željezničkom sektoru Hrvatske,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,OSJEČKO-BARANJSKA,Sindikat željezničara Hrvatske (36581232698),"Cilj projekta “Unapređenje uloge sindikata u socijalnom dijalogu u željezničkom sektoru Hrvatske” je osnaživanje kapaciteta i uloge sindikata u vođenju socijalnog dijaloga u željezničkom sektoru Hrvatske. Prijavitelj projekta Sindikat željezničara Hrvatske, s partnerima Sindikatom hrvatskih željezničara i Sindikatom infrastrukture Hrvatskih željeznica, teži razvijanju mehanizama za jačanje suradnje socijalnih partnera i uloge Sektorskog socijalnog vijeća, zatim unaprjeđenju socijalnog dijaloga i povećanom broja pozitivno riješenih socijalno-ekonomskih pitanja u željezničkom sektoru.  ",27.07.2015,26.07.2016,"832.204,00 kn","832.204,00 kn"
Jačanje socijalnog dijaloga u sektoru znanosti i visokog obrazovanja,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,OSJEČKO-BARANJSKA,Nezavisni sindikat znanosti i visokog obrazovanja (44542870641),"OPĆI CILJ PROJEKTA je jačanje administrativnih i stručnih kapaciteta Sindikata znanosti za poboljšanje kvalitete socijalnog dijaloga u sektoru znanosti i visokog obrazovanja. Kroz implementaciju općeg cilja, Sindikat znanosti će razviti institucionalne kapacitete za analize, istraživanja i edukacije potrebne za kolektivno pregovaranje i socijalni dijalog. Rezultati i ishodi ovog projekta služit će kao platforma za jačanje socijalnog dijaloga u sektoru koji predstavljamo i kao primjeri dobre prakse sindikatima koji su udruženi u Maticu hrvatskih sindikata, a čiji je Sindikat znanosti član.",31.08.2015,30.08.2016,"792.994,49 kn","792.994,49 kn"
Znanjem do boljeg socijalnog dijaloga,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,OSJEČKO-BARANJSKA,Sindikat metalaca Hrvatske – Industrijski sindikat  (97064188151),"Projekt „Znanjem do boljeg socijalnog dijaloga“ odgovor je na potrebe za povećavanjem stručnosti kapaciteta sindikalnih struktura metalne industrije te jačanje njihove uloge za učinkovitije sudjelovanje u socijalnom dijalogu. Ciljne skupine čine sindikalni povjerenici na razini podružnica, radnička vijeća i sektorska socijalna vijeća metalne industrije. Osposobljavanjem kapaciteta ciljnih skupina doprinijeti će njihovu aktivnijem i učinkovitijem djelovanju u socijalnom dijalogu.",27.07.2015,26.07.2016,"923.934,49 kn","923.934,49 kn"
Korak dalje,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,OSJEČKO-BARANJSKA,Carinski sindikat Hrvatske (61518273309),"Jačanjem organizacijskog i stručnog kapaciteta kroz analizu postojećih problema, razvoj plana vraćanja reprezentativnosti CSH koji okuplja zaposlenike CU za kolektivno pregovaranje, razvoj i publikaciju „Kodeksa“ sa poželjnim obrascima ponašanja, unapređenje znanja i kompetencija te razvojem međusindikalne suradnje i razmjenom najboljih praksi  napravit ćemo ""Korak dalje"" u unaprjeđenju socijalnog dijaloga. U projektu će sudjelovati 100 sindikalnih povjerenika iz 7 srodnih sindikata, poslodavci i predstavnici sindikata iz Crne Gore, BiH i Srbije. ",27.07.2015,26.07.2016,"700.416,32 kn","700.416,32 kn"
Dijalog za sigurnost - sigurnost za dijalog,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,OSJEČKO-BARANJSKA,Sindikat policije Hrvatske (26439251742),"Opći je cilj projekta Dijalog za sigurnost - sigurnost za dijalog unaprjeđenje znanja i kompetencija sindikata policije o mehanizmima socijalnog dijaloga te stvaranje pretpostavki za ravnopravno sudjelovanje u procesu donošenja odluka o položaju policajaca u kontekstu gospodarske krize te novih sigurnosnih izazova. 
Provedbom istraživanja o položaju policajaca u RH u kontekstu gospodarske krize te novih sigurnosnih izazova te 12 radionica o socijalnom dijalogu za 100 predstavnika SPH, osnažit će se ljudski i tehnički kapaciteti za sudjelovanje u socijalnom dijalogu.
",27.07.2015,26.06.2016,"1.207.572,11 kn","1.207.572,11 kn"
EDUCA - Novi sustav sindikalnog osposobljavanja,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,OSJEČKO-BARANJSKA,Savez samostalnih sindikata Hrvatske (00602600385),"Unatoč velikom broju edukacijskih aktivnosti koje provode SSSH i sindikati koje okuplja, trenutno ne postoji zajednički sustav, što negativno utječe na kvalitetu i učinkovitost.
Cilj projekta je uspostava novog, jedinstvenog sustava sindikalnog osposobljavanja, koji će odgovoriti potrebama 22 udružena sindikata s više od 100.000 članova, te napraviti kvalitativni iskorak pomicanjem težišta s prenošenja informacija na razvoj vještina.
Ciljnu skupinu čini oko 2.500 sindikalnih povjerenika, članova radničkih vijeća, povjerenika zaštite na radu i drugih sindikalnih i radničkih predstavnika.
",27.07.2015,26.07.2016,"1.797.282,11 kn","1.797.282,11 kn"
Energetska efikasnost u graditeljskim zanimanjima - vještine i kompetencije za budućnost i radna mjesta ,Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,POŽEŠKO-SLAVONSKA,Obrtnička škola Požega (38534579623),"Projekt predviđa niz aktivnosti kojima će se značajno unaprijediti postojeći nastavni programi za graditeljska zanimanja, u smjeru osuvremenjivanja energetski učinkovitim tehnologijama i digitalnim sadržajima u nastavi. Kroz sustavan pristup osposobljavanju strukovnih nastavnika i jačanju suradnje s lokalnom zajednicom i socijalnim partnerima, promovirat će se energetska učinkovitost i njene prednosti, čime se otvaraju nove mogućnosti za lakše zapošljavanje učenika strukovnih škola. Sudionici će se izravno upoznati s inovacijskim dostignućima u sektoru održive gradnje i uštede energije. ",20.04.2015,20.04.2016,"1.322.730,00 kn","1.322.730,00 kn"
Širenje usluge osobne asistencije za osobe s invaliditetom (oboljele od MS-a),Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,POŽEŠKO-SLAVONSKA,Društvo multiple skleroze Brodsko-posavske županije (11765692926),"Usluga osobne asistencije predstavlja pružanje potpore osobama s najtežom vrstom i stupnjem invaliditeta u provođenju aktivnosti svakodnevnog življenja i samozbrinjavanja. Širenjem usluge osobne asistencije veći broj korisnika (osoba s najtežim stupnjem i vrstom invaliditeta) dobiva mogućnost unapređenja kvalitete življenja, socijalnog uključivanja u zajednicu te sprječavanja institucionalizacije. Pružatelji usluge su osobe u nepovoljnom položaju na tržištu rada. Usluga se pruža 80 sati mjesečno prema unaprijed utvrđenom planu korisnika, a o pruženoj usluzi se vodi evidencija. ",29.10.2015,28.10.2016,"619.323,92 kn","619.323,92 kn"
Informatizacija i  stručne edukacije u centrima za socijalnu skrb (ISECSS),Europski socijani fond,HR,Razvoj ljudskih potencijala,Continental Croatia,POŽEŠKO-SLAVONSKA,Ministarstvo socijalne politike i mladih (15351583880),"Projekt će doprinijeti daljnjem razvoju efikasnih i uključivih socijalnih usluga radi unaprjeđenja mogućnosti zapošljavanja i aktivnijeg sudjelovanja u životu zajednice skupina u nepovoljnom položaju. Navedeno će se postići kroz: nabavu informatičke opreme za potrebe Centara te organizaciju i provedbu 4 edukacije za radnike Centara. Tijekom posljednjeg desetljeća sustav socijalne skrbi prolazi intenzivne reforme u sklopu kojih se ulagalo u informatizaciju sustava te unaprjeđenje stručnih znanja radnika. Predloženi projekt će biti nadogradnja na aktivnosti koje se u sustavu već provode.
",18.06.2015,17.06.2016,"5.172.338,50 kn","5.172.338,50 kn"
