Naziv projekta,Fond,Šifra operativnog programa,Operativni program,NUTSII,Županija,Korisnik,Opis projekta,Datum ugovaranja,Zaključni datum provedbe aktivnosti,Bespovratna sredstva,Ukupno prihvatljivi troškovi
Informatizacija i  stručne edukacije u centrima za socijalnu skrb (ISECSS),Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,Ministarstvo socijalne politike i mladih (15351583880),"Projekt će doprinijeti daljnjem razvoju efikasnih i uključivih socijalnih usluga radi unaprjeđenja mogućnosti zapošljavanja i aktivnijeg sudjelovanja u životu zajednice skupina u nepovoljnom položaju. Navedeno će se postići kroz: nabavu informatičke opreme za potrebe Centara te organizaciju i provedbu 4 edukacije za radnike Centara. Tijekom posljednjeg desetljeća sustav socijalne skrbi prolazi intenzivne reforme u sklopu kojih se ulagalo u informatizaciju sustava te unaprjeđenje stručnih znanja radnika. Predloženi projekt će biti nadogradnja na aktivnosti koje se u sustavu već provode.
",18.06.2015,17.06.2016,"5.172.338,50 kn","5.172.338,50 kn"
Izrada standarda zanimanja/kvalifikacija uz unaprjeđenje zdravstvenih studijskih programa,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,"Sveučilište u Splitu, Sveučilišni odjel zdravstvenih studija (29845096215)","Projekt se bavi problemom usklađivanja zdravstvenog visokog obrazovanja u RH sa zahtjevima HKO-a, tržišta rada te EU i RH strategija, zakona i direktiva. Cilj projekta je izrada cjelovitih standarda kvalifikacija i zanimanja zdravstvenih studija za 6. i 7. razinu obrazovanja i priprema za njihov upis u registar HKO-a, razvoj novih i unapređenje postojećih studijskih programa te izgradnja kapaciteta nastavnog osoblja. Ciljne skupine projekta su visokoškolske obrazovne zdravstvene ustanove i njihovo nastavno osoblje i studenti, poslodavci, strukovne komore i sindikati u zdravstvu u RH.",29.06.2015,29.09.2016,"2.589.410,00 kn","2.725.696,70 kn"
Usluga osobne asistencije za osobe s intelektualnim teškoćama Slavonski Brod,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,Udruga za pomoć osobama s mentalnom retardacijom Slavonski Brod (66861281361),"Usluga osobne asistencije predstavlja pružanje potpore osobama s najtežim  stupnjem intelektualnih teškoća u provođenju aktivnosti svakodnevnog življenja i samozbrinjavanja. Širenjem mreže usluge osobne asistencije osobe s teškim intelektualnim teškoćama, dobivaju mogućnost unapređenja kvalitete življenja, socijalnog uključivanja u zajednicu te sprječavanja institucionalizacije. Pružatelji usluge su osobe u nepovoljnom položaju na tržištu rada iz dvije županije, BPŽ i DUN. Usluga se pruža 80 sati mjesečno prema unaprijed utvrđenom planu korisnika, a o pruženoj usluzi se vodi evidencija. ",09.11.2015,08.11.2016,"642.763,99 kn","642.763,99 kn"
Širenje usluge osobne asistencije za osobe s invaliditetom u Dubrovačko-neretvanskoj županiji,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,"Udruga osoba s invaliditetom ""Prijatelj"" Metković (09317614196)","Cilj uvođenja usluge  osobne asistencije bio je poboljšati kvalitetu života osoba s najtežom vrstom i stupnjem invaliditeta dobivaju mogućnost  kvalitetnijeg  života u provođenju aktivnosti svakodnevnog življenja, socijalnog uključivanja u zajednicu te sprječavanja institucionalizacije. Pružatelji usluge su osobe u nepovoljnom položaju na tržištu rada dugotrajno evidentirane u HZZZ. Usluga se pruža 80 sati mjesečno prema unaprijed utvrđenom planu korisnika, o pruženoj usluzi se vodi evidencija.",29.10.2015,28.10.2016,"641.253,04 kn","641.253,04 kn"
Plan provedbe za sanaciju opasnih mjesta na državnim cestama Republike Hrvatske,Europski fond za regionalni razvoj,TR,Promet,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,Hrvatske ceste d.o.o. (55545787885),"Projekt predviđa izradu Plana provedbe za sanaciju opasnih mjesta na državnim cestama Republike Hrvatske.

Cilj ovog projekta, odnosno navedeni Plan definirat će opasna mjesta, te će se dati prijedloga mjera za njihovu sanaciju, odnosno smanjenje broja nezgoda. Izrađeni materijal će zatim biti podloga za razvoj daljnje projektne dokumentacije sanacije opasnih mjesta na državnim cestama.
",16.10.2015,30.06.2016,"559.300,00 kn","658.000,00 kn"
Razvoj funkcionalne regije Južna Dalmacija,Europski fond za regionalni razvoj,TR,Promet,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,Dubrovačko-neretvanska županija (32082115313),"Prometna povezanost Funkcionalne regije Južna Dalmacija je problem koji je potrebno sustavno rješavati, a dodatni izazov je teritorijalna odvojenost od RH i EU kao i ekstremne prostorne specifičnosti regije. Nedostatak kvalitetnih podataka za analizu prometne interakcije i analizu sektora u svrhu dugoročnog planiranja razvoja funkcionalne regije je temeljni problem kojeg projekt nastoji riješiti.
Cilj projekta je utvrditi pravo stanje prometne interakcije funkcionalne regije te uzimajući u obzir strateške dokumente i viziju, jasno definirati dugoročne planove razvoja funkcionalne regije.",02.04.2015,31.08.2016,"5.493.094,58 kn","6.462.464,21 kn"
Izrada studije uvođenja Europskog sustava upravljanja željezničkim prometom (ERTMS),Europski fond za regionalni razvoj,TR,Promet,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,HŽ Infrastruktura d.o.o. (39901919995),"Studijom će se odrediti željezničke pruge, odnosno pojedine dionice na kojima je potrebno i opravdano izgraditi Europski sustav upravljanja željezničkim prometom (ERTMS) te odrediti postupnost (faznost) izrade tehničke dokumentacije i izvođenja radova kao i financijska sredstva potrebna za izradu tehničke dokumentacije, nabavu opreme i izvođenje radova. ",08.06.2015,30.09.2016,"4.250.000,00 kn","5.000.000,00 kn"
Studija opravdanosti otklanjanja uskih grla na cestovnom pravcu Ploče – Pelješki most - Dubrovnik,Europski fond za regionalni razvoj,TR,Promet,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,Hrvatske ceste (55545787885),"Kompletiranje cestovne mreže Južne Dalmacije i valorizacija prometnog pravca sa ciljem boljeg ispunjavanja stvarnih i budućih prometnih potreba uz promicanje okolišne i socijalne politike doprinijet će boljoj dostupnosti funkcionalnih centara, naselja i otoka, pozitivnom učinku zapošljavanja, uštedi vremena, intenziviranju unutarnjih i vanjskih potražnja za novim uslugama i proizvodima kroz cijelo područje utjecaja (Ploče, Dubrovnik, poluotok Pelješac, Korčula, Komarna) te regionalnoj koheziji, primjenom EU politika i Strategija.",04.02.2016,31.12.2016,"807.330,00 kn","949.800,00 kn"
Implementacija programskog rješenja za upravljanje građevinskom proizvodnjom.,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,Ipsum d.o.o. (26472901970),"Kako bi u budućnosti poslovala stabilno i s dobiti, prioritet tvrtke je poboljšati upravljanje troškovima i poslovne procese učiniti efikasnim. Kako bi se efikasno upravljalo velikim brojem dislociranih gradilišta odlučeno je da se nabavi poslovni softver za upravljanje građenjem, čijim korištenjem se očekuju slijedeći rezultati:
- efikasnije praćenje utroška materijala na gradilištima
- praćenje efikasnosti radnika i voditelja gradilišta
- točne i ažurne informacije o:
  - gotovosti svih objekata
  - stanju svih skladišta 
  - potraživanjima
  - obvezama",02.02.2015,01.02.2016,"248.500,00 kn","355.000,00 kn"
Ulaganje u izgradnju i opremanje ekskluzivnog Aparthotela Vinaria*** i razvoj vinskog turizma na poluotoku Pelješcu ,Europski fond za regionalni razvoj,RC,Regionalna konkurentnost,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,Saints Hills d.o.o. (71000585584),"Projektom bi se izgradio i ekskluzivno opremio prvi specijalizirani aparthotel u vinogradskoj regiji Dingač na poluotoku Pelješcu, koji će biti udaljen 6,5 km od luke Trpanj, u sklopu kojeg bi se pokrenula prva vinska škola u Županiji. Projekt će rezultirati pozitivnim ekonomskim učincima kako na Tvrtku, tako i na cijelu lokalnu zajednicu. Aparthotel će biti otvoren tijekom cijele godine (1.224 noćenja). Tvrtka procjenjuje povećanje prihoda za 82% u 2018. u odnosu na 2013. Projektom bi se otvorila 3 nova radna mjesta. 
",01.08.2014,31.07.2016,"4.580.654,98 kn","9.161.309,96 kn"
Poboljšanje vodoopskrbe na području grada Ploča,Kohezijski fond,EN,Okoliš,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,"IZVOR Ploče, javna ustanova za komunalne djelatnosti (09475552617)","Svrha projekta je rekonstrukcija dionice vodoopsrbnog sustava Ploče ""Odvojak s Jadranske magistrale za Komin - Banja"", ukupne dužine 2252,37 m. Rekonstrukcijom će se znatno poboljšati kvaliteta komunalne usluge, opskrbe vodom i poboljšati kvaliteta življenja lokalnog stanovništva. Na taj način projekt će doprinijeti  ostvarenju cilja u okviru Prioritetne osi 2: Zaštita vodnih resursa kroz poboljšanje sustava vodoopskrbe.",07.03.2016,31.05.2016,"4.529.432,84 kn","5.328.744,51 kn"
"IZGRADNJA PODSUSTAVA ODVODNJE BLATO-GLAVNI KANALIZACIJSKI KOLEKTORI I CRPNE STANICE, TE ZAMJENA VODOVODNIH CIJEVI USPOREDNO SA IZGRADNJOM KANALIZACIJE",Kohezijski fond,EN,Okoliš,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,Vodovod d.o.o. (25167296962),"Projekt je pokrenula Općina Blato,a sukladno Zakonu o vodama,preuzeo Vodovod d.o.o., Blato. Od ukupno četiri faze izgrađena je prva faza. Drugom fazom se predviđa izgraditi gravitacijski kanal K3-1,K1-9 i K1-10,tlačni cjevovod T-Z1 i crpna stanica ""Zona 1"".Trećom fazom se predviđa izgraditi gravitacijski kanali od K1-1do K1-6, dok se četvrtom fazom planira izgraditi K4-1,K2-2 K2-3,K2-4,K2-5,K2-6, K2-7,K2-8,K2-9,K2-10,K2-11,K2-12, tlačni cjevovod T-Z2 i T-B,te crpne stanice ""Zona 2"" i "" Blato"".Kroz ove tri faze, koje su predmet prijave izvršit će se i zamjena vodovodnih cijevi.",15.03.2016,30.11.2016,"19.974.629,79 kn","28.633.767,38 kn"
Agroturistički inovativni menadžment ,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,Poljoprivredna škola  (24154741411),"Projektom se planira modernizacija kurikuluma praktične nastave kroz uvođenje modula Menadžment u agroturizmu u obrazovanje agroturističkih tehničara prema preporukama HKO. Svrha projekta je unaprijediti razvoj poduzetničkih kompetencija u obrazovnom zanimanju Agroturistički tehničar temeljenih na ishodima učenja u svrhu poboljšanja njihovog samozapošljavanja u ruralnim područjima Hrvatske. Ciljane skupine su: 12 nastavnika, 3 ravnatelja i 30  učenika u 3 strukovne škole PŠZ, ETŠD, PTŠD.",23.04.2015,23.04.2016,"1.398.231,61 kn","1.398.231,61 kn"
Izgradnja kapaciteta za programsko financiranje visokih učilišta,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,"Ministarstvo znanosti, obrazovanja i sporta (49508397045)","Svrha projekta jest omogućavanje uvođenja višegodišnjeg programskog financiranja javnih sveučilišta i JZI u RH koji se većim dijelom financiraju iz državnog proračuna. Uvođenje višegodišnjeg programskog financiranja predstavlja strukturnu reformu za čije je provođenje potrebno osigurati ekspertna znanja, ojačati stručne kapacitete dionika, otkloniti postojeće pravne prepreke te izraditi potrebne pravne i stručne podloge. Projektom se planiraju osigurati navedene pretpostavke kako bi se ostvario cilj unapređenja sustava kvalitete, upravljanja i financiranja visokog obrazovanja. ",08.06.2015,19.05.2016,"1.950.750,00 kn","2.295.000,00 kn"
Interdisciplinarni model terminološkoga upravljanja – sociokognitivni temelj obradbe strukovnih jezika (IMOTEP),Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,Institut za hrvatski jezik i jezikoslovlje (12268324202),"Cilj  je projekta IMOTEP poslijedoktorandu omogućiti provedbu samostalnoga istraživanja te povezivanje s relevantnim istraživačkim centrima u EU-u, što će potaknuti daljnji razvoj profesionalnih kompetencija i konkurentnosti. Istraživanje obuhvaća empirijski eksperiment kognitivnih posebnosti pojmovnih struktura strukovnih jezika te razvoj i implementaciju inovativnoga sociokognitivnog modela koji će omogućiti kvalitetniju obradbu strukovnih jezika u bazi Struna. Time će se osuvremeniti nacionalna terminološka djelatnost te povećati njezina vidljivost u europskome istraživačkom prostoru.",29.06.2015,29.09.2016,"286.505,32 kn","286.505,32 kn"
"Pr(a)vi put u biznis!- Projekt promicanja poduzetništva ugroženih skupina
",Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,Institut za razvoj poduzetništva i europske projekte (68105934277),"Cilj projekta ""Pr(a)vi put u biznis!"" je jačati poduzetničku kulturu u RH i stvoriti pretpostavke za (samo)zapošljavanje ugroženih skupina jačanjem njihovih kompetencija i motivacije te sinergijom dionika u lokalnim zajednicama. Kroz 6 kampanja (Business caffe, portale EU-PROJEKTI.INFO I Women in Adria, B2B mentorstvo, konferenciju i društvene mreže) jačat će se poduzetnička kultura i potencijali više od 50.000 direktnih korisnika. U projektu sudjeluju 4 partnera: Instutut za razvoj poduzetništva i EU projekte, tvrtke Zaokret i Matić savjetovanje te i EU PROJEKTI Obrt za poslovno savjetovanje",21.07.2015,20.07.2016,"235.549,37 kn","248.236,50 kn"
SPEAK UP - Socijalnim dijalogom do unapređenja radnih uvjeta u sektoru cestovnog prometa,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,Nezavisni cestarski sindikat (84712436363),"Cilj projekta SPEAK UP je unapređenje kvalitete i održivosti socijalnog dijaloga u sektoru cestovnog prometa RH jačanjem kapaciteta cestarskih sindikata. Aktivnosti projekta obuhvaćaju osposobljavanje članova Nezavisnog cestarskog sindikata (NCS), aktivnosti umrežavanja nacionalnih i međunarodnih cestarskih sindikata te promociju sindikalnog djelovanja. Navedenim aktivnostima unaprijedit će se socijalni dijalog u sektoru cestovnog prometa s naglaskom na dijalog NCSa i njegovih socijalnih partnera na svim razinama te dati temelji za udruživanje nacionalnih i regionalnih cestarskih sindikata.
",29.07.2015,28.07.2016,"853.264,00 kn","853.264,00 kn"
„Solidarnost i kvaliteta u pružanju socijalnih usluga“,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,Udruga MI (15816581765),"Projekt djeluje na razvoj kapaciteta OCD-a u pružanju socijalnih usluga na području cijele RH u smislu unaprjeđenja organiziranog uključivanja volontera kroz (a)edukaciju predstavnika OCD-a za koordinatore volontera, (b)razvoj temeljnog sustava kvalitete za volonterske programe, (c)mentorsku podršku i savjetovanje OCD-a prema sustavu te (d)promociju razvoja volonterskih programa i volontiranja u pružanju socijalnih usluga. U projektu naglašava se suradnja sa građanima te promocija suradnje s OCD-ima i ustanovama socijalne skrbi kao pružateljima socijalnih usluga.",29.12.2014,28.12.2015,"749.989,67 kn","749.989,67 kn"
E-DUTEKA- Jačanje kapaciteta OCD-a Dubrovačko-neretvanske županije,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,Udruga Dubrovačka naranča (38209260446),"Problem sa kojim se suočavaju OCD-i na području DNŽ je nedostatak kapaciteta kako bi se dugoročno radilo na pitanjima zapošljavanja,dobrog upravljanja, socijalnog uključivanja i građanskom aktivizmu. U ruralnom području pitanja s kojim se susreću OCD-i je kako pomiriti djelotvornost upravljanja, odgovornost i učinkovitosti. Svrha projekta 'E-DUTEKA'-a je doprinijeti  jačanju  kapaciteta i razvijanju  sposobnosti OCD-a za rad na području zapošljavanja, socijalnog uključivanja, građanskog aktivizma i dobrog upravljanja na području DNŽ. ",29.12.2014,28.12.2015,"200.000,00 kn","200.000,00 kn"
"ZNANJEM DO USPJEHA, MIKRO AKCIJE ZA MAKRO UTJECAJ U LOKALNOJ ZAJEDNICI",Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,"Udruga za promicanje informatike i sporta ""Enter“ (67329561690)","Svrha projekta: Jačanje organizacija civilnog društva izvan urbanih središta u DNŽ. Ciljane skupine: 1. prijavitelj, partner te 10 lokalnih malih udruga (ruralni krajevi i otoci); 2. postojeći i novi članove/zaposlenici/volonteri prijavitelja, partnera i 10 lokalnih udruga. Problemi koje će projekt riješiti: Male lokalne udruge nemaju kapacitete za rad (znanja, financija, ljudi), ovisne su o entuzijazmu volontera, nedostatak profesionalizma te stoga i nizak stupanj utjecaja udruga na rješavanje lokalnih problema. Stoga će im projekt pružiti znanja o IT-u, EU fondovima i važnosti volontiranja",29.12.2014,28.09.2015,"198.206,98 kn","198.206,98 kn"
Usvajanje načela HKO u visokoobrazovnim institucijama u polju ekonomija - ECONQUAL,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,"Sveučilište u Rijeci, Ekonomski fakultet (26093119930)","Cilj projekta je unaprjeđenje kvalitete visokog obrazovanja ekonomista kroz razvoj standarda kvalifikacija u polju ekonomije te unapređenje studijskih programa uz razvoj i korištenje modernih metoda učenja i poučavanja. Ostvarenje specifičnih ciljeva projekta temeljit će se na preporukama najbolje svjetske i europske prakse i načelima HKO-a, a rezultirat će pripremljenom dokumentacijom za upis standarda kvalifikacija u Registar HKO. Projektni cilj će se ostvariti kroz suradnju, integraciju i koordinaciju svih relevantnih dionika u oblikovanju visokoobrazovnih programa u polju ekonomije. ",18.06.2015,18.09.2016,"3.794.856,45 kn","3.994.842,20 kn"
IZRADA STANDARDA ZANIMANJA I STANDARDA KVALIFIKACIJE STRUČNJAKA ZA OBRAZOVANJE ODRASLIH,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,Filozofski fakultet Sveučilišta u Splitu (98004523293),"Projektom se osnažuje nacionalni sustav obrazovanja kroz razvoj standarda zanimanja i kvalifikacije te visokoškolskog kurikuluma za izobrazbu nastavnika u obrazovanju odraslih. Cjeloživotno obrazovanje je tematika o kojoj nedostaju podaci na razini RH. Stoga će publicirani dokumenti biti distribuirani među knjižnicama te ustanovama visokoškolskog i cjeloživotnog obrazovanja, a bit će održani i znanstveno-stručni kolokvij, studijski putovanja, interaktivne radionice stručnog usavršavanja te internetska savjetovanja za dionike cjeloživotnog obrazovanja zbog uspješnosti izvedbe projekta.

",30.06.2015,31.08.2016,"896.900,00 kn","944.546,00 kn"
Unapređenje studijskog programa Dentalna medicina u skladu s HKO,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,"Sveučilište u Zagrebu, STOMATOLOŠKI  FAKULTET (70221464726)","Projektom se unapređuje i usklađuje studijski program dentalne medicine s programima u EU, razvojem programa stručne prakse koji će biti iskazan ishodima učenja u skladu s HKO. Tijekom projekta 80 studenata će provesti praksu u 40 suradnih stomatoloških ordinacija, koje će ju nastaviti redovno provoditi nakon završetka projekta. Programom stručne prakse koji će se ovim projektom razviti studentima će se omogućiti stjecanje potrebnog kliničkog iskustva prije završetka studija, te će odmah nakon završetka studija biti u mogućnosti započeti sa samostalnim radom, kako predviđaju EU strategije.",18.06.2015,18.09.2016,"2.436.799,96 kn","2.565.052,59 kn"
"RAZVOJ STANDARDA ZANIMANJA, STANDARDA KVALIFIKACIJA  I DIPLOMSKIH STUDIJSKIH PROGRAMA U KINEZIOLOGIJI",Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,KINEZIOLOŠKI FAKULTET SPLIT (57848936921),"Opći cilj projekta je unaprjeđenje diplomskih studijskih programa na Kineziološkom fakultetu u Splitu u suradnji s partnerima Hrvatskim kineziološkim savezom, Udrugom diplomiranih studenata Kineziološkog fakulteta u Splitu, Hrvatskim paraolimpijskim odborom. Specifični ciljevi projekta su razvoj 4 standarda zanimanja, razvoj 5 standarda kvalifikacija u podsektoru Sport na 7. razini HKO-a prema potrebama tržišta rada, te razvoj 2 kurikuluma diplomskih studijskih programa na Kineziološkom fakultetu u Splitu u skladu s predloženim standardima kvalifikacija.",18.06.2015,18.09.2016,"563.980,51 kn","593.663,70 kn"
"Ravnatelj:  profesija i  kvalifikacija,  a ne funkcija",Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,Sveučilište u Zadru (10839679016),"Cilj projekta „Ravnatelj: profesija i kvalifikacija, a ne funkcija“ je razvoj specijalističkog studijskog programa za obrazovanje ravnatelja u odgojno-obrazovnom sustavu RH (ravnatelja predškolskih ustanova, osnovnih i srednjih te učeničkih domova), s ishodima učenja koji po složenosti i obujmu kvalifikacije odgovaraju VII. razini Hrvatskog kvalifikacijskog okvira, a u skladu sa standardima djelomične kvalifikacije. Program je ujedno osnova za vrednovanje kvalitete rada ravnatelja te je cilj izraditi model i instrumente za praćenje i vrednovanje rada ravnatelja u odgojno-obrazovnom sustavu.",18.06.2015,18.09.2016,"1.945.631,22 kn","2.048.032,87 kn"
Obrazovni ishodi i radne karijere mladih koji su odrasli u siromaštvu,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,Pravni fakultet u Zagrebu (38583303160),"Projekt se bavi razvojem obrazovnih i radnih karijera mladih odraslih u siromaštvu. Ciljevi projekta su ojačati konkurentnost ciljnih skupina mladih istraživača i poslijedoktoranda u ovom području istraživanja, vještine za vođenje projekata i razviti pan-europsku suradnju s mladim istraživačima te javnim, civilnim i privatnim sektorom. Istraživanje ima karakter eksplorativne sekvencijalne studije s kombinacijom kvantitativnog i kvalitativnog pristupa. Nastoje se produbiti spoznaje o činiteljima značajnim za uspješnost prelaska mladih iz obrazovanja na tržište rada te za izlazak iz siromaštva.",30.06.2015,30.09.2016,"941.999,00 kn","957.802,00 kn"
Pojavnost mikotoksina u hrvatskim žitaricama (CroMycoScreen),Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,Prehrambeno-tehnološki fakultet (96371000697),Zbog premalog ulaganja u znanost i razvoj mladih znanstvenika potrebna su dodatna sredstva kako bi se mogli isti dovoljno usavršiti te postati konkurentniji na tržištu rada. Podaci o pojavnosti nereguliranih mikotoksina za Republiku Hrvatsku ne postoje unatoč interesu Europske agencije za sigurnost hrane (EFSA). CroMycoScreen projekt ispitat će pojavnost reguliranih i nereguliranih mikotoksina u uzorcima žitarica s područja Republike Hrvatske te time usavršiti dvoje mladih znanstvenika u području analitike mikotoksina. Rezultati projekta su temelj za daljnja istraživanja i procjenu rizika.,29.06.2015,29.09.2016,"776.078,34 kn","776.078,34 kn"
Spin Asistent +,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,Hrvatske udruge paraplegičara i tetraplegičara (24105496418),"Provedbom socijalne usluge OA 14 korisnika, osoba s tetraplegijom u 8 županija dobiva mogućnost uključenog i kvalitetnog življenja. Zapošljavanje 14 OA pružit će osobama s tetraplegijom nužnu potporu u svakodnevnom  životu i samozbrinjavanju. Istodobno, osobni asistenti  će biti izabrani „iz redova“ nezaposlenih u nepovoljnom položaju na tržištu rada, usluga  će se prema planu KOA, obavljati  80 sati mjesečno. Kvaliteta pružene usluge će se „nadzirati“ terenskim posjetima, peer savjetovanjima iz iskustva KOA i OA, a okupljat ćemo i nezaposlene u 9 županija i senzibilizirati ih za posao OA.",29.10.2015,28.10.2016,"744.665,55 kn","744.665,55 kn"
Zajedno možemo sve!,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,Dubrovačko-neretvanska županija (32082115313),"Dubrovačko-neretvanska županija projektom ""Zajedno možemo sve!"" želi u školskoj godini 2014./2015. osigurati 46 pomoćnika u nastavi za 46 učenika s teškoćama iz redovitih škola kojima je osnivač. Cilj uvođenja podrške učenicima s teškoćama jest prije svega pružiti učenicima pomoć pri savladavanju nastavnog programa u skladu s njihovim mogućnostima te pomoć pri ostvarivanju njihovih punih potencijala. Nakon postupka selekcije, nezaposlenim osobama će se osigurati edukacija i osposobljavanje od strane vanjskih stručnjaka koji će ih pripremiti za rad s učenicima s teškoćama.",14.11.2014,31.08.2015,"1.926.995,08 kn","1.926.995,08 kn"
Grad Korčula prijatelj poduzetnika,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,Grad Korčula (92770362982),"Planiranje je ključno u svemu pa tako i u promociji. Grad Korčula želi postati prijatelj poduzetnika i kontinuirano poticati otočno gospodarstvo kroz održiv model koji će zajednički razviti javni, privatni i civilni sektor. Ključan partner je PCP - primjer najbolje prakse poticanja poduzetništva. Bitni elementi projekta su sajmovi lokalnih poduzetnika, predstavljanje poduzetnika u srednjoj školi i završnim razredima osnovne škole  te uvođenje usluge ""Petak za poduzetnike"" u agenciji KORA.  ",20.07.2015,19.07.2016,"296.961,00 kn","296.961,00 kn"
Daljnji razvoj standarda zanimanja,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,Hrvatski zavod za zapošljavanje (91547293790),"Projektom će se uspostaviti kapaciteti, metodologija i praksa provedbe ASZ-a te će se, na temelju iskaza najmanje 2.000 poslodavaca identificirati opće kompetencije i aktivnosti specifične za 50 zanimanja. Anketa će se provesti online, uz inicijalni telefonski kontakt. Aktivnosti obuhvaćaju usavršavanje radnika, izradu kratkih izvještaja o rezultatima za svih 50 zanimanja, diseminaciju rezultata kroz najmanje 100 konzultativnih radionica, razvoj metodologije i izradu završnog izvješća. ",09.03.2015,30.06.2016,"760.956,35 kn","760.956,35 kn"
Dijalog za sigurnost - sigurnost za dijalog,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,Sindikat policije Hrvatske (26439251742),"Opći je cilj projekta Dijalog za sigurnost - sigurnost za dijalog unaprjeđenje znanja i kompetencija sindikata policije o mehanizmima socijalnog dijaloga te stvaranje pretpostavki za ravnopravno sudjelovanje u procesu donošenja odluka o položaju policajaca u kontekstu gospodarske krize te novih sigurnosnih izazova. 
Provedbom istraživanja o položaju policajaca u RH u kontekstu gospodarske krize te novih sigurnosnih izazova te 12 radionica o socijalnom dijalogu za 100 predstavnika SPH, osnažit će se ljudski i tehnički kapaciteti za sudjelovanje u socijalnom dijalogu.
",27.07.2015,26.06.2016,"1.207.572,11 kn","1.207.572,11 kn"
EDUCA - Novi sustav sindikalnog osposobljavanja,Europski socijani fond,HR,Razvoj ljudskih potencijala,Adriatic Croatia,DUBROVAČKO-NERETVANSKA,Savez samostalnih sindikata Hrvatske (00602600385),"Unatoč velikom broju edukacijskih aktivnosti koje provode SSSH i sindikati koje okuplja, trenutno ne postoji zajednički sustav, što negativno utječe na kvalitetu i učinkovitost.
Cilj projekta je uspostava novog, jedinstvenog sustava sindikalnog osposobljavanja, koji će odgovoriti potrebama 22 udružena sindikata s više od 100.000 članova, te napraviti kvalitativni iskorak pomicanjem težišta s prenošenja informacija na razvoj vještina.
Ciljnu skupinu čini oko 2.500 sindikalnih povjerenika, članova radničkih vijeća, povjerenika zaštite na radu i drugih sindikalnih i radničkih predstavnika.
",27.07.2015,26.07.2016,"1.797.282,11 kn","1.797.282,11 kn"
