Name des Begünstigten,Bezeichnung des Vorhabens / Zusammenfassung des Vorhabens,Beginns des Vorhabens,Gesamtbetrag der förderfähigen Ausgaben des Vorhabens  ,Unions-Kofinan-zierungssatz  pro Prioritäts-achse ,Ort des Vorhabens,Land,Bezeichnung der Interventionskategorie
Ministerium für Wirtschaft und Energie (MWE) - Referat 23 Verwaltungsbehörde EFRE,Digitale Wirtschaft,20.07.2016,"226.658,33 € ",80%,"Potsdam, Stadt",Deutschland,122 Bewertung und Studien 
Ministerium für Wirtschaft und Energie (MWE) - Referat 26 ,Finanzierung von Fortbildungskosten,03.03.2016,"1.200.000,00 € ",80%,"Potsdam, Stadt",Deutschland,"121 Vorbereitung, Durchführung, Begleitung und Kontrolle"
Ministerium für Wirtschaft und Energie (MWE) - Referat 26 ,"2. Teil der Umsetzung des Maßnahmeplanes auf Grundlage des Kommunikationsplanes 2016 das Finanzinstrument ""Mikrokredit Brandenburg""",08.06.2016,"40.000,00 € ",80%,"Potsdam, Stadt",Deutschland,123 Information und Kommunikation
Ministerium für Wirtschaft und Energie (MWE) - Referat 26 ,"1. Teil der Umsetzung Maßnahmeplan Kommunikation ""Mikrokredit Brandenburg""",22.02.2016,"23.100,00 € ",80%,"Potsdam, Stadt",Deutschland,123 Information und Kommunikation
Ministerium für Wirtschaft und Energie (MWE) - Referat 26 ,Kommunikationsplan Mikrokredit Brandenburg,17.12.2015,"22.100,00 € ",80%,"Potsdam, Stadt",Deutschland,123 Information und Kommunikation
Ministerium für Wirtschaft und Energie (MWE) - Referat 42 ,Finanzierung von Personalkosten ,22.04.2014,"23.800,00 € ",80%,"Potsdam, Stadt",Deutschland,"121 Vorbereitung, Durchführung, Begleitung und Kontrolle"
Ministerium für Wirtschaft und Energie (MWE) - Referat 42 ,Finanzierung von Fortbildungskosten,21.03.2016,"72,35 € ",80%,"Potsdam, Stadt",Deutschland,"121 Vorbereitung, Durchführung, Begleitung und Kontrolle"
"Minsterium für Wissenschaft, Forschung und Kultur",Weiterbildung von Landesbeschäftigten (BLB) - Kontrolle und Prüfungen von EFRE Projekten,01.04.2016,"56.650,00 € ",80%,"Potsdam, Stadt",Deutschland,"121 Vorbereitung, Durchführung, Begleitung und Kontrolle"
"Minsterium für Wissenschaft, Forschung und Kultur",Finanzierung von Fortbildungskosten,19.06.2016,"133.560,00 € ",80%,"Potsdam, Stadt",Deutschland,"121 Vorbereitung, Durchführung, Begleitung und Kontrolle"
MMM Medizinische Modellbau Manufaktur GmbH,"Messeteilnahme: ""MEDICA 2015"" in Düsseldorf ",09.04.2015,"3.053,46 € ",80%,Wildau,Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
MMM Medizinische Modellbau Manufaktur GmbH,"Messeteilnahme ""MEDICA 2016"" in Düsseldorf ",26.04.2016,"6.079,00 € ",80%,Wildau,Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
MOM GmbH Mechanisch-Optische-Metallverarbeitung,"Messeteilnahme: ""opti 2016"" in München ",16.03.2015,"30.000,00 € ",80%,"Rathenow, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
MOM GmbH Mechanisch-Optische-Metallverarbeitung,"Messeteilnahme: ""SILMO 2015"" in Paris ",09.03.2015,"20.502,94 € ",80%,"Rathenow, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Motzener Kunststoff- und Gummiverarbeitung GmbH,"Messeteilnahme: ""Fakuma 2015"" in Friedrichshafen ",23.06.2015,"5.796,00 € ",80%,"Mittenwalde, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Motzener Kunststoff- und Gummiverarbeitung GmbH,"Messeteilnahme: ""HANNOVER MESSE 2016"" in Hannover ",30.11.2015,"5.380,00 € ",80%,"Mittenwalde, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Motzener Kunststoff- und Gummiverarbeitung GmbH,"Messeteilnahme: ""InnoTrans 2016"" in Berlin ",19.02.2016,"6.047,20 € ",80%,"Mittenwalde, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Motzener Kunststoff- und Gummiverarbeitung GmbH,"Messeteilnahme: ""K 2016"" in Düsseldorf ",03.05.2016,"5.531,20 € ",80%,"Mittenwalde, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
MP GmbH Montage- und Prüfsysteme ,Innovative Überarbeitung der MP Fügespindel und Bau eines Prototypen,07.08.2015,"134.600,00 € ",80%,Fredersdorf-Vogelsdorf,Deutschland,"067 Entwicklung von KMU, Förderung von Unternehmertum und Gründerzentren"
My Molo GmbH ,Errichtung einer Betriebsstätte zur Herstellung und Vermietung mobiler Unterkünfte (Lodges) f. Festivals u. Großveranstaltungen,26.02.2016,"131.564,00 € ",80%,"Oranienburg, Stadt",Deutschland,"067 Entwicklung von KMU, Förderung von Unternehmertum und Gründerzentren"
Niendorf Flügel- und Klavierfabrik GmbH ,"Messeteilnahme: ""Music China 2016"" in Shanghai ",25.05.2016,"30.000,00 € ",80%,"Luckenwalde, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Nuloc GmbH ,Entwicklung eines Smarten Bike Protection Systems ,24.11.2015,"133.000,00 € ",80%,"Hennigsdorf, Stadt",Deutschland,"067 Entwicklung von KMU, Förderung von Unternehmertum und Gründerzentren"
OakLabs GmbH ,"Messeteilnahme: ""analytica 2016"" in München ",18.01.2016,"5.316,00 € ",80%,"Hennigsdorf, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Ollroge Kathrin,"Messeteilnahme: ""Leipziger Buchmesse 2016"" in Leipzig ",03.02.2016,"3.220,66 € ",80%,"Potsdam, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Oncoprevent GmbH ,Entwicklung eines neuartigen Therapeutikums zur Prävention von triple-negativen Brusttumoren,01.06.2015,"551.666,07 € ",80%,"Hennigsdorf, Stadt",Deutschland,064 Forschungs- und Innovationsprozesse in KMU
Oncoprevent GmbH ,Entwicklung eines neuartigen Therapeutikums zur Prävention von triple-negativen Brusttumoren,01.06.2015,"589.000,00 € ",80%,"Hennigsdorf, Stadt",Deutschland,064 Forschungs- und Innovationsprozesse in KMU
optic alliance brandenburg berlin e.V. ,"Gemeinschaftsstand ""Opti 2016"" in München ",16.11.2015,"49.312,25 € ",80%,"Rathenow, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
oSol:e GmbH ,"Produktentwicklung von Premium-Design-Solarleuchten ""oSol:e"" unter Nutzung innovativer Solartechnologie",25.09.2015,"120.628,00 € ",80%,"Potsdam, Stadt",Deutschland,"067 Entwicklung von KMU, Förderung von Unternehmertum und Gründerzentren"
oSol:e GmbH ,"Messeteilnahme: ""imm cologne 2016"" in Köln ",04.09.2015,"3.125,11 € ",80%,"Potsdam, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Osters & Voß GmbH Umwelttechnik,"Messeteilnahme: ""AGRITECHNICA 2015"" in Hannover ",31.07.2015,"30.000,00 € ",80%,Plattenburg,Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Oviva AG ,Errichtung einer Betriebsstätte für Ernährungsberatungsdienstleistungen in Deutschland,05.01.2016,"133.333,34 € ",80%,"Potsdam, Stadt",Deutschland,"067 Entwicklung von KMU, Förderung von Unternehmertum und Gründerzentren"
Paul Rüster & Co. GmbH ,"Messeteilnahme: ""HANNOVER MESSE 2016"" in Hannover ",14.09.2015,"15.603,68 € ",80%,Stahnsdorf,Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Paul Rüster & Co. GmbH ,Zertifizierung: Erlangung einer russischen GOST TR 012/2011 ,16.12.2015,"7.980,00 € ",80%,Stahnsdorf,Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Paul Rüster & Co. GmbH ,"Messeteilnahme: ""InnoTrans 2016"" in Berlin ",05.12.2014,"12.760,00 € ",80%,Stahnsdorf,Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Paulick Peter,"Messeteilnahme: ""GaLaBau 2016"" in Nürnberg ",27.01.2016,"8.277,72 € ",80%,"Vetschau/Spreewald, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Pentracor GmbH ,"ProFIT Brandenburg: Neue Generation CRP-Adsorber Arbeitspakete 8, 9 und 12",01.05.2016,"751.857,30 € ",80%,"Hennigsdorf, Stadt",Deutschland,064 Forschungs- und Innovationsprozesse in KMU
Pentracor GmbH ,"ProFIT Brandenburg: Neue Generation CRP-Adsorber, Arbeitspakete 1, 2, 3, 5, 6, 7, 10 und 11",01.05.2016,"883.633,04 € ",80%,"Hennigsdorf, Stadt",Deutschland,064 Forschungs- und Innovationsprozesse in KMU
Pentracor GmbH ,Neue Generation CRP-Adsorber ,01.05.2016,"384.378,71 € ",80%,"Hennigsdorf, Stadt",Deutschland,064 Forschungs- und Innovationsprozesse in KMU
PICASO-Systems GmbH ,"Messeteilnahme: ""TRAKO 2015"" in Danzig ",22.10.2014,"1.721,18 € ",80%,Brieselang,Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
PICASO-Systems GmbH ,"Messeteilnahme: ""IT-TRANS 2016"" in Karlsruhe ",07.11.2014,"7.261,69 € ",80%,Brieselang,Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
PICASO-Systems GmbH ,"Messeteilnahme: ""InnoTrans 2016"" in Berlin ",10.11.2014,"17.260,66 € ",80%,Brieselang,Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Pinax GmbH & Co. KG,ProFIT Brandenburg: Entwicklung diagnostisches Radiogenerikon mit Expertensystem,01.04.2016,"996.565,03 € ",80%,"Bad Liebenwerda, Stadt",Deutschland,064 Forschungs- und Innovationsprozesse in KMU
Pinax GmbH & Co. KG,ProFIT Brandenburg: Entwicklung diagnostisches Radiogenerikon mit Expertensystem,01.04.2016,"307.805,70 € ",80%,"Bad Liebenwerda, Stadt",Deutschland,064 Forschungs- und Innovationsprozesse in KMU
Power Tools GmbH ,"Messeteilnahme: ""IFFA 2016"" in Frankfurt/Main ",11.03.2015,"15.300,00 € ",80%,Spreenhagen,Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Prignitz Mikrosystemtechnik GmbH ,"Messeteilnahme: ""HANNOVER MESSE 2016"" in Hannover ",02.09.2015,"5.025,00 € ",80%,"Wittenberge, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
PRODAT Informatik GmbH ,"Messeteilnahme: ""InnoTrans 2016"" in Berlin ",18.01.2016,"5.667,20 € ",80%,"Senftenberg, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Prognos Energy GmbH ,"ProFIT Brandenburg: Erstellung von Wetterdaten/PV Prognosen Arbeitspakete 1, 3, 5, 7, 9, 11",01.06.2016,"256.540,11 € ",80%,"Potsdam, Stadt",Deutschland,064 Forschungs- und Innovationsprozesse in KMU
Prognos Energy GmbH ,"ProFIT Brandenburg: Erstellung von Wetterdaten/PV Prognosen Arbeitspakete 2, 4, 6, 8, 10, 12",01.06.2016,"258.479,04 € ",80%,"Potsdam, Stadt",Deutschland,064 Forschungs- und Innovationsprozesse in KMU
Prognos Energy GmbH ,ProFIT Brandenburg: Erstellung von Wetterdaten/PV Prognosen Arbeitspaket 13,01.06.2016,"46.092,21 € ",80%,"Potsdam, Stadt",Deutschland,064 Forschungs- und Innovationsprozesse in KMU
Rausch Werner,"Messeteilnahme: ""Fensterbau Frontale 2016"" in Nürnberg ",15.09.2015,"3.048,40 € ",80%,"Rheinsberg, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
RFC-Fitness GmbH ,"Entwicklung eines Webportals ""Rücken-Fit-Challenge"" ",06.01.2016,"133.333,34 € ",80%,"Potsdam, Stadt",Deutschland,"067 Entwicklung von KMU, Förderung von Unternehmertum und Gründerzentren"
RFC-Fitness GmbH ,"Messeteilnahme: ""FIBO 2016"" in Köln ",17.03.2016,"6.584,96 € ",80%,"Potsdam, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Rohrberg & Steyer GbR ,"Entwicklung und Aufbau des Webportals ""ScottyScout"" sowie Entwicklung einer Reiseführer-App",18.08.2015,"122.188,80 € ",80%,Petershagen/Eggersdorf,Deutschland,"067 Entwicklung von KMU, Förderung von Unternehmertum und Gründerzentren"
Rolan Instruments GmbH ,"Messeteilnahme: ""MEDICA 2016"" in Düsseldorf ",17.02.2016,"8.350,00 € ",80%,"Storkow (Mark), Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Sanleaf Europe GmbH ,"Messeteilnahme: ""BIOFACH 2016"" in Nürnberg ",05.11.2015,"5.375,40 € ",80%,Schenkendöbern,Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Schaper Frank,"Messeteilnahme: ""hanseboot 2015"" in Hamburg ",18.12.2014,"21.594,44 € ",80%,"Werder (Havel), Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Schaper Frank,"Messeteilnahme: ""boot 2016"" in Düsseldorf ",14.09.2015,"28.500,00 € ",80%,"Werder (Havel), Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
SCHORISCH MAGIS GmbH ,"Einstellung eines Markterschließungsassistenten für Österreich, Dänemark, Schweiz",01.10.2015,"40.000,00 € ",80%,Karstädt,Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
silvertex aqua GmbH ,Einstellung eines Markterschließungsassistenten ,30.06.2016,"36.000,00 € ",80%,Neuenhagen bei Berlin,Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
SIM4u Aviation Service GmbH ,"Messeteilnahme: ""ILA 2016"" in Berlin ",12.04.2016,"3.012,40 € ",80%,Rangsdorf,Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
skai mobile solutions GmbH ,"Messeteilnahme: ""CeBIT 2016"" in Hannover ",10.11.2015,"8.096,00 € ",80%,"Potsdam, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
SMACC GmbH ,Entwicklung einer cloudbasierten Softwarelösung zur Realisierung neuartiger automatisierter Prozesse (AP 1 und 3),01.08.2016,"630.500,70 € ",80%,"Potsdam, Stadt",Deutschland,064 Forschungs- und Innovationsprozesse in KMU
SMACC GmbH ,"Entwicklung einer cloudbasierten Softwarelösung zur Realisierung neuartiger automatisierter Prozesse (AP 2,4 und 5)",01.08.2016,"1.092.024,02 € ",80%,"Potsdam, Stadt",Deutschland,064 Forschungs- und Innovationsprozesse in KMU
SMACC GmbH ,Erstellung und Programmierung einer Cloud-Software zur digitalen Erbringung von Buchhaltungsdienstleistungen,14.08.2015,"133.333,34 € ",80%,"Potsdam, Stadt",Deutschland,"067 Entwicklung von KMU, Förderung von Unternehmertum und Gründerzentren"
smarttra.de GmbH ,"ProFIT:FINMAREG - Entwicklung einer cloud-basierten IT-Plattform (AP: 3,6,7,9,10)",01.07.2015,"512.899,37 € ",80%,"Hennigsdorf, Stadt",Deutschland,064 Forschungs- und Innovationsprozesse in KMU
smarttra.de GmbH ,"ProFIT: FINMAREG - Entwickl. einer cloud-basierten IT-Plattform (AP: 2,4,5,11,13)",01.07.2015,"503.132,06 € ",80%,"Hennigsdorf, Stadt",Deutschland,064 Forschungs- und Innovationsprozesse in KMU
smarttra.de GmbH ,"PROFIT: FINMAREG - Entwickl. einer cloud-basierten IT-Plattform (AP: 1,8,12)",01.07.2015,"607.689,52 € ",80%,"Hennigsdorf, Stadt",Deutschland,064 Forschungs- und Innovationsprozesse in KMU
smarttra.de GmbH ,"Messeteilnahme: ""Invest 2016"" in Stuttgart ",25.11.2015,"5.596,40 € ",80%,"Hennigsdorf, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Snaptrust GmbH ,"Errichtung der Betriebsstätte sowie Entwicklung eines seriellen, monochromen,fälschungssicheren,track-&tracefähigen Druckmerkmals",21.08.2015,"133.333,34 € ",80%,"Potsdam, Stadt",Deutschland,"067 Entwicklung von KMU, Förderung von Unternehmertum und Gründerzentren"
Soleni Classic GmbH ,"Messeteilnahme: ""BEAUTY DÜSSELDORF 2016"" in Düsseldorf ",09.07.2015,"30.000,00 € ",80%,Schenkendöbern,Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Solmove GmbH ,Errichtung einer Betriebsstätte zur Herstellung und Entwicklung von horizontalen Photovoltaikmodulen,23.03.2016,"133.000,00 € ",80%,"Potsdam, Stadt",Deutschland,"067 Entwicklung von KMU, Förderung von Unternehmertum und Gründerzentren"
Spiel-Bau GmbH ,Einstellung eines Markterschließungsassistenten ,25.04.2016,"25.200,00 € ",80%,"Brandenburg an der Havel, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Spiel-Bau GmbH ,"Messeteilnahme: ""ODBS-Outdoor design & build show 2016"" in Dubai ",23.02.2016,"18.472,36 € ",80%,"Brandenburg an der Havel, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Spotniq GmbH ,SPOTNiQ health-Software zur Digitalisierung von Kernprozessen v. Krankenhäusern und Pflegeeinrichtungen,26.04.2016,"133.333,34 € ",80%,"Potsdam, Stadt",Deutschland,"067 Entwicklung von KMU, Förderung von Unternehmertum und Gründerzentren"
Stadtritter GmbH ,Investitionen in den Aufbau und die Ausstattung der Notruf- und Serviceleitstelle der Stadtritter GmbH,29.02.2016,"52.100,00 € ",80%,Kleinmachnow,Deutschland,"067 Entwicklung von KMU, Förderung von Unternehmertum und Gründerzentren"
Start IT Solutions GmbH ,Entwicklung eines digit. Assessment-Tools zur Automatisierung d. Begleitungsprozesses ausländ. Fachkräfte in den dt. Arbeitsmarkt,06.04.2016,"133.333,34 € ",80%,"Potsdam, Stadt",Deutschland,"067 Entwicklung von KMU, Förderung von Unternehmertum und Gründerzentren"
Start IT Solutions GmbH ,Einstellung eines Markterschließungsassistenten ,01.07.2016,"25.200,00 € ",80%,"Potsdam, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Stiftung Europa-Universität Viadrina Frankfurt (Oder),Wissens- und Technologietransfer an der Europa-Universität Viadrina 2015-2016,01.01.2015,"130.046,85 € ",80%,"Frankfurt (Oder), Stadt",Deutschland,"062 Technologietransfer und Zusammenarbeit zwischen Hochschulen und Unternehmen, vor allem zugunsten von KMU"
StreetLan Gesellschaft für innovative Kommunikationstechnologie mbH,"Highspeed-Internet & WLAN per Funk und in Kombination mit Straßenbeleuchtung und Telematik, Breitband-Internet überall",24.08.2015,"100.693,00 € ",80%,"Brandenburg an der Havel, Stadt",Deutschland,"067 Entwicklung von KMU, Förderung von Unternehmertum und Gründerzentren"
structrepair GmbH ,Faserverbundwerkstoffe uund Prozesstechnologien zur ressourcenschonenden Reparatur v. Leichtbaustrukturen u.Bauwerken (AP 1-5),01.07.2016,"248.068,88 € ",80%,"Ruhland, Stadt",Deutschland,064 Forschungs- und Innovationsprozesse in KMU
structrepair GmbH ,Faserverbundwerkstoffe und Prozesstechnologien zur ressource schonenden Reparatur und Ert. von Bauteilen u. Gebäuden (AP 6),01.07.2016,"239.233,60 € ",80%,"Ruhland, Stadt",Deutschland,064 Forschungs- und Innovationsprozesse in KMU
structrepair GmbH ,"Faserverbundwerkstoffe und Prozesstechnologien zur ressource schonenden Reparatur und Ert. von Bauteilen u. Gebäuden (AP 7,8)",01.07.2016,"221.860,63 € ",80%,"Ruhland, Stadt",Deutschland,064 Forschungs- und Innovationsprozesse in KMU
Supersport Fitness GmbH ,"Messeteilnahme: ""FIBO 2016"" in Köln ",08.09.2015,"30.000,00 € ",80%,"Velten, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Sven Krumnow & Katrin Bauer GbR reine Leinölfarben,"Messeteilnahme: ""EUHEF 2015"" in Wien ",01.09.2015,"3.133,48 € ",80%,"Potsdam, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
SWK Innovations GmbH & Co. KG ,"Messeteilnahme: ""Industrial Supply/HANNOVER MESSE 2016"" in Hannover",03.03.2016,"4.244,00 € ",80%,"Lübbenau/Spreewald, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Tandem Wind Energy GmbH ,Errichtung der Betriebsstätte und Entwicklung eines Demonstrators einer innovativen Vertikal-Kleinwindkraftanlage,11.01.2016,"132.850,00 € ",80%,"Hennigsdorf, Stadt",Deutschland,"067 Entwicklung von KMU, Förderung von Unternehmertum und Gründerzentren"
Technische Hochschule Brandenburg ,IRNDT - System ,04.02.2016,"39.204,55 € ",80%,"Brandenburg an der Havel, Stadt",Deutschland,058 Forschungs- und Innovationsinfrastruktur (öffentlich)
Technische Hochschule Brandenburg ,Labor für Cybersicherheit und Schutz kritischer Infrastrukturen ,01.02.2016,"93.318,00 € ",80%,"Brandenburg an der Havel, Stadt",Deutschland,058 Forschungs- und Innovationsinfrastruktur (öffentlich)
Technische Hochschule Brandenburg ,Ausstattung zur Bearbeitung von ultra-hochfesten Werkstoffen ,01.02.2016,"77.410,00 € ",80%,"Brandenburg an der Havel, Stadt",Deutschland,058 Forschungs- und Innovationsinfrastruktur (öffentlich)
Technische Hochschule Brandenburg ,Hochleistungsdiodenlaser als Multiverfahrenswerkzeug ,01.10.2016,"99.995,70 € ",80%,"Brandenburg an der Havel, Stadt",Deutschland,058 Forschungs- und Innovationsinfrastruktur (öffentlich)
Technische Hochschule Brandenburg ,digital.smartRegion Akronym d.smartRegion ,01.02.2016,"622.249,31 € ",80%,"Brandenburg an der Havel, Stadt",Deutschland,060 Forschungs- und Innovationstätigkeiten in öffentlichen Forschungseinrichtungen und Kompetenzzentren einschließlich Vernetzung
Technische Hochschule Brandenburg ,Konzeptionierung eines Prototypen zur kontinuierlichen Wärmeerzeugung für industrielle Prozesse auf Basis von Solarthermie,01.01.2016,"327.353,86 € ",80%,"Brandenburg an der Havel, Stadt",Deutschland,060 Forschungs- und Innovationstätigkeiten in öffentlichen Forschungseinrichtungen und Kompetenzzentren einschließlich Vernetzung
Technische Hochschule Brandenburg ,Wissens- und Technologietransfer an der Fachhochschule Brandenburg 2015 - 2016,01.01.2015,"265.277,97 € ",80%,"Brandenburg an der Havel, Stadt",Deutschland,"062 Technologietransfer und Zusammenarbeit zwischen Hochschulen und Unternehmen, vor allem zugunsten von KMU"
Technische Hochschule Wildau (FH) ,Ellipsometererweiterung zur Materialcharakterisierung und Laser messtechnik zur Bauelementvermessung im nahinfraroten Spektralb.,04.02.2016,"98.710,50 € ",80%,Wildau,Deutschland,058 Forschungs- und Innovationsinfrastruktur (öffentlich)
Technische Hochschule Wildau (FH) ,Ausbau von Industrie-4.0-Aktivitäten zur wissenschaftlichen Unterstützung von regionalen KMU (IwU KMU),01.02.2016,"73.500,00 € ",80%,Wildau,Deutschland,058 Forschungs- und Innovationsinfrastruktur (öffentlich)
Technische Hochschule Wildau (FH) ,Etablierung eines Mikro-Handling Systems zur Untersuchung von Mikro- und Nanostrukturen auf Oberflächen (MikroNano_Rob),03.02.2016,"96.000,00 € ",80%,Wildau,Deutschland,058 Forschungs- und Innovationsinfrastruktur (öffentlich)
Technische Hochschule Wildau (FH) ,Schaffung der messtechnischen Grundlagen für die Geräuschidentifikation von Maschinen u. Kraftfahrzeugen,05.02.2016,"58.000,00 € ",80%,Wildau,Deutschland,058 Forschungs- und Innovationsinfrastruktur (öffentlich)
Technische Hochschule Wildau (FH) ,Produktionsleitsysteme als Erweiterung von SCADA in der Automatisierungstechnik - xSCAD,01.02.2016,"38.830,00 € ",80%,Wildau,Deutschland,058 Forschungs- und Innovationsinfrastruktur (öffentlich)
Technische Hochschule Wildau (FH) ,Diagnostik metallischer und keramischer Funktionswerkstoffe mittels Lasertechnologie,01.02.2016,"99.852,90 € ",80%,Wildau,Deutschland,058 Forschungs- und Innovationsinfrastruktur (öffentlich)
Technische Hochschule Wildau (FH) ,Entwicklung von labbasierten methodischen Ansätzen für die Umsetzung von Cross-Industry-Innovation,03.02.2016,"99.800,00 € ",80%,Wildau,Deutschland,058 Forschungs- und Innovationsinfrastruktur (öffentlich)
Technische Hochschule Wildau (FH) ,WErKiB (Werkzeuge zur Erstellung von Kleinprototypen in der Bildverarbeitung),01.02.2016,"40.000,00 € ",80%,Wildau,Deutschland,058 Forschungs- und Innovationsinfrastruktur (öffentlich)
Technische Hochschule Wildau (FH) ,DiaS Erweiterung eines Plasmabeschichtungssystems zur Herstellung kohlenstoffbasierter diamantartiger Schichten,01.10.2016,"93.159,00 € ",80%,Wildau,Deutschland,058 Forschungs- und Innovationsinfrastruktur (öffentlich)
Technische Hochschule Wildau (FH) ,Vibroakustische Komposit-Prozesskontrolle für Qualitätssicherung  und Optimierung - ViKProQuO,16.12.2015,"307.288,24 € ",80%,Wildau,Deutschland,060 Forschungs- und Innovationstätigkeiten in öffentlichen Forschungseinrichtungen und Kompetenzzentren einschließlich Vernetzung
Technische Hochschule Wildau (FH) ,Innenbereichs-Ortungssystem basierend auf der Bildanalyse markanter Punkte (INNOMAP),08.03.2016,"417.925,90 € ",80%,Wildau,Deutschland,060 Forschungs- und Innovationstätigkeiten in öffentlichen Forschungseinrichtungen und Kompetenzzentren einschließlich Vernetzung
Technische Hochschule Wildau (FH) ,Lichtgesteuerte Kettenreaktionen für die Point-of-Care Diagnostik,01.01.2016,"412.128,49 € ",80%,Wildau,Deutschland,060 Forschungs- und Innovationstätigkeiten in öffentlichen Forschungseinrichtungen und Kompetenzzentren einschließlich Vernetzung
Technische Hochschule Wildau (FH) ,Companion Diagnostics von Wachstumshormonstörungen basierend auf  dem SOCS2-Komplex   SOCS2-CompDiag,01.01.2016,"374.228,37 € ",80%,Wildau,Deutschland,060 Forschungs- und Innovationstätigkeiten in öffentlichen Forschungseinrichtungen und Kompetenzzentren einschließlich Vernetzung
Technische Hochschule Wildau (FH) ,Wissens- und Technologietransfer an der TH Wildau 2015 - 2016 ,01.01.2015,"296.303,00 € ",80%,Wildau,Deutschland,"062 Technologietransfer und Zusammenarbeit zwischen Hochschulen und Unternehmen, vor allem zugunsten von KMU"
teleBITcom gmbh ,Vorbereitungsmaßnahmen der Produktvermarktung des SENBIT LAB II im Mittel- und Südosteuropäischen Raum,03.02.2016,"18.000,00 € ",80%,"Teltow, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
