Name des Begünstigten,Bezeichnung des Vorhabens / Zusammenfassung des Vorhabens,Beginns des Vorhabens,Gesamtbetrag der förderfähigen Ausgaben des Vorhabens  ,Unions-Kofinan-zierungssatz  pro Prioritäts-achse ,Ort des Vorhabens,Land,Bezeichnung der Interventionskategorie
Industrie- und Handelskammer Cottbus ,Gemeinschaftsstand Hannover Messe - Industrial Automation 2016 in Hannover,28.01.2016,"55.000,00 € ",80%,"Cottbus, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Industrie- und Handelskammer Cottbus ,Gemeinschaftsstand AERO 2016 in Friedrichshafen ,28.01.2016,"49.000,00 € ",80%,"Cottbus, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Industrie- und Handelskammer Cottbus ,"Gemeinschaftsstand ""WindEnergy Hamburg 2016"" ",19.02.2016,"55.000,00 € ",80%,"Cottbus, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Industrie- und Handelskammer Ostbrandenburg,"Gemeinschaftsstand ""Fakuma 2015"" in Friedrichshafen ",20.05.2014,"57.949,00 € ",80%,"Frankfurt (Oder), Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Industrie- und Handelskammer Potsdam ,"Firmengemeinschaftsstand ""productronica 2015"" in München ",20.05.2014,"30.000,00 € ",80%,"Potsdam, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Industrie- und Handelskammer Potsdam ,"Firmengemeinschaftsstand ""Rehacare 2015"" in Düsseldorf ",20.05.2014,"30.000,00 € ",80%,"Potsdam, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Industrie- und Handelskammer Potsdam ,Green Ventures Trade Mission Israel ,20.05.2014,"74.000,00 € ",80%,"Potsdam, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Industrie- und Handelskammer Potsdam ,"Gemeinschaftsstand ""CeBIT 2016"" in Hannover ",01.12.2015,"40.000,00 € ",80%,"Potsdam, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Industrie- und Handelskammer Potsdam ,PromoFood 2016 in Potsdam ,14.08.2015,"47.000,00 € ",80%,"Potsdam, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Industrie- und Handelskammer Potsdam ,"Gemeinschaftsstand Hannover Messe - ""Industrial Supply 2016"" in Hannover",01.12.2015,"55.000,00 € ",80%,"Potsdam, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Industrie- und Handelskammer Potsdam ,"Gemeinschaftsstand ""InnoTrans 2016"" in Berlin ",01.12.2015,"120.000,00 € ",80%,"Potsdam, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Industrie- und Handelskammer Potsdam ,"Internationales Unternehmertreffen für Energie- und Umwelttechnik ""Green Ventures 2016""",16.02.2016,"82.000,00 € ",80%,"Potsdam, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Industrie- und Handelskammer Potsdam ,Gemeinschaftsstand Hannover Messe - Energy 2016 in Hannover ,28.01.2016,"55.000,00 € ",80%,"Potsdam, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Institut für Fortpflanzung landwirt. Nutztiere Schönow e.V.,Ausbau der Hochtechnologieforschung sowie des Innovations- und Wissenstransfers am Standort IFN Schönow e.V.,06.10.2015,"2.000.000,00 € ",80%,"Bernau bei Berlin, Stadt",Deutschland,058 Forschungs- und Innovationsinfrastruktur (öffentlich)
InterLake System GmbH ,"Messeteilnahme: ""LEARNTEC 2016"" in Karlsruhe ",01.06.2015,"16.358,68 € ",80%,"Potsdam, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Investitionsbank des Land Brandenburg,Brandenburgkredit Mezzanine II,08.12.2015,"32.500.000,00 € ",80%,"Potsdam, Stadt",Deutschland,001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Investitionsbank des Land Brandenburg,Mikrokredit Brandenburg,08.12.2015,"10.000.000,00 € ",80%,"Potsdam, Stadt",Deutschland,001 - Allgemeine produktive Investitionen in kleine und mittlere Unternehmen („KMU“)
Investitionsbank des Land Brandenburg,Frühphasen- und Wachstumsfonds,08.12.2015,"70.000.000,00 € ",80%,"Potsdam, Stadt",Deutschland,"067 Entwicklung von KMU, Förderung von Unternehmertum und Gründerzentren"
IPG Infrastruktur- u. Projektentwicklungsgesellschaft mbH,"Messeteilnahme: ""InnoTrans 2016"" in Berlin ",16.09.2015,"7.000,00 € ",80%,"Potsdam, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
jasys GmbH & Co. KG ,"Messeteilnahme: ""embedded world 2016"" in Nürnberg ",10.08.2015,"6.436,80 € ",80%,"Hohen Neuendorf, Stadt",Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
Kinematics GmbH ,"Produktionsaufbau, Marktvorbereitung, Markteinführung Tinkerbots ",01.11.2015,"721.154,56 € ",80%,"Bernau bei Berlin, Stadt",Deutschland,064 Forschungs- und Innovationsprozesse in KMU
Krambamboul GmbH & Co. KG ,"Messeteilnahme: ""GaLaBau 2016"" in Nürnberg ",10.05.2016,"10.075,00 € ",80%,Nuthetal,Deutschland,066 Fortgeschrittene Unterstützungsdienste für KMU und KMU-Zusammenschlüsse
