years,source,beneficiary,name_of_operation,on_finish_total_value,allocated_public_funding
2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Bruß Bau GmbH
Kleve","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Bruß Bau GmbH
Kleve","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","360,00",
2014,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Bruß Bau GmbH
Kleve","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.200,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"BSF Bau Service Freyer
Schwentinental, Stadt","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.560,00",
2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"BSM Gebäudetechnik GmbH
Fockbek","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"BSM Gebäudetechnik GmbH
Fockbek","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","120,00",
2014,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"BSM Gebäudetechnik GmbH
Fockbek","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.920,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Buchhandlung Weber
Ratzeburg","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Büge Autoteile Nord GmbH & Co. KG
Flensburg","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.880,00",
2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Büller Backwaren GmbH
Nortorf","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","360,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Burger King GmbH Rüdiger Wöbcke
Bad Bramstedt","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.863,42",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Burger King Rüdiger Wöbke
Neumünster","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Burger King Rüdiger Wöbke
Neumünster","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.880,00",
2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Burgfeldrestaurant ""Zum Tucher""
Lübeck","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","600,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Burgfeldrestaurant Zum Tucher
Lübeck","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.398,08",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Burmester GmbH
Elmenhorst","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.880,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Büro Oeding - Konzepte & Medien
Flensburg","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.880,00",
2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Büro Service Kruse
Rendsburg","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","240,00",
2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"BWL Landtechnik Bernd Wiese
Leck","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"C. Thomsen GmbH
Halstenbek","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.880,00",
2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Cafe Bielenberg
Kropp","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Cafe Central
Flensburg","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Café Clausen
Lauenburg","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.880,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Café Hafenblick
Tönning","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2014,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Café Hafenblick
Tönning","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","940,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Cafe Jansen Bäckerei - Konditorei
Bad Segeberg","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.760,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Cafe Lassen
Husum","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Café Nissen
Bredstedt","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.880,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Café Nissen
Bredstedt","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.880,00",
2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Café Nissen
Bredstedt","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Café Nissen
Bredstedt","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","840,00",
2014,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Café Nissen
Bredstedt","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2014,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Camps Hausgeräte TV Elektro GmbH
Kiel","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Capello-Friseur
Lübeck","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.880,00",
2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Capello-Friseur
Lübeck","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2014,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Caritasverband Lübeck e. V.
Lübeck","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.040,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Carl Boldt Bauschlosserei-Metallbau GmbH
Elmshorn","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Carl Heinz Nissen
Karosseriebau
Husum","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"CARLifornia Inh.: Lars-Oliver Hinners
Trappenkamp","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.880,00",
2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Carsten Radloff Brandschutzplanung
Altenholz","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2014,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Carstens Gesundheitstraining Herz-Rücken
Lübeck","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.040,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Cartec KFZ-Meisterbetrieb O. Tröger
Henstedt-Ulzburg","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"CDS GmbH, Gut Apeldör
Lohe-Rickelshof","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","600,00",
2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"CH Fitness & Saunaland
Elmshorn","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.880,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Charisma-Floristik
Neumünster","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Charisma-Floristik
Neumünster","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Charlys Fashion Store GmbH
Kiel","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Chateau Bordeaux Wolfgang Bovensiepen
Wedel","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Chic & Schere Friseursalon
Rendsburg","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"CHIC4YOU
Elmshorn","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Chill Out
Garding","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","840,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Christa's Blumenladen
Bredstedt","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.880,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Christian Lucht
Remmels","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Christian Lucht
Remmels","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","960,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Christian Pump
Elmshorn","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.080,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Christian Pump
Elmshorn","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.080,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Christian Zietan
Sieverstedt","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.191,37",
2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Christina Stürck
Kiel","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","360,00",
2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Christoph GmbH
Heide","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.880,00",
2014,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Christoph GmbH
Heide","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.920,00",
2014,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"ChrP Andresen GmbH & Co. 
Niebüll","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","840,00",
2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"City Appartements Lübeck UG 
(haftungsbeschränkt)
Lübeck","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.880,00",
2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"CLAAS GUSS GmbH
Nortorf","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Classic Tankstelle
Kellinghusen","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.760,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Claus Kühl Stapler-Technik
Neumünster","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.880,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Claus Matthiesen - Bau
Niebüll","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Claus Matthiesen - Bau
Niebüll","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","240,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Clausen GmbH
Flensburg","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"CNT Brandt
Schafflund","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Coiffeur Holger Ott
Kappeln","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.880,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Coiffeur-Studio Ulrike Pophal
Bad Segeberg","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Colortechnik Stamer
Wöhrden","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.880,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"confern Umzugspartner
HMP Umzüge GmbH & Co. KG
Appen","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.880,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Contra-Sport GmbH
Henstedt-Ulzburg","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.880,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Copy-Factory
Elmshorn","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.760,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"cp.offset
Rendsburg","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Crash & Lack Autoservice
Neumünster","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","360,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"CREMILK GmbH
Kappeln","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.880,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"CSS Delfs OHG
Kiel","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.880,00",
2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"cut & care
Rendsburg","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.080,00",
2014,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"cut & care
Rendsburg","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.080,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"CVJM Lübeck e.V.
Lübeck","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.880,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Dachdecker Schmidt, Meinert
Großsolt","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Dachdecker/Bauklempner Michael Tunk
Stockelsdorf","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","240,00",
2014,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Dachdeckerei - Klempnerei Jörg Lüth
Brekendorf","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Dachdeckerei Acksen
Kiel","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2014,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Dachdeckerei Albers GmbH
Hohenwestedt","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2014,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Dachdeckerei Althaus
Aukrug","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.080,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Dachdeckerei D. Zimny
Kiel","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Dachdeckerei Frank Breiter
Hohn","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","600,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Dachdeckerei Guido Dahm
Eggebek","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","480,00",
2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Dachdeckerei Guido Dahm
Eggebek","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2014,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Dachdeckerei Guido Scheer
Krummesse","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","360,00",
2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Dachdeckerei Hauke Hansen GmbH
Wyk","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Dachdeckerei Hauke Hansen GmbH
Wyk","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Dachdeckerei Heiko Oehlert GmbH
Harrislee","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.320,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Dachdeckerei Horst Lorenzen
Büdelsdorf","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Dachdeckerei Jank
Bad Segeberg","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.680,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Dachdeckerei Kirsch/Edier GbR
Wielen","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.880,00",
2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Dachdeckerei Maik Kraushaar 
Neumünster","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Dachdeckerei Martin Lücke GmbH
Kisdorf","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.520,00",
2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Dachdeckerei Oliver Lemke
Jevenstedt","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Dachdeckerei Priegnitz
Gönnebek","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Dachdeckerei R. Sievertsen GmbH & Co. KG
Glücksburg","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Dachdeckerei Reink-Schürmann
Reinsbüttel","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.880,00",
2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Dachdeckerei Roth
Satrup","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Dachdeckerei Scheinert
Rabel","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","240,00",
2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Dachdeckerei Schwannecke
Oldenburg","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.880,00",
2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Dachdeckerei Schwannecke
Oldenburg","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","1.440,00",
2014,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Arbeit/allgemein/vdb.pdf,"Dachdeckerei Stein
Westerrönfeld","B1 - Förderung zusätzlicher betrieblicher 
Ausbildungsplätze","2.040,00",
