Year 1,Year 2,source,beneficiary,name_of_operation,on_finish_total_value,allocated_public_funding
2008,2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,Ahlf Elektrotechnik GmbH,"Vollautomatisches 
Positioniersystem zur 
Integration in Steuerungen","25.966,29 €",
2011,2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"Ahoi-Ihr Landhotel am 
Nord-Ostsee-Kanal Birgit 
Stotz","Errichtung einer Betriebsstätte 
in Breiholz (Ahoi-Hotel Birgit 
Stotz)","53.898,00 €",
2012,2014,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,AhoyRTC GmbH,"Einstellung 
Innovationsassistent/-in","24.000,00 €",
2014,,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"Ahrensburger Glasbau 
GmbH
 und Dierk Faerber","Verlagerung und Errichtung 
einer Betriebsstätte in 
Ahrensburg, Ahrensburger 
Glasbau GmbH",,"169.200,00 €"
2009,2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,Ahrthom GbR,"Erweiterung einer Betriebsstätte 
AhrThom GbR","27.034,41 €",
2013,,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"a-ja Resort und Hotel 
GmbH","Errichtung einer Betriebsstätte 
in Grömitz, a-ja Resort und 
Hotel GmbH",,"1.950.000,00 €"
2008,2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"AKB Antriebstechnik 
GmbH","Automatisierter und in der Höhe 
verstellbarer, geschlossener 
Autotransportwagen","172.760,45 €",
2011,2014,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"AKKU SYS Akkumulator- 
und Batterietechnik Nord 
GmbH
 und V&S Vertriebs- ","Verlagerung einer 
Betriebsstätte, AKKU Sys 
GmbH","136.617,00 €",
2011,2014,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"Alfons Winter 3D-
Konstruktions GmbH","Einstellung 
Innovationsassistent/-in","28.750,00 €",
2009,2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"Alfons Winter 3D-
Konstruktions GmbH","Einstellung 
Innovationsassistent/- in","28.750,00 €",
