Year 1,Year 2,source,beneficiary,name_of_operation,on_finish_total_value,allocated_public_funding
2010,2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"Danish Crown 
Schlachtzentrum 
Nordfriesland GmbH","Erweiterung einer Betriebsstätte 
in Husum (Danish Crown 
Schlachtzentrum Nordfriesland 
GmbH)","1.247.293,00 €",
2011,2014,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"Dansk Skoleforening for 
Sydslesvig e.V.","Erweiterung und Modernisierung 
der Jaruplund Hojskole","1.172.000,00 €",
2010,2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"Das bunte Kamel, Inh. 
Andreas Volkmar","Errichtung einer Betriebsstätte, 
Andreas Volkmar ""das bunte 
Kamel""","101.954,79 €",
2012,2014,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"Dauborn 
MembranSysteme für 
Wasserbehandlung 
GmbH
DMS","DKS Prototyp Herstellung / 
Leistungstests","143.402,65 €",
2010,2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"Dederichs & Partner 
Managementberatung 
GmbH","Einstellung 
Innovationsassistent/-in","20.696,72 €",
2012,2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"Dederichs & Partner 
Managementberatung 
GmbH","Einstellung 
Innovationsassistent/-in","8.000,00 €",
2010,2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,Delphi Optics GmbH,"Einstellung 
Innovationsassistent/-in","8.695,05 €",
2009,2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,Denker & Wulf AG,"Erweiterung einer 
Betriebsstätte, Denker & Wulf 
AG","630.000,00 €",
2009,2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,detectomat GmbH,"Einstellung 
Innovationsassistent/-in","30.000,00 €",
2010,2015,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"DEULA Schleswig-
Holstein GmbH
Bildungszentrum","Weiterbildungsverbund 
Rendsburg - Eckernförde 2011","86.345,18 €",
2011,2014,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"DEULA Schleswig-
Holstein GmbH
Bildungszentrum","Weiterbildungsverbund 
Rendsburg-Eckernförde 2012","81.193,46 €",
2010,2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"Deutsche 
Aktenvernichtung DAV 
GmbH","Erweiterung einer Betriebsstätte 
in Tangstedt Deutsche 
Aktenvernichtung GmbH","34.194,49 €",
2011,2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"Deutsche Windtechnik 
Service GmbH & Co. KG","Erweiterung einer Betriebsstätte 
in Viöl - Windstrom Service SH 
GmbH","60.277,77 €",
2013,2015,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,develogic GmbH,"Einstellung 
Innovationsassistent/-in","16.500,00 €",
2014,,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"DF Automotive GmbH & 
Co KG
 und GI Nord GmbH & ","Verlagerung einer Betriebsstätte 
in Flensburg, DF Automotive 
GmbH & Co. KG",,"434.085,00 €"
2009,2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"Diamond Tools
Präszisionswerkzeuge 
Michael Kleiner e.K.","Vision Null Emission in der 
Galvanik","76.692,77 €",
2012,,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"dibu-energie Jan Bruhn
 und Besitzgesellsch","Erweiterung einer Betriebsstätte 
auf Fehmarn, dibu-energie Jan 
Bruhn",,"210.000,00 €"
2009,2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,Dietrichsdorfer Hof GmbH,"Modernisierung einer 
Betriebsstätte in Kiel (Hotel 
Diedrichsdorfer Hof)","43.863,00 €",
2010,2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,DINSE G.m.b.H.,"Verlagerung einer Betriebsstätte 
nach Norderstedt (Dinse 
G.m.b.H.)","95.897,93 €",
2009,2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"Dipl.-Ing. Ulf Schneider 
VDI","Einstellung 
Innovationsassistent/-in","30.000,00 €",
2007,2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,Dirk Müggenburg GmbH,Müggenburg GmbH,"113.470,21 €",
2012,2015,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,Dirk Nissen GmbH,"Erweiterung einer Betriebsstätte 
in Handewitt (Nissen GmbH)","70.000,00 €",
2011,2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"disty communications 
GmbH","Einstellung 
Innovationsassistent/-in","30.000,00 €",
2008,2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"Dithmarschen Tourismus 
e.V.","Tourismuskonzept 
Dithmarschen/Tourismusinitiativ
e III","25.850,00 €",
2010,2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"Dithmarschen Tourismus 
e.V.","Umsetzungsbegleitung zur 
Gründung einer LTO 
Dithmarschen","18.040,00 €",
2009,2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"Dithmarscher Brauerei 
Karl Hintz GmbH & Co. ","Dithmarscher Brauerei Karl 
Hintz GmbH & Co., 
Modernisierung einer 
Betriebsstätte","80.449,60 €",
2008,2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"DIVIS Deutsche Industrie 
Video System GmbH","Deutsche Industrie Video 
System GmbH, Verlagerung 
einer Betriebsstätte in 
Bordesholm","62.110,00 €",
2009,2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"DMS Dauborn 
MembranSysteme für 
Wasserbehandlung 
GmbH
 und Eugen Reinhardt","DMS Dauborn 
MembranSysteme für 
Wasserbehandlung, 
Verlagerung einer Betriebsstätte 
in Ratzeburg","70.000,00 €",
2009,2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"Dolleruper Freie 
Brandgilde VVaG","Dolleruper Freie Brandgilde 
VVaG, Verlagerung einer 
Betriebsstätte nach 
Steinbergkirche","105.000,00 €",
2008,2010,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,Dr. Hastenrath GmbH,"Einstellung 
Innovationsassistent/-in","18.780,78 €",
2010,2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,Dräger Medical GmbH,"Verlagerung einer Betriebsstätte 
in Lübeck (Dräger Medical 
GmbH, Dräger Interservices 
GmbH)","2.201.885,74 €",
2009,2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"Drögemüller 
Handelsgesellschaft mbH","Drögemüller 
Handelsgesellschaft mbH, 
Modernisierung einer 
Betriebsstätte","140.000,00 €",
2014,,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"Druckguss Service 
Deutschland GmbH","Erweiterung einer Betriebsstätte 
in Lübeck, Druckguss Service 
Deutschland GmbH",,"500.000,00 €"
2011,2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"Druckguss Service 
Deutschland GmbH","Erweiterung einer Betriebsstätte 
in Lübeck (Druckguss Service 
Deutschland GmbH)","143.928,53 €",
2012,2014,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"Druckguss Service 
Deutschland GmbH","Open Source 
Unternehmenskommunikation, 
Warenwirtschaft und 
Fertigungsplanung","50.449,04 €",
2010,2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"DS Rendite Fonds GmbH 
& Co. Club- und 
Sporthotel Grömitz KG","Modernisierung der 
Betriebsstätte in Grömitz, DS 
Rendite Fonds GmbH&Co. 
Club- und Sporthotel Grömitz 
KG ","104.967,72 €",
2008,2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,DSN,"Einstellung 
Innovationsassistent/-in","26.279,84 €",
2010,2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,DSN,"Einstellung 
Innovationsassistent/-in","30.000,00 €",
2012,2014,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,DSN,"Einstellung 
Innovationsassistent/-in","24.000,00 €",
2010,2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"Dunja u. Ralf Glaubitt 
Grundstücksgesellschaft 
Büchen b.R.
 und Wondervelo GmbH","Erweiterung einer Betriebsstätte 
in Büchen, TMQS und 
Wondervelo","381.428,96 €",
2009,2014,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,DW - Ship Consult,"Entwicklung einer innovativen 
Ballastwassermanagementanlag
e [[BW]]","19.271,48 €",
2014,2015,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"Dwif-Consulting
c/o Tourismus-Agentur 
Schleswig-Holstein","Umsetzungsmanagement für die 
Tourismusstrategie Schleswig-
Holstein 2025","108.683,34 €",
2009,2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"E.H.O. Elbe Hydraulik 
Osterrönfeld GmbH","Verlagerung einer Betriebsstätte 
in Osterrönfeld (E.H.O. Elbe 
Hydraulik Osterrönfeld GmbH)","140.000,00 €",
2014,2015,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,e~nema GmbH,"Einstellung 
Innovationsassistent/-in","9.750,00 €",
2012,2014,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,e~nema GmbH,"Einstellung 
Innovationsassistent/-in","18.000,00 €",
2008,2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,e~nema GmbH,"Einstellung 
Innovationsassistent/-in","12.951,90 €",
2013,2015,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,e3plan GmbH,"Einstellung 
Innovationsassistent/-in","24.000,00 €",
2009,2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"EBN Betonwerk 
Neumünster GmbH","Modernisierung einer 
Betriebsstätte,EBN Betonwerk 
Neumünster GmbH","70.000,00 €",
2015,,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"ecc energy consulting 
circle 
GmbH & Co.KG",Einstellung Innovationsassistent,,"10.500,00 €"
2011,2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"Eckernförde Touristik & 
Marketing GmbH","Handlungs- und 
Tourismusentwicklungskonzept 
für eine Lokale Tourismus 
Organisation (LTO) im Gebiet 
der AktivRegion Hügelland am 
Ostseestrand (HaO)","17.450,00 €",
2011,2015,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,ECO System Haus GmbH,"Eco System Haus GmbH - 
Erweiterung und Verlagerung 
der Betriebsstätte in 
Neumünster","253.496,00 €",
2008,2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,eCONNEX AG,"Einstellung 
Innovationsassistent/-in","30.000,00 €",
2009,2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,eCONNEX AG,"Einstellung 
Innovationsassistent/-in","30.000,00 €",
2009,2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,eCONNEX AG,"Einstellung eines 
Innovationsassistenten","30.000,00 €",
2011,,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"ECOPLANT Filtration 
GmbH","Erweiterung einer Betriebsstätte 
in Lübeck, ECOPLANT Filtration 
GmbH vorm. Beth Filtration 
GmbH",,"200.000,00 €"
2011,2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"EDUR Pumpenfabrik 
Eduard Redlien GmbH & 
Co. KG","Einstellung 
Innovationsassistent/-in","30.000,00 €",
2009,2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,EDV-COMPAS GmbH,"Einstellung 
Innovationsassistent/-in","27.493,15 €",
2011,2014,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"Eggers Druckerei & 
Verlag GmbH",Druckerei 2012,"47.679,70 €",
2009,2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"Ehe & Janneck GmbH & 
Co.KG",Einstellung Innovationsassistent,"30.000,00 €",
2008,2011,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"Ehe & Janneck GmbH & 
Co.KG","Einstellung 
Innovationsassistent/-in","30.000,00 €",
2013,2015,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"Ehe & Janneck GmbH & 
Co.KG","Einstellung 
Innovationsassistent/-in","24.000,00 €",
2012,2014,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"Ehrich Recyclinghof 
Husum GmbH & Co. KG","Erweiterung einer Betriebsstätte 
in Husum, Ehrich Recyclinghof 
Husum GmbH & Co. KG","70.000,00 €",
2012,2014,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"Eider-Landgeräte GmbH
 und Eider-Landgerät","Erweiterung einer Betriebsstätte 
in Weddingstedt, Eider 
Landgeräte GmbH","55.000,00 €",
2009,2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,Elac Electroacustic GmbH,"Einstellung 
Innovationsassistent/-in","30.000,00 €",
2012,2015,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"ELEFANT 
Weidezaungeräte, Inh. 
Reiner Voß","Verlagerung und Erweiterung 
einer Betriebsstätte nach Viöl, 
Reiner Voß Weidezaungeräte","175.000,00 €",
2010,2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"ELEFANT 
Weidezaungeräte, Inh. 
Reiner Voß","Erweiterung einer Betriebsstätte 
in Wester-Ohrstedt Rainer Voß, 
Elefant Weidezaungeräte","69.898,00 €",
2013,2015,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,Element 22 GmbH,"Einstellung 
Innovationsassistent/-in","24.000,00 €",
2012,,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,Element 22 GmbH,"Innovationen in der Formgebung 
von Titan durch 
pulvermetallurgische Prozesse",,"327.486,60 €"
2013,2015,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"Emma Technologies 
GmbH","HyCops - Hypercommunication 
and Positioning System","144.085,73 €",
2012,2014,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"Emma Technologies 
GmbH","Einstellung 
Innovationsassistent/-in","24.000,00 €",
2013,,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"EMN EnergieManufaktur 
Nord
Ingeniuere Bielenberg + 
Partner","Einstellung 
Innovationsassistent/-in",,"18.000,00 €"
2011,2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,empuxa GmbH,"Einstellung 
Innovationsassistent/-in","29.305,83 €",
2011,2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,ems Isoliertüren GmbH,"Übernahme und Erweiterung 
einer Betriebsstätte in Pansdorf 
(ems Isoliertüren GmbH)","128.790,19 €",
2011,2012,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"Energie 2.0
Biomasse Agentur","Einstellung 
Innovationsassistent/-in","10.027,40 €",
2011,2013,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,ennit server GmbH,"Einstellung 
Innovationsassistent/-in","30.000,00 €",
2011,2015,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"ENSEC Engineering 
Service GmbH & Co. KG","Einstellung 
Innovationsassistent/-in","12.132,54 €",
2010,,http://www.ib-sh.de/fileadmin/user_upload/downloads/Arbeit_Bildung/ZP_Wirtschaft/Verzeichnis_der_Beguenstigten_im_Zukunftsprogramm_Wirtschaft_in_der_Foerderperiode_2007-2013.pdf,"ENSEC Engineering 
Service GmbH & Co. KG","Errichtung einer Betriebsstätte 
in Enge-Sande, ENSEC 
Engeneering ServicesGmbH & 
Co KG",,"28.641,61 €"
