N°,Bénéficiaire / Begunstigde,FEDER,Financement public sans FEDER,Opération / Actie,Site web / Website,Année d'allocation / Jaar van toewijzing,Financement total du projet / Totale projectfinanciering (€),Financement public / Publieke financiering (€) ,Financement FEDER (UE) / EFRO-financiering (EU) (€),Priority Label 
P22-04,Elmer vzw,160325,645668,Elmer in de stad,http://www.elmer.be/FicheStad.htm,2008,1002225,1002225,116113,Renforcement des infrastructures de proximité en lien avec l'emploi et la formation /  Versterking van de nabijheidsdiensten gekoppeld aan de tewerkstelling en de opleiding
P22-05,Commune d'Anderlecht,288000,288000,Crèche Les Tulipes,http://www.bruplus.irisnet.be/fr/content/accueil-de-la-petite-enfance,2010,747895,747895,144000,Renforcement des infrastructures de proximité en lien avec l'emploi et la formation /  Versterking van de nabijheidsdiensten gekoppeld aan de tewerkstelling en de opleiding
P22-06,Commune de Molenbeek-Saint-Jean,662535,2320858,"Milieux d'accueil de la petite enfance ""Rives Ouest""",http://www.bruplus.irisnet.be/fr/content/accueil-de-la-petite-enfance,2008,"3337482,65","3337482,65",843021,Renforcement des infrastructures de proximité en lien avec l'emploi et la formation /  Versterking van de nabijheidsdiensten gekoppeld aan de tewerkstelling en de opleiding
P22-07,Commune de Saint-Josse,607290,1821871,Crèche Station,http://www.stjosse.irisnet.be/index.php?id=396,2010,2254622,2254622,607290,Renforcement des infrastructures de proximité en lien avec l'emploi et la formation /  Versterking van de nabijheidsdiensten gekoppeld aan de tewerkstelling en de opleiding
P22-08,Athénée Royal Serge Creuz,478500,478500,Centre de technologie avancée - Automatismes industriels,http://www.bruplus.irisnet.be/fr/content/cta-automatismes-industriels,2008,1136000,1136000,478500,Renforcement des infrastructures de proximité en lien avec l'emploi et la formation /  Versterking van de nabijheidsdiensten gekoppeld aan de tewerkstelling en de opleiding
P22-09,Ville de Bruxelles,476500,476500,Centre de technologie avancée en électricité résidentielle et industrielle Arts et Métiers,http://www.bruplus.irisnet.be/fr/content/cta-%C3%A9lectricit%C3%A9-r%C3%A9sidentielle-et-industrielle,2008,953000,953000,476500,Renforcement des infrastructures de proximité en lien avec l'emploi et la formation /  Versterking van de nabijheidsdiensten gekoppeld aan de tewerkstelling en de opleiding
P22-10,Institut Notre-Dame,476500,476500,Centre de technologie avancée - Energies vertes et renouvelables,http://www.bruplus.irisnet.be/fr/content/cta-%C3%A9nergies-vertes-et-renouvelables,2008,953000,953000,476500,Renforcement des infrastructures de proximité en lien avec l'emploi et la formation /  Versterking van de nabijheidsdiensten gekoppeld aan de tewerkstelling en de opleiding
P22-11,Ville de Bruxelles,476500,476500,Centre de technologie avancée en infographie et en industries graphiques Arts et Métiers,http://cta-diderot.brucity.be/,2008,2478000,2478000,476500,Renforcement des infrastructures de proximité en lien avec l'emploi et la formation /  Versterking van de nabijheidsdiensten gekoppeld aan de tewerkstelling en de opleiding
P22-12,Institut Communal Technique Frans Fischer,500000,791000,Centre de technologie avancée Fischer,http://www.bruplus.irisnet.be/fr/content/cta-chimie,2008,1500000,1500000,225000,Renforcement des infrastructures de proximité en lien avec l'emploi et la formation /  Versterking van de nabijheidsdiensten gekoppeld aan de tewerkstelling en de opleiding
P22-13,Collège La Fraternité,474595,474595,Centre de technologie avancée - Puériculture et soins infirmiers,http://www.bruplus.irisnet.be/fr/content/cta-pu%C3%A9riculture-et-soins-infirmiers,2008,949190,949190,474595,Renforcement des infrastructures de proximité en lien avec l'emploi et la formation /  Versterking van de nabijheidsdiensten gekoppeld aan de tewerkstelling en de opleiding
P22-14,Commune de Molenbeek-Saint-Jean,1375000,2769927,Espace Hôtelier Bellevue,http://www.bruplus.irisnet.be/fr/content/espace-h%C3%B4telier-belle-vue-formation-pour-lemploi,2008,5551000,"5216511,99",2750000,Renforcement des infrastructures de proximité en lien avec l'emploi et la formation /  Versterking van de nabijheidsdiensten gekoppeld aan de tewerkstelling en de opleiding
P22-15,Commune de Saint-Gilles,611250,863750,Les Ateliers du Midi,http://www.stgilles.irisnet.be/fr/services-administratifs/emploi-et-formation/ateliers-du-midi/ateliers-du-midi/,2008,1750000,1750000,611250,Renforcement des infrastructures de proximité en lien avec l'emploi et la formation /  Versterking van de nabijheidsdiensten gekoppeld aan de tewerkstelling en de opleiding
P22-16,Commune de Forest,450000,1250000,Foresthoreca,http://www.bruplus.irisnet.be/fr/content/foresthoreca-formation-pour-lemploi,2010,"7085966,47","7085966,47",1200000,Renforcement des infrastructures de proximité en lien avec l'emploi et la formation /  Versterking van de nabijheidsdiensten gekoppeld aan de tewerkstelling en de opleiding
P22-17,Commune de Schaerbeek,250000,750000,Pôle de l'emploi et du développement économique,http://www.bruplus.irisnet.be/fr/content/p%C3%B4le-de-l%E2%80%99emploi-et-du-d%C3%A9veloppement-%C3%A9conomique,2008,1181148,1181148,250000,Renforcement des infrastructures de proximité en lien avec l'emploi et la formation /  Versterking van de nabijheidsdiensten gekoppeld aan de tewerkstelling en de opleiding
